Date,Close,Volume,Open,High,Low
03/01/2024,$23.27,"2,959,030",$22.74,$23.44,$22.595
02/29/2024,$22.81,"3,421,771",$22.91,$23.26,$22.605
02/28/2024,$22.63,"1,743,872",$22.62,$23.06,$22.59
02/27/2024,$22.84,"1,408,609",$22.84,$23.035,$22.655
02/26/2024,$22.58,"1,451,797",$22.73,$22.88,$22.50
02/23/2024,$22.84,"1,042,926",$23.09,$23.13,$22.80
02/22/2024,$23.10,"1,377,326",$23.57,$23.58,$23.08
02/21/2024,$23.50,"1,128,955",$23.19,$23.50,$23.125
02/20/2024,$23.35,"821,962",$23.19,$23.37,$23.04
02/16/2024,$23.61,"1,708,612",$23.20,$23.895,$23.05
02/15/2024,$23.66,"1,250,884",$22.83,$23.71,$22.71
02/14/2024,$22.60,"1,447,605",$22.70,$22.78,$22.43
02/13/2024,$22.40,"2,455,720",$22.77,$22.885,$22.165
02/12/2024,$23.73,"1,756,749",$23.02,$23.84,$23.02
02/09/2024,$22.88,"1,995,996",$22.86,$23.145,$22.785
02/08/2024,$22.90,"3,902,194",$22.30,$23.115,$22.07
02/07/2024,$21.97,"2,833,029",$21.90,$22.085,$21.595
02/06/2024,$21.84,"2,706,894",$21.79,$22.15,$21.66
02/05/2024,$21.87,"1,152,276",$21.95,$22.125,$21.68
02/02/2024,$22.36,"1,958,741",$22.40,$22.485,$22.185
02/01/2024,$22.86,"2,762,236",$22.93,$22.93,$22.26
01/31/2024,$22.91,"1,966,348",$23.54,$23.62,$22.79
01/30/2024,$23.58,"1,880,084",$23.38,$23.67,$23.20
01/29/2024,$23.57,"912,499",$23.20,$23.65,$23.08
01/26/2024,$23.20,"803,058",$23.28,$23.45,$23.16
01/25/2024,$23.21,"1,072,014",$23.38,$23.47,$23.00
01/24/2024,$22.95,"1,714,884",$23.63,$23.63,$22.855
01/23/2024,$23.21,"1,767,575",$23.90,$24.05,$23.15
01/22/2024,$23.65,"1,101,639",$23.61,$23.79,$23.48
01/19/2024,$23.42,"1,069,407",$23.13,$23.52,$22.83
01/18/2024,$22.92,"1,537,495",$23.01,$23.10,$22.545
01/17/2024,$22.90,"1,665,929",$23.01,$23.32,$22.43
01/16/2024,$23.62,"1,175,072",$23.68,$23.79,$23.415
01/12/2024,$24.02,"745,422",$24.32,$24.47,$23.995
01/11/2024,$23.97,"1,237,975",$24.42,$24.51,$23.8098
01/10/2024,$24.59,"945,708",$24.51,$24.825,$24.455
01/09/2024,$24.47,"1,424,593",$24.21,$24.575,$24.00
01/08/2024,$24.53,"1,156,881",$24.28,$24.62,$24.165
01/05/2024,$24.39,"3,137,078",$23.64,$24.61,$23.45
01/04/2024,$23.87,"1,112,466",$23.76,$24.15,$23.64
01/03/2024,$23.88,"4,033,005",$23.98,$24.38,$23.65
01/02/2024,$24.71,"1,321,559",$24.38,$24.965,$24.30
12/29/2023,$24.35,"1,326,950",$24.55,$24.65,$24.35
12/28/2023,$24.74,"1,125,654",$24.36,$24.76,$24.36
12/27/2023,$24.55,"1,107,856",$24.50,$24.595,$24.30
12/26/2023,$24.49,"664,572",$24.15,$24.58,$23.97
12/22/2023,$24.00,"786,280",$24.23,$24.51,$23.83
12/21/2023,$24.04,"1,280,353",$24.19,$24.23,$23.675
12/20/2023,$23.90,"1,474,495",$24.04,$24.76,$23.88
12/19/2023,$24.03,"1,807,223",$24.19,$24.29,$23.97
12/18/2023,$24.00,"1,407,297",$24.33,$24.33,$23.791
12/15/2023,$24.17,"3,228,840",$24.73,$24.96,$24.01
12/14/2023,$24.80,"2,221,749",$24.53,$25.19,$24.37
12/13/2023,$23.66,"1,881,783",$22.43,$23.865,$22.33
12/12/2023,$22.45,"2,132,727",$22.47,$22.5299,$22.22
12/11/2023,$22.52,"1,632,039",$22.30,$22.64,$22.27
12/08/2023,$22.46,"1,353,848",$22.03,$22.485,$21.89
12/07/2023,$22.20,"1,518,911",$21.85,$22.25,$21.76
12/06/2023,$21.88,"1,546,129",$21.92,$22.40,$21.81
12/05/2023,$21.63,"2,289,155",$22.21,$22.31,$21.60
12/04/2023,$22.34,"1,637,085",$21.81,$22.39,$21.70
12/01/2023,$21.98,"2,124,419",$20.43,$22.10,$20.30
11/30/2023,$20.52,"1,949,454",$20.47,$20.70,$20.35
11/29/2023,$20.45,"1,525,821",$20.61,$21.25,$20.4121
11/28/2023,$20.30,"1,436,159",$19.70,$20.38,$19.48
11/27/2023,$19.76,"945,250",$19.64,$19.915,$19.518
11/24/2023,$19.78,"421,826",$19.85,$19.92,$19.61
11/22/2023,$19.85,"762,432",$19.89,$19.96,$19.70
11/21/2023,$19.64,"1,283,749",$19.87,$19.90,$19.45
11/20/2023,$20.07,"941,765",$19.89,$20.07,$19.65
11/17/2023,$19.98,"834,688",$20.07,$20.17,$19.81
11/16/2023,$19.79,"1,095,510",$20.29,$20.37,$19.74
11/15/2023,$20.36,"1,823,557",$20.13,$21.055,$20.085
11/14/2023,$20.18,"1,865,979",$19.23,$20.485,$19.20
11/13/2023,$18.32,"1,220,213",$18.33,$18.375,$17.85
11/10/2023,$18.57,"1,392,410",$18.60,$18.63,$18.24
11/09/2023,$18.46,"1,663,473",$19.24,$19.25,$18.275
11/08/2023,$19.09,"1,339,904",$19.29,$19.39,$18.95
11/07/2023,$19.20,"1,943,850",$19.45,$19.495,$19.145
11/06/2023,$19.59,"1,421,046",$19.70,$19.85,$19.48
11/03/2023,$19.88,"1,509,478",$19.58,$20.14,$19.52
11/02/2023,$19.08,"1,379,042",$18.51,$19.13,$18.41
11/01/2023,$17.96,"1,738,860",$17.88,$18.11,$17.59
10/31/2023,$17.87,"2,316,585",$18.15,$18.24,$17.635
10/30/2023,$17.92,"2,544,098",$18.12,$18.50,$17.625
10/27/2023,$17.88,"2,999,440",$17.40,$18.165,$17.40
10/26/2023,$17.83,"2,333,017",$17.70,$18.04,$17.67
10/25/2023,$17.61,"3,357,514",$18.08,$18.16,$17.41
10/24/2023,$18.26,"2,773,991",$18.22,$18.37,$18.09
10/23/2023,$18.10,"1,996,199",$18.24,$18.35,$18.04
10/20/2023,$18.37,"1,392,235",$18.48,$18.58,$18.30
10/19/2023,$18.34,"1,590,049",$18.81,$18.99,$18.22
10/18/2023,$18.97,"1,360,642",$19.58,$19.67,$18.96
10/17/2023,$19.83,"1,999,056",$19.11,$19.85,$19.11
10/16/2023,$19.36,"1,204,940",$19.19,$19.545,$18.98
10/13/2023,$18.96,"1,344,070",$19.48,$19.575,$18.90
10/12/2023,$19.31,"1,703,405",$19.44,$19.44,$19.045
10/11/2023,$19.60,"1,524,948",$19.25,$19.6607,$19.22
10/10/2023,$19.09,"1,424,488",$18.98,$19.31,$18.84
10/09/2023,$18.92,"1,469,652",$18.37,$19.095,$18.37
10/06/2023,$18.70,"1,542,386",$18.73,$18.95,$18.14
10/05/2023,$19.04,"1,585,824",$18.98,$19.15,$18.755
10/04/2023,$19.05,"1,981,199",$19.04,$19.21,$18.735
10/03/2023,$18.91,"2,716,975",$19.52,$19.565,$18.7816
10/02/2023,$19.99,"1,765,837",$20.35,$20.44,$19.755
09/29/2023,$20.37,"1,449,300",$20.73,$20.81,$20.25
09/28/2023,$20.33,"1,801,989",$20.12,$20.42,$19.89
09/27/2023,$19.96,"1,235,857",$20.23,$20.515,$19.84
09/26/2023,$20.10,"1,264,453",$20.27,$20.58,$19.995
09/25/2023,$20.55,"1,268,445",$20.60,$20.75,$20.33
09/22/2023,$20.73,"1,281,941",$21.07,$21.15,$20.52
09/21/2023,$20.95,"1,725,345",$22.17,$22.22,$20.87
09/20/2023,$22.35,"1,703,522",$22.70,$23.03,$22.35
09/19/2023,$22.43,"850,695",$22.39,$22.755,$22.39
09/18/2023,$22.36,"850,415",$22.66,$22.71,$22.24
09/15/2023,$22.75,"3,246,349",$22.65,$22.88,$22.44
09/14/2023,$22.59,"1,304,020",$22.25,$22.74,$22.25
