Date,Close,Volume,Open,High,Low
03/01/2024,$7.84,"4,783,771",$7.67,$7.90,$7.65
02/29/2024,$7.64,"6,640,764",$7.81,$7.92,$7.63
02/28/2024,$7.68,"3,810,344",$7.90,$7.95,$7.68
02/27/2024,$7.96,"4,278,125",$8.11,$8.14,$7.95
02/26/2024,$8.08,"3,733,760",$8.12,$8.22,$8.07
02/23/2024,$8.15,"5,893,651",$7.98,$8.19,$7.96
02/22/2024,$8.01,"5,111,409",$8.00,$8.02,$7.885
02/21/2024,$7.95,"5,389,450",$7.87,$7.96,$7.775
02/20/2024,$7.83,"4,054,083",$7.80,$8.00,$7.74
02/16/2024,$7.83,"5,922,955",$7.69,$7.87,$7.6647
02/15/2024,$7.68,"10,169,670",$7.57,$7.77,$7.57
02/14/2024,$7.57,"11,026,710",$7.65,$7.70,$7.54
02/13/2024,$7.60,"4,663,010",$7.59,$7.70,$7.51
02/12/2024,$7.79,"3,944,847",$7.64,$7.83,$7.615
02/09/2024,$7.66,"10,927,390",$7.79,$7.96,$7.56
02/08/2024,$7.98,"17,051,590",$8.63,$8.73,$7.75
02/07/2024,$8.74,"4,877,104",$8.67,$8.8092,$8.63
02/06/2024,$8.68,"4,599,980",$8.50,$8.69,$8.50
02/05/2024,$8.46,"3,469,350",$8.50,$8.53,$8.37
02/02/2024,$8.57,"5,238,150",$8.39,$8.59,$8.31
02/01/2024,$8.42,"9,310,289",$8.37,$8.47,$8.29
01/31/2024,$8.28,"5,886,973",$8.28,$8.385,$8.24
01/30/2024,$8.35,"4,593,207",$8.30,$8.39,$8.235
01/29/2024,$8.32,"5,937,191",$8.26,$8.34,$8.175
01/26/2024,$8.24,"6,357,581",$8.16,$8.3394,$8.10
01/25/2024,$8.12,"12,027,330",$7.86,$8.20,$7.77
01/24/2024,$7.74,"10,921,190",$7.64,$7.80,$7.58
01/23/2024,$7.51,"5,674,612",$7.47,$7.60,$7.405
01/22/2024,$7.43,"3,444,332",$7.47,$7.555,$7.39
01/19/2024,$7.46,"4,994,029",$7.42,$7.49,$7.31
01/18/2024,$7.41,"3,392,457",$7.49,$7.52,$7.33
01/17/2024,$7.43,"5,638,095",$7.34,$7.445,$7.25
01/16/2024,$7.41,"8,451,330",$7.78,$7.79,$7.37
01/12/2024,$7.85,"4,276,124",$7.80,$7.905,$7.755
01/11/2024,$7.83,"4,240,438",$7.86,$7.89,$7.745
01/10/2024,$7.87,"5,334,900",$7.76,$7.88,$7.68
01/09/2024,$7.80,"4,427,761",$7.72,$7.86,$7.72
01/08/2024,$7.74,"4,137,197",$7.65,$7.77,$7.63
01/05/2024,$7.68,"4,320,297",$7.37,$7.69,$7.37
01/04/2024,$7.43,"2,916,384",$7.35,$7.4873,$7.34
01/03/2024,$7.42,"4,559,535",$7.49,$7.55,$7.38
01/02/2024,$7.61,"4,621,112",$7.69,$7.77,$7.57
12/29/2023,$7.75,"4,938,070",$7.90,$7.91,$7.74
12/28/2023,$7.89,"6,053,575",$8.04,$8.10,$7.78
12/27/2023,$8.10,"2,072,452",$8.12,$8.16,$8.07
12/26/2023,$8.13,"3,229,193",$8.19,$8.27,$8.09
12/22/2023,$8.21,"5,995,020",$8.10,$8.225,$8.07
12/21/2023,$8.09,"3,772,679",$7.98,$8.09,$7.85
12/20/2023,$7.83,"6,488,718",$7.95,$8.03,$7.83
12/19/2023,$7.99,"4,235,202",$7.92,$8.00,$7.90
12/18/2023,$7.87,"4,440,722",$7.83,$7.905,$7.765
12/15/2023,$7.81,"7,975,262",$7.86,$7.96,$7.765
12/14/2023,$7.85,"10,228,790",$7.43,$7.93,$7.43
12/13/2023,$7.46,"6,134,534",$7.08,$7.47,$7.08
12/12/2023,$7.12,"1,935,002",$7.14,$7.175,$7.07
12/11/2023,$7.11,"2,321,859",$7.10,$7.215,$7.06
12/08/2023,$7.09,"2,712,107",$6.99,$7.12,$6.94
12/07/2023,$7.00,"2,859,364",$6.98,$7.02,$6.90
12/06/2023,$6.99,"3,180,877",$7.03,$7.10,$6.99
12/05/2023,$6.95,"4,090,809",$6.95,$7.02,$6.84
12/04/2023,$7.04,"3,658,470",$7.12,$7.175,$6.99
12/01/2023,$7.20,"6,549,817",$6.96,$7.21,$6.8719
11/30/2023,$6.91,"6,304,524",$6.93,$7.00,$6.775
11/29/2023,$6.93,"5,661,586",$6.80,$6.96,$6.72
11/28/2023,$6.77,"5,010,150",$6.65,$6.90,$6.65
11/27/2023,$6.70,"9,764,016",$6.79,$6.89,$6.67
11/24/2023,$6.72,"3,554,262",$6.83,$6.85,$6.68
11/22/2023,$6.76,"3,205,859",$6.87,$6.91,$6.75
11/21/2023,$6.82,"5,537,890",$6.81,$6.93,$6.705
11/20/2023,$6.73,"6,634,487",$6.92,$6.92,$6.55
11/17/2023,$6.98,"2,871,062",$6.88,$7.075,$6.88
11/16/2023,$6.88,"4,318,612",$7.00,$7.08,$6.85
11/15/2023,$7.00,"3,683,059",$7.12,$7.17,$6.97
11/14/2023,$7.09,"4,531,560",$7.01,$7.1656,$7.00
11/13/2023,$6.84,"2,377,760",$6.90,$6.97,$6.84
11/10/2023,$6.94,"2,481,574",$6.89,$6.96,$6.835
11/09/2023,$6.82,"6,462,788",$6.97,$7.06,$6.82
11/08/2023,$6.88,"6,124,465",$6.79,$6.925,$6.76
11/07/2023,$6.79,"5,333,739",$6.66,$6.825,$6.6409
11/06/2023,$6.71,"7,053,424",$6.69,$6.76,$6.64
11/03/2023,$6.69,"9,051,555",$6.49,$6.755,$6.42
11/02/2023,$6.43,"6,169,215",$6.25,$6.50,$6.24
11/01/2023,$6.14,"6,789,385",$6.00,$6.17,$5.99
10/31/2023,$5.97,"3,796,856",$5.97,$6.08,$5.90
10/30/2023,$5.94,"4,909,447",$6.00,$6.065,$5.865
10/27/2023,$5.95,"4,832,908",$6.19,$6.29,$5.92
10/26/2023,$6.20,"12,657,060",$5.985,$6.345,$5.985
10/25/2023,$6.00,"6,252,105",$5.88,$6.06,$5.855
10/24/2023,$5.94,"3,089,543",$6.04,$6.06,$5.91
10/23/2023,$5.94,"5,931,506",$5.93,$6.04,$5.885
10/20/2023,$6.00,"3,506,969",$5.93,$6.065,$5.93
10/19/2023,$6.03,"4,097,434",$6.14,$6.19,$6.015
10/18/2023,$6.09,"5,153,969",$6.29,$6.31,$6.025
10/17/2023,$6.37,"4,343,871",$6.37,$6.4162,$6.29
10/16/2023,$6.45,"7,729,039",$6.26,$6.64,$6.22
10/13/2023,$6.16,"4,145,191",$6.22,$6.30,$6.12
10/12/2023,$6.17,"7,204,962",$6.33,$6.42,$6.10
10/11/2023,$6.41,"12,953,360",$6.14,$6.43,$6.11
10/10/2023,$6.07,"9,891,893",$5.98,$6.12,$5.89
10/09/2023,$5.89,"9,504,281",$5.76,$5.915,$5.67
10/06/2023,$5.81,"14,685,050",$5.84,$6.01,$5.81
10/05/2023,$5.86,"18,093,680",$6.22,$6.22,$5.73
10/04/2023,$6.25,"8,217,120",$6.14,$6.25,$6.07
10/03/2023,$6.14,"8,106,967",$6.41,$6.455,$6.105
10/02/2023,$6.45,"4,841,065",$6.52,$6.605,$6.39
09/29/2023,$6.50,"4,856,008",$6.71,$6.78,$6.485
09/28/2023,$6.63,"8,347,036",$6.56,$6.65,$6.52
09/27/2023,$6.55,"8,609,367",$6.58,$6.66,$6.47
09/26/2023,$6.54,"7,183,207",$6.58,$6.67,$6.52
09/25/2023,$6.66,"16,253,470",$6.67,$6.79,$6.63
09/22/2023,$6.68,"7,316,057",$6.80,$6.905,$6.67
09/21/2023,$6.80,"11,438,790",$7.03,$7.06,$6.695
09/20/2023,$7.12,"6,651,030",$7.14,$7.25,$7.11
09/19/2023,$7.12,"7,629,379",$6.94,$7.20,$6.83
09/18/2023,$6.94,"6,418,580",$6.81,$6.955,$6.79
09/15/2023,$6.82,"10,250,100",$6.85,$6.87,$6.71
09/14/2023,$6.85,"20,545,670",$6.93,$6.95,$6.80
09/13/2023,$6.89,"6,850,496",$7.00,$7.025,$6.88
09/12/2023,$6.95,"16,407,730",$6.99,$7.05,$6.91
09/11/2023,$7.05,"9,374,627",$7.30,$7.38,$7.03
09/08/2023,$7.19,"13,193,720",$7.35,$7.48,$7.18
09/07/2023,$7.38,"10,229,040",$7.52,$7.59,$7.37
09/06/2023,$7.59,"8,098,934",$7.74,$7.795,$7.53
09/05/2023,$7.74,"6,822,717",$8.07,$8.08,$7.715
09/01/2023,$8.07,"6,765,026",$8.22,$8.26,$8.00
08/31/2023,$7.97,"11,115,500",$8.34,$8.385,$7.91
08/30/2023,$8.31,"10,379,120",$8.41,$8.46,$8.30
08/29/2023,$8.37,"4,652,056",$8.21,$8.37,$8.07
08/28/2023,$8.27,"3,392,229",$8.17,$8.30,$8.17
08/25/2023,$8.15,"4,742,619",$8.06,$8.19,$7.885
08/24/2023,$8.01,"4,629,512",$8.05,$8.20,$7.975
08/23/2023,$8.14,"5,698,827",$8.10,$8.25,$8.09
08/22/2023,$8.06,"4,396,901",$8.00,$8.085,$7.901
08/21/2023,$7.96,"4,742,089",$7.84,$7.97,$7.74
08/18/2023,$7.80,"7,009,315",$7.63,$7.89,$7.55
08/17/2023,$7.69,"8,126,422",$8.13,$8.18,$7.68
08/16/2023,$8.07,"7,857,760",$7.93,$8.19,$7.93
08/15/2023,$8.00,"4,637,238",$7.89,$8.01,$7.8625
08/14/2023,$7.97,"6,368,844",$7.76,$7.98,$7.645
08/11/2023,$7.78,"5,666,163",$7.79,$7.925,$7.70
08/10/2023,$7.84,"6,169,356",$7.95,$8.02,$7.78
08/09/2023,$7.93,"8,240,049",$7.91,$8.00,$7.84
08/08/2023,$7.92,"4,898,693",$7.73,$7.93,$7.64
08/07/2023,$7.87,"6,771,977",$7.73,$7.89,$7.63
08/04/2023,$7.66,"9,160,644",$7.59,$7.72,$7.49
08/03/2023,$7.50,"5,677,542",$7.48,$7.54,$7.37
08/02/2023,$7.56,"5,864,877",$7.56,$7.60,$7.48
08/01/2023,$7.64,"6,170,969",$7.51,$7.68,$7.46
07/31/2023,$7.62,"7,396,752",$7.67,$7.745,$7.52
07/28/2023,$7.67,"8,695,661",$7.78,$7.82,$7.57
07/27/2023,$7.52,"21,784,690",$7.75,$8.17,$7.51
07/26/2023,$7.54,"7,027,389",$7.43,$7.64,$7.43
07/25/2023,$7.44,"4,478,361",$7.38,$7.47,$7.32
07/24/2023,$7.38,"4,062,621",$7.45,$7.45,$7.285
07/21/2023,$7.41,"3,693,531",$7.37,$7.47,$7.345
07/20/2023,$7.46,"6,140,001",$7.46,$7.53,$7.34
07/19/2023,$7.46,"5,245,369",$7.40,$7.46,$7.37
07/18/2023,$7.44,"3,649,238",$7.31,$7.48,$7.29
07/17/2023,$7.35,"3,198,667",$7.30,$7.40,$7.22
07/14/2023,$7.32,"5,710,411",$7.33,$7.39,$7.18
07/13/2023,$7.34,"7,654,237",$7.10,$7.40,$7.04
07/12/2023,$7.04,"7,779,448",$7.05,$7.12,$6.99
07/11/2023,$6.96,"5,864,121",$6.90,$7.00,$6.83
07/10/2023,$6.81,"4,618,179",$6.70,$6.855,$6.66
07/07/2023,$6.69,"7,275,468",$6.61,$6.77,$6.57
07/06/2023,$6.57,"6,338,497",$6.85,$6.89,$6.5501
07/05/2023,$6.97,"4,172,845",$6.98,$7.04,$6.92
07/03/2023,$7.08,"1,600,606",$7.09,$7.12,$7.02
06/30/2023,$7.08,"6,098,246",$7.07,$7.105,$7.01
06/29/2023,$6.99,"6,029,588",$6.95,$7.10,$6.948
06/28/2023,$6.96,"4,349,118",$6.99,$7.07,$6.94
06/27/2023,$7.04,"3,918,265",$6.90,$7.10,$6.865
06/26/2023,$6.89,"3,651,363",$6.92,$7.05,$6.89
06/23/2023,$6.90,"2,089,740",$6.85,$6.9286,$6.82
06/22/2023,$6.88,"2,776,225",$6.96,$6.9749,$6.835
06/21/2023,$7.01,"4,980,499",$7.01,$7.10,$6.965
06/20/2023,$7.02,"5,628,414",$7.14,$7.21,$6.97
06/16/2023,$7.20,"7,171,971",$7.26,$7.30,$7.18
06/15/2023,$7.30,"7,194,677",$7.19,$7.35,$7.19
06/14/2023,$7.26,"7,851,058",$7.17,$7.29,$7.14
06/13/2023,$7.14,"6,844,280",$6.91,$7.16,$6.85
06/12/2023,$6.90,"3,206,208",$6.95,$6.99,$6.88
06/09/2023,$6.96,"7,070,053",$6.88,$6.97,$6.81
06/08/2023,$6.87,"8,566,229",$6.85,$6.90,$6.74
06/07/2023,$6.87,"8,465,569",$6.75,$6.885,$6.71
06/06/2023,$6.72,"6,808,730",$6.36,$6.74,$6.36
06/05/2023,$6.40,"3,094,808",$6.38,$6.46,$6.34
06/02/2023,$6.37,"4,675,672",$6.145,$6.385,$6.125
06/01/2023,$6.07,"4,419,835",$6.06,$6.20,$6.025
05/31/2023,$6.00,"6,868,207",$5.97,$6.11,$5.965
05/30/2023,$6.02,"5,365,283",$6.32,$6.39,$5.955
05/26/2023,$6.30,"3,413,160",$6.29,$6.37,$6.23
05/25/2023,$6.23,"5,494,503",$6.20,$6.275,$6.14
05/24/2023,$6.17,"9,487,214",$6.20,$6.22,$6.015
05/23/2023,$6.17,"6,969,883",$6.29,$6.36,$6.13
05/22/2023,$6.34,"6,350,955",$6.45,$6.54,$6.325
05/19/2023,$6.50,"5,647,871",$6.64,$6.69,$6.485
05/18/2023,$6.59,"4,249,492",$6.61,$6.64,$6.495
05/17/2023,$6.63,"3,785,921",$6.69,$6.69,$6.55
05/16/2023,$6.61,"2,754,595",$6.55,$6.655,$6.535
05/15/2023,$6.58,"4,615,583",$6.55,$6.64,$6.50
05/12/2023,$6.61,"3,955,512",$6.68,$6.6802,$6.58
05/11/2023,$6.66,"6,550,059",$6.57,$6.70,$6.485
05/10/2023,$6.63,"4,169,609",$6.82,$6.85,$6.59
05/09/2023,$6.74,"6,918,978",$6.50,$6.765,$6.50
05/08/2023,$6.55,"5,213,881",$6.60,$6.671,$6.522
05/05/2023,$6.61,"7,453,181",$6.33,$6.61,$6.32
05/04/2023,$6.35,"8,856,284",$6.49,$6.57,$6.31
05/03/2023,$6.31,"7,384,219",$6.32,$6.45,$6.28
05/02/2023,$6.38,"25,876,860",$6.12,$6.73,$6.00
05/01/2023,$6.08,"6,663,414",$5.94,$6.10,$5.92
04/28/2023,$6.00,"9,840,352",$5.81,$6.035,$5.81
04/27/2023,$5.89,"3,293,712",$5.80,$5.91,$5.80
04/26/2023,$5.79,"9,600,563",$5.81,$5.95,$5.77
04/25/2023,$5.81,"4,876,638",$5.74,$5.83,$5.71
04/24/2023,$5.80,"3,831,133",$5.78,$5.85,$5.76
04/21/2023,$5.78,"4,868,096",$5.85,$5.875,$5.73
04/20/2023,$5.86,"4,979,599",$5.83,$5.94,$5.82
04/19/2023,$5.90,"5,929,167",$5.90,$5.92,$5.85
04/18/2023,$5.93,"6,135,198",$6.04,$6.09,$5.91
04/17/2023,$6.02,"5,357,538",$5.98,$6.04,$5.94
04/14/2023,$5.98,"7,245,114",$6.00,$6.025,$5.82
04/13/2023,$6.00,"10,824,040",$5.70,$6.04,$5.68
04/12/2023,$5.66,"8,485,479",$5.55,$5.675,$5.52
04/11/2023,$5.52,"7,154,990",$5.40,$5.555,$5.37
04/10/2023,$5.41,"3,971,710",$5.19,$5.43,$5.19
04/06/2023,$5.24,"4,197,902",$5.24,$5.26,$5.18
04/05/2023,$5.25,"11,197,010",$5.32,$5.37,$5.19
04/04/2023,$5.40,"5,014,943",$5.44,$5.46,$5.35
04/03/2023,$5.41,"4,722,686",$5.55,$5.58,$5.345
03/31/2023,$5.53,"4,152,854",$5.44,$5.535,$5.44
03/30/2023,$5.42,"5,927,620",$5.40,$5.48,$5.39
03/29/2023,$5.38,"5,155,111",$5.20,$5.39,$5.16
03/28/2023,$5.15,"4,627,574",$5.00,$5.17,$4.965
03/27/2023,$5.03,"5,262,017",$5.03,$5.11,$5.01
03/24/2023,$5.02,"11,219,810",$5.04,$5.06,$4.94
03/23/2023,$5.07,"4,801,839",$5.06,$5.20,$4.99
03/22/2023,$5.05,"6,700,850",$5.00,$5.16,$5.00
03/21/2023,$5.01,"3,510,683",$4.94,$5.02,$4.925
03/20/2023,$4.86,"3,039,458",$4.91,$4.96,$4.80
03/17/2023,$4.83,"6,954,789",$4.89,$4.96,$4.76
03/16/2023,$4.98,"5,306,064",$4.82,$5.045,$4.80
03/15/2023,$4.87,"14,455,740",$4.94,$5.025,$4.72
03/14/2023,$5.09,"5,816,426",$5.19,$5.235,$5.02
03/13/2023,$5.00,"16,406,140",$4.92,$5.085,$4.86
03/10/2023,$5.02,"11,219,800",$5.20,$5.20,$4.975
03/09/2023,$5.23,"5,264,496",$5.39,$5.47,$5.19
03/08/2023,$5.38,"4,620,790",$5.32,$5.54,$5.32
03/07/2023,$5.32,"7,178,353",$5.56,$5.565,$5.31
03/06/2023,$5.55,"3,280,358",$5.67,$5.67,$5.5105
03/03/2023,$5.67,"10,147,040",$5.41,$5.7051,$5.41
03/02/2023,$5.43,"12,340,370",$5.18,$5.45,$5.125
03/01/2023,$5.19,"21,515,150",$4.99,$5.23,$4.99
02/28/2023,$4.98,"6,563,217",$4.95,$5.02,$4.90
02/27/2023,$4.90,"2,143,084",$4.90,$4.95,$4.865
02/24/2023,$4.85,"3,282,788",$4.81,$4.90,$4.80
02/23/2023,$4.93,"3,868,091",$4.93,$4.9999,$4.86
02/22/2023,$4.93,"5,605,009",$4.97,$5.00,$4.885
02/21/2023,$4.97,"3,791,512",$5.09,$5.135,$4.95
02/17/2023,$5.14,"7,820,532",$5.16,$5.22,$5.10
02/16/2023,$5.18,"16,709,570",$5.26,$5.31,$5.14
02/15/2023,$5.31,"5,392,156",$5.21,$5.31,$5.19
02/14/2023,$5.25,"8,053,072",$5.20,$5.4078,$5.20
02/13/2023,$5.26,"12,308,560",$5.07,$5.285,$4.94
02/10/2023,$5.20,"6,055,170",$5.22,$5.29,$5.15
02/09/2023,$5.26,"2,807,020",$5.31,$5.37,$5.25
02/08/2023,$5.26,"6,104,385",$5.27,$5.315,$5.2105
02/07/2023,$5.28,"6,058,552",$5.34,$5.40,$5.225
02/06/2023,$5.35,"2,525,844",$5.35,$5.38,$5.31
02/03/2023,$5.43,"5,347,846",$5.37,$5.53,$5.34
02/02/2023,$5.52,"10,893,790",$5.55,$5.665,$5.4901
02/01/2023,$5.51,"5,064,325",$5.34,$5.52,$5.305
01/31/2023,$5.34,"6,805,690",$5.30,$5.35,$5.28
01/30/2023,$5.29,"5,408,977",$5.32,$5.35,$5.24
01/27/2023,$5.37,"5,858,234",$5.35,$5.40,$5.27
01/26/2023,$5.32,"6,606,635",$5.15,$5.32,$5.08
01/25/2023,$5.08,"2,827,535",$4.99,$5.08,$4.95
01/24/2023,$5.02,"2,267,071",$4.95,$5.065,$4.91
01/23/2023,$4.99,"3,059,240",$4.99,$5.06,$4.98
01/20/2023,$4.99,"4,888,593",$4.87,$5.00,$4.83
01/19/2023,$4.85,"4,009,688",$4.88,$4.95,$4.81
01/18/2023,$4.88,"3,899,007",$5.02,$5.08,$4.88
01/17/2023,$4.99,"4,936,521",$5.00,$5.02,$4.91
01/13/2023,$4.98,"5,614,606",$5.00,$5.04,$4.93
01/12/2023,$5.04,"10,246,250",$4.98,$5.155,$4.96
01/11/2023,$4.94,"12,590,100",$4.54,$4.94,$4.51
01/10/2023,$4.51,"7,592,195",$4.44,$4.52,$4.43
01/09/2023,$4.48,"8,540,477",$4.61,$4.71,$4.47
01/06/2023,$4.59,"4,493,117",$4.45,$4.62,$4.41
01/05/2023,$4.39,"3,423,886",$4.33,$4.46,$4.31
01/04/2023,$4.38,"5,794,346",$4.18,$4.425,$4.15
01/03/2023,$4.12,"2,342,888",$4.16,$4.19,$4.075
12/30/2022,$4.05,"3,842,929",$4.10,$4.135,$4.025
12/29/2022,$4.15,"2,232,257",$4.12,$4.21,$4.11
12/28/2022,$4.11,"2,250,794",$4.15,$4.21,$4.10
12/27/2022,$4.16,"3,043,168",$4.22,$4.275,$4.145
12/23/2022,$4.24,"2,995,693",$4.11,$4.255,$4.11
12/22/2022,$4.13,"2,052,718",$4.14,$4.17,$4.06
12/21/2022,$4.19,"2,561,227",$4.12,$4.20,$4.09
12/20/2022,$4.08,"2,612,818",$4.07,$4.115,$4.04
12/19/2022,$4.06,"3,326,751",$4.03,$4.095,$4.01
12/16/2022,$4.03,"8,514,798",$4.00,$4.07,$3.98
12/15/2022,$4.02,"5,265,335",$4.08,$4.14,$4.01
12/14/2022,$4.18,"9,048,309",$4.15,$4.21,$4.12
12/13/2022,$4.18,"9,665,812",$4.33,$4.35,$4.15
12/12/2022,$4.14,"4,072,065",$4.15,$4.17,$4.055
12/09/2022,$4.17,"3,151,043",$4.21,$4.255,$4.16
12/08/2022,$4.21,"4,812,098",$4.19,$4.29,$4.19
12/07/2022,$4.20,"2,738,164",$4.22,$4.318,$4.18
12/06/2022,$4.24,"6,162,164",$4.23,$4.275,$4.17
12/05/2022,$4.19,"3,162,592",$4.34,$4.35,$4.175
12/02/2022,$4.38,"2,478,026",$4.42,$4.48,$4.37
12/01/2022,$4.49,"4,533,440",$4.57,$4.605,$4.49
11/30/2022,$4.57,"4,649,163",$4.40,$4.58,$4.35
11/29/2022,$4.39,"1,977,991",$4.46,$4.51,$4.385
11/28/2022,$4.43,"3,048,028",$4.50,$4.55,$4.405
11/25/2022,$4.54,"1,050,381",$4.54,$4.58,$4.52
11/23/2022,$4.57,"4,099,811",$4.46,$4.605,$4.41
11/22/2022,$4.47,"1,603,963",$4.45,$4.49,$4.41
11/21/2022,$4.40,"1,655,428",$4.43,$4.46,$4.365
11/18/2022,$4.50,"2,149,110",$4.55,$4.55,$4.47
11/17/2022,$4.50,"6,641,993",$4.46,$4.53,$4.45
11/16/2022,$4.59,"5,424,111",$4.46,$4.595,$4.44
11/15/2022,$4.49,"5,349,142",$4.60,$4.64,$4.46
11/14/2022,$4.48,"7,726,491",$4.55,$4.56,$4.47
11/11/2022,$4.57,"6,482,505",$4.42,$4.595,$4.37
11/10/2022,$4.38,"4,969,940",$4.22,$4.42,$4.12
11/09/2022,$4.02,"2,893,264",$4.05,$4.12,$4.02
11/08/2022,$4.10,"4,294,152",$4.06,$4.165,$4.01
11/07/2022,$4.03,"3,527,658",$4.08,$4.10,$4.015
11/04/2022,$4.04,"4,101,644",$3.83,$4.04,$3.83
11/03/2022,$3.74,"5,473,409",$3.69,$3.78,$3.62
11/02/2022,$3.71,"3,029,879",$3.90,$3.92,$3.69
11/01/2022,$3.93,"4,583,242",$3.92,$3.99,$3.81
10/31/2022,$3.86,"5,938,646",$3.66,$3.88,$3.66
10/28/2022,$3.76,"3,983,007",$3.50,$3.76,$3.50
10/27/2022,$3.53,"10,731,990",$3.50,$3.68,$3.40
10/26/2022,$3.70,"4,622,064",$3.60,$3.71,$3.60
10/25/2022,$3.61,"4,749,027",$3.48,$3.65,$3.47
10/24/2022,$3.52,"3,123,024",$3.50,$3.53,$3.44
10/21/2022,$3.50,"3,042,458",$3.36,$3.51,$3.34
10/20/2022,$3.38,"2,675,322",$3.36,$3.465,$3.35
10/19/2022,$3.35,"3,694,460",$3.42,$3.47,$3.325
10/18/2022,$3.46,"4,200,827",$3.55,$3.57,$3.43
10/17/2022,$3.44,"5,954,384",$3.27,$3.49,$3.27
10/14/2022,$3.20,"5,106,424",$3.35,$3.39,$3.20
10/13/2022,$3.35,"8,676,039",$3.31,$3.45,$3.255
10/12/2022,$3.39,"3,469,651",$3.37,$3.44,$3.31
10/11/2022,$3.38,"5,411,075",$3.40,$3.44,$3.34
10/10/2022,$3.43,"2,350,503",$3.55,$3.56,$3.43
10/07/2022,$3.54,"2,608,344",$3.55,$3.61,$3.505
10/06/2022,$3.59,"1,951,541",$3.58,$3.66,$3.56
10/05/2022,$3.61,"3,085,951",$3.65,$3.68,$3.565
10/04/2022,$3.73,"5,032,376",$3.56,$3.73,$3.52
10/03/2022,$3.48,"3,888,904",$3.44,$3.54,$3.375
09/30/2022,$3.43,"3,461,224",$3.42,$3.46,$3.37
09/29/2022,$3.40,"4,150,023",$3.34,$3.405,$3.27
09/28/2022,$3.40,"5,061,049",$3.28,$3.41,$3.27
09/27/2022,$3.28,"5,126,545",$3.34,$3.41,$3.24
09/26/2022,$3.30,"4,544,983",$3.40,$3.46,$3.28
09/23/2022,$3.44,"3,222,361",$3.44,$3.47,$3.35
09/22/2022,$3.50,"4,352,789",$3.57,$3.61,$3.46
09/21/2022,$3.60,"4,177,061",$3.64,$3.71,$3.565
09/20/2022,$3.56,"4,401,976",$3.64,$3.6601,$3.52
09/19/2022,$3.71,"3,577,680",$3.60,$3.73,$3.60
09/16/2022,$3.64,"3,744,168",$3.63,$3.64,$3.55
09/15/2022,$3.65,"6,060,314",$3.80,$3.89,$3.615
09/14/2022,$3.82,"5,483,300",$3.90,$3.90,$3.79
09/13/2022,$3.88,"3,265,146",$3.92,$3.965,$3.84
09/12/2022,$4.04,"1,780,952",$4.01,$4.07,$3.98
09/09/2022,$3.96,"1,892,644",$3.88,$3.97,$3.86
09/08/2022,$3.82,"2,214,993",$3.80,$3.8375,$3.72
09/07/2022,$3.84,"5,973,699",$3.76,$3.86,$3.76
