Date,Close,Volume,Open,High,Low
03/01/2024,$8.78,"601,877",$8.72,$9.025,$8.69
02/29/2024,$8.68,"1,282,490",$8.90,$9.44,$8.55
02/28/2024,$8.80,"1,835,094",$7.55,$9.25,$7.3819
02/27/2024,$8.13,"1,081,648",$8.50,$8.64,$8.12
02/26/2024,$8.48,"844,346",$8.34,$8.59,$8.31
02/23/2024,$8.30,"710,371",$8.01,$8.35,$8.01
02/22/2024,$8.01,"625,771",$7.90,$8.075,$7.75
02/21/2024,$7.85,"467,986",$7.58,$7.89,$7.50
02/20/2024,$7.58,"509,905",$7.67,$7.70,$7.495
02/16/2024,$7.71,"467,262",$7.84,$7.92,$7.685
02/15/2024,$7.79,"461,217",$7.68,$7.79,$7.495
02/14/2024,$7.64,"493,778",$7.47,$7.65,$7.32
02/13/2024,$7.42,"436,255",$7.60,$7.675,$7.395
02/12/2024,$7.81,"377,746",$7.59,$7.90,$7.59
02/09/2024,$7.60,"413,635",$7.51,$7.6388,$7.46
02/08/2024,$7.52,"473,642",$7.36,$7.60,$7.36
02/07/2024,$7.35,"469,235",$7.29,$7.45,$7.20
02/06/2024,$7.27,"426,313",$7.54,$7.54,$7.20
02/05/2024,$7.52,"524,814",$7.58,$7.60,$7.40
02/02/2024,$7.69,"305,535",$7.80,$7.8116,$7.61
02/01/2024,$7.81,"276,358",$7.64,$7.84,$7.64
01/31/2024,$7.58,"472,939",$7.96,$7.96,$7.58
01/30/2024,$7.82,"264,688",$7.94,$7.96,$7.725
01/29/2024,$7.96,"478,067",$8.08,$8.135,$7.875
01/26/2024,$8.00,"442,553",$8.26,$8.35,$7.92
01/25/2024,$8.26,"468,068",$8.00,$8.27,$8.00
01/24/2024,$7.87,"563,527",$7.74,$7.88,$7.68
01/23/2024,$7.67,"538,366",$7.52,$7.82,$7.48
01/22/2024,$7.47,"1,052,989",$7.66,$7.75,$7.39
01/19/2024,$7.66,"1,121,709",$8.11,$8.15,$7.5801
01/18/2024,$8.05,"499,934",$7.85,$8.07,$7.73
01/17/2024,$7.77,"412,563",$7.81,$7.90,$7.65
01/16/2024,$7.92,"416,631",$8.04,$8.089,$7.88
01/12/2024,$8.04,"411,071",$8.18,$8.349,$8.00
01/11/2024,$8.09,"928,853",$8.01,$8.155,$7.915
01/10/2024,$8.00,"751,210",$7.88,$8.11,$7.81
01/09/2024,$7.89,"688,333",$7.94,$8.06,$7.88
01/08/2024,$8.13,"516,177",$7.93,$8.13,$7.90
01/05/2024,$7.93,"726,315",$7.90,$7.99,$7.75
01/04/2024,$7.95,"693,930",$8.61,$8.70,$7.95
01/03/2024,$8.63,"667,186",$8.55,$8.9121,$8.54
01/02/2024,$8.54,"1,040,806",$8.36,$8.79,$8.26
12/29/2023,$8.48,"1,043,928",$8.44,$8.61,$8.36
12/28/2023,$8.42,"387,627",$8.41,$8.44,$8.25
12/27/2023,$8.41,"502,704",$8.68,$8.715,$8.37
12/26/2023,$8.69,"433,646",$8.58,$8.7257,$8.51
12/22/2023,$8.57,"689,803",$8.68,$8.74,$8.46
12/21/2023,$8.68,"396,247",$8.69,$8.86,$8.63
12/20/2023,$8.60,"457,700",$8.56,$8.855,$8.5483
12/19/2023,$8.61,"546,676",$8.43,$8.625,$8.39
12/18/2023,$8.39,"626,063",$8.48,$8.57,$8.35
12/15/2023,$8.43,"1,061,093",$8.52,$8.52,$8.28
12/14/2023,$8.41,"1,017,812",$8.48,$8.66,$8.23
12/13/2023,$8.43,"741,379",$8.21,$8.595,$8.18
12/12/2023,$8.24,"686,178",$8.30,$8.42,$8.12
12/11/2023,$8.30,"880,126",$8.39,$8.50,$8.285
12/08/2023,$8.43,"997,680",$8.44,$8.80,$8.37
12/07/2023,$8.44,"901,676",$8.57,$8.57,$8.2621
12/06/2023,$8.56,"1,218,569",$8.80,$8.85,$7.9401
12/05/2023,$8.80,"2,171,605",$9.03,$10.03,$8.75
12/04/2023,$10.25,"1,034,419",$10.88,$10.93,$10.18
12/01/2023,$10.87,"657,731",$10.43,$10.965,$10.28
11/30/2023,$10.43,"883,375",$10.91,$10.91,$10.10
11/29/2023,$10.87,"546,206",$11.35,$11.45,$10.85
11/28/2023,$11.27,"624,964",$11.77,$11.77,$11.23
11/27/2023,$11.76,"693,184",$12.17,$12.42,$11.74
11/24/2023,$12.17,"284,585",$11.93,$12.23,$11.88
11/22/2023,$11.91,"525,454",$11.81,$12.01,$11.75
11/21/2023,$11.74,"628,709",$11.41,$11.75,$11.27
