Date,Close,Volume,Open,High,Low
03/01/2024,$48.50,"83,638",$48.07,$48.59,$47.53
02/29/2024,$47.72,"100,550",$48.81,$48.81,$47.71
02/28/2024,$48.38,"100,791",$48.29,$48.82,$48.25
02/27/2024,$48.28,"67,639",$48.71,$48.97,$48.23
02/26/2024,$48.73,"98,614",$48.66,$49.2436,$48.38
02/23/2024,$48.82,"50,218",$48.72,$49.46,$48.63
02/22/2024,$48.92,"70,927",$49.18,$49.18,$48.46
02/21/2024,$49.37,"69,154",$48.56,$49.41,$48.56
02/20/2024,$48.82,"91,931",$48.63,$49.49,$48.63
02/16/2024,$49.13,"169,758",$51.00,$51.00,$48.85
02/15/2024,$51.60,"90,853",$51.07,$51.60,$50.39
02/14/2024,$50.77,"90,160",$50.00,$50.84,$49.69
02/13/2024,$49.50,"115,788",$50.12,$50.5567,$49.02
02/12/2024,$50.92,"67,645",$50.12,$51.40,$50.12
02/09/2024,$50.22,"52,464",$49.69,$50.24,$49.40
02/08/2024,$49.58,"71,803",$48.84,$49.625,$48.7001
02/07/2024,$48.89,"63,836",$49.48,$49.51,$48.89
02/06/2024,$49.41,"97,577",$48.80,$49.4165,$48.72
02/05/2024,$48.97,"74,562",$49.80,$49.80,$48.58
02/02/2024,$50.33,"65,934",$49.86,$50.41,$49.75
02/01/2024,$50.35,"102,667",$49.35,$50.35,$49.125
01/31/2024,$49.35,"248,421",$49.68,$50.75,$49.12
01/30/2024,$49.51,"300,878",$49.75,$50.13,$49.365
01/29/2024,$49.53,"305,926",$50.83,$50.97,$49.46
01/26/2024,$50.64,"56,348",$51.36,$51.50,$50.555
01/25/2024,$51.04,"97,106",$51.02,$51.10,$50.43
01/24/2024,$50.57,"58,143",$50.99,$51.035,$50.36
01/23/2024,$50.53,"101,971",$51.08,$51.53,$50.49
01/22/2024,$50.68,"131,905",$49.66,$50.78,$49.66
01/19/2024,$49.19,"127,760",$50.22,$50.22,$48.97
01/18/2024,$49.82,"48,006",$49.27,$49.83,$48.945
01/17/2024,$49.14,"87,144",$48.63,$49.22,$48.63
01/16/2024,$49.10,"122,239",$49.96,$50.39,$48.96
01/12/2024,$50.21,"72,385",$50.08,$50.24,$49.74
01/11/2024,$49.59,"96,962",$49.76,$49.97,$49.3225
01/10/2024,$49.90,"109,574",$49.65,$49.94,$48.82
01/09/2024,$48.58,"166,726",$49.35,$49.35,$48.225
01/08/2024,$49.69,"197,774",$51.14,$51.14,$48.02
01/05/2024,$51.63,"69,617",$51.57,$52.00,$51.46
01/04/2024,$51.66,"120,809",$51.57,$52.05,$51.41
01/03/2024,$51.23,"86,847",$52.15,$52.3772,$51.21
01/02/2024,$52.26,"60,658",$51.90,$52.71,$51.81
12/29/2023,$52.06,"42,011",$52.41,$52.715,$52.04
12/28/2023,$52.36,"32,557",$52.07,$52.405,$51.98
12/27/2023,$52.38,"23,300",$52.37,$52.80,$52.18
12/26/2023,$52.37,"39,715",$52.05,$52.40,$51.80
12/22/2023,$51.75,"57,934",$52.05,$52.31,$51.56
12/21/2023,$51.59,"52,150",$51.53,$51.67,$51.13
12/20/2023,$51.21,"72,969",$51.95,$52.696,$51.13
12/19/2023,$51.88,"62,173",$51.49,$52.3415,$51.335
12/18/2023,$51.51,"65,542",$51.34,$52.18,$51.01
12/15/2023,$50.91,"559,773",$51.51,$52.56,$50.67
12/14/2023,$52.24,"124,437",$53.27,$53.85,$51.98
12/13/2023,$53.10,"103,317",$52.08,$53.325,$51.81
12/12/2023,$51.71,"67,370",$52.21,$52.53,$51.49
12/11/2023,$52.18,"65,622",$51.78,$52.56,$51.58
12/08/2023,$51.77,"61,857",$51.18,$51.90,$50.81
12/07/2023,$51.29,"71,109",$50.51,$51.485,$48.3101
12/06/2023,$50.73,"106,914",$51.82,$52.71,$50.63
12/05/2023,$51.88,"75,461",$51.83,$52.25,$51.57
12/04/2023,$51.82,"65,161",$50.53,$51.97,$50.53
12/01/2023,$50.83,"79,231",$50.06,$51.37,$50.06
11/30/2023,$50.38,"62,359",$49.88,$50.73,$49.49
11/29/2023,$49.69,"48,723",$49.46,$49.92,$49.46
11/28/2023,$49.50,"38,777",$49.95,$49.95,$49.076
11/27/2023,$49.95,"65,937",$50.11,$50.36,$49.2735
11/24/2023,$50.58,"24,387",$49.28,$50.58,$49.28
11/22/2023,$49.62,"34,461",$49.60,$50.09,$48.95
11/21/2023,$49.79,"28,020",$49.64,$50.07,$49.60
11/20/2023,$49.81,"43,101",$49.54,$49.93,$48.96
11/17/2023,$49.32,"92,052",$49.30,$49.482,$48.785
11/16/2023,$48.76,"144,985",$49.46,$49.46,$48.52
11/15/2023,$49.24,"146,703",$50.49,$50.58,$49.12
11/14/2023,$50.49,"94,358",$50.32,$50.805,$49.691
11/13/2023,$49.88,"109,802",$47.98,$50.30,$47.27
11/10/2023,$47.77,"170,598",$47.50,$47.99,$46.79
11/09/2023,$47.27,"100,410",$49.65,$49.65,$47.18
11/08/2023,$49.62,"143,980",$51.73,$51.78,$49.21
11/07/2023,$47.48,"76,981",$47.08,$47.665,$47.00
11/06/2023,$47.46,"57,789",$48.28,$48.28,$47.38
11/03/2023,$48.50,"72,811",$48.82,$49.04,$48.25
11/02/2023,$48.17,"74,258",$47.76,$48.20,$47.33
11/01/2023,$47.76,"96,362",$47.84,$47.85,$46.79
10/31/2023,$47.84,"41,915",$47.00,$47.84,$46.94
10/30/2023,$46.99,"62,927",$47.05,$47.24,$46.60
10/27/2023,$46.81,"54,589",$47.54,$47.54,$46.25
10/26/2023,$47.76,"56,881",$47.50,$48.4465,$47.50
10/25/2023,$47.27,"95,642",$45.82,$47.35,$45.82
10/24/2023,$45.87,"167,344",$46.71,$46.93,$45.75
10/23/2023,$46.46,"76,926",$45.94,$46.68,$45.75
10/20/2023,$46.09,"82,162",$47.31,$47.31,$46.02
10/19/2023,$47.17,"40,454",$47.04,$47.60,$46.65
10/18/2023,$47.23,"41,294",$47.09,$47.77,$46.62
10/17/2023,$47.33,"66,172",$46.24,$47.82,$46.2256
10/16/2023,$46.32,"60,840",$46.30,$46.96,$46.19
10/13/2023,$46.26,"96,159",$45.69,$46.435,$45.29
10/12/2023,$45.86,"105,956",$46.27,$46.27,$44.975
10/11/2023,$45.95,"116,852",$45.63,$46.04,$45.17
10/10/2023,$45.51,"60,375",$45.17,$46.58,$45.17
10/09/2023,$45.00,"89,609",$43.87,$45.50,$43.87
10/06/2023,$43.95,"57,493",$43.26,$44.141,$43.14
10/05/2023,$43.58,"65,796",$43.15,$43.63,$43.035
10/04/2023,$43.13,"74,292",$43.31,$43.49,$42.72
10/03/2023,$43.47,"70,508",$43.63,$43.77,$43.325
10/02/2023,$43.94,"58,321",$43.41,$44.15,$43.25
09/29/2023,$43.51,"77,529",$43.98,$43.98,$43.16
09/28/2023,$43.66,"55,707",$43.22,$43.95,$42.60
09/27/2023,$43.30,"50,207",$42.46,$43.32,$42.46
09/26/2023,$42.32,"65,549",$42.93,$43.36,$42.31
09/25/2023,$43.36,"46,520",$42.63,$43.77,$42.305
09/22/2023,$42.95,"37,440",$43.97,$44.80,$42.95
09/21/2023,$44.01,"57,909",$44.19,$44.465,$43.84
09/20/2023,$44.41,"42,693",$45.39,$45.57,$44.38
09/19/2023,$45.08,"38,538",$45.30,$45.53,$45.015
09/18/2023,$45.47,"62,902",$45.03,$45.49,$44.5247
09/15/2023,$45.04,"780,519",$44.83,$45.38,$44.21
09/14/2023,$44.89,"127,138",$43.40,$45.23,$43.40
09/13/2023,$43.03,"75,531",$43.82,$44.37,$42.9701
09/12/2023,$43.86,"84,614",$43.26,$43.97,$43.26
09/11/2023,$43.32,"204,725",$43.75,$43.775,$42.93
09/08/2023,$43.37,"62,502",$44.58,$44.58,$43.37
09/07/2023,$44.47,"86,304",$45.06,$45.24,$44.19
09/06/2023,$44.97,"49,493",$45.06,$45.48,$44.73
09/05/2023,$44.88,"82,201",$45.25,$45.50,$44.82
09/01/2023,$45.34,"65,468",$45.75,$46.175,$45.25
08/31/2023,$45.47,"51,700",$44.97,$45.95,$44.97
