Date,Close,Volume,Open,High,Low
03/01/2024,$82.35,"291,709",$80.88,$82.45,$80.61
02/29/2024,$81.00,"662,444",$82.15,$82.54,$80.93
02/28/2024,$81.85,"300,382",$81.04,$81.88,$80.81
02/27/2024,$81.27,"296,228",$81.24,$81.42,$80.96
02/26/2024,$81.08,"415,976",$79.81,$81.175,$79.81
02/23/2024,$79.99,"241,830",$79.87,$80.045,$79.35
02/22/2024,$79.71,"337,940",$79.58,$80.075,$79.175
02/21/2024,$78.83,"277,955",$77.66,$78.86,$77.66
02/20/2024,$78.31,"368,178",$77.77,$78.50,$77.56
02/16/2024,$78.06,"433,479",$78.64,$79.11,$77.95
02/15/2024,$79.00,"289,234",$79.46,$79.78,$78.82
02/14/2024,$79.36,"279,060",$78.69,$79.52,$78.085
02/13/2024,$78.04,"410,427",$78.52,$78.97,$77.82
02/12/2024,$79.85,"337,474",$80.27,$80.515,$79.815
02/09/2024,$80.58,"503,526",$80.69,$81.065,$80.38
02/08/2024,$80.70,"399,860",$78.82,$80.97,$78.61
02/07/2024,$79.22,"399,987",$79.52,$79.52,$78.72
02/06/2024,$79.40,"409,299",$78.95,$79.54,$78.95
02/05/2024,$78.97,"557,822",$80.09,$80.13,$77.77
02/02/2024,$80.26,"830,000",$83.66,$83.66,$79.34
02/01/2024,$84.82,"515,234",$83.24,$84.86,$83.24
01/31/2024,$83.18,"376,983",$84.44,$84.45,$83.12
01/30/2024,$84.66,"384,866",$85.00,$85.05,$84.34
01/29/2024,$84.68,"378,794",$84.04,$84.71,$83.54
01/26/2024,$84.15,"286,721",$84.81,$84.98,$84.02
01/25/2024,$84.62,"307,117",$85.84,$85.84,$84.34
01/24/2024,$85.19,"1,387,929",$86.10,$86.37,$84.925
01/23/2024,$85.76,"569,193",$85.66,$85.82,$85.27
01/22/2024,$85.19,"435,411",$84.88,$85.59,$84.83
01/19/2024,$84.37,"337,344",$84.71,$84.965,$83.835
01/18/2024,$84.26,"575,357",$84.23,$84.26,$83.57
01/17/2024,$83.53,"437,842",$83.90,$84.00,$82.99
01/16/2024,$84.64,"322,088",$85.24,$85.40,$84.42
01/12/2024,$85.75,"348,894",$85.95,$85.98,$85.32
01/11/2024,$85.65,"569,390",$84.92,$85.79,$84.70
01/10/2024,$84.90,"469,174",$84.73,$85.00,$84.33
01/09/2024,$84.71,"429,779",$84.53,$85.08,$84.51
01/08/2024,$84.97,"471,612",$84.71,$85.0246,$84.525
01/05/2024,$84.32,"397,964",$84.28,$84.7214,$84.1803
01/04/2024,$84.55,"319,000",$84.36,$84.96,$84.19
01/03/2024,$84.58,"404,276",$85.23,$85.235,$84.16
01/02/2024,$85.72,"520,753",$85.62,$86.1225,$85.07
12/29/2023,$86.18,"314,239",$86.73,$86.78,$86.07
12/28/2023,$86.89,"315,490",$86.39,$87.12,$86.27
12/27/2023,$86.44,"294,416",$86.49,$86.80,$86.02
12/26/2023,$86.40,"309,992",$85.26,$86.82,$85.26
12/22/2023,$85.66,"491,815",$85.65,$85.8046,$85.05
12/21/2023,$85.23,"377,085",$86.37,$86.37,$84.80
12/20/2023,$85.75,"478,403",$85.17,$86.93,$85.17
12/19/2023,$85.50,"557,328",$85.89,$86.55,$85.32
12/18/2023,$85.85,"532,804",$86.56,$86.84,$85.72
12/15/2023,$87.49,"639,318",$88.29,$88.47,$87.30
12/14/2023,$88.60,"358,761",$88.01,$89.28,$88.01
12/13/2023,$88.11,"416,969",$88.75,$89.00,$87.03
12/12/2023,$88.82,"319,407",$89.31,$89.39,$88.82
12/11/2023,$89.34,"467,710",$89.46,$90.06,$88.93
12/08/2023,$89.38,"179,463",$88.03,$89.50,$88.03
12/07/2023,$88.09,"259,788",$87.82,$88.42,$87.375
12/06/2023,$87.65,"276,072",$88.00,$88.78,$87.47
12/05/2023,$87.54,"256,369",$87.26,$87.77,$87.02
12/04/2023,$87.87,"291,264",$86.46,$87.95,$86.46
12/01/2023,$87.00,"282,379",$85.95,$87.06,$85.41
11/30/2023,$86.13,"499,327",$86.15,$86.26,$85.3297
11/29/2023,$86.09,"362,961",$87.02,$87.78,$85.92
11/28/2023,$86.51,"364,873",$86.66,$87.22,$86.21
11/27/2023,$86.76,"540,535",$86.04,$86.80,$85.69
11/24/2023,$86.46,"153,433",$86.63,$86.65,$85.86
11/22/2023,$86.67,"639,759",$85.64,$87.01,$85.4055
11/21/2023,$85.00,"1,118,878",$83.66,$85.25,$83.45
11/20/2023,$83.67,"588,882",$81.57,$83.94,$81.57
11/17/2023,$81.57,"1,699,099",$80.55,$82.60,$79.01
11/16/2023,$87.77,"552,517",$87.61,$89.06,$87.33
11/15/2023,$88.66,"581,816",$88.58,$89.57,$88.35
11/14/2023,$88.52,"455,978",$87.50,$88.83,$87.29
11/13/2023,$86.68,"281,003",$87.00,$87.00,$86.18
11/10/2023,$87.12,"274,132",$85.63,$87.26,$85.08
11/09/2023,$85.56,"241,817",$86.01,$86.525,$85.15
11/08/2023,$85.85,"393,826",$86.30,$86.67,$85.81
11/07/2023,$85.96,"439,590",$85.14,$86.28,$84.74
11/06/2023,$85.10,"287,753",$84.79,$85.215,$84.30
11/03/2023,$84.73,"286,184",$83.92,$85.32,$83.92
