Date,Close,Volume,Open,High,Low
03/01/2024,$30.88,"45,710",$31.17,$31.30,$30.86
02/29/2024,$30.91,"63,074",$30.50,$30.978,$30.50
02/28/2024,$30.54,"40,000",$30.05,$30.72,$30.05
02/27/2024,$30.15,"49,370",$30.10,$30.3199,$30.00
02/26/2024,$29.90,"59,362",$30.19,$30.4102,$29.69
02/23/2024,$30.18,"39,823",$30.51,$30.7735,$30.15
02/22/2024,$30.67,"64,401",$30.91,$31.0577,$30.63
02/21/2024,$30.91,"35,477",$30.10,$30.95,$30.10
02/20/2024,$30.20,"83,257",$30.65,$30.75,$30.01
02/16/2024,$30.78,"53,284",$31.05,$31.2699,$30.71
02/15/2024,$31.14,"77,728",$30.26,$31.2548,$30.26
02/14/2024,$30.50,"51,104",$30.25,$30.50,$30.24
02/13/2024,$30.24,"43,412",$30.39,$30.4403,$30.05
02/12/2024,$30.37,"91,062",$29.99,$30.48,$29.9322
02/09/2024,$29.99,"120,602",$29.98,$30.25,$29.7985
02/08/2024,$29.94,"139,852",$29.32,$30.00,$29.24
02/07/2024,$29.57,"110,889",$29.77,$29.82,$29.40
02/06/2024,$29.77,"140,577",$29.55,$29.95,$29.37
02/05/2024,$29.47,"525,511",$31.08,$31.20,$29.01
02/02/2024,$31.00,"37,641",$31.09,$31.20,$30.7246
02/01/2024,$31.09,"112,685",$31.30,$31.5125,$30.85
01/31/2024,$31.42,"61,287",$31.80,$31.80,$31.3362
01/30/2024,$31.79,"71,004",$31.70,$31.8079,$31.30
01/29/2024,$31.70,"101,519",$32.51,$32.6199,$31.57
01/26/2024,$32.30,"147,169",$32.18,$32.61,$31.72
01/25/2024,$33.47,"188,834",$33.60,$33.60,$33.05
01/24/2024,$33.26,"136,673",$33.30,$33.48,$33.11
01/23/2024,$33.05,"113,294",$33.00,$33.33,$32.8701
01/22/2024,$32.96,"109,108",$32.85,$32.98,$32.00
01/19/2024,$32.50,"92,059",$32.53,$32.60,$32.0201
01/18/2024,$32.58,"72,592",$31.89,$32.58,$31.5065
01/17/2024,$31.68,"39,262",$31.71,$31.805,$31.37
01/16/2024,$31.71,"46,890",$31.94,$31.94,$31.35
01/12/2024,$31.81,"41,787",$31.45,$31.835,$31.4301
01/11/2024,$31.38,"38,583",$30.87,$31.41,$30.87
01/10/2024,$30.68,"57,425",$30.36,$30.8199,$30.31
01/09/2024,$30.49,"73,755",$30.80,$31.10,$30.35
01/08/2024,$30.80,"142,159",$31.05,$31.48,$30.60
01/05/2024,$31.20,"85,367",$31.50,$31.98,$31.00
01/04/2024,$31.37,"86,828",$32.17,$32.39,$31.30
01/03/2024,$31.95,"83,047",$32.31,$32.35,$31.67
01/02/2024,$32.17,"80,141",$31.95,$32.87,$31.95
12/29/2023,$31.83,"59,945",$31.97,$32.00,$31.80
12/28/2023,$31.80,"95,159",$31.73,$32.04,$31.60
12/27/2023,$31.63,"38,711",$31.94,$31.94,$31.523
12/26/2023,$31.71,"42,655",$31.64,$31.94,$31.425
12/22/2023,$31.45,"65,141",$31.99,$31.99,$31.40
12/21/2023,$31.71,"51,622",$31.45,$31.98,$31.3362
12/20/2023,$31.46,"70,607",$31.29,$31.6929,$31.1901
12/19/2023,$31.11,"50,508",$30.86,$31.31,$30.86
12/18/2023,$30.88,"57,014",$31.29,$31.42,$30.8601
