Date,Close,Volume,Open,High,Low
03/01/2024,$12.92,"11,846",$13.25,$13.25,$12.80
02/29/2024,$13.21,"7,991",$13.28,$13.3515,$12.85
02/28/2024,$13.00,"6,445",$12.95,$13.16,$12.95
02/27/2024,$12.98,"4,812",$13.01,$13.17,$12.95
02/26/2024,$13.02,"6,294",$13.10,$13.34,$12.96
02/23/2024,$13.10,"9,133",$13.325,$13.404,$13.05
02/22/2024,$13.20,"3,315",$13.30,$13.371,$13.0191
02/21/2024,$13.11,"7,783",$13.30,$13.35,$13.00
02/20/2024,$13.20,"16,041",$13.07,$13.5399,$13.07
02/16/2024,$13.20,"5,575",$13.0001,$13.32,$13.0001
02/15/2024,$13.11,"14,101",$12.91,$13.30,$12.91
02/14/2024,$13.00,"21,818",$13.13,$13.315,$12.97
02/13/2024,$13.09,"7,635",$13.07,$13.385,$13.07
02/12/2024,$13.27,"12,962",$12.98,$13.43,$12.98
02/09/2024,$13.07,"9,775",$12.85,$13.09,$12.81
02/08/2024,$12.80,"7,491",$12.76,$12.8899,$12.76
02/07/2024,$12.96,"13,315",$13.11,$13.14,$12.81
02/06/2024,$12.99,"22,799",$13.50,$13.50,$12.99
02/05/2024,$13.50,"8,957",$13.60,$13.60,$13.0409
02/02/2024,$13.67,"10,103",$14.019,$14.065,$13.51
02/01/2024,$14.24,"10,598",$14.75,$14.785,$13.89
01/31/2024,$14.51,"10,135",$14.73,$14.75,$14.16
01/30/2024,$14.80,"7,433",$14.76,$14.98,$14.75
01/29/2024,$14.90,"13,097",$15.42,$15.42,$14.79
01/26/2024,$15.42,"14,220",$15.445,$15.445,$15.25
01/25/2024,$15.25,"7,002",$15.134,$15.25,$14.9001
01/24/2024,$15.14,"4,636",$15.305,$15.305,$15.009
01/23/2024,$14.95,"7,834",$15.90,$15.90,$14.95
01/22/2024,$15.72,"8,783",$15.54,$15.92,$15.26
01/19/2024,$15.52,"5,811",$15.32,$15.74,$15.32
01/18/2024,$15.67,"6,974",$15.15,$15.67,$15.0701
01/17/2024,$14.86,"11,092",$14.58,$14.98,$14.44
01/16/2024,$14.575,"6,808",$14.79,$14.79,$14.55
01/12/2024,$14.72,"5,890",$14.86,$14.86,$14.48
01/11/2024,$14.44,"9,431",$14.475,$14.69,$14.25
