Date,Close,Volume,Open,High,Low
03/01/2024,$15.58,"336,523",$15.78,$15.78,$15.15
02/29/2024,$15.70,"669,291",$13.86,$15.89,$13.80
02/28/2024,$13.89,"172,334",$14.02,$14.2026,$13.86
02/27/2024,$14.18,"144,984",$14.37,$14.58,$14.07
02/26/2024,$14.26,"323,061",$13.95,$14.355,$13.92
02/23/2024,$13.77,"152,302",$13.50,$13.79,$13.385
02/22/2024,$13.63,"205,788",$13.83,$13.94,$13.525
02/21/2024,$13.83,"335,439",$13.67,$14.02,$13.55
02/20/2024,$13.68,"180,487",$13.63,$13.76,$13.50
02/16/2024,$13.60,"122,158",$14.00,$14.04,$13.58
02/15/2024,$14.03,"398,546",$13.69,$14.15,$13.67
02/14/2024,$13.56,"165,294",$13.85,$13.875,$13.38
02/13/2024,$13.64,"235,212",$14.04,$14.16,$13.53
02/12/2024,$14.34,"288,998",$13.97,$14.46,$13.97
02/09/2024,$13.94,"146,043",$13.92,$14.055,$13.84
02/08/2024,$13.98,"160,443",$14.15,$14.25,$13.79
02/07/2024,$14.11,"217,759",$14.27,$14.27,$13.84
02/06/2024,$14.16,"205,299",$14.40,$14.515,$14.08
02/05/2024,$14.30,"429,664",$14.61,$14.61,$14.20
02/02/2024,$14.86,"126,408",$15.33,$15.33,$14.79
02/01/2024,$15.41,"148,403",$15.44,$15.60,$15.21
01/31/2024,$15.32,"127,510",$15.61,$15.78,$15.31
01/30/2024,$15.68,"140,472",$16.05,$16.24,$15.63
01/29/2024,$16.26,"240,842",$15.67,$16.30,$15.40
01/26/2024,$15.54,"152,708",$15.55,$15.76,$15.24
01/25/2024,$15.46,"217,234",$15.66,$15.67,$15.21
01/24/2024,$15.39,"154,458",$15.50,$15.83,$15.36
01/23/2024,$15.34,"144,031",$15.51,$15.73,$15.23
01/22/2024,$15.46,"274,448",$15.01,$15.91,$14.93
01/19/2024,$14.91,"165,434",$14.75,$14.93,$14.52
01/18/2024,$14.69,"181,426",$14.49,$14.70,$14.325
01/17/2024,$14.48,"249,652",$13.81,$14.53,$13.67
01/16/2024,$14.11,"216,686",$14.71,$14.71,$14.06
01/12/2024,$14.71,"213,042",$14.48,$14.95,$14.48
01/11/2024,$14.16,"160,718",$14.45,$14.495,$14.08
01/10/2024,$14.51,"99,116",$14.77,$14.88,$14.50
01/09/2024,$14.83,"175,093",$14.88,$14.90,$14.6075
01/08/2024,$15.00,"303,374",$14.50,$15.01,$14.26
01/05/2024,$14.57,"409,038",$14.67,$14.789,$14.42
01/04/2024,$14.58,"290,475",$15.16,$15.16,$14.57
01/03/2024,$15.01,"221,801",$15.13,$15.36,$14.92
01/02/2024,$15.08,"202,477",$15.47,$15.58,$15.03
12/29/2023,$15.46,"158,854",$15.49,$15.73,$15.40
12/28/2023,$15.64,"121,879",$15.63,$15.935,$15.58
12/27/2023,$15.77,"145,603",$15.96,$15.96,$15.51
12/26/2023,$15.91,"110,698",$16.01,$16.1452,$15.865
12/22/2023,$16.08,"172,538",$15.61,$16.30,$15.60
12/21/2023,$15.50,"375,600",$15.85,$15.87,$15.49
12/20/2023,$15.75,"211,647",$16.32,$16.57,$15.71
12/19/2023,$16.35,"131,785",$16.11,$16.46,$16.08
12/18/2023,$16.08,"250,284",$16.09,$16.16,$15.78
12/15/2023,$16.01,"258,674",$16.56,$16.56,$15.86
12/14/2023,$16.29,"282,406",$16.11,$16.82,$16.11
12/13/2023,$16.59,"251,194",$15.74,$16.60,$15.5756
12/12/2023,$15.64,"154,473",$15.98,$15.98,$15.50
12/11/2023,$16.05,"139,176",$16.33,$16.47,$15.985
12/08/2023,$16.33,"115,079",$15.96,$16.38,$15.96
12/07/2023,$15.88,"132,089",$15.86,$16.15,$15.79
12/06/2023,$15.71,"234,625",$16.32,$16.63,$15.65
12/05/2023,$16.22,"281,761",$16.85,$16.97,$16.13
12/04/2023,$16.85,"213,761",$17.51,$17.54,$16.76
12/01/2023,$17.55,"178,914",$16.63,$17.57,$16.4532
11/30/2023,$16.72,"193,378",$16.80,$16.88,$16.60
11/29/2023,$16.78,"192,394",$17.02,$17.10,$16.75
11/28/2023,$16.93,"168,659",$16.81,$17.22,$16.75
11/27/2023,$17.00,"138,395",$17.24,$17.25,$16.88
11/24/2023,$17.40,"89,355",$17.08,$17.565,$17.0187
11/22/2023,$17.21,"191,143",$17.51,$17.64,$17.13
11/21/2023,$17.69,"248,340",$18.03,$18.06,$17.67
11/20/2023,$18.23,"169,734",$17.85,$18.28,$17.78
11/17/2023,$17.83,"166,435",$17.90,$17.925,$17.6516
11/16/2023,$17.70,"207,874",$18.24,$18.24,$17.65
11/15/2023,$18.26,"163,900",$18.15,$18.445,$18.0309
11/14/2023,$18.22,"255,647",$18.01,$18.24,$17.61
