Date,Close,Volume,Open,High,Low
03/01/2024,$39.65,"120,934",$39.60,$39.69,$38.48
02/29/2024,$39.92,"93,056",$40.34,$40.70,$39.60
02/28/2024,$39.50,"92,213",$39.50,$39.745,$39.41
02/27/2024,$39.85,"74,800",$40.00,$40.33,$39.50
02/26/2024,$39.66,"132,480",$40.63,$41.10,$39.64
02/23/2024,$40.83,"101,606",$40.47,$41.32,$40.04
02/22/2024,$40.50,"141,225",$40.54,$40.71,$40.08
02/21/2024,$40.74,"194,172",$40.42,$40.78,$40.09
02/20/2024,$40.42,"201,272",$40.52,$41.19,$40.28
02/16/2024,$41.02,"156,834",$40.92,$41.65,$39.97
02/15/2024,$41.32,"163,434",$40.03,$41.44,$39.995
02/14/2024,$39.66,"136,997",$39.31,$39.75,$38.87
02/13/2024,$38.78,"174,895",$39.44,$39.71,$38.36
02/12/2024,$40.76,"161,515",$39.96,$41.32,$39.96
02/09/2024,$39.91,"133,964",$39.11,$39.96,$38.77
02/08/2024,$39.39,"130,466",$39.49,$39.90,$39.13
02/07/2024,$39.65,"123,616",$39.66,$40.0534,$38.55
02/06/2024,$39.52,"149,533",$39.56,$40.06,$39.20
02/05/2024,$39.62,"131,020",$39.85,$40.11,$39.30
02/02/2024,$40.42,"181,251",$39.72,$40.575,$39.72
02/01/2024,$40.57,"165,038",$41.97,$42.01,$39.71
01/31/2024,$41.63,"153,116",$42.80,$43.26,$41.48
01/30/2024,$43.77,"168,153",$43.54,$44.16,$42.97
01/29/2024,$43.68,"171,342",$42.36,$43.70,$41.95
01/26/2024,$42.43,"109,547",$42.72,$42.735,$41.80
01/25/2024,$42.37,"262,781",$42.39,$42.39,$41.395
01/24/2024,$41.78,"249,798",$42.57,$42.78,$41.365
01/23/2024,$42.43,"343,967",$43.75,$43.75,$41.615
01/22/2024,$44.09,"101,000",$43.50,$44.10,$43.12
01/19/2024,$43.10,"93,957",$42.41,$43.10,$42.06
01/18/2024,$42.39,"93,007",$42.22,$42.47,$41.935
01/17/2024,$42.10,"166,738",$41.49,$42.21,$41.49
01/16/2024,$42.07,"142,637",$42.67,$42.9368,$42.00
01/12/2024,$43.31,"101,392",$44.26,$44.59,$42.81
01/11/2024,$43.76,"111,115",$43.82,$44.14,$43.17
01/10/2024,$44.28,"99,709",$43.87,$44.33,$43.58
01/09/2024,$44.10,"86,310",$44.30,$44.35,$44.005
01/08/2024,$44.93,"95,149",$44.30,$44.94,$44.09
01/05/2024,$44.48,"142,579",$44.07,$45.04,$43.73
01/04/2024,$44.41,"172,132",$44.12,$44.51,$44.12
01/03/2024,$43.92,"146,056",$44.92,$45.07,$43.81
01/02/2024,$45.11,"113,420",$44.23,$45.66,$44.23
12/29/2023,$44.65,"119,912",$45.46,$45.66,$44.44
12/28/2023,$45.46,"101,551",$45.43,$46.05,$45.35
12/27/2023,$45.59,"71,274",$45.69,$45.8546,$45.35
12/26/2023,$45.57,"77,831",$45.28,$45.86,$45.00
12/22/2023,$44.97,"89,148",$44.75,$45.335,$44.67
12/21/2023,$44.42,"97,779",$44.77,$44.795,$44.20
12/20/2023,$44.37,"214,742",$45.20,$46.16,$44.31
12/19/2023,$45.07,"175,705",$44.17,$45.23,$43.85
12/18/2023,$43.87,"124,645",$44.19,$44.33,$43.46
12/15/2023,$43.81,"417,876",$45.08,$45.325,$43.76
12/14/2023,$44.76,"194,196",$45.03,$46.17,$44.48
12/13/2023,$44.30,"160,336",$41.74,$44.30,$41.60
12/12/2023,$41.78,"78,738",$42.06,$42.14,$41.5775
12/11/2023,$41.90,"93,946",$41.90,$42.21,$41.63
12/08/2023,$41.90,"93,775",$41.89,$42.1668,$41.39
12/07/2023,$41.69,"155,969",$41.28,$41.75,$39.7325
12/06/2023,$41.00,"162,364",$41.08,$42.09,$40.78
12/05/2023,$40.86,"204,820",$41.06,$41.17,$40.56
12/04/2023,$41.15,"167,895",$41.10,$41.7012,$41.03
12/01/2023,$41.38,"192,255",$39.10,$41.81,$38.915
11/30/2023,$39.21,"139,094",$39.24,$39.525,$38.20
11/29/2023,$39.10,"141,097",$38.59,$39.43,$38.59
11/28/2023,$38.28,"102,086",$37.94,$38.34,$36.732
11/27/2023,$38.09,"71,777",$38.31,$38.41,$37.855
11/24/2023,$38.49,"26,990",$38.22,$38.5502,$38.17
11/22/2023,$38.32,"50,951",$38.64,$38.66,$38.12
11/21/2023,$38.14,"59,236",$39.02,$39.21,$38.105
11/20/2023,$39.05,"68,569",$39.20,$39.58,$38.55
11/17/2023,$39.29,"126,850",$39.42,$39.80,$39.08
11/16/2023,$39.00,"82,033",$39.91,$39.98,$38.93
11/15/2023,$39.81,"147,374",$39.05,$40.15,$39.05
11/14/2023,$39.22,"228,570",$37.80,$39.49,$37.73
11/13/2023,$36.44,"78,127",$35.96,$36.60,$35.76
11/10/2023,$36.21,"106,850",$36.27,$36.52,$35.89
11/09/2023,$36.13,"78,837",$36.64,$36.93,$36.01
11/08/2023,$36.57,"86,808",$36.60,$36.71,$36.185
11/07/2023,$36.65,"79,472",$36.76,$37.10,$36.18
11/06/2023,$36.92,"110,776",$37.24,$37.24,$36.58
11/03/2023,$37.27,"142,604",$36.91,$38.03,$36.78
11/02/2023,$35.98,"225,543",$34.94,$36.08,$34.94
11/01/2023,$34.79,"130,719",$34.71,$34.92,$34.26
10/31/2023,$34.77,"129,708",$34.90,$35.17,$34.38
10/30/2023,$34.99,"96,718",$35.07,$35.38,$34.78
10/27/2023,$34.61,"183,482",$35.12,$36.615,$34.07
10/26/2023,$35.21,"156,375",$33.88,$35.25,$33.27
10/25/2023,$33.75,"199,785",$33.36,$33.91,$32.97
10/24/2023,$33.59,"299,672",$33.75,$34.385,$33.09
10/23/2023,$35.69,"104,012",$35.30,$36.2899,$35.30
10/20/2023,$35.67,"146,565",$36.85,$36.95,$35.62
10/19/2023,$36.79,"87,791",$37.17,$37.55,$36.74
10/18/2023,$37.03,"118,395",$37.62,$37.74,$37.03
10/17/2023,$37.89,"150,264",$37.03,$38.36,$36.93
10/16/2023,$37.24,"119,003",$36.93,$37.46,$36.93
10/13/2023,$36.66,"87,007",$37.85,$37.85,$36.626
10/12/2023,$37.53,"81,177",$37.85,$37.85,$37.3187
10/11/2023,$37.92,"91,126",$37.75,$38.08,$37.46
10/10/2023,$37.72,"154,978",$37.53,$37.88,$37.42
10/09/2023,$37.44,"112,140",$37.46,$37.89,$37.1301
10/06/2023,$37.58,"100,881",$37.46,$38.34,$37.27
10/05/2023,$37.79,"131,839",$36.86,$37.94,$36.86
10/04/2023,$36.95,"103,462",$36.39,$36.98,$36.12
10/03/2023,$36.36,"134,183",$36.68,$36.98,$36.10
10/02/2023,$36.83,"114,037",$37.50,$37.50,$36.64
09/29/2023,$37.50,"180,262",$37.49,$37.78,$37.04
09/28/2023,$37.20,"109,813",$37.09,$37.98,$37.09
09/27/2023,$36.96,"95,345",$37.54,$37.65,$36.87
09/26/2023,$37.28,"130,010",$37.33,$38.51,$36.93
09/25/2023,$37.59,"170,131",$36.83,$37.60,$36.72
09/22/2023,$36.94,"114,964",$37.34,$37.75,$36.80
09/21/2023,$37.33,"137,748",$37.59,$37.66,$37.25
09/20/2023,$37.73,"87,102",$38.22,$38.33,$37.69
09/19/2023,$38.02,"106,973",$38.21,$39.24,$37.79
09/18/2023,$38.13,"207,940",$38.54,$38.60,$38.05
09/15/2023,$38.54,"299,897",$39.03,$39.68,$38.18
09/14/2023,$39.14,"133,915",$38.68,$39.28,$38.66
09/13/2023,$38.61,"155,318",$38.59,$39.01,$38.285
09/12/2023,$38.46,"57,168",$38.60,$38.88,$38.32
09/11/2023,$38.52,"74,712",$38.81,$39.28,$38.46
09/08/2023,$38.78,"181,271",$38.38,$38.985,$38.21
09/07/2023,$38.40,"168,599",$38.57,$38.71,$38.11
09/06/2023,$38.73,"78,999",$39.47,$39.72,$38.66
09/05/2023,$39.39,"121,609",$39.84,$39.84,$39.30
09/01/2023,$39.86,"171,722",$39.04,$39.94,$39.04
08/31/2023,$38.71,"103,718",$38.79,$39.29,$38.43
08/30/2023,$38.80,"86,633",$38.89,$39.02,$38.58
08/29/2023,$38.98,"95,735",$39.09,$39.105,$38.7201
08/28/2023,$39.01,"84,451",$39.03,$39.815,$38.97
08/25/2023,$38.92,"124,959",$39.30,$39.35,$38.39
08/24/2023,$39.21,"93,251",$39.05,$39.685,$37.85
08/23/2023,$39.24,"128,538",$38.61,$39.57,$38.60
08/22/2023,$38.70,"172,649",$39.44,$39.75,$38.275
08/21/2023,$39.55,"205,739",$40.07,$40.21,$39.50
08/18/2023,$40.03,"105,184",$39.70,$40.25,$39.50
08/17/2023,$40.00,"77,183",$40.02,$40.22,$39.83
08/16/2023,$39.95,"149,150",$39.87,$40.21,$39.69
08/15/2023,$40.05,"134,660",$40.60,$40.60,$39.80
08/14/2023,$40.94,"110,692",$41.17,$41.17,$40.73
08/11/2023,$41.45,"125,737",$40.82,$41.51,$40.79
08/10/2023,$40.99,"169,033",$41.00,$41.35,$40.75
08/09/2023,$40.77,"175,392",$40.55,$40.96,$40.2461
