Date,Close,Volume,Open,High,Low
03/01/2024,$0.15,"53,832",$0.149,$0.16,$0.1463
02/29/2024,$0.1495,"3,841",$0.1498,$0.1498,$0.135
02/28/2024,$0.15,"138,653",$0.14,$0.187,$0.13
02/27/2024,$0.13,"163,045",$0.1529,$0.1604,$0.10
02/26/2024,$0.13,"23,795",$0.1529,$0.1529,$0.13
02/23/2024,$0.14,"19,452",$0.125,$0.1529,$0.125
02/22/2024,$0.131,"19,891",$0.1212,$0.1529,$0.12
02/21/2024,$0.12,N/A,$0.12,$0.12,$0.12
02/20/2024,$0.12,"3,208",$0.1467,$0.15,$0.12
02/16/2024,$0.1074,"13,466",$0.1397,$0.153,$0.107
02/15/2024,$0.107,"29,391",$0.146,$0.15,$0.107
02/14/2024,$0.13,500,$0.138,$0.138,$0.13
02/13/2024,$0.1414,"3,045",$0.1475,$0.1475,$0.1414
02/12/2024,$0.14,"1,345",$0.1475,$0.1475,$0.1337
02/09/2024,$0.1355,"10,837",$0.1337,$0.1425,$0.1222
02/08/2024,$0.13,750,$0.13,$0.13,$0.13
02/07/2024,$0.13,N/A,$0.13,$0.13,$0.13
02/06/2024,$0.13,"23,788",$0.116,$0.135,$0.096
02/05/2024,$0.089,"9,821",$0.096,$0.096,$0.0761
02/02/2024,$0.10,"25,373",$0.1198,$0.1198,$0.095
02/01/2024,$0.1199,"22,303",$0.1287,$0.1287,$0.0923
01/31/2024,$0.0757,N/A,$0.0757,$0.0757,$0.0757
01/30/2024,$0.0757,N/A,$0.0757,$0.0757,$0.0757
01/29/2024,$0.0757,"4,135",$0.1287,$0.1287,$0.0711
01/26/2024,$0.096,"1,001",$0.096,$0.096,$0.096
01/25/2024,$0.12,"24,626",$0.068,$0.12,$0.0671
01/24/2024,$0.118,"3,000",$0.1199,$0.1199,$0.118
01/23/2024,$0.1197,293,$0.1197,$0.1197,$0.1197
01/22/2024,$0.089,220,$0.10,$0.10,$0.089
01/19/2024,$0.08,"40,020",$0.078,$0.08,$0.077
01/18/2024,$0.077,"104,069",$0.0772,$0.08,$0.0765
01/17/2024,$0.1099,"15,275",$0.0766,$0.1187,$0.0766
01/16/2024,$0.1099,"4,115",$0.10,$0.11,$0.10
01/12/2024,$0.109,N/A,$0.109,$0.109,$0.109
01/11/2024,$0.109,"2,805",$0.09,$0.109,$0.09
01/10/2024,$0.11,"2,300",$0.11,$0.11,$0.11
01/09/2024,$0.0681,"20,985",$0.135,$0.139,$0.0681
01/08/2024,$0.155,"14,600",$0.071,$0.155,$0.071
01/05/2024,$0.148,506,$0.1485,$0.15,$0.148
01/04/2024,$0.141,250,$0.141,$0.141,$0.141
01/03/2024,$0.1218,N/A,$0.1218,$0.1218,$0.1218
01/02/2024,$0.1218,"1,803",$0.13,$0.13,$0.1218
12/29/2023,$0.1475,N/A,$0.1475,$0.1475,$0.1475
12/28/2023,$0.1475,N/A,$0.1475,$0.1475,$0.1475
12/27/2023,$0.1475,"1,345",$0.15,$0.15,$0.07
12/26/2023,$0.1424,"2,800",$0.14,$0.1425,$0.1386
12/22/2023,$0.12,"4,284",$0.0998,$0.12,$0.0998
12/21/2023,$0.099,"1,268",$0.0701,$0.099,$0.0701
12/20/2023,$0.0999,"2,000",$0.0707,$0.10,$0.07
12/19/2023,$0.10,N/A,$0.10,$0.10,$0.10
12/18/2023,$0.10,"2,121",$0.075,$0.10,$0.075
12/15/2023,$0.1231,N/A,$0.1231,$0.1231,$0.1231
12/14/2023,$0.1231,N/A,$0.1231,$0.1231,$0.1231
12/13/2023,$0.1231,"1,590",$0.121,$0.1242,$0.121
12/12/2023,$0.1575,N/A,$0.1575,$0.1575,$0.1575
12/11/2023,$0.1575,650,$0.1575,$0.1575,$0.0901
12/08/2023,$0.1675,400,$0.085,$0.1675,$0.085
12/07/2023,$0.1525,N/A,$0.1525,$0.1525,$0.1525
12/06/2023,$0.1525,N/A,$0.1525,$0.1525,$0.1525
