Date,Close,Volume,Open,High,Low
03/01/2024,$1.02,"3,713,481",$0.9761,$1.04,$0.9405
02/29/2024,$0.9522,"3,550,533",$1.00,$1.03,$0.94
02/28/2024,$0.994,"2,748,181",$0.9838,$1.01,$0.9516
02/27/2024,$0.9881,"3,055,253",$1.00,$1.02,$0.96
02/26/2024,$0.9771,"4,623,852",$0.978,$1.02,$0.9495
02/23/2024,$0.9395,"4,087,625",$0.90,$0.9592,$0.862
02/22/2024,$0.9003,"5,362,453",$0.927,$0.9416,$0.8501
02/21/2024,$0.9276,"3,900,242",$0.9795,$0.98,$0.9205
02/20/2024,$0.9606,"7,107,174",$0.9589,$0.9973,$0.9408
02/16/2024,$0.955,"11,587,500",$1.03,$1.04,$0.9151
02/15/2024,$1.03,"3,288,125",$1.03,$1.06,$1.00
02/14/2024,$1.02,"5,425,760",$1.05,$1.05,$0.985
02/13/2024,$0.9881,"8,511,930",$1.08,$1.12,$0.9801
02/12/2024,$1.13,"5,029,844",$1.16,$1.21,$1.11
02/09/2024,$1.16,"3,085,999",$1.25,$1.25,$1.15
02/08/2024,$1.22,"4,999,274",$1.16,$1.25,$1.15
02/07/2024,$1.14,"3,327,319",$1.20,$1.2299,$1.13
02/06/2024,$1.18,"2,020,162",$1.17,$1.21,$1.15
02/05/2024,$1.18,"5,504,706",$1.22,$1.245,$1.13
02/02/2024,$1.21,"4,865,012",$1.23,$1.26,$1.17
02/01/2024,$1.25,"8,607,789",$1.14,$1.27,$1.10
01/31/2024,$1.11,"8,131,196",$1.14,$1.20,$1.10
01/30/2024,$1.15,"3,850,983",$1.14,$1.17,$1.08
01/29/2024,$1.14,"4,198,875",$1.05,$1.14,$1.015
01/26/2024,$1.04,"2,847,267",$1.08,$1.14,$1.03
01/25/2024,$1.08,"3,056,393",$0.9837,$1.08,$0.97
01/24/2024,$0.9912,"4,463,884",$1.10,$1.10,$0.97
01/23/2024,$1.08,"3,715,725",$1.08,$1.10,$1.04
01/22/2024,$1.05,"6,218,084",$0.9605,$1.09,$0.9325
01/19/2024,$0.922,"4,213,757",$0.8846,$0.93,$0.851
01/18/2024,$0.8876,"3,708,769",$0.92,$0.95,$0.8314
01/17/2024,$0.8881,"12,177,310",$0.8011,$0.8946,$0.7251
01/16/2024,$0.7724,"4,587,068",$0.80,$0.8099,$0.76
01/12/2024,$0.7888,"8,364,304",$0.891,$0.8977,$0.7875
01/11/2024,$0.8706,"6,951,734",$0.93,$0.93,$0.8602
01/10/2024,$0.9261,"3,853,124",$0.9635,$0.9635,$0.9105
01/09/2024,$0.95,"4,244,991",$1.00,$1.0064,$0.9303
01/08/2024,$0.9981,"4,143,009",$0.95,$0.9988,$0.91
