Date,Close,Volume,Open,High,Low
03/01/2024,$33.73,"3,033,999",$34.14,$34.24,$33.415
02/29/2024,$34.24,"4,224,941",$34.45,$34.60,$34.085
02/28/2024,$34.18,"4,265,583",$34.35,$34.8287,$34.14
02/27/2024,$34.53,"1,749,098",$34.55,$34.69,$34.40
02/26/2024,$34.45,"1,376,465",$34.72,$34.955,$34.29
02/23/2024,$34.68,"3,364,718",$34.40,$35.34,$34.3001
02/22/2024,$34.49,"1,705,426",$34.28,$34.71,$34.28
02/21/2024,$34.10,"1,286,774",$34.21,$34.34,$33.90
02/20/2024,$34.34,"2,352,881",$33.79,$34.44,$33.79
02/16/2024,$34.21,"1,768,247",$34.39,$34.595,$34.185
02/15/2024,$34.61,"2,231,827",$33.99,$34.82,$33.96
02/14/2024,$33.79,"1,878,253",$33.39,$33.875,$33.33
02/13/2024,$33.12,"3,196,589",$33.48,$33.68,$32.72
02/12/2024,$34.10,"3,182,696",$33.80,$34.53,$33.68
02/09/2024,$33.74,"2,368,515",$33.61,$33.77,$33.22
02/08/2024,$33.61,"2,780,906",$33.70,$33.84,$33.195
02/07/2024,$33.70,"6,966,754",$33.49,$34.7024,$33.12
02/06/2024,$32.74,"2,611,380",$32.79,$32.94,$32.545
02/05/2024,$32.66,"1,755,210",$32.54,$32.77,$32.21
02/02/2024,$32.84,"2,335,324",$32.26,$33.00,$32.245
02/01/2024,$32.39,"3,011,717",$32.68,$32.81,$31.76
01/31/2024,$32.69,"2,627,192",$33.08,$33.455,$32.67
01/30/2024,$33.29,"2,664,644",$32.95,$33.32,$32.86
01/29/2024,$33.30,"2,569,756",$33.10,$33.405,$32.92
01/26/2024,$33.14,"3,897,570",$33.41,$33.43,$33.08
01/25/2024,$33.32,"3,693,898",$33.45,$33.56,$33.15
01/24/2024,$33.21,"1,867,499",$33.34,$33.38,$33.04
01/23/2024,$33.02,"1,667,821",$33.50,$33.50,$32.96
01/22/2024,$33.32,"1,814,381",$33.23,$33.425,$33.155
01/19/2024,$33.04,"1,465,349",$32.53,$33.12,$32.32
01/18/2024,$32.45,"2,325,351",$32.35,$32.565,$32.125
01/17/2024,$32.25,"1,835,657",$31.91,$32.40,$31.79
01/16/2024,$32.34,"1,995,027",$32.27,$32.435,$32.095
01/12/2024,$32.66,"1,814,462",$33.00,$33.05,$32.3525
01/11/2024,$32.78,"2,296,138",$32.61,$32.82,$32.33
01/10/2024,$32.77,"2,205,718",$32.75,$32.82,$32.625
01/09/2024,$32.62,"2,349,156",$32.82,$32.93,$32.515
01/08/2024,$33.19,"3,305,354",$32.99,$33.23,$32.855
01/05/2024,$33.05,"3,953,260",$32.46,$33.21,$32.455
01/04/2024,$32.57,"3,019,096",$32.46,$33.01,$32.45
