Date,Close,Volume,Open,High,Low
03/01/2024,$13.58,"39,511",$13.51,$13.59,$13.49
02/29/2024,$13.48,"81,415",$13.55,$13.55,$13.38
02/28/2024,$13.43,"97,170",$13.41,$13.4449,$13.38
02/27/2024,$13.43,"184,214",$13.45,$13.45,$13.3601
02/26/2024,$13.37,"53,635",$13.43,$13.43,$13.35
02/23/2024,$13.38,"50,043",$13.45,$13.48,$13.38
02/22/2024,$13.41,"43,477",$13.42,$13.45,$13.37
02/21/2024,$13.29,"35,464",$13.25,$13.35,$13.25
02/20/2024,$13.32,"37,547",$13.36,$13.44,$13.292
02/16/2024,$13.38,"63,587",$13.43,$13.44,$13.37
02/15/2024,$13.41,"71,362",$13.41,$13.445,$13.39
02/14/2024,$13.40,"30,917",$13.40,$13.4381,$13.36
02/13/2024,$13.30,"68,500",$13.31,$13.3295,$13.2541
02/12/2024,$13.40,"58,875",$13.35,$13.43,$13.33
02/09/2024,$13.35,"82,081",$13.34,$13.37,$13.27
02/08/2024,$13.30,"75,398",$13.35,$13.35,$13.26
02/07/2024,$13.33,"118,633",$13.29,$13.375,$13.28
02/06/2024,$13.25,"85,580",$13.16,$13.25,$13.1299
02/05/2024,$13.11,"84,994",$13.10,$13.11,$13.06
02/02/2024,$13.11,"70,137",$13.09,$13.12,$13.0663
02/01/2024,$13.09,"321,769",$13.05,$13.10,$13.045
01/31/2024,$13.04,"88,989",$13.22,$13.22,$13.01
01/30/2024,$13.17,"59,492",$13.14,$13.206,$13.13
01/29/2024,$13.20,"52,089",$13.19,$13.22,$13.1504
01/26/2024,$13.12,"51,684",$13.14,$13.17,$13.10
01/25/2024,$13.12,"44,131",$13.11,$13.1353,$13.10
01/24/2024,$13.11,"52,691",$13.13,$13.15,$13.10
01/23/2024,$13.09,"100,196",$13.16,$13.16,$13.08
01/22/2024,$13.12,"85,976",$13.15,$13.18,$13.11
01/19/2024,$13.19,"31,653",$13.14,$13.19,$13.1023
01/18/2024,$13.11,"71,291",$13.22,$13.22,$13.08
01/17/2024,$13.08,"84,036",$13.06,$13.11,$13.025
01/16/2024,$13.04,"54,949",$13.11,$13.12,$13.00
01/12/2024,$13.07,"19,354",$13.05,$13.0777,$13.01
01/11/2024,$13.03,"52,114",$13.02,$13.035,$12.95
01/10/2024,$13.01,"49,448",$12.91,$13.01,$12.869
01/09/2024,$12.88,"41,022",$12.79,$12.89,$12.7489
01/08/2024,$12.84,"116,778",$12.69,$12.848,$12.69
01/05/2024,$12.73,"161,639",$12.88,$12.90,$12.66
01/04/2024,$12.78,"142,514",$12.80,$12.88,$12.77
01/03/2024,$12.85,"131,699",$12.94,$12.96,$12.83
01/02/2024,$12.92,"50,798",$12.96,$12.98,$12.905
12/29/2023,$12.98,"76,724",$13.10,$13.1272,$12.95
12/28/2023,$13.01,"76,948",$13.01,$13.05,$12.97
12/27/2023,$13.01,"97,365",$13.07,$13.10,$12.98
12/26/2023,$12.99,"77,304",$13.07,$13.07,$12.97
12/22/2023,$13.02,"100,030",$13.15,$13.17,$12.9918
12/21/2023,$13.08,"76,440",$13.08,$13.17,$13.03
12/20/2023,$13.06,"54,772",$13.22,$13.2299,$13.05
12/19/2023,$13.19,"56,597",$13.25,$13.25,$13.15
12/18/2023,$13.19,"98,870",$13.14,$13.27,$13.10
12/15/2023,$13.10,"27,002",$13.08,$13.14,$13.07
12/14/2023,$13.08,"72,110",$13.12,$13.12,$13.0531
12/13/2023,$13.08,"40,544",$12.97,$13.095,$12.94
12/12/2023,$12.92,"34,705",$12.94,$12.97,$12.8958
12/11/2023,$12.94,"54,164",$12.89,$12.9501,$12.89
12/08/2023,$12.93,"64,259",$12.96,$13.00,$12.91
12/07/2023,$12.97,"55,207",$12.95,$13.00,$12.93
12/06/2023,$12.91,"35,893",$12.95,$13.00,$12.91
12/05/2023,$12.94,"48,804",$12.96,$13.02,$12.92
12/04/2023,$12.97,"68,885",$12.97,$13.03,$12.96
12/01/2023,$13.00,"35,974",$13.00,$13.06,$12.94
11/30/2023,$13.01,"39,519",$13.16,$13.16,$12.99
11/29/2023,$13.07,"168,171",$13.10,$13.20,$12.99
11/28/2023,$13.05,"138,481",$12.89,$13.06,$12.89
11/27/2023,$12.91,"118,306",$12.74,$12.91,$12.685
11/24/2023,$12.72,"16,427",$12.73,$12.73,$12.65
11/22/2023,$12.66,"56,887",$12.70,$12.77,$12.63
11/21/2023,$12.60,"52,536",$12.66,$12.66,$12.59
11/20/2023,$12.75,"48,763",$12.67,$12.75,$12.63
11/17/2023,$12.64,"36,259",$12.70,$12.70,$12.63
11/16/2023,$12.66,"48,054",$12.68,$12.70,$12.6272
11/15/2023,$12.64,"54,001",$12.69,$12.7428,$12.62
11/14/2023,$12.70,"78,050",$12.67,$12.73,$12.63
11/13/2023,$12.57,"25,008",$12.58,$12.59,$12.51
11/10/2023,$12.56,"35,336",$12.51,$12.58,$12.4597
11/09/2023,$12.41,"73,415",$12.61,$12.61,$12.39
11/08/2023,$12.52,"72,133",$12.65,$12.6542,$12.50
11/07/2023,$12.59,"54,894",$12.58,$12.64,$12.49
11/06/2023,$12.62,"49,708",$12.70,$12.70,$12.60
11/03/2023,$12.64,"63,931",$12.52,$12.64,$12.4901
11/02/2023,$12.46,"58,371",$12.24,$12.48,$12.24
11/01/2023,$12.19,"55,413",$11.99,$12.21,$11.99
10/31/2023,$11.98,"111,713",$11.99,$12.018,$11.92
10/30/2023,$11.86,"109,402",$11.71,$11.87,$11.71
10/27/2023,$11.61,"81,151",$11.74,$11.77,$11.59
10/26/2023,$11.70,"166,252",$11.93,$11.964,$11.69
10/25/2023,$11.95,"120,285",$12.18,$12.22,$11.95
10/24/2023,$12.25,"37,106",$12.32,$12.40,$12.22
10/23/2023,$12.24,"63,955",$12.22,$12.30,$12.20
10/20/2023,$12.26,"67,420",$12.40,$12.40,$12.25
10/19/2023,$12.44,"74,605",$12.53,$12.57,$12.42
10/18/2023,$12.51,"62,159",$12.50,$12.59,$12.49
10/17/2023,$12.63,"82,159",$12.59,$12.6898,$12.56
10/16/2023,$12.69,"65,174",$12.69,$12.76,$12.62
10/13/2023,$12.60,"48,748",$12.80,$12.83,$12.58
10/12/2023,$12.72,"48,127",$12.74,$12.80,$12.6601
10/11/2023,$12.70,"39,284",$12.77,$12.77,$12.65
10/10/2023,$12.70,"58,570",$12.74,$12.83,$12.66
10/09/2023,$12.69,"80,148",$12.58,$12.72,$12.48
10/06/2023,$12.57,"91,197",$12.38,$12.58,$12.3432
10/05/2023,$12.38,"70,401",$12.39,$12.40,$12.27
10/04/2023,$12.41,"72,877",$12.37,$12.42,$12.33
10/03/2023,$12.38,"129,785",$12.48,$12.5272,$12.33
10/02/2023,$12.55,"87,827",$12.46,$12.57,$12.46
09/29/2023,$12.61,"152,581",$12.63,$12.67,$12.45
09/28/2023,$12.54,"86,317",$12.45,$12.56,$12.42
09/27/2023,$12.47,"95,074",$12.52,$12.59,$12.47
09/26/2023,$12.54,"58,021",$12.67,$12.7195,$12.50
09/25/2023,$12.74,"69,027",$12.75,$12.75,$12.66
