Date,Close,Volume,Open,High,Low
03/01/2024,$72.16,"813,462",$72.14,$72.48,$70.60
02/29/2024,$72.86,"741,974",$73.18,$74.09,$72.25
02/28/2024,$72.13,"817,441",$72.50,$73.11,$72.03
02/27/2024,$73.11,"784,320",$71.51,$73.35,$71.51
02/26/2024,$71.18,"864,837",$71.69,$72.57,$70.75
02/23/2024,$72.36,"667,150",$71.93,$72.8325,$71.511
02/22/2024,$72.11,"663,982",$71.34,$72.278,$70.93
02/21/2024,$70.91,"563,568",$71.00,$71.14,$70.33
02/20/2024,$71.41,"656,679",$71.34,$72.49,$71.07
02/16/2024,$71.89,"775,708",$72.39,$73.365,$71.86
02/15/2024,$73.17,"684,649",$71.99,$73.83,$71.87
02/14/2024,$71.56,"929,337",$70.29,$71.63,$70.01
02/13/2024,$69.47,"1,299,461",$69.57,$70.36,$68.36
02/12/2024,$71.63,"1,167,180",$69.49,$71.99,$69.445
02/09/2024,$69.41,"1,105,913",$69.06,$69.445,$68.21
02/08/2024,$69.17,"735,258",$68.73,$69.61,$68.535
02/07/2024,$69.20,"1,153,244",$69.66,$69.76,$67.27
02/06/2024,$69.26,"1,052,341",$69.73,$70.17,$68.705
02/05/2024,$69.74,"1,123,987",$69.54,$70.14,$68.43
02/02/2024,$70.04,"1,392,528",$68.05,$70.40,$67.725
02/01/2024,$69.24,"2,846,184",$72.53,$72.70,$67.44
01/31/2024,$72.81,"2,179,499",$73.15,$75.34,$72.38
01/30/2024,$74.85,"1,173,501",$75.86,$76.49,$74.755
01/29/2024,$76.04,"965,954",$73.96,$76.10,$73.93
01/26/2024,$74.28,"1,037,642",$75.23,$76.10,$74.105
01/25/2024,$74.95,"1,629,948",$76.37,$76.645,$73.58
01/24/2024,$75.73,"2,678,747",$72.50,$76.875,$72.05
01/23/2024,$73.68,"2,986,347",$73.76,$74.40,$72.74
01/22/2024,$72.92,"1,779,074",$71.59,$73.03,$71.14
01/19/2024,$70.86,"965,439",$69.20,$70.88,$68.85
01/18/2024,$69.34,"1,054,533",$69.63,$69.84,$68.70
01/17/2024,$68.96,"1,106,596",$68.92,$69.91,$68.36
01/16/2024,$70.08,"841,481",$70.39,$71.16,$69.77
01/12/2024,$71.79,"2,023,503",$72.54,$73.065,$70.95
01/11/2024,$72.35,"1,205,603",$72.70,$72.74,$71.33
01/10/2024,$72.84,"965,109",$72.84,$72.89,$71.79
01/09/2024,$72.64,"873,293",$72.06,$72.73,$71.82
01/08/2024,$73.15,"1,679,348",$72.47,$73.18,$71.83
01/05/2024,$72.46,"1,878,739",$70.86,$73.98,$70.46
01/04/2024,$71.04,"1,003,549",$70.73,$71.665,$70.385
01/03/2024,$70.54,"770,430",$71.58,$71.76,$70.38
01/02/2024,$72.89,"871,451",$71.25,$73.25,$70.85
12/29/2023,$71.95,"544,765",$72.74,$72.745,$71.91
12/28/2023,$72.86,"405,730",$72.12,$72.92,$72.02
12/27/2023,$72.55,"424,780",$72.25,$72.80,$71.8292
12/26/2023,$72.44,"459,968",$71.84,$72.777,$71.505
12/22/2023,$71.51,"542,422",$71.80,$72.41,$71.31
12/21/2023,$71.41,"719,545",$71.46,$72.09,$70.49
12/20/2023,$70.74,"795,542",$72.07,$72.79,$70.72
12/19/2023,$72.38,"765,194",$71.82,$72.78,$71.64
12/18/2023,$71.77,"886,196",$72.07,$72.25,$71.21
12/15/2023,$71.38,"3,071,166",$72.67,$72.67,$70.695
12/14/2023,$72.75,"1,990,641",$72.61,$74.61,$71.70
12/13/2023,$70.47,"1,113,461",$67.34,$70.56,$67.03
12/12/2023,$67.41,"797,565",$68.38,$68.4524,$67.25
12/11/2023,$68.43,"678,737",$68.46,$68.81,$68.06
12/08/2023,$68.62,"949,646",$67.51,$68.86,$67.34
12/07/2023,$67.31,"752,232",$66.94,$67.96,$66.685
12/06/2023,$66.90,"1,479,777",$67.49,$68.65,$66.85
12/05/2023,$66.58,"737,019",$66.48,$67.21,$66.39
12/04/2023,$66.95,"1,102,052",$65.53,$67.18,$65.345
12/01/2023,$65.68,"1,161,912",$62.90,$65.97,$62.35
11/30/2023,$62.92,"1,031,618",$62.53,$63.46,$61.87
11/29/2023,$62.42,"997,857",$61.37,$62.80,$61.155
11/28/2023,$60.90,"541,668",$61.12,$61.33,$60.34
11/27/2023,$61.36,"680,725",$60.76,$61.51,$60.425
11/24/2023,$61.03,"166,577",$61.05,$61.4599,$60.89
11/22/2023,$60.98,"384,350",$61.49,$61.78,$60.50
11/21/2023,$60.88,"640,487",$61.35,$61.69,$60.68
11/20/2023,$61.66,"815,478",$62.22,$62.48,$61.40
11/17/2023,$62.38,"935,237",$62.19,$62.85,$61.58
11/16/2023,$61.66,"1,307,135",$62.03,$62.31,$60.94
11/15/2023,$61.90,"1,770,589",$60.32,$62.17,$60.26
11/14/2023,$60.24,"1,470,114",$58.12,$61.265,$58.12
11/13/2023,$57.11,"704,647",$56.34,$57.26,$55.6201
11/10/2023,$56.51,"708,760",$55.97,$56.759,$55.43
11/09/2023,$55.68,"1,075,192",$56.62,$57.03,$55.51
11/08/2023,$56.61,"561,825",$57.44,$57.44,$56.382
11/07/2023,$57.35,"534,902",$57.90,$58.07,$57.10
11/06/2023,$58.20,"905,687",$59.05,$59.25,$57.92
11/03/2023,$59.11,"1,265,792",$59.00,$59.77,$58.48
11/02/2023,$56.89,"1,184,384",$54.50,$56.91,$54.23
11/01/2023,$53.94,"1,195,446",$53.61,$53.98,$52.91
10/31/2023,$53.62,"1,201,525",$53.40,$54.00,$53.23
10/30/2023,$53.94,"1,044,214",$53.71,$54.20,$52.88
10/27/2023,$52.64,"1,299,854",$53.66,$53.68,$52.29
10/26/2023,$53.66,"1,110,926",$52.72,$53.97,$52.72
10/25/2023,$52.69,"1,823,850",$51.94,$52.86,$51.40
10/24/2023,$52.43,"1,119,462",$52.83,$53.12,$51.93
10/23/2023,$52.52,"1,266,907",$51.44,$53.59,$51.33
10/20/2023,$51.48,"1,689,590",$52.75,$52.77,$51.14
10/19/2023,$52.98,"2,152,957",$51.65,$54.53,$51.49
10/18/2023,$51.48,"1,156,516",$53.10,$53.10,$51.28
10/17/2023,$53.34,"1,204,563",$51.30,$53.83,$51.25
10/16/2023,$51.61,"960,015",$50.30,$51.95,$50.23
10/13/2023,$50.52,"920,456",$51.99,$51.99,$50.25
10/12/2023,$51.27,"515,225",$51.81,$51.81,$50.71
10/11/2023,$51.70,"625,410",$51.93,$52.7199,$51.15
10/10/2023,$51.84,"740,239",$51.79,$52.53,$51.67
10/09/2023,$51.32,"701,645",$50.93,$51.7688,$50.925
10/06/2023,$51.75,"1,103,486",$50.53,$52.12,$50.40
10/05/2023,$51.15,"794,291",$50.21,$51.31,$50.20
10/04/2023,$50.44,"698,306",$50.47,$50.68,$49.59
10/03/2023,$50.09,"1,001,740",$51.22,$51.22,$49.79
10/02/2023,$51.12,"1,018,061",$52.44,$52.65,$50.73
09/29/2023,$52.71,"710,886",$53.07,$53.75,$52.58
09/28/2023,$52.38,"886,533",$51.12,$52.84,$51.12
09/27/2023,$51.61,"1,063,155",$52.65,$52.66,$51.01
09/26/2023,$52.22,"613,573",$53.15,$53.755,$52.08
09/25/2023,$53.76,"659,015",$53.02,$53.81,$53.00
09/22/2023,$53.38,"616,401",$53.54,$53.86,$52.93
09/21/2023,$53.26,"726,061",$53.24,$53.74,$52.755
09/20/2023,$53.54,"734,001",$54.40,$54.95,$53.345
