Date,Close,Volume,Open,High,Low
03/01/2024,$1.85,"44,830",$1.79,$1.99,$1.7701
02/29/2024,$1.83,"135,194",$1.83,$2.08,$1.7106
02/28/2024,$1.93,"83,353",$1.99,$2.08,$1.7001
02/27/2024,$1.97,"198,794",$1.84,$2.15,$1.84
02/26/2024,$1.93,"796,746",$1.67,$2.22,$1.62
02/23/2024,$1.72,"13,080,650",$1.30,$2.49,$1.27
02/22/2024,$1.25,"6,155,258",$1.80,$2.19,$1.13
02/21/2024,$1.395,"15,584",$1.4353,$1.4353,$1.3459
02/20/2024,$1.36,"5,527",$1.3503,$1.4102,$1.32
02/16/2024,$1.405,"2,419",$1.48,$1.49,$1.405
02/15/2024,$1.49,"1,790",$1.45,$1.49,$1.45
02/14/2024,$1.35,"4,410",$1.3485,$1.5777,$1.3485
02/13/2024,$1.3845,"1,681",$1.31,$1.3845,$1.31
02/12/2024,$1.31,"8,826",$1.3977,$1.3977,$1.2501
02/09/2024,$1.35,"1,062",$1.35,$1.35,$1.35
02/08/2024,$1.39,"4,054",$1.33,$1.40,$1.26
02/07/2024,$1.30,"3,594",$1.3101,$1.32,$1.2999
02/06/2024,$1.4399,"1,922",$1.33,$1.4399,$1.33
02/05/2024,$1.33,"4,744",$1.45,$1.45,$1.31
02/02/2024,$1.38,"7,789",$1.50,$1.50,$1.35
02/01/2024,$1.495,323,$1.495,$1.495,$1.495
01/31/2024,$1.5781,"2,288",$1.60,$1.60,$1.45
01/30/2024,$1.5877,797,$1.5877,$1.5877,$1.5877
01/29/2024,$1.53,N/A,$1.53,$1.53,$1.53
01/26/2024,$1.53,"1,643",$1.48,$1.53,$1.46
01/25/2024,$1.5597,"1,765",$1.49,$1.59,$1.48
01/24/2024,$1.56,"3,750",$1.48,$1.56,$1.48
01/23/2024,$1.535,"1,640",$1.52,$1.59,$1.52
01/22/2024,$1.51,"14,363",$1.54,$1.5656,$1.51
01/19/2024,$1.50,"2,424",$1.50,$1.5201,$1.50
01/18/2024,$1.56,287,$1.56,$1.56,$1.56
01/17/2024,$1.5007,289,$1.5007,$1.5007,$1.5007
01/16/2024,$1.56,951,$1.55,$1.56,$1.53
01/12/2024,$1.48,"11,883",$1.615,$1.615,$1.48
01/11/2024,$1.66,"4,226",$1.63,$1.66,$1.63
01/10/2024,$1.56,"11,912",$1.66,$1.6994,$1.53
01/09/2024,$1.71,"1,148",$1.71,$1.71,$1.63
01/08/2024,$1.71,"3,493",$1.6206,$1.7495,$1.6206
01/05/2024,$1.6449,"5,226",$1.6391,$1.7368,$1.6207
01/04/2024,$1.7096,"6,439",$1.62,$1.7664,$1.62
01/03/2024,$1.67,"1,743",$1.6801,$1.70,$1.62
01/02/2024,$1.6401,"4,402",$1.6342,$1.7192,$1.6342
12/29/2023,$1.6244,"12,154",$1.7322,$1.76,$1.62
12/28/2023,$1.77,"5,059",$1.75,$1.78,$1.71
12/27/2023,$1.755,"4,861",$1.79,$1.90,$1.7201
12/26/2023,$1.79,"4,577",$1.80,$1.8028,$1.75
12/22/2023,$1.72,"7,772",$1.79,$1.86,$1.66
