Date,Close,Volume,Open,High,Low
03/01/2024,$58.59,"485,277",$58.30,$58.64,$57.75
02/29/2024,$58.41,"856,038",$58.00,$58.67,$57.79
02/28/2024,$57.46,"405,362",$57.32,$58.185,$57.165
02/27/2024,$57.62,"511,417",$57.68,$57.83,$57.21
02/26/2024,$57.52,"503,332",$57.10,$57.705,$56.895
02/23/2024,$57.52,"645,046",$57.25,$57.96,$56.69
02/22/2024,$57.19,"729,231",$57.71,$57.91,$56.78
02/21/2024,$57.67,"839,409",$58.04,$58.30,$57.40
02/20/2024,$58.10,"400,412",$58.04,$58.87,$57.78
02/16/2024,$58.64,"456,442",$59.76,$60.05,$58.59
02/15/2024,$60.23,"493,350",$59.04,$60.35,$58.965
02/14/2024,$58.68,"620,519",$59.39,$59.39,$58.44
02/13/2024,$58.57,"844,793",$58.80,$59.25,$58.23
02/12/2024,$60.24,"720,793",$59.34,$60.535,$59.11
02/09/2024,$59.02,"986,557",$58.70,$59.09,$57.81
02/08/2024,$58.99,"1,082,227",$59.49,$60.91,$58.57
02/07/2024,$59.49,"999,374",$59.61,$60.07,$58.76
02/06/2024,$59.33,"874,428",$59.02,$59.81,$58.46
02/05/2024,$58.74,"930,701",$59.96,$60.21,$58.685
02/02/2024,$60.57,"500,206",$60.36,$60.90,$59.85
02/01/2024,$60.98,"625,649",$60.49,$61.06,$59.55
01/31/2024,$60.35,"555,588",$61.11,$61.68,$60.28
01/30/2024,$61.26,"469,599",$61.31,$62.00,$61.2118
01/29/2024,$61.52,"373,695",$60.35,$61.53,$60.11
01/26/2024,$60.61,"334,961",$61.08,$61.31,$60.445
01/25/2024,$60.74,"899,541",$60.72,$60.89,$60.01
01/24/2024,$60.27,"473,407",$60.94,$61.06,$60.16
01/23/2024,$60.34,"588,042",$61.83,$61.92,$60.2201
01/22/2024,$61.66,"538,035",$60.73,$61.935,$60.73
01/19/2024,$60.32,"862,045",$59.79,$60.4175,$59.26
01/18/2024,$59.43,"441,032",$59.87,$60.22,$59.09
01/17/2024,$59.70,"719,892",$60.05,$60.70,$59.29
01/16/2024,$60.79,"857,739",$60.65,$61.09,$58.23
01/12/2024,$61.95,"329,909",$62.18,$62.27,$61.43
01/11/2024,$61.69,"339,043",$61.86,$62.265,$60.80
01/10/2024,$62.24,"459,354",$61.75,$62.25,$61.535
01/09/2024,$61.58,"387,860",$61.51,$62.105,$61.19
01/08/2024,$62.24,"1,062,761",$61.69,$62.37,$61.55
01/05/2024,$61.66,"516,788",$61.25,$62.52,$61.25
01/04/2024,$61.56,"481,711",$61.17,$62.10,$61.0099
01/03/2024,$61.32,"566,266",$61.67,$61.91,$61.015
01/02/2024,$62.49,"717,064",$63.94,$64.25,$62.46
12/29/2023,$64.44,"414,391",$64.74,$64.94,$64.18
12/28/2023,$64.95,"618,636",$64.71,$65.17,$64.622
12/27/2023,$64.88,"333,922",$64.67,$65.22,$64.39
12/26/2023,$64.59,"593,527",$64.99,$64.99,$64.33
12/22/2023,$64.80,"4,366,805",$64.00,$64.82,$63.3518
12/21/2023,$63.76,"1,453,392",$64.55,$64.82,$61.5382
12/20/2023,$64.16,"459,906",$65.07,$65.545,$64.14
12/19/2023,$65.13,"983,799",$64.02,$65.28,$63.95
12/18/2023,$63.83,"1,104,700",$64.48,$64.93,$63.40
12/15/2023,$64.37,"1,340,016",$64.39,$65.54,$64.32
12/14/2023,$64.72,"801,554",$64.31,$65.10,$63.925
12/13/2023,$63.33,"1,160,835",$60.92,$63.82,$60.37
12/12/2023,$60.92,"475,516",$61.69,$61.69,$60.71
12/11/2023,$61.69,"447,027",$61.82,$62.15,$61.48
12/08/2023,$61.90,"770,142",$61.82,$62.31,$61.5431
12/07/2023,$62.11,"413,703",$61.24,$62.12,$60.85
12/06/2023,$61.54,"437,446",$61.62,$62.685,$61.44
12/05/2023,$61.30,"559,119",$61.62,$62.225,$60.6201
12/04/2023,$61.77,"538,533",$60.26,$61.955,$60.26
12/01/2023,$60.42,"475,411",$59.18,$60.44,$59.18
11/30/2023,$59.60,"467,905",$58.94,$59.77,$58.83
11/29/2023,$58.83,"341,700",$58.97,$59.38,$58.68
11/28/2023,$58.65,"618,958",$58.59,$58.86,$57.89
11/27/2023,$58.71,"459,271",$57.81,$58.85,$57.33
11/24/2023,$58.11,"104,475",$58.03,$58.47,$58.03
11/22/2023,$57.92,"712,171",$57.32,$58.14,$57.32
11/21/2023,$57.13,"411,834",$57.19,$57.79,$57.06
11/20/2023,$57.44,"1,044,487",$56.56,$57.78,$56.56
11/17/2023,$56.86,"508,947",$56.74,$56.89,$56.18
11/16/2023,$56.31,"1,130,771",$56.48,$56.61,$55.965
11/15/2023,$56.46,"579,261",$55.33,$56.607,$55.33
11/14/2023,$56.02,"1,198,812",$54.50,$56.31,$53.825
11/13/2023,$53.23,"3,190,647",$53.37,$53.42,$52.75
11/10/2023,$53.62,"282,285",$53.27,$53.81,$53.05
11/09/2023,$53.12,"370,278",$54.52,$54.52,$53.04
11/08/2023,$54.46,"1,565,839",$54.27,$54.77,$53.89
11/07/2023,$54.13,"305,795",$54.25,$54.36,$53.73
11/06/2023,$54.47,"382,247",$55.25,$55.37,$54.36
11/03/2023,$55.60,"602,800",$54.88,$56.08,$54.525
11/02/2023,$53.88,"547,935",$52.62,$54.00,$52.62
11/01/2023,$52.06,"433,636",$51.27,$52.07,$50.845
10/31/2023,$51.44,"519,044",$50.93,$51.54,$50.54
10/30/2023,$50.79,"501,609",$50.62,$51.10,$50.32
10/27/2023,$50.23,"692,171",$50.92,$51.605,$49.55
10/26/2023,$51.74,"1,134,415",$50.40,$52.74,$50.20
10/25/2023,$50.06,"595,012",$50.48,$50.82,$49.99
10/24/2023,$50.79,"546,647",$50.77,$51.38,$50.44
10/23/2023,$50.47,"629,538",$50.27,$50.54,$49.64
10/20/2023,$50.53,"531,637",$50.65,$50.935,$50.145
10/19/2023,$50.58,"559,419",$51.74,$52.03,$50.25
10/18/2023,$51.83,"416,699",$52.54,$52.715,$51.62
10/17/2023,$53.31,"609,000",$52.72,$54.16,$52.72
10/16/2023,$53.06,"780,653",$53.00,$53.56,$52.695
10/13/2023,$52.68,"525,358",$53.12,$53.195,$52.27
10/12/2023,$52.88,"695,357",$53.94,$53.94,$52.39
10/11/2023,$54.02,"412,826",$54.10,$54.74,$53.535
10/10/2023,$53.79,"508,423",$54.21,$54.54,$53.38
10/09/2023,$54.20,"263,857",$53.87,$54.415,$53.775
10/06/2023,$54.22,"420,543",$53.92,$54.75,$53.46
10/05/2023,$54.17,"404,069",$53.18,$54.305,$53.18
10/04/2023,$53.38,"570,130",$53.13,$53.71,$52.89
10/03/2023,$53.11,"847,067",$54.00,$54.35,$52.98
10/02/2023,$54.38,"836,240",$55.77,$55.77,$54.04
09/29/2023,$56.49,"464,346",$57.34,$57.45,$56.415
09/28/2023,$56.94,"475,497",$56.77,$57.216,$56.225
09/27/2023,$56.75,"688,118",$57.77,$58.09,$56.32
09/26/2023,$57.51,"627,922",$57.79,$58.56,$57.19
09/25/2023,$58.28,"313,729",$58.13,$58.49,$57.825
09/22/2023,$58.32,"477,228",$58.42,$58.63,$57.87
09/21/2023,$58.36,"331,102",$59.34,$59.395,$58.335
09/20/2023,$59.63,"384,553",$60.51,$61.29,$59.555
09/19/2023,$60.21,"497,156",$60.44,$60.70,$59.98
09/18/2023,$60.35,"450,002",$60.14,$60.91,$59.825
09/15/2023,$60.14,"1,364,741",$60.06,$60.31,$59.44
09/14/2023,$60.41,"375,846",$60.30,$60.74,$59.9401
09/13/2023,$59.73,"395,751",$60.41,$60.45,$59.18
09/12/2023,$60.23,"337,574",$60.25,$61.38,$60.0103
09/11/2023,$60.19,"541,083",$60.64,$60.83,$59.96
09/08/2023,$60.24,"415,069",$61.00,$61.32,$59.94
09/07/2023,$60.97,"609,148",$60.62,$61.40,$60.56
09/06/2023,$61.25,"462,816",$61.19,$62.15,$61.13
09/05/2023,$61.55,"682,620",$62.82,$63.29,$61.45
09/01/2023,$63.24,"528,168",$62.29,$63.84,$62.25
08/31/2023,$61.68,"627,770",$61.24,$61.99,$61.07
08/30/2023,$61.18,"270,115",$60.81,$61.475,$60.81
08/29/2023,$60.89,"337,563",$60.49,$60.975,$60.07
08/28/2023,$60.32,"288,245",$60.11,$60.71,$59.85
08/25/2023,$59.85,"338,804",$60.30,$60.35,$59.17
08/24/2023,$60.11,"351,194",$60.30,$60.84,$59.93
08/23/2023,$60.41,"281,659",$59.16,$60.51,$59.10
08/22/2023,$59.14,"267,150",$59.10,$59.64,$58.72
08/21/2023,$59.16,"283,728",$60.58,$60.73,$59.01
08/18/2023,$60.57,"677,364",$60.72,$61.04,$60.16
08/17/2023,$61.10,"264,864",$62.14,$62.34,$60.98
08/16/2023,$61.91,"344,375",$62.95,$63.36,$61.89
08/15/2023,$63.13,"361,940",$63.44,$63.66,$62.51
08/14/2023,$63.97,"397,580",$64.00,$64.25,$63.43
08/11/2023,$64.08,"405,985",$63.25,$64.165,$63.08
08/10/2023,$63.65,"552,655",$63.49,$64.50,$63.17
08/09/2023,$63.00,"337,534",$62.48,$63.46,$62.42
08/08/2023,$62.48,"315,053",$62.39,$62.53,$61.61
08/07/2023,$63.12,"331,183",$62.74,$63.399,$62.36
08/04/2023,$62.53,"415,648",$61.47,$62.869,$61.47
08/03/2023,$61.50,"518,099",$62.19,$62.19,$61.02
08/02/2023,$62.35,"627,896",$62.03,$62.78,$61.795
08/01/2023,$62.83,"410,578",$63.20,$63.535,$62.71
07/31/2023,$63.38,"520,031",$63.03,$64.16,$63.02
07/28/2023,$62.71,"633,277",$63.19,$63.41,$62.36
