Date,Close,Volume,Open,High,Low
03/01/2024,$5.56,"68,631",$5.55,$5.63,$5.5432
02/29/2024,$5.58,"143,532",$5.55,$5.61,$5.48
02/28/2024,$5.54,"80,657",$5.64,$5.7268,$5.49
02/27/2024,$5.735,"50,213",$5.71,$5.75,$5.60
02/26/2024,$5.68,"251,323",$5.82,$5.84,$5.53
02/23/2024,$5.82,"450,974",$5.59,$6.1322,$5.5017
02/22/2024,$5.57,"123,454",$5.57,$5.58,$5.3758
02/21/2024,$5.46,"62,902",$5.52,$5.5641,$5.45
02/20/2024,$5.51,"112,771",$5.45,$5.61,$5.44
02/16/2024,$5.44,"53,094",$5.42,$5.44,$5.345
02/15/2024,$5.38,"53,473",$5.34,$5.38,$5.2899
02/14/2024,$5.30,"32,268",$5.20,$5.32,$5.18
02/13/2024,$5.1741,"77,324",$5.31,$5.32,$5.15
02/12/2024,$5.32,"57,647",$5.22,$5.33,$5.20
02/09/2024,$5.20,"78,671",$5.17,$5.24,$5.12
02/08/2024,$5.18,"64,994",$5.25,$5.28,$5.17
02/07/2024,$5.17,"67,783",$5.28,$5.29,$5.17
02/06/2024,$5.29,"47,115",$5.26,$5.29,$5.19
02/05/2024,$5.23,"36,597",$5.25,$5.27,$5.18
02/02/2024,$5.25,"51,690",$5.33,$5.33,$5.21
02/01/2024,$5.32,"55,653",$5.21,$5.3362,$5.21
01/31/2024,$5.214,"67,960",$5.19,$5.26,$5.17
01/30/2024,$5.19,"23,722",$5.20,$5.22,$5.1695
01/29/2024,$5.19,"63,412",$5.20,$5.26,$5.15
01/26/2024,$5.17,"81,286",$5.10,$5.23,$5.10
01/25/2024,$5.13,"61,878",$5.16,$5.24,$5.09
01/24/2024,$5.19,"63,802",$5.26,$5.31,$5.10
01/23/2024,$5.30,"60,363",$5.37,$5.37,$5.18
01/22/2024,$5.43,"84,425",$5.38,$5.47,$5.26
01/19/2024,$5.32,"90,232",$5.21,$5.42,$5.21
01/18/2024,$5.24,"131,333",$4.97,$5.242,$4.964
01/17/2024,$4.93,"222,612",$5.07,$5.11,$4.73
01/16/2024,$5.12,"136,614",$5.27,$5.32,$5.06
01/12/2024,$5.19,"170,724",$5.35,$5.4699,$5.12
01/11/2024,$5.30,"273,238",$5.20,$5.5009,$5.20
01/10/2024,$5.10,"301,425",$5.32,$5.46,$5.00
01/09/2024,$5.24,"350,735",$5.60,$5.66,$5.1601
01/08/2024,$5.66,"299,006",$6.16,$6.23,$5.55
01/05/2024,$6.13,"11,722",$6.13,$6.1909,$6.095
01/04/2024,$6.18,"39,183",$6.02,$6.18,$6.0167
01/03/2024,$6.03,"51,194",$6.16,$6.243,$6.01
01/02/2024,$6.16,"60,993",$6.40,$6.4717,$6.08
12/29/2023,$6.46,"150,952",$6.58,$6.58,$6.00
12/28/2023,$6.58,"15,895",$6.47,$6.58,$6.4695
12/27/2023,$6.62,"22,360",$6.57,$6.63,$6.57
12/26/2023,$6.63,"36,530",$6.53,$6.63,$6.4601
12/22/2023,$6.49,"36,854",$6.42,$6.54,$6.385
12/21/2023,$6.40,"25,088",$6.40,$6.45,$6.3347
12/20/2023,$6.39,"30,885",$6.33,$6.39,$6.2593
12/19/2023,$6.31,"29,648",$6.20,$6.31,$6.11
12/18/2023,$6.10,"51,595",$6.25,$6.3155,$6.0237
12/15/2023,$6.22,"21,711",$6.25,$6.30,$6.21
12/14/2023,$6.23,"43,835",$6.31,$6.39,$6.16
12/13/2023,$6.31,"19,799",$6.345,$6.38,$6.30
