Date,Close,Volume,Open,High,Low
03/01/2024,$103.93,"231,206",$104.17,$105.12,$103.40
02/29/2024,$103.96,"356,877",$101.51,$104.45,$100.86
02/28/2024,$101.05,"122,160",$99.65,$101.31,$99.65
02/27/2024,$100.37,"161,640",$100.13,$101.555,$99.42
02/26/2024,$100.03,"160,023",$99.73,$100.50,$99.52
02/23/2024,$100.48,"138,600",$99.52,$100.505,$98.72
02/22/2024,$98.37,"185,633",$97.82,$98.43,$96.965
02/21/2024,$98.07,"247,418",$99.30,$100.06,$97.84
02/20/2024,$99.12,"790,800",$99.47,$99.50,$98.03
02/16/2024,$100.28,"236,495",$100.02,$101.00,$99.75
02/15/2024,$100.28,"175,966",$98.90,$100.317,$98.62
02/14/2024,$98.01,"195,666",$96.81,$98.24,$96.07
02/13/2024,$95.59,"304,169",$96.27,$98.71,$93.63
02/12/2024,$99.99,"218,262",$99.54,$100.96,$99.40
02/09/2024,$99.48,"121,500",$97.72,$99.52,$97.64
02/08/2024,$97.72,"112,857",$96.61,$97.795,$96.2874
02/07/2024,$96.61,"177,502",$96.26,$97.445,$95.81
02/06/2024,$96.06,"348,671",$94.92,$96.56,$94.73
02/05/2024,$94.92,"119,092",$95.56,$95.56,$94.54
02/02/2024,$96.51,"103,817",$95.41,$96.97,$95.41
02/01/2024,$96.48,"182,718",$95.18,$96.595,$95.07
01/31/2024,$94.26,"281,546",$96.73,$96.935,$94.215
01/30/2024,$96.98,"132,848",$96.17,$97.53,$96.17
01/29/2024,$96.81,"112,117",$95.56,$96.85,$95.38
01/26/2024,$95.86,"73,242",$96.85,$97.05,$95.78
01/25/2024,$96.32,"245,827",$96.61,$96.73,$95.48
01/24/2024,$95.37,"117,670",$97.85,$97.85,$95.03
01/23/2024,$96.87,"131,923",$97.56,$97.56,$96.0275
01/22/2024,$96.52,"233,368",$95.10,$97.00,$95.00
01/19/2024,$94.57,"333,902",$94.46,$94.78,$93.305
01/18/2024,$94.09,"169,498",$93.28,$94.19,$92.98
01/17/2024,$92.71,"191,974",$92.69,$93.98,$92.60
01/16/2024,$93.74,"213,540",$93.03,$94.26,$92.4849
