Date,Close,Volume,Open,High,Low
03/01/2024,$1.87,"749,746",$1.77,$1.89,$1.6801
02/29/2024,$1.76,"1,612,167",$1.87,$1.92,$1.6601
02/28/2024,$1.77,"2,773,798",$1.72,$1.88,$1.61
02/27/2024,$1.62,"831,396",$1.40,$1.66,$1.36
02/26/2024,$1.42,"535,841",$1.46,$1.4899,$1.33
02/23/2024,$1.42,"836,384",$1.53,$1.6195,$1.34
02/22/2024,$1.46,"1,204,802",$1.40,$1.56,$1.2935
02/21/2024,$1.36,"469,393",$1.24,$1.38,$1.1808
02/20/2024,$1.23,"241,452",$1.22,$1.25,$1.17
02/16/2024,$1.25,"332,325",$1.19,$1.29,$1.18
02/15/2024,$1.21,"356,944",$1.22,$1.263,$1.14
02/14/2024,$1.19,"423,777",$1.17,$1.20,$1.06
02/13/2024,$1.15,"462,033",$1.10,$1.21,$1.07
02/12/2024,$1.10,"692,848",$1.15,$1.15,$1.00
02/09/2024,$1.21,"728,715",$1.40,$1.40,$1.17
02/08/2024,$1.38,"2,481,748",$1.18,$1.50,$1.17
02/07/2024,$1.17,"3,046,833",$0.8755,$1.44,$0.8511
02/06/2024,$0.8723,"256,027",$0.77,$0.8799,$0.76
02/05/2024,$0.7701,"209,208",$0.8094,$0.8094,$0.75
02/02/2024,$0.7795,"1,044,736",$0.80,$0.89,$0.755
02/01/2024,$0.80,"675,037",$0.7683,$0.8198,$0.75
01/31/2024,$0.7484,"268,335",$0.7504,$0.80,$0.734
01/30/2024,$0.788,"157,998",$0.82,$0.82,$0.7623
01/29/2024,$0.7999,"115,796",$0.7974,$0.814,$0.771
01/26/2024,$0.8077,"103,321",$0.81,$0.82,$0.79
01/25/2024,$0.791,"130,997",$0.8014,$0.8222,$0.7811
01/24/2024,$0.79,"425,332",$0.80,$0.8197,$0.76
01/23/2024,$0.795,"125,530",$0.796,$0.8399,$0.7901
01/22/2024,$0.8103,"215,875",$0.83,$0.85,$0.81
01/19/2024,$0.80,"672,600",$0.865,$0.8896,$0.76
01/18/2024,$0.9046,"124,194",$0.90,$0.92,$0.865
01/17/2024,$0.9038,"142,257",$0.91,$0.9299,$0.901
01/16/2024,$0.9434,"109,476",$0.9297,$0.9573,$0.9008
01/12/2024,$0.9323,"108,365",$0.92,$0.9539,$0.9051
01/11/2024,$0.92,"163,572",$0.97,$0.9926,$0.91
01/10/2024,$0.97,"175,673",$0.98,$1.00,$0.9311
01/09/2024,$0.9911,"217,674",$0.9472,$1.01,$0.9401
01/08/2024,$0.93,"164,452",$0.94,$0.96,$0.92
01/05/2024,$0.94,"291,362",$0.95,$0.9815,$0.911
01/04/2024,$0.9811,"214,565",$0.9801,$0.9982,$0.923
01/03/2024,$0.9982,"288,855",$1.00,$1.02,$0.9605
01/02/2024,$1.01,"206,824",$0.93,$1.01,$0.93
12/29/2023,$0.975,"354,918",$0.992,$1.02,$0.931
12/28/2023,$1.01,"416,571",$0.96,$1.06,$0.96
12/27/2023,$0.95,"230,561",$0.925,$0.98,$0.925
12/26/2023,$0.9251,"305,215",$0.89,$0.9797,$0.89
12/22/2023,$0.986,"688,797",$0.8785,$1.0299,$0.8785
12/21/2023,$0.889,"163,124",$0.868,$0.89,$0.86
12/20/2023,$0.883,"210,620",$0.89,$0.895,$0.863
12/19/2023,$0.895,"276,415",$0.967,$0.97,$0.87
12/18/2023,$0.85,"237,797",$0.882,$0.9205,$0.82
12/15/2023,$0.8691,"538,740",$0.859,$0.895,$0.81
12/14/2023,$0.90,"727,151",$0.75,$0.91,$0.75
12/13/2023,$0.7591,"567,536",$0.805,$0.8228,$0.74
12/12/2023,$0.8022,"486,307",$0.87,$0.8797,$0.797
12/11/2023,$0.8709,"235,659",$0.8876,$0.8899,$0.8421
12/08/2023,$0.889,"257,884",$0.88,$0.89,$0.86
12/07/2023,$0.882,"348,892",$0.9018,$0.9018,$0.872
12/06/2023,$0.8928,"286,115",$0.90,$0.92,$0.8911
12/05/2023,$0.9171,"336,440",$0.908,$0.9197,$0.862
12/04/2023,$0.90,"309,244",$0.92,$0.93,$0.90
12/01/2023,$0.93,"617,849",$0.90,$0.9502,$0.90
11/30/2023,$0.9522,"808,160",$0.981,$1.00,$0.91
11/29/2023,$0.977,"724,913",$0.99,$1.03,$0.9634
11/28/2023,$1.01,"1,017,385",$1.04,$1.05,$0.9254
11/27/2023,$1.03,"852,254",$1.02,$1.08,$1.00
11/24/2023,$1.03,"3,368,658",$0.965,$1.14,$0.96
11/22/2023,$0.9138,"3,643,602",$0.9236,$0.9582,$0.88
11/21/2023,$0.902,"331,113",$0.93,$0.9401,$0.90
11/20/2023,$0.95,"465,842",$0.96,$0.9676,$0.897
11/17/2023,$0.9649,"595,780",$0.90,$0.98,$0.88
11/16/2023,$0.92,"947,006",$0.9767,$1.01,$0.9101
11/15/2023,$1.01,"4,547,042",$1.10,$1.25,$0.9899
11/14/2023,$0.93,"2,767,418",$1.04,$1.04,$0.8401
11/13/2023,$1.04,"2,129,664",$1.20,$1.22,$1.01
11/10/2023,$1.22,"601,823",$1.25,$1.25,$1.14
11/09/2023,$1.21,"639,470",$1.33,$1.33,$1.20
11/08/2023,$1.29,"1,323,092",$1.29,$1.42,$1.24
11/07/2023,$1.30,"389,399",$1.29,$1.335,$1.25
11/06/2023,$1.30,"769,881",$1.41,$1.41,$1.25
11/03/2023,$1.39,"1,443,918",$1.45,$1.52,$1.34
11/02/2023,$1.43,"741,080",$1.43,$1.485,$1.38
11/01/2023,$1.39,"1,477,165",$1.51,$1.58,$1.35
10/31/2023,$1.48,"4,490,436",$1.33,$1.68,$1.33
10/30/2023,$1.39,"2,145,187",$1.15,$1.4137,$1.15
10/27/2023,$1.15,"537,367",$1.14,$1.1701,$1.12
10/26/2023,$1.15,"939,165",$1.18,$1.25,$1.13
10/25/2023,$1.20,"859,414",$1.29,$1.355,$1.1827
10/24/2023,$1.24,"2,530,414",$1.10,$1.40,$1.10
10/23/2023,$1.17,"1,189,632",$1.19,$1.20,$1.12
10/20/2023,$1.20,"1,309,755",$1.27,$1.30,$1.17
10/19/2023,$1.31,"1,310,179",$1.33,$1.425,$1.272
10/18/2023,$1.39,"1,023,761",$1.38,$1.44,$1.3102
10/17/2023,$1.42,"3,708,526",$1.37,$1.50,$1.27
10/16/2023,$1.41,"1,739,760",$1.36,$1.51,$1.355
10/13/2023,$1.44,"3,483,594",$1.43,$1.55,$1.28
10/12/2023,$1.42,"4,995,664",$1.60,$1.60,$1.32
10/11/2023,$1.65,"4,875,633",$1.78,$1.9198,$1.57
10/10/2023,$1.76,"6,116,019",$1.70,$1.95,$1.65
10/09/2023,$1.72,"4,370,712",$1.80,$1.96,$1.60
10/06/2023,$2.00,"9,043,050",$2.08,$2.23,$1.72
10/05/2023,$2.08,"16,710,090",$2.76,$2.7999,$2.06
10/04/2023,$2.29,"20,020,780",$1.91,$2.6973,$1.82
10/03/2023,$2.49,"19,895,170",$3.10,$3.13,$2.35
10/02/2023,$3.89,"89,318,660",$4.07,$4.75,$3.30
09/29/2023,$2.98,"160,282,400",$1.88,$3.62,$1.88
09/28/2023,$1.52,"49,055,450",$1.08,$1.79,$1.00
09/27/2023,$1.11,"16,409,360",$1.14,$1.22,$1.04
09/26/2023,$1.48,"191,905,100",$1.22,$1.66,$1.00
09/25/2023,$0.3316,"11,091,550",$0.3101,$0.36,$0.3099
09/22/2023,$0.31,"33,537",$0.304,$0.31,$0.3001
09/21/2023,$0.3064,"142,012",$0.303,$0.3074,$0.2905
09/20/2023,$0.3223,"642,743",$0.3775,$0.3897,$0.3059
09/19/2023,$0.3198,"165,287",$0.3255,$0.3257,$0.30
09/18/2023,$0.3258,"247,734",$0.33,$0.3666,$0.2479
09/15/2023,$0.3674,"180,319",$0.3575,$0.3674,$0.3102
