Date,Close,Volume,Open,High,Low
03/01/2024,$200.81,"519,839",$201.85,$203.87,$200.22
02/29/2024,$200.68,"442,970",$200.39,$201.36,$197.61
02/28/2024,$199.34,"369,399",$199.45,$201.5499,$198.47
02/27/2024,$200.78,"533,101",$196.78,$201.90,$196.78
02/26/2024,$196.00,"663,156",$193.02,$198.95,$192.65
02/23/2024,$193.47,"259,828",$192.79,$194.6999,$192.54
02/22/2024,$192.66,"449,753",$190.65,$193.33,$188.53
02/21/2024,$189.66,"377,466",$191.85,$192.505,$188.58
02/20/2024,$191.85,"401,344",$189.64,$193.25,$188.43
02/16/2024,$190.01,"492,286",$189.12,$192.48,$187.95
02/15/2024,$189.56,"474,662",$187.77,$191.83,$187.06
02/14/2024,$185.83,"434,909",$185.00,$186.625,$182.27
02/13/2024,$184.13,"666,934",$184.09,$187.73,$181.225
02/12/2024,$189.36,"423,101",$189.63,$190.80,$188.765
02/09/2024,$188.95,"728,524",$186.72,$191.12,$185.51
02/08/2024,$186.10,"587,373",$183.52,$186.74,$183.23
02/07/2024,$182.71,"405,995",$181.79,$184.24,$180.47
02/06/2024,$181.40,"621,961",$178.10,$181.875,$177.72
02/05/2024,$178.69,"401,718",$179.23,$179.23,$177.00
02/02/2024,$181.11,"658,642",$180.36,$183.88,$176.58
02/01/2024,$182.54,"1,086,689",$181.34,$182.69,$177.61
01/31/2024,$179.46,"712,707",$182.88,$182.88,$179.32
01/30/2024,$182.74,"1,321,038",$184.47,$185.81,$181.63
01/29/2024,$186.91,"857,275",$190.00,$190.8699,$185.175
01/26/2024,$190.16,"588,907",$192.26,$193.29,$189.23
01/25/2024,$191.80,"728,649",$186.62,$191.86,$185.60
01/24/2024,$186.33,"552,130",$189.32,$189.57,$185.51
01/23/2024,$188.21,"778,233",$188.88,$189.92,$185.17
01/22/2024,$187.15,"667,256",$187.32,$187.455,$183.43
01/19/2024,$186.72,"902,967",$189.46,$189.46,$183.61
01/18/2024,$188.88,"550,795",$190.17,$190.765,$186.65
01/17/2024,$189.26,"545,731",$188.92,$189.64,$187.51
01/16/2024,$190.01,"804,295",$186.53,$190.20,$184.335
01/12/2024,$190.59,"454,646",$191.01,$192.49,$187.87
01/11/2024,$190.05,"529,111",$191.22,$191.35,$187.62
01/10/2024,$191.73,"567,355",$190.15,$193.00,$189.54
01/09/2024,$191.01,"702,947",$191.30,$192.56,$188.85
