Date,Close,Volume,Open,High,Low
03/01/2024,$11.10,"2,440",$11.30,$11.30,$11.10
02/29/2024,$11.28,"34,618",$10.53,$11.75,$10.53
02/28/2024,$10.94,"12,548",$10.68,$11.95,$10.45
02/27/2024,$10.45,"4,639",$10.89,$10.89,$10.45
02/26/2024,$10.93,"10,479",$11.50,$11.50,$10.72
02/23/2024,$11.16,"6,584",$11.50,$11.625,$11.16
02/22/2024,$11.17,"14,583",$10.49,$11.75,$10.49
02/21/2024,$10.41,"6,151",$11.00,$12.30,$10.40
02/20/2024,$10.61,"45,797",$12.497,$13.12,$10.38
02/16/2024,$12.37,"3,729",$12.50,$12.84,$12.212
02/15/2024,$12.61,"10,301",$13.02,$13.06,$12.1601
02/14/2024,$13.0001,"3,695",$12.56,$13.27,$12.56
02/13/2024,$13.25,"7,979",$13.245,$13.25,$12.61
02/12/2024,$13.06,"6,971",$12.90,$13.64,$12.90
02/09/2024,$12.85,"10,041",$13.50,$13.50,$12.85
02/08/2024,$13.32,"2,264",$13.4658,$13.4658,$13.32
02/07/2024,$13.10,"11,804",$13.00,$13.543,$12.80
02/06/2024,$12.91,"10,185",$13.20,$13.42,$12.80
02/05/2024,$12.71,"2,637",$13.35,$13.40,$12.71
02/02/2024,$13.19,"2,474",$13.6399,$13.6399,$13.10
02/01/2024,$13.14,"4,721",$13.89,$13.89,$13.00
01/31/2024,$13.19,"36,681",$12.92,$13.25,$12.60
01/30/2024,$12.60,"7,302",$12.2208,$12.80,$12.2208
01/29/2024,$12.38,"6,079",$12.45,$12.45,$12.03
01/26/2024,$12.53,"12,458",$12.80,$12.80,$12.37
01/25/2024,$13.02,"2,598",$12.75,$13.42,$12.75
01/24/2024,$12.36,"8,099",$12.872,$12.89,$12.3312
01/23/2024,$12.87,"2,599",$12.67,$13.0402,$12.67
01/22/2024,$12.90,"9,660",$13.1001,$13.5292,$12.6001
01/19/2024,$13.5699,"1,707",$13.3223,$13.5699,$13.10
01/18/2024,$13.13,"2,431",$13.57,$13.57,$13.13
01/17/2024,$13.573,"12,106",$13.25,$13.573,$13.25
01/16/2024,$13.96,"8,156",$13.10,$14.05,$13.10
01/12/2024,$14.05,"2,336",$13.81,$14.34,$13.5936
01/11/2024,$14.12,"9,234",$13.90,$14.98,$13.6654
01/10/2024,$13.89,"11,914",$13.93,$14.445,$13.52
01/09/2024,$13.90,N/A,$13.90,$13.90,$13.90
01/08/2024,$13.90,"1,720",$13.65,$13.90,$13.60
01/05/2024,$13.88,"16,709",$13.95,$14.40,$13.6201
01/04/2024,$14.35,609,$14.44,$14.44,$14.35
01/03/2024,$14.60,"4,333",$14.86,$15.21,$14.48
01/02/2024,$15.29,"9,619",$15.40,$15.75,$15.29
12/29/2023,$15.41,"62,838",$14.33,$16.05,$14.12
12/28/2023,$14.95,"34,263",$14.44,$15.14,$13.75
12/27/2023,$14.67,"5,412",$14.13,$15.00,$14.13
12/26/2023,$15.00,"27,991",$13.75,$15.00,$13.45
12/22/2023,$14.00,"1,643",$14.3036,$14.3036,$13.51
12/21/2023,$13.37,"10,514",$13.54,$14.32,$13.2001
12/20/2023,$13.49,"2,224",$13.00,$13.75,$13.00
12/19/2023,$13.35,"9,040",$13.15,$13.60,$12.9555
12/18/2023,$12.90,"5,822",$12.6376,$12.90,$12.6376
12/15/2023,$12.90,"11,124",$13.50,$13.5666,$12.29
12/14/2023,$13.41,882,$13.41,$13.70,$13.385
12/13/2023,$13.70,"10,235",$12.52,$13.70,$12.52
12/12/2023,$12.60,"2,028",$12.60,$12.7276,$12.4722
12/11/2023,$12.60,"5,144",$12.75,$12.903,$12.55
12/08/2023,$12.75,"3,088",$12.50,$12.99,$12.50
12/07/2023,$12.81,"10,157",$12.83,$13.80,$12.80
12/06/2023,$12.90,"9,458",$12.92,$13.87,$12.51
12/05/2023,$12.88,"2,368",$12.7302,$13.98,$12.7302
12/04/2023,$13.12,"12,455",$13.18,$13.98,$12.5001
12/01/2023,$13.40,"7,008",$13.20,$13.48,$13.00
11/30/2023,$13.55,"142,497",$13.61,$14.62,$13.50
11/29/2023,$13.4744,"7,826",$13.35,$13.57,$12.92
11/28/2023,$13.34,"4,990",$14.00,$14.00,$13.34
11/27/2023,$13.60,"12,464",$13.10,$13.95,$13.10
11/24/2023,$13.10,"2,013",$13.16,$13.16,$13.01
11/22/2023,$13.00,"5,996",$13.125,$13.30,$12.9701
11/21/2023,$13.01,"5,500",$13.00,$13.36,$12.76
11/20/2023,$12.97,"2,331",$13.34,$13.49,$12.5523
11/17/2023,$13.08,"2,914",$13.02,$13.54,$12.80
11/16/2023,$13.06,"3,411",$13.00,$13.49,$12.675
11/15/2023,$13.39,"4,187",$12.11,$13.39,$12.11
11/14/2023,$12.16,"11,702",$12.31,$12.75,$12.07
11/13/2023,$12.26,"20,755",$14.00,$14.00,$12.20
11/10/2023,$14.10,"2,264",$14.60,$15.21,$14.10
11/09/2023,$14.60,"21,241",$15.76,$15.76,$14.09
11/08/2023,$16.24,"12,712",$16.75,$16.78,$15.70
11/07/2023,$16.76,"7,973",$16.53,$17.03,$16.52
11/06/2023,$16.51,802,$15.56,$16.51,$15.56
11/03/2023,$16.66,"4,478",$16.30,$16.85,$15.87
11/02/2023,$16.27,"6,630",$16.48,$16.92,$16.27
11/01/2023,$16.25,"10,567",$16.14,$16.38,$15.10
10/31/2023,$16.28,"24,918",$15.00,$16.28,$15.00
10/30/2023,$14.99,"1,001",$14.82,$15.00,$14.70
10/27/2023,$14.98,"3,941",$14.0201,$14.99,$14.0201
10/26/2023,$14.95,"22,330",$14.80,$15.08,$14.80
10/25/2023,$15.00,"141,680",$15.32,$15.32,$15.00
10/24/2023,$15.40,"22,234",$14.82,$15.50,$14.012
10/23/2023,$15.00,"14,999",$14.98,$15.01,$14.10
10/20/2023,$14.98,"26,696",$14.9825,$15.00,$13.8006
10/19/2023,$14.45,"2,121",$14.40,$14.45,$14.40
10/18/2023,$14.27,"16,861",$14.03,$14.53,$14.03
10/17/2023,$14.235,"18,795",$13.50,$15.1325,$12.65
10/16/2023,$13.89,503,$14.72,$14.72,$13.89
10/13/2023,$14.86,"2,306",$14.90,$14.90,$14.86
10/12/2023,$14.77,"53,545",$14.7388,$15.15,$14.7388
10/11/2023,$15.00,"33,069",$15.00,$15.795,$14.22
10/10/2023,$14.80,825,$14.80,$14.80,$14.80
10/09/2023,$14.26,N/A,$14.26,$14.26,$14.26
10/06/2023,$14.26,"5,452",$14.55,$15.4899,$14.09
10/05/2023,$14.55,"7,740",$15.31,$15.40,$14.50
10/04/2023,$15.12,"6,604",$15.60,$15.78,$15.11
10/03/2023,$15.59,"10,103",$15.90,$15.90,$15.10
