Date,Close,Volume,Open,High,Low
03/01/2024,$26.99,"1,286,291",$27.43,$27.52,$26.845
02/29/2024,$27.38,"3,000,177",$27.16,$27.52,$27.05
02/28/2024,$26.96,"1,629,500",$27.01,$27.13,$26.87
02/27/2024,$27.11,"1,372,459",$27.29,$27.41,$27.04
02/26/2024,$27.22,"2,275,284",$27.68,$27.79,$27.16
02/23/2024,$27.68,"1,525,128",$27.63,$27.93,$27.25
02/22/2024,$27.41,"957,776",$27.46,$27.62,$27.22
02/21/2024,$27.46,"1,048,726",$27.61,$27.66,$27.14
02/20/2024,$27.63,"1,216,888",$27.84,$28.01,$27.59
02/16/2024,$27.95,"1,131,163",$28.15,$28.16,$27.78
02/15/2024,$28.14,"1,478,466",$27.81,$28.295,$27.75
02/14/2024,$27.74,"1,097,753",$27.43,$27.86,$27.275
02/13/2024,$27.36,"1,381,351",$27.83,$27.83,$26.97
02/12/2024,$28.01,"1,363,817",$27.46,$28.16,$27.43
02/09/2024,$27.45,"1,916,505",$26.72,$27.58,$26.61
02/08/2024,$26.62,"2,124,970",$27.37,$27.72,$26.41
02/07/2024,$27.44,"2,547,114",$30.50,$30.50,$27.3086
02/06/2024,$29.34,"1,037,733",$29.24,$29.55,$29.03
02/05/2024,$29.18,"1,004,058",$29.29,$29.46,$29.16
02/02/2024,$29.56,"1,050,607",$29.86,$30.01,$29.43
02/01/2024,$30.12,"927,854",$30.01,$30.16,$29.58
01/31/2024,$30.01,"1,813,045",$29.91,$30.405,$29.702
01/30/2024,$29.80,"641,853",$29.89,$29.995,$29.75
01/29/2024,$29.92,"738,062",$29.75,$29.94,$29.61
01/26/2024,$29.74,"731,511",$29.74,$29.885,$29.655
01/25/2024,$29.71,"1,149,127",$29.25,$29.815,$29.25
01/24/2024,$29.06,"796,719",$29.37,$29.37,$28.97
01/23/2024,$29.18,"678,725",$29.14,$29.37,$28.925
01/22/2024,$28.94,"766,179",$28.79,$29.11,$28.78
01/19/2024,$28.73,"798,482",$28.72,$28.805,$28.33
01/18/2024,$28.58,"989,073",$28.44,$28.71,$28.21
01/17/2024,$28.38,"919,182",$28.26,$28.67,$28.16
