Date,Close,Volume,Open,High,Low
03/01/2024,$110.80,"769,257",$113.31,$113.88,$108.47
02/29/2024,$113.03,"1,841,534",$111.12,$114.31,$109.58
02/28/2024,$109.53,"1,064,655",$108.82,$110.90,$107.00
02/27/2024,$108.28,"2,672,767",$111.52,$111.57,$104.85
02/26/2024,$110.12,"3,402,471",$108.47,$112.00,$103.22
02/23/2024,$92.01,"1,256,116",$90.29,$93.125,$90.07
02/22/2024,$90.29,"478,286",$89.87,$90.59,$89.1475
02/21/2024,$89.26,"436,583",$89.72,$89.99,$87.87
02/20/2024,$90.00,"410,243",$88.80,$90.47,$88.15
02/16/2024,$89.62,"342,880",$89.00,$90.1069,$85.501
02/15/2024,$90.20,"532,270",$89.47,$90.67,$88.165
02/14/2024,$88.89,"513,883",$88.50,$88.99,$85.58
02/13/2024,$87.53,"394,497",$86.08,$88.05,$84.0155
02/12/2024,$88.60,"378,735",$87.48,$89.90,$87.48
02/09/2024,$87.37,"363,063",$87.57,$88.94,$86.07
02/08/2024,$87.61,"416,794",$88.57,$89.5127,$87.45
02/07/2024,$88.38,"786,558",$88.50,$89.87,$87.13
02/06/2024,$88.41,"380,526",$88.00,$89.17,$87.535
02/05/2024,$87.99,"311,596",$88.33,$88.33,$86.4423
02/02/2024,$88.50,"477,471",$86.85,$88.97,$86.00
02/01/2024,$87.23,"488,742",$86.18,$87.66,$85.51
01/31/2024,$86.10,"423,793",$88.36,$88.36,$86.04
01/30/2024,$88.29,"329,856",$87.82,$88.8117,$86.985
01/29/2024,$88.04,"460,899",$88.50,$89.32,$86.83
01/26/2024,$88.15,"342,116",$88.01,$88.50,$87.64
01/25/2024,$87.99,"434,551",$89.00,$89.00,$87.51
01/24/2024,$88.09,"441,587",$88.11,$89.475,$87.50
01/23/2024,$88.06,"386,978",$88.22,$89.00,$87.55
01/22/2024,$87.40,"400,702",$87.06,$88.30,$86.41
01/19/2024,$86.84,"485,580",$85.75,$86.84,$84.69
01/18/2024,$85.23,"482,748",$85.77,$86.45,$83.77
01/17/2024,$85.37,"349,312",$84.79,$85.55,$84.00
01/16/2024,$85.60,"357,116",$85.33,$85.65,$84.53
01/12/2024,$85.35,"630,031",$84.95,$86.45,$84.23
01/11/2024,$84.95,"589,270",$84.81,$85.435,$82.89
01/10/2024,$85.25,"854,182",$85.09,$87.09,$84.57
01/09/2024,$84.01,"739,724",$82.21,$86.42,$82.21
01/08/2024,$83.12,"809,629",$84.00,$84.26,$82.76
01/05/2024,$84.47,"513,270",$83.41,$85.2575,$82.70
01/04/2024,$83.82,"698,976",$82.70,$84.25,$82.16
01/03/2024,$83.50,"1,141,351",$86.96,$87.2085,$82.66
01/02/2024,$87.48,"1,293,016",$85.88,$89.06,$84.1446
12/29/2023,$86.76,"308,406",$87.00,$88.00,$86.41
12/28/2023,$87.47,"358,511",$87.53,$88.57,$86.74
12/27/2023,$87.68,"622,504",$86.38,$88.85,$86.06
12/26/2023,$85.96,"262,805",$85.53,$86.89,$85.08
12/22/2023,$85.28,"616,444",$85.31,$86.57,$84.90
12/21/2023,$85.03,"276,691",$84.46,$85.63,$83.34
12/20/2023,$83.77,"324,349",$85.21,$86.165,$83.71
12/19/2023,$85.59,"450,987",$84.18,$86.04,$83.62
12/18/2023,$84.45,"479,186",$85.00,$85.6525,$83.69
12/15/2023,$84.45,"720,876",$84.28,$84.81,$83.115
12/14/2023,$84.27,"897,991",$84.59,$86.48,$83.98
12/13/2023,$83.85,"830,948",$79.50,$84.40,$79.50
12/12/2023,$79.35,"633,063",$77.90,$79.38,$77.39
12/11/2023,$77.26,"581,454",$76.21,$78.70,$75.81
12/08/2023,$76.25,"800,283",$76.45,$77.13,$75.638
12/07/2023,$75.51,"658,349",$73.09,$75.91,$71.98
12/06/2023,$72.44,"503,974",$71.67,$73.26,$71.66
12/05/2023,$71.60,"534,424",$72.05,$73.19,$71.22
12/04/2023,$72.19,"869,398",$71.84,$73.52,$71.42
12/01/2023,$71.72,"987,448",$70.70,$72.39,$70.58
11/30/2023,$70.95,"372,733",$70.10,$71.09,$69.37
11/29/2023,$69.98,"733,655",$70.53,$71.51,$69.66
11/28/2023,$70.35,"688,374",$68.71,$70.50,$68.22
11/27/2023,$68.70,"358,388",$69.11,$69.31,$68.25
11/24/2023,$69.30,"135,684",$69.73,$70.635,$69.19
11/22/2023,$69.85,"351,243",$69.34,$70.17,$68.88
11/21/2023,$69.06,"318,184",$69.64,$69.75,$68.89
11/20/2023,$69.62,"344,046",$70.24,$70.61,$69.28
11/17/2023,$69.87,"1,042,960",$69.52,$70.39,$68.52
11/16/2023,$68.92,"357,933",$68.59,$69.51,$68.14
11/15/2023,$69.03,"429,334",$70.09,$70.73,$68.98
11/14/2023,$69.67,"474,757",$68.75,$70.30,$68.73
11/13/2023,$67.43,"580,435",$66.82,$69.04,$66.36
11/10/2023,$67.03,"384,499",$66.50,$67.68,$66.185
11/09/2023,$66.47,"346,147",$66.44,$67.69,$65.8501
11/08/2023,$66.31,"671,147",$67.89,$68.53,$65.805
11/07/2023,$67.89,"1,035,084",$67.70,$69.15,$67.51
11/06/2023,$68.10,"3,538,616",$71.07,$73.75,$66.54
11/03/2023,$58.25,"753,667",$59.28,$59.665,$57.50
11/02/2023,$58.06,"659,035",$57.11,$58.74,$57.11
11/01/2023,$55.87,"819,531",$57.33,$57.47,$54.60
10/31/2023,$57.40,"612,808",$58.00,$58.36,$57.25
10/30/2023,$57.82,"394,119",$58.67,$58.77,$57.00
10/27/2023,$57.87,"405,111",$57.78,$58.27,$56.785
10/26/2023,$57.71,"521,441",$58.90,$59.79,$57.66
10/25/2023,$58.96,"441,026",$58.04,$59.08,$56.91
10/24/2023,$58.13,"426,872",$57.07,$59.42,$57.00
10/23/2023,$57.28,"719,652",$55.01,$57.61,$54.785
10/20/2023,$55.28,"585,813",$55.50,$56.66,$55.09
10/19/2023,$55.67,"516,484",$55.40,$57.22,$54.81
10/18/2023,$55.40,"754,225",$57.45,$58.89,$54.85
10/17/2023,$58.21,"656,567",$57.14,$58.98,$57.14
10/16/2023,$57.45,"430,065",$57.05,$58.27,$56.89
10/13/2023,$56.96,"509,210",$57.34,$57.6599,$56.07
10/12/2023,$57.31,"700,132",$59.31,$60.03,$57.035
10/11/2023,$59.37,"359,852",$59.02,$59.455,$57.92
10/10/2023,$58.99,"504,696",$58.41,$60.77,$58.41
10/09/2023,$58.60,"383,646",$58.05,$59.00,$56.98
10/06/2023,$58.84,"1,023,788",$58.33,$59.216,$56.20
10/05/2023,$59.05,"586,245",$61.24,$61.61,$58.99
10/04/2023,$61.27,"816,245",$61.35,$62.69,$59.61
10/03/2023,$61.38,"681,810",$64.63,$64.895,$60.33
10/02/2023,$64.89,"369,258",$65.41,$65.90,$64.14
09/29/2023,$65.88,"520,371",$65.93,$66.65,$65.23
09/28/2023,$65.30,"360,481",$64.83,$65.61,$64.57
09/27/2023,$64.74,"537,978",$65.36,$66.42,$63.67
09/26/2023,$64.87,"451,297",$63.05,$65.02,$63.005
09/25/2023,$63.37,"734,137",$63.79,$65.61,$63.16
09/22/2023,$63.92,"619,824",$66.07,$66.4999,$63.5525
09/21/2023,$66.01,"751,145",$68.00,$68.10,$65.49
09/20/2023,$68.33,"883,228",$72.95,$73.1937,$68.09
09/19/2023,$72.46,"336,810",$72.52,$73.13,$71.62
09/18/2023,$72.72,"534,997",$72.21,$73.295,$71.67
09/15/2023,$72.24,"473,378",$71.97,$72.88,$71.69
09/14/2023,$72.13,"351,739",$72.17,$73.23,$71.18
09/13/2023,$72.20,"382,516",$73.46,$73.91,$72.04
09/12/2023,$72.22,"250,028",$72.39,$72.955,$71.94
09/11/2023,$72.36,"421,696",$73.93,$75.10,$70.79
