Date,Close,Volume,Open,High,Low
03/01/2024,$21.71,"11,598",$22.09,$22.09,$21.5508
02/29/2024,$22.10,"11,715",$21.85,$22.32,$21.85
02/28/2024,$21.80,"32,451",$21.82,$22.07,$21.50
02/27/2024,$21.90,"19,471",$22.08,$22.37,$21.80
02/26/2024,$21.95,"35,524",$21.89,$22.2278,$21.54
02/23/2024,$21.80,"24,901",$21.55,$21.98,$21.50
02/22/2024,$21.40,"12,791",$21.41,$21.49,$21.30
02/21/2024,$21.41,"18,630",$21.35,$21.47,$21.1301
02/20/2024,$21.30,"33,781",$21.19,$21.45,$21.05
02/16/2024,$21.25,"37,647",$21.25,$21.72,$21.0653
02/15/2024,$21.49,"14,854",$21.16,$21.93,$21.16
02/14/2024,$21.21,"12,627",$21.52,$21.52,$21.20
02/13/2024,$21.30,"18,880",$21.86,$21.88,$21.095
02/12/2024,$22.00,"16,243",$21.90,$22.47,$21.90
02/09/2024,$22.07,"25,752",$22.32,$22.32,$21.815
02/08/2024,$22.06,"16,192",$22.10,$22.49,$21.91
02/07/2024,$22.24,"18,410",$22.43,$22.43,$21.85
02/06/2024,$22.39,"37,985",$23.16,$23.16,$22.39
02/05/2024,$22.85,"18,069",$22.81,$22.90,$22.515
02/02/2024,$22.87,"60,330",$22.29,$23.01,$22.00
02/01/2024,$22.50,"18,092",$22.57,$22.74,$21.8101
01/31/2024,$22.74,"34,147",$22.95,$22.95,$22.59
01/30/2024,$22.88,"15,779",$22.75,$22.95,$22.62
01/29/2024,$22.75,"18,709",$22.73,$22.84,$22.69
01/26/2024,$22.84,"16,278",$22.69,$22.84,$21.1527
01/25/2024,$22.84,"12,633",$22.70,$22.84,$22.62
01/24/2024,$22.89,"11,327",$22.65,$22.96,$22.6401
01/23/2024,$22.70,"19,060",$23.06,$23.175,$22.61
01/22/2024,$23.16,"52,369",$23.00,$23.3693,$22.505
01/19/2024,$23.00,"50,638",$22.00,$23.00,$22.00
01/18/2024,$22.09,"48,787",$21.63,$22.34,$21.49
01/17/2024,$21.885,"54,849",$22.00,$22.00,$21.5601
01/16/2024,$22.10,"58,959",$22.35,$22.35,$21.90
01/12/2024,$22.19,"35,046",$22.31,$22.50,$22.13
01/11/2024,$22.40,"10,546",$22.40,$22.40,$22.16
01/10/2024,$22.39,"26,361",$22.99,$22.99,$22.33
01/09/2024,$22.50,"66,622",$22.63,$22.94,$22.49
01/08/2024,$22.82,"21,343",$23.30,$23.30,$22.78
01/05/2024,$23.30,"45,290",$23.55,$23.66,$22.898
01/04/2024,$23.70,"22,295",$23.90,$23.94,$23.60
01/03/2024,$23.85,"21,982",$23.83,$24.285,$23.662
01/02/2024,$23.80,"20,192",$23.60,$24.00,$23.26
12/29/2023,$23.51,"13,807",$23.44,$23.69,$23.21
12/28/2023,$23.20,"8,197",$23.11,$23.40,$23.10
12/27/2023,$23.29,"11,456",$23.48,$23.50,$23.02
12/26/2023,$23.26,"34,483",$22.65,$23.26,$22.55
12/22/2023,$22.94,"20,993",$22.19,$22.9999,$22.0627
12/21/2023,$22.19,"29,149",$22.09,$22.40,$22.00
12/20/2023,$22.19,"17,908",$22.00,$22.44,$22.00
12/19/2023,$22.09,"9,915",$21.93,$22.43,$21.73
12/18/2023,$22.00,"14,164",$22.00,$22.21,$21.80
12/15/2023,$22.00,"11,258",$21.824,$22.35,$21.725
12/14/2023,$21.95,"11,794",$22.09,$22.21,$21.78
12/13/2023,$22.00,"11,386",$21.67,$22.30,$21.50
12/12/2023,$21.55,"9,562",$21.96,$21.96,$20.2519
12/11/2023,$21.73,"15,540",$21.50,$22.20,$21.50
12/08/2023,$21.97,"20,584",$21.26,$22.35,$21.26
12/07/2023,$21.46,"16,369",$21.38,$21.50,$21.22
12/06/2023,$21.22,"25,732",$21.08,$21.395,$21.06
12/05/2023,$21.06,"23,405",$20.17,$21.145,$20.12
12/04/2023,$20.10,"27,709",$19.44,$20.24,$19.1101
12/01/2023,$19.45,"20,657",$18.50,$19.865,$18.50
11/30/2023,$18.50,"13,785",$18.575,$18.73,$18.45
11/29/2023,$18.31,"2,238",$18.18,$18.48,$18.18
11/28/2023,$18.15,"8,449",$18.05,$18.15,$18.05
11/27/2023,$18.20,"3,000",$18.22,$18.35,$18.20
11/24/2023,$18.38,"2,334",$18.06,$18.38,$18.06
11/22/2023,$18.28,"1,901",$18.01,$18.28,$18.01
11/21/2023,$18.11,"3,173",$18.265,$18.36,$18.05
11/20/2023,$18.35,"5,701",$18.25,$18.50,$18.25
11/17/2023,$18.32,"1,283",$18.50,$18.50,$18.26
11/16/2023,$18.43,"2,153",$18.48,$18.48,$18.26
11/15/2023,$18.25,"6,132",$18.40,$18.65,$18.25
11/14/2023,$18.33,"21,811",$17.94,$18.39,$17.93
11/13/2023,$17.62,"17,370",$17.60,$17.79,$17.60
11/10/2023,$17.60,"8,959",$17.49,$17.73,$17.49
11/09/2023,$17.49,"2,792",$17.44,$17.49,$17.40
11/08/2023,$17.25,"1,272",$17.29,$17.325,$17.25
11/07/2023,$17.41,"6,368",$17.42,$17.45,$17.41
11/06/2023,$17.10,"2,012",$17.00,$17.395,$17.00
11/03/2023,$16.99,"14,712",$16.70,$17.20,$16.64
11/02/2023,$16.89,"3,859",$16.704,$17.00,$16.56
11/01/2023,$16.60,"5,511",$16.46,$16.80,$16.46
10/31/2023,$16.36,"4,123",$16.40,$16.40,$16.36
10/30/2023,$16.45,"2,735",$16.47,$16.67,$16.45
10/27/2023,$16.32,"15,235",$16.405,$16.405,$16.30
10/26/2023,$16.31,"2,278",$16.16,$16.7351,$16.15
10/25/2023,$16.16,"7,448",$16.25,$16.30,$15.675
10/24/2023,$16.30,831,$16.30,$16.30,$16.30
10/23/2023,$16.20,"2,968",$16.26,$16.32,$16.20
10/20/2023,$16.35,"25,423",$16.25,$16.61,$16.25
10/19/2023,$16.50,714,$16.68,$16.68,$16.50
10/18/2023,$16.36,"9,770",$16.42,$16.50,$16.36
10/17/2023,$16.49,"15,099",$16.35,$16.66,$16.35
10/16/2023,$16.65,"8,295",$16.8405,$17.0803,$16.55
10/13/2023,$16.30,"9,780",$16.18,$16.48,$16.18
10/12/2023,$16.34,"5,102",$16.194,$16.34,$16.15
10/11/2023,$16.16,"6,006",$16.20,$16.225,$16.15
10/10/2023,$16.26,"1,434",$16.2301,$16.26,$16.2301
10/09/2023,$16.21,"2,240",$16.20,$16.38,$16.15
10/06/2023,$16.30,"5,681",$16.28,$16.30,$16.21
10/05/2023,$16.21,"5,221",$16.26,$16.30,$16.20
10/04/2023,$16.20,"2,632",$16.12,$16.20,$16.103
10/03/2023,$16.12,"3,740",$16.21,$16.21,$16.05
10/02/2023,$16.18,"1,846",$16.21,$16.4699,$16.18
09/29/2023,$16.225,"28,792",$16.21,$16.23,$16.09
09/28/2023,$16.20,"3,860",$16.18,$16.31,$16.18
09/27/2023,$16.19,"2,798",$16.21,$16.2474,$16.19
09/26/2023,$16.20,"3,904",$16.25,$16.25,$16.18
09/25/2023,$16.20,"1,360",$16.20,$16.20,$16.20
09/22/2023,$16.20,"4,733",$16.21,$16.42,$16.20
09/21/2023,$16.22,"3,214",$16.50,$16.50,$16.21
09/20/2023,$16.26,"9,511",$16.21,$16.35,$16.15
09/19/2023,$16.21,"6,550",$16.21,$16.25,$16.16
09/18/2023,$16.30,"1,482",$16.281,$16.30,$16.25
09/15/2023,$16.49,"22,052",$16.45,$16.55,$16.45
09/14/2023,$16.43,"2,270",$16.63,$16.63,$16.40
09/13/2023,$16.25,"2,225",$16.25,$16.35,$16.25
09/12/2023,$16.25,"1,474",$16.25,$16.25,$16.25
09/11/2023,$16.32,"1,530",$16.28,$16.50,$16.24
09/08/2023,$16.23,"2,762",$16.2101,$16.35,$16.2101
09/07/2023,$16.21,"2,393",$16.21,$16.39,$16.21
09/06/2023,$16.29,"2,342",$16.60,$16.60,$16.25
09/05/2023,$16.71,"6,289",$16.55,$16.75,$16.55
09/01/2023,$16.55,"1,927",$16.9899,$16.9899,$16.50
08/31/2023,$16.23,"3,790",$16.36,$16.585,$16.23
08/30/2023,$16.22,"7,165",$16.26,$17.00,$16.21
08/29/2023,$16.27,N/A,$16.27,$16.27,$16.27
08/28/2023,$16.27,"1,445",$16.6388,$16.6388,$16.27
08/25/2023,$16.31,"2,072",$16.59,$16.59,$16.30
08/24/2023,$16.52,"2,947",$16.375,$16.70,$16.375
08/23/2023,$16.25,"6,970",$16.18,$16.43,$16.18
08/22/2023,$16.21,"23,376",$16.36,$16.40,$16.00
08/21/2023,$16.40,"5,236",$16.15,$16.871,$16.15
08/18/2023,$16.10,"1,006",$16.31,$16.31,$16.10
08/17/2023,$16.32,966,$16.29,$16.32,$16.14
08/16/2023,$16.27,"9,122",$16.39,$16.505,$15.985
08/15/2023,$16.49,"3,275",$16.30,$16.49,$16.25
08/14/2023,$16.54,"3,385",$16.71,$16.71,$16.50
08/11/2023,$16.70,"2,896",$16.76,$16.78,$16.66
08/10/2023,$16.88,"2,967",$16.5001,$16.98,$16.5001
08/09/2023,$16.75,"2,644",$16.94,$16.94,$16.75
08/08/2023,$16.91,"2,305",$16.5364,$16.91,$16.5364
08/07/2023,$16.82,"2,555",$16.82,$16.92,$16.70
08/04/2023,$16.80,"5,175",$16.83,$16.955,$16.75
08/03/2023,$16.77,930,$16.77,$16.77,$16.77
08/02/2023,$17.00,"6,012",$17.1299,$17.1299,$16.90
08/01/2023,$17.15,"8,139",$17.26,$17.2604,$17.15
07/31/2023,$17.16,"2,755",$17.30,$17.30,$17.15
07/28/2023,$17.12,"2,236",$17.13,$17.44,$17.05
07/27/2023,$17.02,"2,735",$17.00,$17.1199,$17.00
07/26/2023,$17.34,"12,898",$16.89,$17.445,$16.89
07/25/2023,$17.09,"12,764",$16.75,$17.25,$16.75
07/24/2023,$16.59,"3,451",$16.50,$16.725,$16.50
07/21/2023,$16.36,"11,509",$16.34,$16.4995,$16.34
07/20/2023,$16.38,"3,953",$16.038,$16.39,$16.00
07/19/2023,$16.40,"8,406",$16.31,$16.42,$15.9801
07/18/2023,$16.25,"5,234",$16.10,$16.25,$15.98
07/17/2023,$15.97,"18,656",$15.88,$16.40,$15.011
07/14/2023,$16.30,"18,523",$15.76,$16.44,$15.7472
07/13/2023,$15.58,"29,639",$14.88,$15.74,$14.88
