Date,Close,Volume,Open,High,Low
03/01/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/29/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/28/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/27/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/26/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/23/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/22/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/21/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/20/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/16/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/15/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/14/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/13/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/12/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/09/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/08/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/07/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/06/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/05/2024,$0.03,N/A,$0.03,$0.03,$0.03
02/02/2024,$0.03,"2,000",$0.03,$0.03,$0.03
02/01/2024,$0.025,100,$0.025,$0.025,$0.025
01/31/2024,$0.035,N/A,$0.035,$0.035,$0.035
01/30/2024,$0.035,N/A,$0.035,$0.035,$0.035
01/29/2024,$0.035,N/A,$0.035,$0.035,$0.035
01/26/2024,$0.035,N/A,$0.035,$0.035,$0.035
01/25/2024,$0.035,N/A,$0.035,$0.035,$0.035
01/24/2024,$0.035,400,$0.035,$0.035,$0.035
01/23/2024,$0.0399,N/A,$0.0399,$0.0399,$0.0399
01/22/2024,$0.0399,"3,000",$0.0399,$0.0399,$0.0399
01/19/2024,$0.045,N/A,$0.045,$0.045,$0.045
01/18/2024,$0.045,N/A,$0.045,$0.045,$0.045
01/17/2024,$0.045,N/A,$0.045,$0.045,$0.045
01/16/2024,$0.045,N/A,$0.045,$0.045,$0.045
01/12/2024,$0.045,N/A,$0.045,$0.045,$0.045
01/11/2024,$0.045,N/A,$0.045,$0.045,$0.045
01/10/2024,$0.045,N/A,$0.045,$0.045,$0.045
01/09/2024,$0.045,N/A,$0.045,$0.045,$0.045
01/08/2024,$0.045,N/A,$0.045,$0.045,$0.045
01/05/2024,$0.045,"1,854",$0.0404,$0.045,$0.0404
01/04/2024,$0.022,N/A,$0.022,$0.022,$0.022
01/03/2024,$0.022,"12,692",$0.0236,$0.0236,$0.022
01/02/2024,$0.03,N/A,$0.03,$0.03,$0.03
12/29/2023,$0.03,"102,880",$0.0234,$0.0307,$0.0234
12/28/2023,$0.0234,N/A,$0.0234,$0.0234,$0.0234
12/27/2023,$0.0234,934,$0.02,$0.024,$0.02
12/26/2023,$0.0199,"5,075",$0.0199,$0.0199,$0.0199
12/22/2023,$0.015,N/A,$0.015,$0.015,$0.015
12/21/2023,$0.015,"403,850",$0.015,$0.015,$0.015
12/20/2023,$0.0126,N/A,$0.0126,$0.0126,$0.0126
12/19/2023,$0.0126,N/A,$0.0126,$0.0126,$0.0126
12/18/2023,$0.0126,"1,705",$0.014,$0.014,$0.0126
12/15/2023,$0.0165,N/A,$0.0165,$0.0165,$0.0165
12/14/2023,$0.0165,N/A,$0.0165,$0.0165,$0.0165
12/13/2023,$0.0165,N/A,$0.0165,$0.0165,$0.0165
12/12/2023,$0.0165,N/A,$0.0165,$0.0165,$0.0165
12/11/2023,$0.0165,N/A,$0.0165,$0.0165,$0.0165
12/08/2023,$0.0165,"229,000",$0.0165,$0.0165,$0.0165
12/07/2023,$0.0115,N/A,$0.0115,$0.0115,$0.0115
12/06/2023,$0.0115,N/A,$0.0115,$0.0115,$0.0115
