Date,Close,Volume,Open,High,Low
03/01/2024,$31.73,"79,692",$31.98,$32.42,$31.39
02/29/2024,$31.92,"89,555",$31.67,$32.09,$31.23
02/28/2024,$30.98,"70,153",$31.21,$31.925,$30.84
02/27/2024,$31.94,"60,383",$31.82,$32.50,$31.71
02/26/2024,$31.54,"102,730",$31.31,$31.98,$30.98
02/23/2024,$31.32,"80,195",$30.68,$31.67,$30.68
02/22/2024,$30.75,"57,136",$31.14,$31.51,$30.526
02/21/2024,$31.08,"74,967",$30.38,$31.215,$30.09
02/20/2024,$30.73,"98,225",$31.92,$31.92,$30.02
02/16/2024,$32.30,"80,389",$31.85,$32.48,$31.44
02/15/2024,$32.27,"89,175",$30.83,$32.47,$30.83
02/14/2024,$30.35,"79,706",$30.70,$30.70,$29.61
02/13/2024,$30.05,"142,480",$30.52,$30.73,$29.65
02/12/2024,$31.91,"100,311",$29.75,$32.2325,$29.75
02/09/2024,$29.75,"82,163",$29.41,$30.09,$28.96
02/08/2024,$29.50,"103,070",$28.29,$29.57,$27.91
02/07/2024,$28.00,"97,603",$28.30,$28.30,$27.5975
02/06/2024,$28.47,"70,794",$28.02,$28.79,$27.99
02/05/2024,$28.06,"95,763",$28.20,$28.225,$27.54
02/02/2024,$28.81,"86,429",$28.32,$29.33,$27.99
02/01/2024,$29.17,"145,164",$28.00,$29.23,$27.44
01/31/2024,$27.78,"201,241",$28.15,$28.4375,$27.46
01/30/2024,$28.26,"65,229",$27.95,$28.46,$27.72
01/29/2024,$28.44,"74,883",$28.75,$28.75,$27.73
01/26/2024,$28.76,"64,214",$28.73,$28.77,$28.13
01/25/2024,$28.42,"56,152",$28.72,$28.75,$28.08
01/24/2024,$28.04,"124,979",$28.50,$28.63,$27.64
01/23/2024,$27.87,"82,605",$28.28,$28.58,$27.45
01/22/2024,$27.76,"85,363",$27.08,$27.81,$27.08
01/19/2024,$26.92,"145,580",$27.50,$27.50,$26.68
01/18/2024,$27.32,"157,356",$27.70,$27.70,$26.675
01/17/2024,$27.58,"95,838",$26.89,$27.70,$26.89
01/16/2024,$27.39,"224,866",$27.38,$27.6171,$26.75
01/12/2024,$27.89,"84,411",$28.64,$29.39,$27.725
01/11/2024,$28.49,"121,274",$29.28,$29.51,$28.01
01/10/2024,$29.77,"109,902",$28.61,$30.10,$28.61
01/09/2024,$28.86,"162,062",$29.98,$29.98,$28.42
01/08/2024,$30.72,"314,374",$25.58,$30.9725,$25.57
01/05/2024,$31.06,"193,617",$31.48,$32.43,$30.865
01/04/2024,$31.85,"116,637",$31.63,$32.16,$31.60
01/03/2024,$32.09,"122,536",$33.89,$33.98,$31.82
01/02/2024,$34.48,"132,693",$34.90,$35.79,$34.30
12/29/2023,$35.21,"121,650",$36.21,$36.51,$35.12
12/28/2023,$36.04,"88,577",$35.65,$36.47,$35.58
