Date,Close,Volume,Open,High,Low
03/01/2024,$92.72,"2,696,180",$91.05,$93.06,$90.575
02/29/2024,$91.28,"6,143,958",$93.31,$93.34,$88.87
02/28/2024,$93.02,"3,431,939",$92.25,$93.9592,$92.00
02/27/2024,$92.52,"3,993,366",$90.01,$92.58,$89.4894
02/26/2024,$90.62,"3,805,070",$88.94,$90.71,$88.79
02/23/2024,$89.07,"3,815,582",$87.40,$89.73,$87.235
02/22/2024,$87.64,"4,154,899",$85.45,$88.10,$85.005
02/21/2024,$84.98,"5,839,786",$83.00,$85.21,$82.06
02/20/2024,$86.39,"6,372,550",$85.93,$86.81,$85.58
02/16/2024,$86.02,"13,131,800",$83.51,$87.29,$83.49
02/15/2024,$85.63,"2,346,091",$83.94,$85.74,$83.925
02/14/2024,$83.17,"2,214,771",$82.60,$83.4399,$82.3401
02/13/2024,$82.31,"2,529,750",$82.35,$82.717,$81.16
02/12/2024,$83.17,"2,304,304",$81.62,$83.31,$81.39
02/09/2024,$81.34,"2,755,210",$82.29,$82.75,$80.6102
02/08/2024,$82.06,"2,483,813",$81.53,$82.14,$80.4364
02/07/2024,$81.83,"4,278,075",$82.04,$82.5081,$80.17
02/06/2024,$81.96,"12,511,170",$76.75,$83.11,$76.56
02/05/2024,$73.41,"3,365,666",$73.22,$73.57,$72.61
02/02/2024,$73.91,"2,446,671",$74.03,$74.36,$72.52
02/01/2024,$74.35,"2,593,628",$73.36,$75.13,$72.99
01/31/2024,$73.36,"3,129,586",$73.93,$74.47,$72.95
01/30/2024,$74.00,"1,673,926",$73.73,$74.52,$73.12
01/29/2024,$74.38,"2,160,340",$72.91,$74.42,$72.50
01/26/2024,$73.15,"2,334,567",$73.00,$73.29,$72.47
01/25/2024,$72.87,"2,126,518",$72.33,$73.10,$71.42
01/24/2024,$71.55,"3,594,377",$73.64,$73.70,$71.31
01/23/2024,$73.67,"2,850,390",$74.63,$74.73,$72.685
01/22/2024,$74.64,"2,414,925",$74.28,$75.45,$74.17
01/19/2024,$74.11,"3,704,645",$73.445,$74.12,$73.20
01/18/2024,$73.52,"2,421,515",$72.75,$73.76,$72.42
01/17/2024,$72.75,"3,766,982",$74.24,$74.24,$72.02
01/16/2024,$74.97,"2,831,576",$75.90,$75.90,$74.54
01/12/2024,$76.17,"1,888,313",$76.28,$76.47,$75.40
01/11/2024,$76.25,"2,305,517",$76.20,$76.325,$74.78
01/10/2024,$76.17,"3,020,604",$76.34,$76.61,$74.88
01/09/2024,$76.66,"3,507,222",$77.01,$77.66,$74.40
01/08/2024,$77.36,"1,880,593",$77.00,$77.45,$76.31
01/05/2024,$76.62,"2,377,668",$76.00,$77.45,$75.59
01/04/2024,$76.57,"2,395,939",$76.00,$76.95,$75.85
01/03/2024,$76.11,"2,692,427",$76.24,$76.68,$75.435
01/02/2024,$76.37,"2,003,147",$76.58,$77.41,$75.705
12/29/2023,$77.32,"1,786,960",$77.16,$77.64,$76.86
12/28/2023,$77.54,"1,569,562",$77.83,$77.965,$77.25
12/27/2023,$77.67,"1,365,237",$78.08,$78.29,$77.38
12/26/2023,$78.14,"1,413,986",$77.70,$78.325,$77.58
12/22/2023,$77.58,"2,197,794",$77.30,$77.71,$76.99
12/21/2023,$77.19,"2,992,230",$76.08,$77.61,$76.08
12/20/2023,$75.44,"2,162,236",$75.36,$76.59,$74.88
12/19/2023,$75.69,"2,441,846",$75.14,$75.84,$75.00
12/18/2023,$75.06,"1,945,801",$75.00,$75.515,$74.55
12/15/2023,$75.01,"5,699,305",$76.38,$76.59,$74.485
12/14/2023,$75.92,"4,271,463",$74.34,$76.30,$74.34
12/13/2023,$74.18,"2,628,637",$72.61,$74.27,$72.52
12/12/2023,$72.05,"2,407,186",$71.30,$72.395,$71.24
12/11/2023,$71.13,"3,051,314",$69.16,$71.31,$69.09
12/08/2023,$68.52,"1,893,851",$67.18,$68.63,$67.05
