Date,Close,Volume,Open,High,Low
03/01/2024,$2.33,"50,813",$2.28,$2.38,$2.15
02/29/2024,$2.1307,"58,256",$2.00,$2.1499,$1.96
02/28/2024,$1.97,"102,681",$2.10,$2.15,$1.89
02/27/2024,$1.94,"186,555",$1.96,$2.00,$1.835
02/26/2024,$1.90,"23,906",$1.96,$2.00,$1.80
02/23/2024,$1.9534,"2,026",$1.95,$2.0506,$1.95
02/22/2024,$1.95,"9,466",$1.97,$1.97,$1.90
02/21/2024,$1.97,"3,608",$2.01,$2.01,$1.97
02/20/2024,$1.96,"31,135",$2.09,$2.10,$1.93
02/16/2024,$2.00,"11,531",$2.06,$2.08,$1.9942
02/15/2024,$2.075,"7,785",$1.955,$2.0899,$1.955
02/14/2024,$1.99,"5,295",$2.01,$2.04,$1.97
02/13/2024,$1.99,"13,159",$1.94,$2.03,$1.94
02/12/2024,$2.00,"4,727",$1.98,$2.00,$1.96
02/09/2024,$1.9265,"12,487",$1.8997,$1.96,$1.88
02/08/2024,$1.90,"4,557",$1.95,$1.9799,$1.8309
02/07/2024,$1.92,"11,560",$1.91,$1.97,$1.90
02/06/2024,$1.90,"5,750",$2.00,$2.00,$1.90
02/05/2024,$1.93,"10,361",$1.94,$2.00,$1.88
02/02/2024,$1.96,"6,756",$2.01,$2.10,$1.92
02/01/2024,$2.04,"4,479",$1.9947,$2.04,$1.9107
01/31/2024,$1.95,"17,204",$2.09,$2.09,$1.87
01/30/2024,$1.96,"15,640",$2.00,$2.05,$1.91
01/29/2024,$2.0499,"7,079",$2.10,$2.10,$1.955
01/26/2024,$2.10,"15,751",$1.99,$2.20,$1.99
01/25/2024,$2.03,"10,081",$2.13,$2.13,$2.0212
01/24/2024,$2.09,"6,073",$2.20,$2.20,$2.035
01/23/2024,$2.06,"9,491",$1.93,$2.14,$1.93
01/22/2024,$1.92,"15,747",$1.9418,$1.9418,$1.83
01/19/2024,$1.86,"10,208",$1.94,$1.94,$1.85
01/18/2024,$1.85,"39,419",$2.18,$2.28,$1.8101
01/17/2024,$2.1525,"32,264",$2.23,$2.3079,$2.1201
01/16/2024,$2.26,"16,757",$2.29,$2.4192,$2.24
01/12/2024,$2.375,"11,606",$2.42,$2.42,$2.3301
01/11/2024,$2.43,"18,757",$2.565,$2.5671,$2.4144
01/10/2024,$2.5774,"10,425",$2.5403,$2.63,$2.5403
01/09/2024,$2.63,"13,604",$2.64,$2.69,$2.52
01/08/2024,$2.64,"21,066",$2.63,$2.67,$2.5138
01/05/2024,$2.63,"21,855",$2.72,$2.7585,$2.5615
01/04/2024,$2.65,"12,275",$2.72,$2.72,$2.43
01/03/2024,$2.7001,"70,900",$2.57,$2.8001,$2.56
01/02/2024,$2.575,"62,451",$2.48,$2.6399,$2.48
12/29/2023,$2.40,"36,984",$2.50,$2.50,$2.32
12/28/2023,$2.43,"42,072",$2.36,$2.55,$2.30
12/27/2023,$2.36,"55,492",$2.16,$2.4099,$2.16
12/26/2023,$2.16,"43,690",$2.17,$2.25,$2.16
12/22/2023,$2.21,"16,082",$2.22,$2.275,$2.15
12/21/2023,$2.12,"90,703",$2.35,$2.42,$2.1186
12/20/2023,$2.552,"45,694",$2.67,$2.70,$2.51
12/19/2023,$2.7383,"31,503",$2.79,$2.8395,$2.6001
12/18/2023,$2.80,"21,431",$2.92,$2.9397,$2.7501
12/15/2023,$2.98,"53,851",$3.07,$3.0936,$2.83
12/14/2023,$3.118,"231,551",$2.77,$3.18,$2.7101
12/13/2023,$2.74,"13,147",$2.795,$2.8245,$2.65
12/12/2023,$2.85,"31,815",$2.70,$2.9495,$2.60
12/11/2023,$2.7775,"8,176",$2.9005,$2.9005,$2.75
12/08/2023,$2.8755,"48,782",$2.90,$3.00,$2.6505
12/07/2023,$2.98,"5,813",$3.05,$3.05,$2.90
12/06/2023,$2.995,"13,198",$3.1245,$3.1245,$2.9505
12/05/2023,$3.125,"55,461",$3.40,$3.425,$2.80
12/04/2023,$3.4155,"12,613",$3.50,$3.525,$3.325
12/01/2023,$3.425,"46,394",$3.65,$3.651,$3.125
11/30/2023,$3.6505,"8,634",$3.5105,$3.6995,$3.5105
11/29/2023,$3.60,"6,997",$3.65,$3.749,$3.60
11/28/2023,$3.55,"10,852",$3.625,$3.625,$3.45
11/27/2023,$3.5285,"9,262",$3.5995,$3.6005,$3.475
11/24/2023,$3.50,"1,296",$3.65,$3.65,$3.50
11/22/2023,$3.50,"17,325",$3.675,$3.75,$3.50
11/21/2023,$3.6405,"7,958",$3.55,$3.725,$3.55
11/20/2023,$3.6955,"5,340",$3.72,$3.7315,$3.6015
11/17/2023,$3.675,"8,765",$3.56,$3.74,$3.56
11/16/2023,$3.60,"6,958",$3.54,$3.60,$3.525
11/15/2023,$3.529,"4,760",$3.45,$3.529,$3.45
11/14/2023,$3.50,"6,159",$3.50,$3.54,$3.4055
11/13/2023,$3.456,"8,347",$3.40,$3.5425,$3.40
11/10/2023,$3.525,"1,971",$3.40,$3.525,$3.40
11/09/2023,$3.4255,"7,708",$3.60,$3.6966,$3.40
11/08/2023,$3.6005,"9,753",$3.65,$3.7745,$3.60
11/07/2023,$3.588,"1,567",$3.60,$3.60,$3.5165
11/06/2023,$3.5875,"4,370",$3.505,$3.60,$3.505
11/03/2023,$3.60,"6,447",$3.64,$3.65,$3.5155
11/02/2023,$3.6255,"9,920",$3.493,$3.65,$3.493
11/01/2023,$3.5495,"4,572",$3.5485,$3.5495,$3.45
10/31/2023,$3.5445,"3,986",$3.55,$3.55,$3.4245
10/30/2023,$3.4425,"12,858",$3.355,$3.45,$3.355
10/27/2023,$3.403,"12,315",$3.45,$3.451,$3.35
10/26/2023,$3.4128,"8,076",$3.4025,$3.448,$3.355
10/25/2023,$3.495,"11,655",$3.505,$3.60,$3.30
10/24/2023,$3.55,"13,031",$3.50,$3.6865,$3.40
10/23/2023,$3.499,"9,412",$3.557,$3.65,$3.40
10/20/2023,$3.6765,"17,630",$3.576,$3.748,$3.4505
10/19/2023,$3.5735,"28,309",$3.585,$3.75,$3.476
10/18/2023,$3.75,"246,231",$3.725,$3.75,$3.425
10/17/2023,$3.40,"8,126",$3.40,$3.518,$3.35
10/16/2023,$3.475,"8,652",$3.491,$3.666,$3.35
10/13/2023,$3.3885,"19,665",$3.75,$3.75,$3.35
10/12/2023,$3.5415,"10,341",$3.725,$3.725,$3.504
10/11/2023,$3.65,"7,560",$3.75,$3.75,$3.6055
10/10/2023,$3.7005,"9,704",$3.65,$3.75,$3.601
10/09/2023,$3.725,"3,436",$3.705,$3.75,$3.6625
10/06/2023,$3.675,"2,053",$3.749,$3.749,$3.675
10/05/2023,$3.656,"6,629",$3.75,$3.75,$3.65
10/04/2023,$3.7275,"5,902",$3.72,$3.8705,$3.7005
10/03/2023,$3.7755,"5,487",$3.7985,$3.9005,$3.7505
10/02/2023,$3.85,"12,364",$3.85,$3.9005,$3.775
09/29/2023,$3.813,"4,670",$3.9005,$4.0145,$3.806
09/28/2023,$3.855,"13,206",$3.9115,$3.975,$3.75
09/27/2023,$4.0135,"4,661",$4.10,$4.2738,$3.855
09/26/2023,$4.10,"5,485",$4.0745,$4.2499,$4.05
09/25/2023,$4.0745,"9,383",$4.0025,$4.0745,$3.879
09/22/2023,$4.15,"3,696",$4.20,$4.225,$4.0695
09/21/2023,$4.20,"8,462",$4.375,$4.375,$4.0035
09/20/2023,$4.275,"9,433",$4.40,$4.45,$4.10
09/19/2023,$4.3005,"5,814",$4.30,$4.4289,$4.30
09/18/2023,$4.401,"18,720",$4.45,$4.50,$4.2005
09/15/2023,$4.3375,"38,538",$4.15,$4.65,$4.15
09/14/2023,$4.20,"27,461",$4.25,$4.50,$4.10
09/13/2023,$4.2505,"44,018",$4.10,$4.35,$4.05
09/12/2023,$4.18,"506,135",$4.10,$4.50,$3.5605
09/11/2023,$4.215,"51,720",$3.9775,$4.25,$3.85
09/08/2023,$4.0125,"2,256",$4.0245,$4.025,$3.8385
09/07/2023,$4.00,"5,083",$4.0775,$4.0775,$3.71
09/06/2023,$4.00,"7,858",$4.18,$4.25,$3.95
09/05/2023,$4.125,"10,545",$4.20,$4.35,$4.00
09/01/2023,$4.225,"27,136",$4.20,$4.2485,$4.0005
08/31/2023,$3.9995,"15,252",$3.75,$4.00,$3.7495
08/30/2023,$3.70,"14,962",$3.63,$3.75,$3.5528
08/29/2023,$3.65,"10,747",$3.55,$3.6552,$3.4625
08/28/2023,$3.51,"5,919",$3.50,$3.5605,$3.475
08/25/2023,$3.5975,"2,124",$3.55,$3.60,$3.4625
08/24/2023,$3.512,"10,177",$3.48,$3.6075,$3.475
08/23/2023,$3.525,"5,411",$3.58,$3.58,$3.50
08/22/2023,$3.50,"6,514",$3.575,$3.6085,$3.45
08/21/2023,$3.605,"6,303",$3.5235,$3.622,$3.4625
08/18/2023,$3.50,"6,208",$3.6745,$3.699,$3.475
08/17/2023,$3.55,"10,295",$3.60,$3.682,$3.5005
08/16/2023,$3.598,"7,933",$3.75,$3.75,$3.55
08/15/2023,$3.55,"14,159",$3.56,$3.62,$3.50
08/14/2023,$3.56,"23,863",$3.5715,$3.745,$3.4505
08/11/2023,$3.6505,"6,553",$3.8135,$3.8135,$3.55
08/10/2023,$3.82,"15,913",$3.655,$3.825,$3.545
08/09/2023,$3.65,"27,367",$3.84,$4.00,$3.6225
08/08/2023,$3.775,"20,635",$3.86,$4.037,$3.56
