Date,Close,Volume,Open,High,Low
03/01/2024,$5.02,"215,529",$4.97,$5.04,$4.969
02/29/2024,$4.97,"126,421",$4.98,$4.99,$4.94
02/28/2024,$4.94,"53,686",$4.93,$4.97,$4.93
02/27/2024,$4.96,"124,115",$4.95,$4.98,$4.95
02/26/2024,$4.96,"129,950",$4.99,$4.99,$4.95
02/23/2024,$4.96,"330,000",$4.96,$5.00,$4.83
02/22/2024,$4.95,"71,092",$4.91,$4.96,$4.90
02/21/2024,$4.88,"97,267",$4.88,$4.90,$4.86
02/20/2024,$4.88,"257,375",$4.93,$4.94,$4.88
02/16/2024,$4.96,"69,640",$5.00,$5.00,$4.94
02/15/2024,$4.99,"142,213",$4.98,$5.01,$4.9474
02/14/2024,$5.02,"117,163",$4.93,$5.02,$4.93
02/13/2024,$4.90,"130,585",$4.96,$4.977,$4.88
02/12/2024,$5.02,"155,308",$5.00,$5.07,$4.99
02/09/2024,$5.02,"121,437",$4.98,$5.02,$4.98
02/08/2024,$4.97,"170,457",$4.95,$4.99,$4.95
02/07/2024,$4.97,"130,168",$4.90,$4.98,$4.90
02/06/2024,$4.91,"129,035",$4.88,$4.92,$4.87
02/05/2024,$4.87,"82,508",$4.83,$4.87,$4.825
02/02/2024,$4.86,"392,702",$4.82,$4.89,$4.8065
02/01/2024,$4.84,"362,873",$4.77,$4.85,$4.77
01/31/2024,$4.76,"226,223",$4.79,$4.83,$4.76
01/30/2024,$4.82,"307,923",$4.81,$4.825,$4.80
01/29/2024,$4.81,"268,503",$4.75,$4.82,$4.75
01/26/2024,$4.77,"138,854",$4.76,$4.781,$4.76
01/25/2024,$4.76,"155,203",$4.72,$4.77,$4.72
01/24/2024,$4.71,"195,418",$4.65,$4.73,$4.65
01/23/2024,$4.65,"157,399",$4.65,$4.665,$4.63
01/22/2024,$4.66,"199,700",$4.64,$4.70,$4.64
01/19/2024,$4.65,"229,135",$4.61,$4.66,$4.60
01/18/2024,$4.61,"210,312",$4.59,$4.66,$4.59
01/17/2024,$4.65,"156,164",$4.66,$4.67,$4.63
01/16/2024,$4.68,"102,886",$4.70,$4.70,$4.67
01/12/2024,$4.71,"97,769",$4.70,$4.735,$4.70
01/11/2024,$4.695,"101,598",$4.71,$4.7285,$4.68
01/10/2024,$4.72,"91,615",$4.69,$4.73,$4.69
01/09/2024,$4.69,"150,786",$4.67,$4.71,$4.67
01/08/2024,$4.69,"105,594",$4.64,$4.70,$4.635
01/05/2024,$4.65,"101,816",$4.65,$4.67,$4.62
01/04/2024,$4.63,"163,223",$4.60,$4.64,$4.60
01/03/2024,$4.61,"198,007",$4.60,$4.64,$4.60
01/02/2024,$4.65,"176,885",$4.68,$4.70,$4.65
12/29/2023,$4.70,"269,835",$4.71,$4.72,$4.68
12/28/2023,$4.70,"332,253",$4.69,$4.73,$4.68
12/27/2023,$4.70,"383,030",$4.69,$4.73,$4.68
12/26/2023,$4.69,"346,098",$4.67,$4.73,$4.67
12/22/2023,$4.67,"198,984",$4.66,$4.69,$4.66
12/21/2023,$4.65,"153,601",$4.64,$4.665,$4.62
12/20/2023,$4.685,"473,548",$4.73,$4.73,$4.67
12/19/2023,$4.71,"399,169",$4.68,$4.73,$4.68
12/18/2023,$4.69,"161,449",$4.69,$4.70,$4.68
12/15/2023,$4.67,"133,078",$4.69,$4.70,$4.66
12/14/2023,$4.68,"204,936",$4.67,$4.71,$4.67
12/13/2023,$4.69,"211,043",$4.61,$4.69,$4.551
12/12/2023,$4.60,"153,196",$4.59,$4.6176,$4.59
12/11/2023,$4.6099,"137,542",$4.59,$4.62,$4.5899
12/08/2023,$4.60,"82,877",$4.57,$4.61,$4.57
12/07/2023,$4.59,"141,578",$4.58,$4.60,$4.58
12/06/2023,$4.57,"104,026",$4.56,$4.605,$4.54
12/05/2023,$4.55,"108,515",$4.58,$4.60,$4.55
12/04/2023,$4.62,"176,461",$4.61,$4.67,$4.61
12/01/2023,$4.68,"215,575",$4.59,$4.68,$4.59
11/30/2023,$4.61,"130,190",$4.60,$4.63,$4.575
11/29/2023,$4.59,"172,068",$4.55,$4.62,$4.55
11/28/2023,$4.595,"126,479",$4.57,$4.62,$4.55
11/27/2023,$4.58,"134,190",$4.59,$4.615,$4.575
11/24/2023,$4.63,"101,971",$4.59,$4.64,$4.585
11/22/2023,$4.60,"227,202",$4.57,$4.64,$4.57
11/21/2023,$4.555,"101,867",$4.55,$4.5766,$4.55
11/20/2023,$4.57,"126,264",$4.54,$4.5811,$4.54
11/17/2023,$4.55,"262,229",$4.58,$4.60,$4.51
11/16/2023,$4.55,"114,016",$4.54,$4.56,$4.53
11/15/2023,$4.60,"99,115",$4.68,$4.68,$4.59
11/14/2023,$4.62,"128,026",$4.55,$4.625,$4.55
11/13/2023,$4.51,"118,292",$4.43,$4.52,$4.4288
11/10/2023,$4.46,"90,397",$4.43,$4.47,$4.43
11/09/2023,$4.42,"164,199",$4.47,$4.49,$4.42
11/08/2023,$4.47,"131,267",$4.50,$4.50,$4.37
11/07/2023,$4.50,"64,896",$4.47,$4.505,$4.46
11/06/2023,$4.48,"138,996",$4.51,$4.51,$4.46
