Date,Close,Volume,Open,High,Low
03/01/2024,$6.38,"47,970",$6.32,$6.395,$6.32
02/29/2024,$6.315,"55,725",$6.34,$6.3691,$6.30
02/28/2024,$6.30,"35,539",$6.30,$6.31,$6.26
02/27/2024,$6.32,"42,110",$6.31,$6.38,$6.31
02/26/2024,$6.32,"46,803",$6.35,$6.38,$6.32
02/23/2024,$6.351,"49,717",$6.34,$6.40,$6.34
02/22/2024,$6.31,"40,655",$6.31,$6.32,$6.28
02/21/2024,$6.20,"33,562",$6.18,$6.22,$6.18
02/20/2024,$6.205,"82,484",$6.25,$6.275,$6.14
02/16/2024,$6.255,"30,856",$6.32,$6.32,$6.25
02/15/2024,$6.305,"62,792",$6.30,$6.3459,$6.29
02/14/2024,$6.35,"51,610",$6.29,$6.364,$6.29
02/13/2024,$6.27,"36,578",$6.34,$6.34,$6.2001
02/12/2024,$6.38,"95,541",$6.37,$6.41,$6.36
02/09/2024,$6.36,"77,487",$6.35,$6.38,$6.32
02/08/2024,$6.325,"55,856",$6.33,$6.345,$6.31
02/07/2024,$6.315,"108,177",$6.25,$6.32,$6.2449
02/06/2024,$6.2189,"63,425",$6.13,$6.2189,$6.13
02/05/2024,$6.145,"61,070",$6.12,$6.17,$6.10
02/02/2024,$6.12,"52,422",$6.14,$6.15,$6.09
02/01/2024,$6.15,"58,911",$6.06,$6.15,$6.06
01/31/2024,$6.03,"79,086",$6.07,$6.1042,$6.03
01/30/2024,$6.10,"61,298",$6.09,$6.115,$6.08
01/29/2024,$6.11,"85,394",$6.04,$6.11,$6.04
01/26/2024,$6.045,"52,540",$6.03,$6.07,$6.03
01/25/2024,$6.03,"52,890",$6.00,$6.05,$5.9648
01/24/2024,$5.965,"143,270",$5.93,$5.99,$5.93
01/23/2024,$5.90,"59,146",$5.94,$5.94,$5.90
01/22/2024,$5.93,"74,755",$5.92,$5.971,$5.92
01/19/2024,$5.92,"58,138",$5.92,$5.95,$5.89
01/18/2024,$5.875,"59,975",$5.83,$5.89,$5.83
01/17/2024,$5.90,"57,865",$5.90,$5.93,$5.87
01/16/2024,$5.94,"24,686",$5.99,$6.00,$5.94
01/12/2024,$5.99,"38,597",$5.98,$6.02,$5.98
01/11/2024,$5.94,"64,911",$5.94,$5.96,$5.9178
01/10/2024,$5.96,"59,395",$5.95,$5.98,$5.9399
01/09/2024,$5.935,"59,264",$5.91,$5.945,$5.8977
01/08/2024,$5.935,"44,980",$5.88,$5.94,$5.87
01/05/2024,$5.865,"36,220",$5.84,$5.90,$5.83
01/04/2024,$5.835,"62,506",$5.82,$5.86,$5.81
01/03/2024,$5.83,"74,909",$5.86,$5.874,$5.79
01/02/2024,$5.86,"98,037",$5.91,$5.94,$5.86
12/29/2023,$5.925,"138,340",$5.93,$5.95,$5.91
12/28/2023,$5.94,"88,266",$5.97,$5.97,$5.928
12/27/2023,$5.945,"161,127",$5.99,$5.995,$5.94
12/26/2023,$5.965,"174,405",$5.92,$5.97,$5.92
12/22/2023,$5.89,"192,781",$5.92,$5.98,$5.88
12/21/2023,$5.92,"322,578",$5.89,$5.94,$5.85
12/20/2023,$5.905,"95,679",$5.93,$5.9506,$5.90
12/19/2023,$5.955,"71,669",$5.937,$5.97,$5.935
12/18/2023,$5.91,"89,651",$5.90,$5.93,$5.90
12/15/2023,$5.8798,"44,323",$5.91,$5.91,$5.86
12/14/2023,$5.919,"96,502",$5.91,$5.923,$5.89
12/13/2023,$5.89,"98,203",$5.81,$5.90,$5.77
12/12/2023,$5.815,"75,370",$5.79,$5.8211,$5.79
12/11/2023,$5.81,"96,463",$5.78,$5.8299,$5.77
12/08/2023,$5.785,"41,414",$5.74,$5.80,$5.74
12/07/2023,$5.76,"82,285",$5.77,$5.79,$5.76
12/06/2023,$5.77,"56,653",$5.77,$5.815,$5.75
12/05/2023,$5.76,"63,432",$5.80,$5.80,$5.75
12/04/2023,$5.825,"47,494",$5.82,$5.8388,$5.81
12/01/2023,$5.8799,"67,343",$5.78,$5.88,$5.7615
11/30/2023,$5.81,"69,844",$5.83,$5.83,$5.735
11/29/2023,$5.785,"103,592",$5.73,$5.79,$5.73
11/28/2023,$5.77,"50,697",$5.77,$5.79,$5.73
11/27/2023,$5.75,"88,266",$5.77,$5.78,$5.74
11/24/2023,$5.805,"18,842",$5.79,$5.81,$5.77
11/22/2023,$5.785,"63,143",$5.69,$5.7919,$5.69
11/21/2023,$5.69,"67,275",$5.74,$5.7509,$5.69
11/20/2023,$5.76,"47,134",$5.71,$5.7699,$5.71
11/17/2023,$5.71,"69,460",$5.72,$5.7401,$5.69
11/16/2023,$5.70,"42,208",$5.71,$5.75,$5.66
11/15/2023,$5.77,"65,263",$5.80,$5.83,$5.76
11/14/2023,$5.785,"70,599",$5.70,$5.82,$5.70
11/13/2023,$5.63,"42,465",$5.59,$5.64,$5.59
11/10/2023,$5.61,"44,843",$5.55,$5.61,$5.505
11/09/2023,$5.515,"96,819",$5.60,$5.60,$5.51
11/08/2023,$5.615,"60,434",$5.62,$5.62,$5.59
11/07/2023,$5.62,"57,274",$5.5501,$5.62,$5.5501
11/06/2023,$5.58,"100,501",$5.63,$5.6498,$5.5701
11/03/2023,$5.615,"96,608",$5.57,$5.65,$5.57
11/02/2023,$5.545,"88,196",$5.39,$5.5475,$5.39
11/01/2023,$5.345,"118,531",$5.24,$5.35,$5.23
10/31/2023,$5.26,"71,638",$5.21,$5.27,$5.19
10/30/2023,$5.22,"42,016",$5.19,$5.22,$5.1604
10/27/2023,$5.13,"115,044",$5.18,$5.18,$5.13
10/26/2023,$5.18,"58,794",$5.19,$5.21,$5.18
10/25/2023,$5.235,"101,281",$5.30,$5.32,$5.23
10/24/2023,$5.32,"80,679",$5.30,$5.3399,$5.30
10/23/2023,$5.25,"126,600",$5.28,$5.3099,$5.21
10/20/2023,$5.31,"73,349",$5.41,$5.41,$5.305
10/19/2023,$5.39,"101,726",$5.45,$5.45,$5.39
10/18/2023,$5.50,"104,075",$5.51,$5.545,$5.47
10/17/2023,$5.535,"139,575",$5.51,$5.59,$5.50
10/16/2023,$5.52,"115,962",$5.47,$5.54,$5.47
10/13/2023,$5.46,"104,047",$5.56,$5.56,$5.45
10/12/2023,$5.51,"150,196",$5.54,$5.55,$5.50
10/11/2023,$5.56,"88,072",$5.55,$5.57,$5.55
10/10/2023,$5.56,"98,189",$5.51,$5.57,$5.49
10/09/2023,$5.47,"37,304",$5.42,$5.49,$5.41
10/06/2023,$5.43,"125,289",$5.30,$5.4481,$5.30
10/05/2023,$5.35,"94,134",$5.34,$5.3716,$5.33
10/04/2023,$5.38,"57,211",$5.38,$5.38,$5.34
10/03/2023,$5.375,"126,568",$5.45,$5.45,$5.37
10/02/2023,$5.45,"162,819",$5.41,$5.49,$5.41
09/29/2023,$5.48,"104,383",$5.50,$5.5482,$5.45
09/28/2023,$5.47,"67,856",$5.42,$5.49,$5.415
09/27/2023,$5.39,"158,158",$5.42,$5.4214,$5.365
09/26/2023,$5.41,"125,039",$5.47,$5.4789,$5.39
09/25/2023,$5.49,"100,178",$5.50,$5.50,$5.47
09/22/2023,$5.52,"65,289",$5.60,$5.60,$5.50
09/21/2023,$5.57,"95,297",$5.60,$5.60,$5.545
09/20/2023,$5.70,"37,294",$5.76,$5.78,$5.70
09/19/2023,$5.76,"69,088",$5.78,$5.78,$5.747
09/18/2023,$5.76,"55,773",$5.77,$5.80,$5.74
09/15/2023,$5.78,"72,120",$5.84,$5.85,$5.77
09/14/2023,$5.85,"57,806",$5.80,$5.865,$5.77
09/13/2023,$5.77,"166,673",$5.86,$5.865,$5.75
09/12/2023,$5.83,"72,500",$5.86,$5.8897,$5.815
09/11/2023,$5.88,"61,591",$5.90,$5.93,$5.87
09/08/2023,$5.88,"66,448",$5.91,$5.9347,$5.87
09/07/2023,$5.891,"50,142",$5.87,$5.92,$5.863
09/06/2023,$5.90,"66,971",$5.96,$5.96,$5.88
09/05/2023,$5.97,"81,055",$6.04,$6.04,$5.96
09/01/2023,$6.04,"39,895",$6.07,$6.07,$6.01
08/31/2023,$6.01,"35,505",$6.05,$6.07,$6.01
08/30/2023,$6.02,"33,235",$5.99,$6.03,$5.99
08/29/2023,$5.9801,"57,845",$5.93,$6.00,$5.91
08/28/2023,$5.925,"46,985",$5.95,$5.95,$5.895
08/25/2023,$5.90,"63,144",$5.88,$5.93,$5.84
08/24/2023,$5.865,"62,255",$6.05,$6.05,$5.865
08/23/2023,$6.005,"27,959",$5.92,$6.0159,$5.92
08/22/2023,$5.92,"32,517",$5.95,$5.97,$5.8811
08/21/2023,$5.911,"61,425",$5.88,$5.93,$5.87
08/18/2023,$5.86,"131,913",$5.87,$5.8913,$5.67
08/17/2023,$5.90,"44,643",$5.99,$6.0356,$5.90
08/16/2023,$6.04,"39,772",$6.08,$6.10,$6.04
08/15/2023,$6.10,"95,023",$6.12,$6.135,$6.06
08/14/2023,$6.14,"46,836",$6.12,$6.15,$6.10
08/11/2023,$6.13,"21,455",$6.15,$6.18,$6.13
08/10/2023,$6.19,"54,630",$6.26,$6.275,$6.175
08/09/2023,$6.21,"80,501",$6.23,$6.28,$6.21
08/08/2023,$6.25,"34,861",$6.21,$6.25,$6.1901
08/07/2023,$6.23,"46,210",$6.20,$6.26,$6.19
08/04/2023,$6.14,"40,238",$6.17,$6.25,$6.13
08/03/2023,$6.18,"65,742",$6.20,$6.20,$6.15
08/02/2023,$6.23,"69,277",$6.27,$6.27,$6.21
08/01/2023,$6.33,"86,380",$6.32,$6.369,$6.32
07/31/2023,$6.36,"57,415",$6.34,$6.39,$6.33
07/28/2023,$6.33,"65,803",$6.25,$6.34,$6.24
07/27/2023,$6.24,"97,393",$6.34,$6.34,$6.24
07/26/2023,$6.27,"107,993",$6.23,$6.30,$6.22
07/25/2023,$6.27,"133,595",$6.28,$6.29,$6.25
07/24/2023,$6.29,"48,497",$6.30,$6.33,$6.28
07/21/2023,$6.30,"44,432",$6.35,$6.37,$6.30
07/20/2023,$6.34,"71,968",$6.38,$6.38,$6.32
07/19/2023,$6.45,"44,876",$6.42,$6.47,$6.41
07/18/2023,$6.401,"46,592",$6.38,$6.41,$6.37
07/17/2023,$6.36,"99,337",$6.34,$6.375,$6.33
07/14/2023,$6.34,"41,713",$6.37,$6.3999,$6.34
07/13/2023,$6.36,"25,056",$6.31,$6.37,$6.31
07/12/2023,$6.305,"57,967",$6.27,$6.33,$6.27
07/11/2023,$6.24,"86,000",$6.21,$6.27,$6.21
07/10/2023,$6.19,"62,771",$6.19,$6.26,$6.19
07/07/2023,$6.22,"50,936",$6.20,$6.27,$6.193
07/06/2023,$6.23,"54,596",$6.24,$6.25,$6.17
07/05/2023,$6.28,"82,681",$6.26,$6.3198,$6.25
07/03/2023,$6.29,"62,420",$6.25,$6.30,$6.22
06/30/2023,$6.24,"101,661",$6.20,$6.24,$6.18
06/29/2023,$6.16,"42,739",$6.13,$6.16,$6.10
06/28/2023,$6.12,"86,582",$6.09,$6.1357,$6.06
06/27/2023,$6.09,"63,541",$6.07,$6.09,$6.025
06/26/2023,$6.05,"164,920",$6.00,$6.06,$6.00
06/23/2023,$6.01,"17,965",$6.02,$6.06,$6.0014
06/22/2023,$6.055,"41,082",$6.06,$6.06,$6.025
06/21/2023,$6.03,"109,316",$6.05,$6.0955,$6.03
06/20/2023,$6.05,"61,725",$6.07,$6.11,$6.02
06/16/2023,$6.11,"68,419",$6.21,$6.21,$6.11
06/15/2023,$6.19,"62,599",$6.18,$6.19,$6.121
06/14/2023,$6.22,"86,584",$6.20,$6.24,$6.20
