Date,Close,Volume,Open,High,Low
03/01/2024,$0.3348,"1,603,076",$0.33,$0.337,$0.3252
02/29/2024,$0.3313,"1,760,446",$0.33,$0.3459,$0.33
02/28/2024,$0.3359,"2,098,293",$0.3482,$0.354,$0.334
02/27/2024,$0.3517,"2,022,940",$0.335,$0.3653,$0.33
02/26/2024,$0.348,"1,633,970",$0.35,$0.3599,$0.3383
02/23/2024,$0.3534,"1,189,563",$0.3519,$0.355,$0.34
02/22/2024,$0.3452,"1,261,587",$0.3658,$0.3658,$0.345
02/21/2024,$0.368,"1,409,312",$0.38,$0.38,$0.351
02/20/2024,$0.3572,"2,623,078",$0.3769,$0.3806,$0.35
02/16/2024,$0.39,"3,154,268",$0.37,$0.40,$0.3636
02/15/2024,$0.3698,"1,297,477",$0.3675,$0.37,$0.353
02/14/2024,$0.3525,"3,503,838",$0.38,$0.38,$0.29
02/13/2024,$0.35,"1,902,885",$0.3708,$0.3708,$0.3487
02/12/2024,$0.3715,"1,681,692",$0.3799,$0.38,$0.361
02/09/2024,$0.3718,"3,154,133",$0.39,$0.391,$0.3605
02/08/2024,$0.3876,"1,949,168",$0.401,$0.4066,$0.384
02/07/2024,$0.41,"3,105,067",$0.386,$0.42,$0.38
02/06/2024,$0.374,"1,775,757",$0.37,$0.39,$0.36
02/05/2024,$0.3632,"1,379,048",$0.395,$0.399,$0.3613
02/02/2024,$0.3945,"2,800,086",$0.36,$0.415,$0.35
02/01/2024,$0.365,"2,807,754",$0.3819,$0.3819,$0.347
01/31/2024,$0.383,"2,595,783",$0.381,$0.39,$0.36
01/30/2024,$0.3998,"2,707,313",$0.45,$0.45,$0.3905
01/29/2024,$0.422,"2,768,779",$0.38,$0.4374,$0.377
01/26/2024,$0.3801,"5,829,210",$0.40,$0.4101,$0.3638
01/25/2024,$0.43,"8,271,777",$0.48,$0.499,$0.42
01/24/2024,$0.47,"19,702,710",$0.38,$0.478,$0.3672
01/23/2024,$0.365,"5,775,493",$0.38,$0.384,$0.3312
01/22/2024,$0.3699,"13,303,220",$0.3265,$0.37,$0.3056
01/19/2024,$0.292,"5,978,198",$0.279,$0.299,$0.2678
01/18/2024,$0.2672,"3,475,738",$0.279,$0.2796,$0.2618
01/17/2024,$0.2714,"6,323,637",$0.27,$0.281,$0.24
01/16/2024,$0.2635,"5,139,420",$0.278,$0.278,$0.26
01/12/2024,$0.26,"31,537,110",$0.2726,$0.2811,$0.2377
01/11/2024,$0.513,"2,149,640",$0.54,$0.55,$0.5013
01/10/2024,$0.5525,"1,577,157",$0.5738,$0.5738,$0.54
01/09/2024,$0.55,"1,617,001",$0.5735,$0.58,$0.54
01/08/2024,$0.5748,"1,359,016",$0.59,$0.5974,$0.5635
01/05/2024,$0.58,"2,988,690",$0.54,$0.61,$0.5302
01/04/2024,$0.5351,"2,421,102",$0.555,$0.575,$0.53
01/03/2024,$0.5522,"3,712,899",$0.6205,$0.6297,$0.5483
01/02/2024,$0.6221,"1,268,083",$0.6688,$0.6688,$0.615
12/29/2023,$0.6629,"1,125,980",$0.70,$0.7082,$0.651
12/28/2023,$0.69,"1,615,495",$0.68,$0.71,$0.6624
12/27/2023,$0.7017,"1,339,487",$0.74,$0.746,$0.6928
12/26/2023,$0.7211,"834,694",$0.72,$0.7499,$0.7002
12/22/2023,$0.715,"2,470,389",$0.7797,$0.7797,$0.70
12/21/2023,$0.785,"4,259,782",$0.84,$0.874,$0.754
12/20/2023,$0.80,"6,566,072",$0.7806,$0.949,$0.773
12/19/2023,$0.7889,"3,306,111",$0.7502,$0.7946,$0.68
12/18/2023,$0.7201,"3,428,896",$0.78,$0.8055,$0.7072
12/15/2023,$0.757,"13,653,650",$0.68,$0.7799,$0.65
12/14/2023,$0.59,"951,869",$0.585,$0.61,$0.5775
12/13/2023,$0.584,"880,523",$0.5835,$0.599,$0.56
12/12/2023,$0.6045,"689,960",$0.624,$0.624,$0.5813
12/11/2023,$0.6055,"1,161,994",$0.60,$0.645,$0.5921
12/08/2023,$0.596,"1,155,229",$0.56,$0.615,$0.56
12/07/2023,$0.561,"1,137,918",$0.58,$0.59,$0.5301
12/06/2023,$0.59,"1,290,402",$0.5502,$0.59,$0.5502
12/05/2023,$0.551,"1,329,865",$0.589,$0.59,$0.55
12/04/2023,$0.584,"1,697,339",$0.59,$0.615,$0.57
12/01/2023,$0.6185,"736,827",$0.599,$0.62,$0.57
11/30/2023,$0.58,"1,449,363",$0.61,$0.6229,$0.5613
11/29/2023,$0.6009,"1,198,846",$0.66,$0.67,$0.59
11/28/2023,$0.6449,"841,418",$0.67,$0.67,$0.6347
11/27/2023,$0.67,"528,146",$0.67,$0.69,$0.651
11/24/2023,$0.681,"562,187",$0.66,$0.6899,$0.65
11/22/2023,$0.6599,"697,728",$0.6479,$0.6599,$0.62
11/21/2023,$0.6592,"1,104,817",$0.69,$0.6949,$0.6223
11/20/2023,$0.70,"843,464",$0.708,$0.718,$0.68
11/17/2023,$0.71,"1,423,076",$0.709,$0.736,$0.66
11/16/2023,$0.7075,"2,354,317",$0.731,$0.80,$0.7005
11/15/2023,$0.7137,"3,346,462",$0.635,$0.74,$0.635
11/14/2023,$0.6239,"1,506,802",$0.615,$0.663,$0.61
11/13/2023,$0.61,"2,374,976",$0.5995,$0.6598,$0.58
11/10/2023,$0.5907,"2,540,328",$0.54,$0.63,$0.5225
11/09/2023,$0.5326,"2,052,666",$0.57,$0.57,$0.50
11/08/2023,$0.5564,"1,718,307",$0.5851,$0.5956,$0.556
11/07/2023,$0.57,"2,829,777",$0.608,$0.608,$0.54
11/06/2023,$0.606,"1,712,409",$0.6598,$0.6649,$0.6019
11/03/2023,$0.64,"1,792,151",$0.6401,$0.6619,$0.6222
11/02/2023,$0.6401,"1,564,353",$0.64,$0.6543,$0.6201
11/01/2023,$0.6178,"1,642,239",$0.6799,$0.6799,$0.60
10/31/2023,$0.68,"2,941,930",$0.634,$0.6943,$0.579
