Date,Close,Volume,Open,High,Low
03/01/2024,$26.38,"1,642,651",$25.84,$26.82,$25.78
02/29/2024,$25.79,"1,971,812",$26.42,$26.79,$25.52
02/28/2024,$26.15,"3,539,728",$28.36,$29.19,$26.06
02/27/2024,$26.47,"1,246,241",$26.37,$26.655,$26.00
02/26/2024,$26.00,"1,389,176",$26.03,$26.11,$25.77
02/23/2024,$25.99,"929,346",$25.90,$26.07,$25.75
02/22/2024,$25.81,"1,134,245",$25.86,$25.99,$25.30
02/21/2024,$25.90,"862,616",$25.97,$26.14,$25.82
02/20/2024,$25.99,"1,024,748",$25.97,$26.21,$25.76
02/16/2024,$25.89,"2,012,816",$26.72,$26.79,$25.8425
02/15/2024,$26.58,"863,446",$26.28,$26.59,$26.1975
02/14/2024,$26.25,"995,159",$26.28,$26.28,$25.64
02/13/2024,$26.02,"1,161,824",$25.80,$26.19,$25.65
02/12/2024,$25.90,"831,453",$25.61,$25.93,$25.515
02/09/2024,$25.55,"1,074,102",$25.15,$25.63,$25.15
02/08/2024,$25.13,"1,071,690",$24.76,$25.40,$24.70
02/07/2024,$24.75,"1,243,463",$24.22,$24.89,$24.20
02/06/2024,$24.10,"1,558,786",$23.77,$24.13,$23.41
02/05/2024,$23.90,"1,166,904",$24.65,$24.67,$23.87
02/02/2024,$24.69,"1,574,682",$24.79,$24.81,$24.195
02/01/2024,$24.86,"1,755,785",$24.87,$25.025,$24.45
01/31/2024,$24.78,"958,744",$25.51,$25.69,$24.75
01/30/2024,$25.48,"714,236",$25.25,$25.58,$24.905
01/29/2024,$25.32,"912,698",$25.41,$25.55,$25.22
01/26/2024,$25.35,"908,224",$25.42,$25.63,$25.24
01/25/2024,$25.43,"912,999",$25.46,$25.68,$24.95
01/24/2024,$25.38,"944,621",$25.57,$25.86,$25.36
01/23/2024,$25.46,"941,133",$25.60,$25.85,$25.365
01/22/2024,$25.42,"1,418,670",$25.96,$26.02,$25.275
01/19/2024,$25.90,"1,119,756",$25.85,$26.09,$25.56
01/18/2024,$25.87,"927,537",$26.50,$26.67,$25.81
01/17/2024,$26.51,"1,189,997",$27.23,$27.27,$26.465
01/16/2024,$27.42,"1,318,500",$27.00,$27.625,$26.78
01/12/2024,$26.98,"676,429",$26.96,$27.16,$26.75
01/11/2024,$26.92,"1,006,847",$26.66,$26.965,$26.55
01/10/2024,$26.67,"753,185",$26.75,$27.03,$26.505
01/09/2024,$26.84,"968,788",$26.34,$26.935,$26.18
01/08/2024,$26.40,"1,009,061",$26.45,$26.45,$26.10
01/05/2024,$26.50,"1,848,898",$27.41,$27.475,$26.48
01/04/2024,$27.49,"1,364,115",$27.90,$28.00,$27.48
01/03/2024,$27.73,"1,632,178",$27.26,$28.07,$27.13
01/02/2024,$27.22,"1,167,970",$26.96,$27.65,$26.96
12/29/2023,$26.96,"950,845",$26.96,$27.09,$26.76
12/28/2023,$26.97,"1,202,552",$27.37,$27.37,$26.86
12/27/2023,$27.33,"1,607,626",$27.30,$27.45,$27.15
12/26/2023,$27.24,"1,745,309",$27.44,$27.63,$27.12
12/22/2023,$27.37,"1,309,486",$27.27,$27.70,$27.16
12/21/2023,$27.24,"1,333,586",$27.08,$27.34,$26.97
12/20/2023,$27.00,"1,689,853",$27.92,$27.92,$26.97
12/19/2023,$27.92,"1,378,232",$28.47,$28.515,$27.66
12/18/2023,$28.39,"1,006,882",$28.75,$29.00,$28.18
12/15/2023,$28.67,"1,454,977",$28.94,$28.99,$28.64
12/14/2023,$28.78,"861,791",$29.50,$29.80,$28.54
12/13/2023,$29.19,"919,013",$28.01,$29.21,$27.895
12/12/2023,$27.91,"2,249,816",$27.78,$28.28,$27.22
12/11/2023,$29.74,"769,304",$29.33,$29.75,$29.33
12/08/2023,$29.25,"496,881",$29.68,$29.76,$29.10
12/07/2023,$29.54,"1,030,112",$29.70,$29.80,$29.42
12/06/2023,$29.50,"1,203,760",$28.97,$29.53,$28.705
12/05/2023,$28.96,"611,176",$29.17,$29.29,$28.89
12/04/2023,$29.16,"767,243",$28.48,$29.43,$28.47
12/01/2023,$28.47,"583,948",$28.25,$28.55,$28.04
11/30/2023,$28.21,"1,293,301",$27.80,$28.245,$27.41
11/29/2023,$27.93,"716,154",$28.35,$28.53,$27.875
11/28/2023,$28.21,"836,439",$28.59,$28.67,$28.18
11/27/2023,$28.71,"740,833",$28.52,$28.90,$28.44
11/24/2023,$28.52,"425,774",$28.81,$29.04,$28.48
11/22/2023,$28.82,"544,905",$28.58,$28.98,$28.58
11/21/2023,$28.41,"851,627",$28.16,$28.67,$28.01
11/20/2023,$28.18,"780,384",$27.99,$28.24,$27.88
11/17/2023,$28.01,"1,023,196",$28.63,$28.94,$27.81
11/16/2023,$28.44,"1,159,167",$29.38,$29.38,$28.43
11/15/2023,$29.69,"1,567,956",$29.16,$29.98,$29.075
11/14/2023,$29.06,"1,478,189",$28.18,$29.32,$28.18
11/13/2023,$27.99,"1,221,996",$27.44,$28.095,$27.18
11/10/2023,$27.44,"882,637",$27.20,$27.45,$26.9073
11/09/2023,$27.08,"955,792",$27.23,$27.40,$26.78
11/08/2023,$27.15,"1,973,487",$27.00,$27.81,$26.51
11/07/2023,$28.46,"1,219,811",$28.40,$28.84,$28.16
