Date,Close,Volume,Open,High,Low
03/01/2024,$272.23,"151,728",$268.88,$272.445,$266.48
02/29/2024,$270.65,"121,104",$266.18,$271.29,$265.95
02/28/2024,$261.70,"100,626",$263.01,$266.695,$261.64
02/27/2024,$265.84,"96,737",$267.41,$270.5156,$265.39
02/26/2024,$264.00,"112,101",$262.60,$265.84,$261.915
02/23/2024,$265.12,"56,319",$263.40,$267.11,$262.61
02/22/2024,$264.52,"213,758",$263.12,$266.30,$262.51
02/21/2024,$262.30,"250,129",$259.45,$265.69,$259.45
02/20/2024,$261.46,"252,499",$266.45,$266.45,$260.95
02/16/2024,$269.00,"136,432",$272.84,$275.77,$268.65
02/15/2024,$275.20,"118,998",$277.29,$280.08,$274.86
02/14/2024,$276.50,"111,481",$276.54,$278.235,$270.01
02/13/2024,$274.65,"152,084",$271.51,$278.95,$271.51
02/12/2024,$279.92,"125,033",$278.23,$282.964,$278.175
02/09/2024,$275.92,"141,262",$270.06,$279.37,$268.47
02/08/2024,$269.09,"271,842",$269.93,$270.99,$263.01
02/07/2024,$268.10,"144,228",$266.96,$270.76,$263.34
02/06/2024,$265.11,"154,739",$266.38,$270.00,$264.88
02/05/2024,$268.16,"190,245",$262.40,$271.485,$262.40
02/02/2024,$267.66,"200,565",$264.20,$272.01,$262.41
02/01/2024,$269.16,"147,933",$260.69,$270.01,$260.69
01/31/2024,$260.06,"449,764",$260.10,$271.62,$255.73
01/30/2024,$282.29,"222,210",$276.18,$285.88,$276.18
01/29/2024,$276.75,"126,646",$273.29,$278.505,$271.19
01/26/2024,$274.50,"68,521",$275.76,$277.02,$272.21
01/25/2024,$273.51,"83,284",$275.00,$275.00,$270.23
01/24/2024,$270.70,"106,736",$280.54,$280.54,$269.14
01/23/2024,$276.53,"99,017",$282.84,$282.84,$275.00
01/22/2024,$278.48,"86,718",$276.11,$280.6436,$276.005
01/19/2024,$273.92,"65,849",$272.89,$275.67,$269.79
01/18/2024,$273.54,"78,427",$275.21,$275.21,$271.60
01/17/2024,$272.34,"80,876",$269.10,$273.435,$269.10
01/16/2024,$272.83,"80,516",$270.01,$274.50,$270.01
01/12/2024,$273.88,"90,600",$285.08,$286.24,$272.03
01/11/2024,$282.38,"93,839",$281.39,$282.99,$275.26
01/10/2024,$283.47,"75,681",$282.10,$283.965,$277.42
01/09/2024,$282.97,"77,629",$279.98,$283.40,$279.98
01/08/2024,$283.93,"112,416",$282.00,$286.50,$281.86
01/05/2024,$282.75,"160,359",$282.14,$287.73,$279.78
01/04/2024,$284.08,"142,177",$288.15,$288.15,$281.645
01/03/2024,$287.45,"167,027",$299.40,$303.93,$284.95
01/02/2024,$305.00,"120,021",$300.79,$307.78,$300.79
12/29/2023,$304.74,"61,190",$308.05,$308.80,$303.055
12/28/2023,$309.31,"81,087",$304.64,$309.58,$304.385
12/27/2023,$306.62,"73,706",$304.76,$310.08,$303.7772
12/26/2023,$305.63,"62,687",$301.95,$306.80,$299.8217
12/22/2023,$299.66,"69,891",$299.70,$302.76,$297.50
12/21/2023,$300.06,"69,409",$301.32,$303.91,$297.47
12/20/2023,$295.09,"95,906",$298.22,$302.39,$294.98
12/19/2023,$299.40,"131,990",$295.24,$300.875,$294.985
12/18/2023,$293.13,"128,829",$297.49,$299.24,$290.89
12/15/2023,$295.55,"616,131",$297.68,$297.68,$290.56
12/14/2023,$297.49,"254,179",$290.12,$297.64,$286.815
12/13/2023,$286.23,"217,930",$274.57,$287.95,$271.25
12/12/2023,$274.64,"133,453",$282.18,$282.18,$274.55
12/11/2023,$283.15,"186,085",$283.76,$285.79,$280.58
12/08/2023,$283.00,"153,885",$284.53,$287.00,$279.10
12/07/2023,$284.51,"108,428",$281.58,$284.585,$281.00
12/06/2023,$281.02,"146,312",$284.89,$290.04,$280.46
12/05/2023,$281.24,"142,318",$283.89,$285.96,$280.265
12/04/2023,$287.58,"158,713",$288.59,$293.54,$284.165
12/01/2023,$291.18,"98,560",$281.47,$291.56,$281.47
11/30/2023,$282.10,"139,190",$281.68,$285.62,$278.55
11/29/2023,$280.55,"97,669",$284.24,$286.86,$280.00
11/28/2023,$280.27,"84,168",$281.60,$285.80,$278.71
11/27/2023,$279.67,"191,681",$281.00,$282.48,$279.61
11/24/2023,$283.71,"118,776",$280.20,$283.71,$280.00
11/22/2023,$280.00,"80,727",$282.20,$283.64,$277.95
11/21/2023,$280.96,"125,123",$280.45,$282.57,$275.10
11/20/2023,$283.80,"94,014",$281.47,$283.91,$280.66
11/17/2023,$283.10,"93,364",$281.67,$285.69,$280.51
11/16/2023,$276.56,"115,834",$288.26,$288.39,$270.00
11/15/2023,$290.67,"117,223",$288.10,$293.765,$287.39
11/14/2023,$287.40,"126,645",$278.50,$290.83,$278.50
11/13/2023,$267.75,"76,762",$266.29,$268.65,$262.29
11/10/2023,$265.39,"124,034",$264.96,$268.04,$264.156
11/09/2023,$263.70,"85,290",$270.64,$270.64,$263.40
11/08/2023,$267.82,"82,454",$270.00,$272.205,$266.86
11/07/2023,$272.21,"67,302",$273.93,$274.39,$270.52
11/06/2023,$274.34,"115,308",$272.52,$274.43,$267.84
11/03/2023,$274.95,"112,188",$272.00,$278.49,$272.00
11/02/2023,$267.41,"109,750",$266.49,$268.35,$262.6548
11/01/2023,$261.41,"149,422",$249.96,$262.40,$246.0201
10/31/2023,$252.33,"119,171",$248.89,$253.43,$248.30
10/30/2023,$247.08,"155,288",$252.34,$253.33,$246.34
10/27/2023,$249.38,"140,409",$248.71,$251.8899,$246.89
10/26/2023,$249.51,"143,830",$242.42,$251.72,$239.01
10/25/2023,$239.84,"252,933",$234.50,$242.19,$228.84
10/24/2023,$232.89,"195,727",$234.33,$237.92,$231.29
10/23/2023,$238.62,"91,762",$242.35,$244.525,$238.22
10/20/2023,$243.55,"95,746",$249.34,$250.53,$242.70
10/19/2023,$247.88,"90,979",$253.08,$253.08,$246.34
10/18/2023,$254.42,"84,201",$252.76,$255.355,$250.52
10/17/2023,$255.78,"131,107",$254.66,$262.74,$254.66
10/16/2023,$254.49,"108,271",$248.42,$255.26,$245.46
10/13/2023,$244.68,"125,868",$252.42,$253.79,$243.18
10/12/2023,$251.90,"110,622",$260.96,$260.96,$249.685
10/11/2023,$261.10,"68,317",$260.12,$261.6737,$257.86
10/10/2023,$260.12,"109,438",$255.65,$262.29,$252.525
10/09/2023,$255.01,"72,176",$247.98,$256.53,$247.245
