Date,Close,Volume,Open,High,Low
03/01/2024,$0.18,"12,027",$0.20,$0.20,$0.18
02/29/2024,$0.17,"6,396",$0.176,$0.176,$0.164
02/28/2024,$0.1769,"4,973",$0.1777,$0.18,$0.176
02/27/2024,$0.186,534,$0.186,$0.192,$0.186
02/26/2024,$0.186,"26,266",$0.19,$0.2299,$0.186
02/23/2024,$0.1899,"25,449",$0.1775,$0.1989,$0.175
02/22/2024,$0.174,"55,496",$0.2074,$0.2074,$0.174
02/21/2024,$0.1989,"21,145",$0.2057,$0.21,$0.1989
02/20/2024,$0.21,"1,883",$0.2227,$0.2249,$0.2039
02/16/2024,$0.21,"21,037",$0.21,$0.2249,$0.1926
02/15/2024,$0.194,"55,426",$0.21,$0.22,$0.194
02/14/2024,$0.201,"28,750",$0.19,$0.2024,$0.185
02/13/2024,$0.1721,"63,655",$0.1835,$0.1892,$0.141
02/12/2024,$0.183,"5,784",$0.19,$0.19,$0.183
02/09/2024,$0.19,"95,878",$0.23,$0.23,$0.175
02/08/2024,$0.19,"5,565",$0.186,$0.21,$0.186
02/07/2024,$0.1875,"17,780",$0.2075,$0.21,$0.1875
02/06/2024,$0.21,"6,526",$0.21,$0.2276,$0.21
02/05/2024,$0.191,"3,029",$0.2052,$0.2052,$0.19
02/02/2024,$0.1998,"14,864",$0.1978,$0.2089,$0.1978
02/01/2024,$0.1776,"39,100",$0.20,$0.20,$0.1776
01/31/2024,$0.1999,"23,427",$0.2001,$0.2001,$0.1888
01/30/2024,$0.21,"10,206",$0.20,$0.23,$0.199
01/29/2024,$0.20,"34,014",$0.24,$0.2499,$0.195
01/26/2024,$0.1925,"12,023",$0.2475,$0.2475,$0.1925
01/25/2024,$0.212,N/A,$0.212,$0.212,$0.212
01/24/2024,$0.212,"9,550",$0.22,$0.23,$0.212
01/23/2024,$0.23,"3,300",$0.20,$0.25,$0.20
01/22/2024,$0.216,"2,224",$0.23,$0.23,$0.1933
01/19/2024,$0.20,"114,925",$0.2347,$0.2347,$0.1969
01/18/2024,$0.1969,"2,800",$0.2475,$0.25,$0.1969
01/17/2024,$0.1954,"48,521",$0.2625,$0.30,$0.1701
01/16/2024,$0.2749,"2,455",$0.27,$0.28,$0.27
01/12/2024,$0.2568,"15,548",$0.212,$0.2575,$0.212
01/11/2024,$0.2044,"32,709",$0.22,$0.2417,$0.2044
01/10/2024,$0.25,"10,434",$0.2425,$0.28,$0.2339
01/09/2024,$0.2425,"2,250",$0.22,$0.2425,$0.21
01/08/2024,$0.234,"3,906",$0.208,$0.2975,$0.208
01/05/2024,$0.2324,"22,975",$0.203,$0.2325,$0.203
01/04/2024,$0.225,"23,345",$0.2228,$0.225,$0.2227
01/03/2024,$0.225,"21,494",$0.2071,$0.225,$0.20
01/02/2024,$0.2249,"3,918",$0.216,$0.225,$0.206
12/29/2023,$0.2248,"8,094",$0.2064,$0.225,$0.2044
12/28/2023,$0.21,"18,893",$0.223,$0.225,$0.21
12/27/2023,$0.215,"23,400",$0.2079,$0.22,$0.20
12/26/2023,$0.2049,"15,121",$0.21,$0.21,$0.20
12/22/2023,$0.22,"32,946",$0.1501,$0.2221,$0.1501
12/21/2023,$0.20,"54,508",$0.1709,$0.2225,$0.169
12/20/2023,$0.16,"16,638",$0.151,$0.16,$0.15
12/19/2023,$0.151,"215,533",$0.14,$0.1684,$0.1311
12/18/2023,$0.135,"160,276",$0.14,$0.14,$0.1275
12/15/2023,$0.14,"26,478",$0.1599,$0.1599,$0.1375
12/14/2023,$0.14,"20,402",$0.15,$0.15,$0.135
12/13/2023,$0.1399,"30,823",$0.15,$0.17,$0.135
12/12/2023,$0.149,"59,101",$0.15,$0.1533,$0.148
12/11/2023,$0.142,"1,713",$0.145,$0.15,$0.142
12/08/2023,$0.1499,629,$0.1488,$0.1499,$0.1488
12/07/2023,$0.15,"121,960",$0.15,$0.1588,$0.142
12/06/2023,$0.15,"8,427",$0.15,$0.1515,$0.15
12/05/2023,$0.1475,240,$0.1475,$0.1475,$0.1475
12/04/2023,$0.1657,"17,550",$0.178,$0.2068,$0.1605
12/01/2023,$0.1599,"19,230",$0.1129,$0.165,$0.1129
11/30/2023,$0.165,"25,369",$0.1701,$0.1896,$0.1325
11/29/2023,$0.1725,"9,194",$0.175,$0.175,$0.1722
11/28/2023,$0.1701,140,$0.1701,$0.1701,$0.1701
11/27/2023,$0.1725,968,$0.1126,$0.1861,$0.1126
11/24/2023,$0.18,"3,807",$0.17,$0.1898,$0.17
11/22/2023,$0.17,"1,601",$0.1999,$0.1999,$0.17
11/21/2023,$0.1853,"7,992",$0.1898,$0.20,$0.1853
11/20/2023,$0.2195,"3,484",$0.2026,$0.2195,$0.19
11/17/2023,$0.2198,"29,719",$0.20,$0.2198,$0.198
11/16/2023,$0.2096,"3,099",$0.21,$0.21,$0.2001
11/15/2023,$0.211,"44,081",$0.22,$0.22,$0.20
11/14/2023,$0.2113,"7,971",$0.2376,$0.25,$0.21
11/13/2023,$0.23,"14,109",$0.234,$0.25,$0.202
11/10/2023,$0.204,"9,706",$0.23,$0.23,$0.201
11/09/2023,$0.2267,"2,415",$0.235,$0.24,$0.2267
11/08/2023,$0.23,"14,583",$0.22,$0.23,$0.20
11/07/2023,$0.214,"9,347",$0.2426,$0.2449,$0.20
11/06/2023,$0.22,"36,289",$0.2493,$0.2518,$0.21
11/03/2023,$0.22,"40,495",$0.19,$0.221,$0.19
11/02/2023,$0.21,"8,339",$0.1815,$0.21,$0.1815
11/01/2023,$0.1885,"52,660",$0.1906,$0.2074,$0.1849
10/31/2023,$0.1887,"10,681",$0.1989,$0.22,$0.1887
10/30/2023,$0.205,"37,736",$0.2078,$0.22,$0.1925
10/27/2023,$0.2102,"19,311",$0.22,$0.22,$0.20
10/26/2023,$0.23,"43,248",$0.2176,$0.24,$0.2176
10/25/2023,$0.24,"55,513",$0.26,$0.26,$0.2373
10/24/2023,$0.27,"7,269",$0.275,$0.275,$0.2675
10/23/2023,$0.275,N/A,$0.275,$0.275,$0.275
10/20/2023,$0.275,"36,230",$0.2699,$0.2812,$0.2675
10/19/2023,$0.29,425,$0.2975,$0.2975,$0.29
10/18/2023,$0.3066,300,$0.3066,$0.3066,$0.3066
10/17/2023,$0.33,N/A,$0.33,$0.33,$0.33
10/16/2023,$0.33,"28,278",$0.303,$0.33,$0.30
10/13/2023,$0.3299,N/A,$0.3299,$0.3299,$0.3299
10/12/2023,$0.3299,"3,983",$0.30,$0.35,$0.2999
10/11/2023,$0.2901,360,$0.30,$0.30,$0.29
10/10/2023,$0.2925,"3,450",$0.30,$0.30,$0.2925
10/09/2023,$0.3398,280,$0.3398,$0.3398,$0.3398
10/06/2023,$0.3215,600,$0.3025,$0.3215,$0.3021
10/05/2023,$0.33,"5,903",$0.295,$0.33,$0.295
10/04/2023,$0.29,"3,609",$0.302,$0.302,$0.2753
10/03/2023,$0.345,N/A,$0.345,$0.345,$0.345
10/02/2023,$0.345,N/A,$0.345,$0.345,$0.345
09/29/2023,$0.345,"12,280",$0.3564,$0.3564,$0.2951
09/28/2023,$0.3092,"13,035",$0.31,$0.31,$0.3065
09/27/2023,$0.31,920,$0.3101,$0.3101,$0.31
09/26/2023,$0.303,"3,054",$0.3031,$0.3115,$0.303
09/25/2023,$0.3329,565,$0.3375,$0.3375,$0.33
09/22/2023,$0.3382,654,$0.3382,$0.3382,$0.3382
09/21/2023,$0.3393,"8,980",$0.3229,$0.3393,$0.321
09/20/2023,$0.34,"6,183",$0.3576,$0.3576,$0.34
09/19/2023,$0.35,"22,720",$0.35,$0.35,$0.346
09/18/2023,$0.36,N/A,$0.36,$0.36,$0.36
09/15/2023,$0.36,"24,732",$0.3562,$0.37,$0.35
09/14/2023,$0.3599,"11,358",$0.36,$0.36,$0.3075
09/13/2023,$0.352,"25,301",$0.392,$0.392,$0.34
09/12/2023,$0.43,"3,669",$0.406,$0.43,$0.392
09/11/2023,$0.385,"8,980",$0.40,$0.41,$0.38
09/08/2023,$0.3999,"4,243",$0.3537,$0.40,$0.3502
09/07/2023,$0.3999,"1,000",$0.3999,$0.3999,$0.3999
09/06/2023,$0.40,"7,928",$0.42,$0.42,$0.39
09/05/2023,$0.43,N/A,$0.43,$0.43,$0.43
09/01/2023,$0.43,"14,208",$0.4351,$0.44,$0.3965
08/31/2023,$0.42,"10,509",$0.417,$0.43,$0.38
08/30/2023,$0.47,"17,305",$0.43,$0.49,$0.43
08/29/2023,$0.415,236,$0.415,$0.415,$0.415
08/28/2023,$0.416,N/A,$0.416,$0.416,$0.416
08/25/2023,$0.416,"11,605",$0.49,$0.49,$0.402
08/24/2023,$0.43,"2,640",$0.43,$0.43,$0.43
08/23/2023,$0.4574,"48,106",$0.3702,$0.4574,$0.3702
08/22/2023,$0.37,"130,552",$0.33,$0.37,$0.33
08/21/2023,$0.292,"15,628",$0.3099,$0.3362,$0.292
08/18/2023,$0.31,"4,190",$0.295,$0.31,$0.2758
08/17/2023,$0.31,"18,043",$0.31,$0.32,$0.28
08/16/2023,$0.32,"10,773",$0.32,$0.3232,$0.3122
08/15/2023,$0.3499,"12,119",$0.34,$0.35,$0.34
08/14/2023,$0.36,"380,380",$0.33,$0.37,$0.32
08/11/2023,$0.3232,"43,778",$0.36,$0.36,$0.32
08/10/2023,$0.3575,"8,572",$0.37,$0.38,$0.3575
08/09/2023,$0.37,"5,829",$0.3961,$0.3961,$0.37
08/08/2023,$0.3925,"5,273",$0.40,$0.40,$0.3725
08/07/2023,$0.404,"146,865",$0.4299,$0.4316,$0.40
08/04/2023,$0.41,"133,504",$0.44,$0.44,$0.4051
08/03/2023,$0.4416,"515,996",$0.4433,$0.4699,$0.4156
08/02/2023,$0.45,953,$0.45,$0.4748,$0.45
08/01/2023,$0.4666,958,$0.4998,$0.4998,$0.44
07/31/2023,$0.47,"2,365",$0.4692,$0.47,$0.45
07/28/2023,$0.4566,"1,273",$0.4533,$0.4621,$0.43
07/27/2023,$0.435,"19,686",$0.4483,$0.4533,$0.42
07/26/2023,$0.44,"32,187",$0.4366,$0.4532,$0.41
07/25/2023,$0.4326,"10,235",$0.4653,$0.47,$0.4326
07/24/2023,$0.4495,"2,849",$0.4377,$0.471,$0.4377
07/21/2023,$0.4699,"13,415",$0.4706,$0.4996,$0.4499
07/20/2023,$0.4998,"12,134",$0.46,$0.50,$0.46
07/19/2023,$0.46,"11,710",$0.4943,$0.4944,$0.46
07/18/2023,$0.4747,N/A,$0.4747,$0.4747,$0.4747
07/17/2023,$0.4747,"3,056",$0.50,$0.50,$0.4747
07/14/2023,$0.48,"3,112",$0.4773,$0.48,$0.4773
07/13/2023,$0.47,"4,018",$0.4774,$0.4774,$0.4466
07/12/2023,$0.4483,"13,838",$0.4899,$0.4999,$0.41
07/11/2023,$0.4351,"24,319",$0.447,$0.49,$0.429
07/10/2023,$0.4551,"1,979",$0.4645,$0.499,$0.4551
07/07/2023,$0.4632,N/A,$0.4632,$0.4632,$0.4632
07/06/2023,$0.4632,"5,800",$0.4646,$0.485,$0.43
07/05/2023,$0.51,"5,458",$0.48,$0.51,$0.46
07/03/2023,$0.4999,"1,362",$0.45,$0.4999,$0.45
06/30/2023,$0.45,"13,641",$0.4649,$0.4649,$0.4425
06/29/2023,$0.4401,"130,651",$0.4554,$0.4667,$0.439
06/28/2023,$0.4503,"1,590",$0.4534,$0.4628,$0.4416
06/27/2023,$0.477,"127,863",$0.51,$0.51,$0.4655
06/26/2023,$0.465,"19,344",$0.42,$0.4809,$0.42
06/23/2023,$0.47,"1,550",$0.4799,$0.4799,$0.47
06/22/2023,$0.4601,"125,973",$0.4933,$0.4933,$0.4571
06/21/2023,$0.5147,"120,821",$0.4883,$0.5147,$0.4762
06/20/2023,$0.4747,"133,231",$0.5298,$0.5298,$0.47
06/16/2023,$0.50,N/A,$0.50,$0.50,$0.50
06/15/2023,$0.50,"1,406",$0.505,$0.5072,$0.50
06/14/2023,$0.499,"19,208",$0.52,$0.52,$0.499
