Date,Close,Volume,Open,High,Low
03/01/2024,$8.09,"463,346",$8.30,$8.38,$8.01
02/29/2024,$8.28,"436,985",$8.38,$8.48,$8.20
02/28/2024,$8.27,"260,108",$8.49,$8.58,$8.27
02/27/2024,$8.55,"370,515",$8.54,$8.63,$8.45
02/26/2024,$8.50,"201,402",$8.55,$8.66,$8.48
02/23/2024,$8.58,"143,440",$8.45,$8.66,$8.385
02/22/2024,$8.47,"138,299",$8.41,$8.515,$8.33
02/21/2024,$8.41,"185,132",$8.47,$8.47,$8.3522
02/20/2024,$8.47,"227,667",$8.41,$8.58,$8.35
02/16/2024,$8.53,"175,332",$8.38,$8.54,$8.34
02/15/2024,$8.48,"259,291",$8.15,$8.49,$8.1179
02/14/2024,$8.06,"240,643",$8.24,$8.3692,$7.99
02/13/2024,$8.15,"347,826",$8.35,$8.4686,$8.12
02/12/2024,$8.65,"432,549",$8.23,$8.71,$8.22
02/09/2024,$8.23,"216,565",$8.25,$8.37,$8.21
02/08/2024,$8.21,"255,377",$8.16,$8.37,$8.06
02/07/2024,$8.25,"223,675",$8.51,$8.52,$8.25
02/06/2024,$8.47,"220,691",$8.62,$8.64,$8.43
02/05/2024,$8.65,"443,500",$8.50,$8.6928,$8.42
02/02/2024,$8.62,"174,947",$8.68,$8.70,$8.53
02/01/2024,$8.72,"227,565",$8.73,$8.84,$8.63
01/31/2024,$8.68,"357,546",$8.78,$8.91,$8.64
01/30/2024,$8.83,"273,276",$8.87,$8.90,$8.74
01/29/2024,$8.94,"369,321",$9.05,$9.10,$8.83
01/26/2024,$9.00,"351,310",$8.90,$9.12,$8.90
01/25/2024,$8.82,"309,181",$8.77,$8.94,$8.675
01/24/2024,$8.65,"287,270",$9.00,$9.00,$8.59
01/23/2024,$8.86,"176,954",$8.96,$8.96,$8.74
01/22/2024,$8.85,"290,174",$8.73,$8.96,$8.73
01/19/2024,$8.64,"307,393",$8.74,$8.74,$8.47
01/18/2024,$8.65,"162,925",$8.68,$8.8358,$8.56
01/17/2024,$8.69,"297,963",$8.75,$8.79,$8.49
01/16/2024,$8.83,"300,699",$8.65,$8.86,$8.64
01/12/2024,$8.72,"223,744",$8.66,$8.755,$8.52
01/11/2024,$8.60,"374,027",$8.80,$8.80,$8.59
01/10/2024,$8.75,"369,414",$8.62,$8.86,$8.54
01/09/2024,$8.65,"820,662",$8.73,$8.88,$8.56
01/08/2024,$8.78,"565,959",$8.35,$8.80,$8.33
01/05/2024,$8.30,"198,884",$8.26,$8.42,$8.23
01/04/2024,$8.33,"213,412",$8.28,$8.37,$8.15
01/03/2024,$8.20,"1,180,432",$8.57,$8.57,$8.14
01/02/2024,$8.56,"2,150,041",$8.68,$8.70,$8.33
12/29/2023,$8.78,"693,903",$8.93,$9.09,$8.78
12/28/2023,$8.96,"799,581",$8.89,$9.00,$8.75
12/27/2023,$8.77,"691,361",$8.65,$8.94,$8.62
12/26/2023,$8.66,"421,919",$8.48,$8.68,$8.4103
12/22/2023,$8.46,"264,783",$8.50,$8.525,$8.40
12/21/2023,$8.49,"256,794",$8.32,$8.53,$8.30
12/20/2023,$8.26,"437,780",$8.16,$8.50,$8.1007
12/19/2023,$8.16,"314,156",$7.92,$8.17,$7.85
12/18/2023,$7.94,"472,219",$8.13,$8.24,$7.83
12/15/2023,$8.15,"1,177,996",$8.55,$8.55,$8.02
12/14/2023,$8.55,"820,691",$8.45,$8.74,$8.235
12/13/2023,$8.48,"596,870",$8.35,$8.58,$8.16
