Date,Close,Volume,Open,High,Low
03/01/2024,$2.65,"18,381",$2.60,$2.70,$2.60
02/29/2024,$2.61,"26,691",$2.62,$2.6946,$2.61
02/28/2024,$2.63,"34,920",$2.64,$2.7199,$2.60
02/27/2024,$2.65,"11,984",$2.69,$2.70,$2.6463
02/26/2024,$2.64,"15,441",$2.65,$2.69,$2.64
02/23/2024,$2.66,"12,342",$2.63,$2.67,$2.63
02/22/2024,$2.66,"17,227",$2.63,$2.685,$2.63
02/21/2024,$2.65,"10,362",$2.62,$2.65,$2.62
02/20/2024,$2.62,"58,718",$2.58,$2.6441,$2.57
02/16/2024,$2.61,"66,701",$2.62,$2.65,$2.595
02/15/2024,$2.60,"102,104",$2.61,$2.6539,$2.5985
02/14/2024,$2.61,"117,507",$2.70,$2.70,$2.575
02/13/2024,$2.70,"29,014",$2.70,$2.75,$2.70
02/12/2024,$2.76,"33,883",$2.77,$2.80,$2.75
02/09/2024,$2.77,"131,548",$2.772,$2.79,$2.70
02/08/2024,$2.76,"18,803",$2.80,$2.80,$2.7552
02/07/2024,$2.77,"30,096",$2.76,$2.79,$2.75
02/06/2024,$2.76,"20,790",$2.84,$2.84,$2.76
02/05/2024,$2.77,"22,806",$2.83,$2.8469,$2.77
02/02/2024,$2.84,"14,234",$2.79,$2.84,$2.79
02/01/2024,$2.83,"36,478",$2.92,$2.9242,$2.80
01/31/2024,$2.92,"74,578",$2.89,$2.94,$2.8484
01/30/2024,$2.89,"10,650",$2.82,$2.89,$2.82
01/29/2024,$2.85,"10,016",$2.82,$2.8699,$2.82
01/26/2024,$2.84,"33,209",$2.81,$2.85,$2.81
01/25/2024,$2.81,"9,127",$2.81,$2.83,$2.81
01/24/2024,$2.81,"13,679",$2.812,$2.83,$2.80
01/23/2024,$2.80,"32,803",$2.74,$2.83,$2.74
01/22/2024,$2.75,"26,232",$2.80,$2.80,$2.7475
01/19/2024,$2.79,"35,527",$2.8141,$2.8715,$2.76
01/18/2024,$2.80,"11,025",$2.78,$2.80,$2.78
01/17/2024,$2.79,"19,813",$2.78,$2.8342,$2.78
01/16/2024,$2.79,"23,091",$2.80,$2.84,$2.79
01/12/2024,$2.8012,"14,634",$2.87,$2.87,$2.7892
01/11/2024,$2.78,"38,446",$2.815,$2.8701,$2.77
01/10/2024,$2.76,"10,277",$2.78,$2.8199,$2.76
01/09/2024,$2.80,"13,204",$2.84,$2.84,$2.77
01/08/2024,$2.80,"5,412",$2.81,$2.84,$2.80
01/05/2024,$2.80,"42,520",$2.83,$2.88,$2.80
01/04/2024,$2.87,"20,848",$2.82,$2.89,$2.80
01/03/2024,$2.79,"22,997",$2.76,$2.80,$2.7596
01/02/2024,$2.76,"33,628",$2.82,$2.8617,$2.75
12/29/2023,$2.82,"26,971",$2.90,$2.92,$2.82
12/28/2023,$2.88,"44,794",$2.87,$2.935,$2.8369
12/27/2023,$2.88,"96,994",$2.81,$3.05,$2.81
12/26/2023,$2.86,"43,547",$2.84,$2.86,$2.83
12/22/2023,$2.84,"20,570",$2.83,$2.84,$2.83
