Date,Close,Volume,Open,High,Low
03/01/2024,$7.32,"26,984",$7.19,$7.36,$6.88
02/29/2024,$7.20,"155,519",$7.35,$7.65,$6.5135
02/28/2024,$7.49,"17,573",$7.2279,$7.5878,$7.17
02/27/2024,$7.54,"15,826",$7.35,$7.63,$7.12
02/26/2024,$7.57,"16,036",$7.70,$7.99,$7.50
02/23/2024,$7.70,"15,086",$7.62,$8.49,$7.37
02/22/2024,$7.60,"34,441",$8.39,$8.50,$7.33
02/21/2024,$8.50,"8,360",$8.20,$8.5693,$8.12
02/20/2024,$8.16,"22,584",$8.80,$8.83,$8.02
02/16/2024,$8.58,"31,762",$7.93,$8.69,$7.71
02/15/2024,$8.03,"38,822",$7.45,$8.39,$7.1101
02/14/2024,$7.49,"66,681",$6.99,$7.90,$6.99
02/13/2024,$7.03,"4,751",$7.03,$7.40,$6.6381
02/12/2024,$7.0282,"15,348",$6.80,$7.05,$6.715
02/09/2024,$6.92,"8,252",$6.79,$7.04,$6.56
02/08/2024,$7.00,"13,013",$6.79,$7.50,$6.52
02/07/2024,$7.14,"27,207",$7.59,$7.59,$6.80
02/06/2024,$7.16,"26,250",$6.55,$7.23,$6.11
02/05/2024,$6.90,"24,519",$6.66,$7.24,$6.50
02/02/2024,$6.65,"120,103",$6.96,$7.60,$6.10
02/01/2024,$7.10,"106,551",$7.64,$8.20,$7.05
01/31/2024,$7.65,"436,038",$7.01,$8.50,$6.5201
01/30/2024,$7.73,"980,487",$4.31,$7.73,$4.31
01/29/2024,$4.76,"297,502",$5.31,$5.45,$4.7401
01/26/2024,$5.28,"3,176,223",$4.25,$6.22,$4.25
