Date,Close,Volume,Open,High,Low
03/01/2024,$2.06,"4,621",$2.07,$2.10,$2.06
02/29/2024,$2.06,"1,771",$2.125,$2.1407,$2.06
02/28/2024,$2.08,"1,460",$2.06,$2.08,$2.06
02/27/2024,$2.05,"4,946",$2.06,$2.06,$2.05
02/26/2024,$2.06,"2,405",$2.082,$2.1235,$2.06
02/23/2024,$2.10,"9,635",$2.10,$2.115,$2.08
02/22/2024,$2.06,"4,107",$2.07,$2.14,$2.05
02/21/2024,$2.07,"4,856",$2.06,$2.10,$2.06
02/20/2024,$2.09,"7,576",$2.07,$2.11,$2.07
02/16/2024,$2.0699,"47,153",$2.19,$2.2516,$2.05
02/15/2024,$2.12,"30,113",$2.075,$2.25,$2.075
02/14/2024,$2.05,"3,827",$2.026,$2.10,$2.02
02/13/2024,$2.03,"22,296",$2.03,$2.055,$1.96
02/12/2024,$2.04,"18,827",$2.05,$2.1399,$2.04
02/09/2024,$2.02,N/A,$2.02,$2.02,$2.02
02/08/2024,$2.02,N/A,$2.02,$2.02,$2.02
02/07/2024,$2.02,"6,806",$2.088,$2.09,$2.02
02/06/2024,$2.05,"5,796",$2.13,$2.13,$2.05
02/05/2024,$2.0549,"10,661",$2.11,$2.1254,$2.0549
02/02/2024,$2.10,"12,044",$2.05,$2.11,$2.04
02/01/2024,$2.04,"56,804",$2.03,$2.14,$1.96
01/31/2024,$1.96,348,$1.96,$1.96,$1.96
01/30/2024,$1.96,"21,303",$1.98,$2.02,$1.96
01/29/2024,$1.996,"3,829",$2.00,$2.02,$1.98
01/26/2024,$2.01,"2,640",$2.01,$2.04,$2.00
01/25/2024,$2.00,"1,456",$2.015,$2.03,$2.00
01/24/2024,$2.0257,"2,189",$2.01,$2.0351,$2.01
01/23/2024,$2.04,"2,673",$2.05,$2.05,$2.01
01/22/2024,$2.00,"1,525",$2.00,$2.05,$2.00
01/19/2024,$2.0214,"15,381",$2.0405,$2.05,$2.00
01/18/2024,$2.04,"12,272",$2.0001,$2.048,$2.00
01/17/2024,$2.0169,"2,478",$2.02,$2.0485,$2.0169
01/16/2024,$2.045,490,$2.045,$2.045,$2.045
01/12/2024,$2.01,690,$2.008,$2.01,$2.008
01/11/2024,$2.0236,"1,476",$2.05,$2.0501,$2.0236
01/10/2024,$2.0201,"25,123",$2.02,$2.03,$2.0173
01/09/2024,$2.03,"1,156",$2.00,$2.03,$2.00
01/08/2024,$2.025,"1,623",$2.00,$2.025,$2.00
01/05/2024,$2.01,"5,171",$2.04,$2.0419,$2.01
01/04/2024,$2.01,976,$2.01,$2.01,$2.01
01/03/2024,$2.00,573,$2.00,$2.00,$2.00
01/02/2024,$2.00,"2,462",$2.01,$2.0385,$2.00
12/29/2023,$2.0024,"13,081",$2.08,$2.08,$1.97
12/28/2023,$2.01,"4,250",$2.08,$2.08,$2.01
12/27/2023,$2.05,"26,614",$2.01,$2.05,$1.99
12/26/2023,$2.025,"17,103",$2.05,$2.05,$1.98
12/22/2023,$2.01,"7,805",$2.01,$2.05,$2.01
12/21/2023,$2.01,"4,479",$2.068,$2.068,$2.00
12/20/2023,$1.98,"11,216",$2.045,$2.045,$1.98
12/19/2023,$2.03,"3,165",$2.03,$2.03,$2.023
12/18/2023,$2.0539,"23,532",$2.04,$2.082,$1.964
12/15/2023,$2.00,"10,115",$2.03,$2.05,$1.996
12/14/2023,$2.04,"19,105",$2.05,$2.15,$1.9739
12/13/2023,$1.9802,"38,972",$2.04,$2.11,$1.88
12/12/2023,$2.00,"55,143",$2.05,$2.12,$1.97
12/11/2023,$1.96,"173,036",$1.96,$1.969,$1.95
12/08/2023,$1.95,"3,325",$1.95,$1.96,$1.95
12/07/2023,$1.9652,"5,828",$1.96,$1.974,$1.95
12/06/2023,$1.96,"12,175",$1.95,$1.9813,$1.94
12/05/2023,$1.95,"8,175",$1.99,$1.99,$1.95
12/04/2023,$1.9601,"13,185",$2.02,$2.02,$1.91
12/01/2023,$1.985,"3,433",$2.015,$2.015,$1.985
11/30/2023,$2.00,"6,390",$2.0209,$2.04,$2.00
11/29/2023,$2.0315,"15,736",$1.94,$2.10,$1.94
11/28/2023,$2.058,"16,646",$2.05,$2.068,$1.93
11/27/2023,$2.03,"17,770",$1.97,$2.05,$1.97
11/24/2023,$1.9704,"2,731",$1.965,$1.9704,$1.96
11/22/2023,$1.96,"7,290",$1.96,$1.96,$1.95
11/21/2023,$1.96,"1,662",$1.96,$1.96,$1.96
11/20/2023,$1.96,"6,420",$1.9595,$1.96,$1.95
11/17/2023,$1.9501,"2,356",$1.98,$1.98,$1.95
11/16/2023,$1.96,"13,827",$1.96,$2.0201,$1.96
11/15/2023,$1.98,630,$1.95,$2.00,$1.95
11/14/2023,$1.9998,"1,279",$1.9947,$1.9998,$1.9501
11/13/2023,$2.00,"2,356",$2.002,$2.018,$2.00
11/10/2023,$2.01,"1,083",$2.00,$2.02,$2.00
11/09/2023,$2.00,"4,121",$2.02,$2.02,$2.00
11/08/2023,$2.02,775,$2.02,$2.02,$2.0177
11/07/2023,$2.0298,953,$2.02,$2.0298,$2.02
11/06/2023,$2.02,"1,013",$2.01,$2.02,$2.0003
