Date,Close,Volume,Open,High,Low
03/01/2024,$8.75,"1,727,410",$8.84,$8.84,$8.585
02/29/2024,$8.83,"1,692,488",$8.75,$9.0299,$8.75
02/28/2024,$8.69,"1,131,044",$8.60,$8.795,$8.60
02/27/2024,$8.76,"1,149,630",$8.80,$8.925,$8.605
02/26/2024,$8.69,"1,466,130",$8.73,$8.95,$8.4924
02/23/2024,$8.67,"1,895,203",$8.49,$8.80,$8.49
02/22/2024,$8.50,"2,319,760",$8.53,$8.745,$8.35
02/21/2024,$8.38,"2,986,097",$8.21,$8.39,$8.10
02/20/2024,$8.26,"6,009,496",$8.13,$8.65,$7.99
02/16/2024,$8.07,"7,181,037",$8.07,$8.32,$7.82
02/15/2024,$8.03,"21,484,050",$9.05,$9.15,$6.68
02/14/2024,$11.75,"1,823,167",$11.94,$12.0899,$11.565
02/13/2024,$11.80,"1,978,824",$12.20,$12.41,$11.67
02/12/2024,$12.59,"1,598,120",$12.18,$12.69,$12.18
02/09/2024,$12.07,"1,361,336",$12.40,$12.62,$11.945
02/08/2024,$12.36,"3,639,451",$12.11,$12.81,$11.90
02/07/2024,$11.63,"884,570",$11.63,$11.74,$11.39
02/06/2024,$11.54,"1,039,991",$11.23,$11.58,$10.94
02/05/2024,$11.29,"1,413,779",$11.89,$12.03,$11.28
02/02/2024,$11.78,"1,669,044",$12.15,$12.17,$11.55
02/01/2024,$12.45,"957,756",$12.23,$12.52,$12.07
01/31/2024,$12.05,"1,412,584",$12.24,$12.52,$12.05
01/30/2024,$12.16,"601,064",$12.34,$12.355,$12.16
01/29/2024,$12.48,"635,334",$12.36,$12.50,$12.22
01/26/2024,$12.43,"603,841",$12.70,$12.90,$12.43
01/25/2024,$12.57,"803,714",$12.33,$12.58,$12.17
01/24/2024,$12.10,"654,594",$12.50,$12.53,$12.09
01/23/2024,$12.33,"709,195",$12.50,$12.79,$12.16
01/22/2024,$12.28,"963,510",$12.54,$12.95,$12.2001
01/19/2024,$12.41,"1,211,685",$12.46,$12.69,$11.885
01/18/2024,$12.45,"1,324,121",$12.35,$12.495,$11.975
01/17/2024,$12.33,"1,393,750",$12.36,$12.59,$12.06
01/16/2024,$12.52,"1,597,249",$13.21,$13.30,$12.485
01/12/2024,$13.39,"840,333",$13.51,$13.62,$13.27
01/11/2024,$13.35,"743,088",$13.60,$13.625,$13.165
01/10/2024,$13.64,"1,037,305",$13.17,$13.705,$13.06
01/09/2024,$13.17,"1,160,335",$13.43,$13.52,$13.08
01/08/2024,$13.69,"1,265,305",$12.81,$13.70,$12.79
01/05/2024,$12.78,"1,739,252",$13.18,$13.50,$12.74
01/04/2024,$13.31,"2,422,541",$14.39,$14.39,$13.26
01/03/2024,$14.38,"1,738,389",$15.05,$15.05,$14.26
01/02/2024,$15.36,"735,929",$15.13,$15.43,$15.04
12/29/2023,$15.26,"703,014",$15.32,$15.43,$15.19
