Date,Close,Volume,Open,High,Low
03/01/2024,$18.04,"708,262",$18.04,$18.11,$17.905
02/29/2024,$18.06,"994,075",$17.91,$18.095,$17.82
02/28/2024,$17.91,"956,878",$18.16,$18.18,$17.8099
02/27/2024,$18.20,"1,591,193",$18.25,$18.335,$18.0478
02/26/2024,$18.77,"1,119,625",$18.69,$18.86,$18.65
02/23/2024,$18.63,"995,104",$18.79,$18.88,$18.615
02/22/2024,$18.72,"929,778",$18.60,$18.74,$18.52
02/21/2024,$18.45,"1,187,223",$18.47,$18.58,$18.35
02/20/2024,$18.47,"1,493,697",$18.48,$18.61,$18.37
02/16/2024,$18.60,"2,305,380",$18.00,$18.6507,$17.97
02/15/2024,$17.74,"1,216,908",$17.60,$17.87,$17.60
02/14/2024,$17.53,"1,161,715",$17.57,$17.72,$17.45
02/13/2024,$17.45,"839,440",$17.36,$17.615,$17.24
02/12/2024,$17.52,"586,503",$17.30,$17.59,$17.24
02/09/2024,$17.29,"547,871",$17.17,$17.31,$17.1201
02/08/2024,$17.17,"471,255",$17.11,$17.195,$16.99
02/07/2024,$17.09,"563,726",$17.03,$17.15,$16.965
02/06/2024,$17.08,"575,928",$17.20,$17.25,$17.03
02/05/2024,$17.23,"599,358",$17.20,$17.29,$17.03
02/02/2024,$17.28,"551,543",$17.10,$17.375,$17.07
02/01/2024,$17.19,"960,554",$17.37,$17.43,$16.7159
01/31/2024,$17.31,"1,014,453",$17.75,$17.92,$17.27
01/30/2024,$17.80,"575,994",$17.65,$17.83,$17.64
01/29/2024,$17.64,"583,912",$17.59,$17.65,$17.4752
01/26/2024,$17.56,"919,467",$17.35,$17.60,$17.35
01/25/2024,$17.34,"495,626",$17.28,$17.35,$17.225
01/24/2024,$17.17,"697,508",$17.46,$17.46,$17.1592
01/23/2024,$17.37,"565,832",$17.26,$17.39,$17.1807
01/22/2024,$17.30,"834,062",$17.00,$17.34,$17.00
01/19/2024,$16.98,"553,141",$17.01,$17.05,$16.865
01/18/2024,$16.93,"669,104",$16.95,$17.03,$16.775
01/17/2024,$16.92,"654,134",$16.82,$16.945,$16.72
01/16/2024,$16.95,"1,652,542",$17.28,$17.39,$16.86
01/12/2024,$17.58,"622,957",$17.52,$17.65,$17.49
01/11/2024,$17.48,"893,090",$17.49,$17.49,$17.01
01/10/2024,$17.45,"836,344",$17.35,$17.52,$17.35
01/09/2024,$17.40,"709,951",$17.35,$17.51,$17.31
01/08/2024,$17.43,"1,104,282",$17.28,$17.4988,$17.20
01/05/2024,$17.22,"924,233",$17.10,$17.31,$17.07
01/04/2024,$17.11,"946,587",$16.67,$17.23,$16.67
01/03/2024,$16.67,"574,907",$16.67,$16.73,$16.5423
01/02/2024,$16.73,"608,698",$16.65,$16.74,$16.51
12/29/2023,$16.67,"808,028",$16.83,$16.92,$16.65
12/28/2023,$16.90,"991,515",$16.93,$17.0921,$16.86
12/27/2023,$16.93,"1,064,994",$16.74,$16.9899,$16.60
12/26/2023,$16.66,"929,777",$16.46,$16.69,$16.44
12/22/2023,$16.41,"1,080,217",$16.33,$16.51,$16.315
12/21/2023,$16.25,"579,638",$16.28,$16.305,$16.15
12/20/2023,$16.20,"1,417,174",$16.20,$16.40,$16.195
12/19/2023,$16.22,"979,491",$16.10,$16.23,$16.01
12/18/2023,$16.06,"1,145,246",$15.84,$16.14,$15.83
12/15/2023,$15.83,"1,109,818",$15.93,$15.95,$15.69
12/14/2023,$15.93,"1,711,793",$15.76,$16.165,$15.68
12/13/2023,$15.62,"978,674",$15.50,$15.67,$15.32
12/12/2023,$15.49,"1,202,355",$15.43,$15.555,$15.3863
12/11/2023,$15.42,"789,740",$15.46,$15.50,$15.355
12/08/2023,$15.46,"566,837",$15.28,$15.495,$15.24
12/07/2023,$15.32,"778,317",$15.22,$15.32,$15.175
12/06/2023,$15.23,"1,042,528",$15.34,$15.41,$15.17
12/05/2023,$15.22,"1,224,579",$15.38,$15.399,$15.14
12/04/2023,$15.40,"922,965",$15.36,$15.45,$15.32
12/01/2023,$15.40,"1,255,497",$15.40,$15.47,$15.2201
11/30/2023,$15.45,"5,695,682",$15.59,$15.66,$15.25
11/29/2023,$15.55,"579,946",$15.61,$15.70,$15.54
11/28/2023,$15.60,"761,466",$15.70,$15.70,$15.50
11/27/2023,$15.60,"857,308",$15.60,$15.65,$15.56
11/24/2023,$15.65,"648,225",$15.60,$15.75,$15.56
11/22/2023,$15.55,"1,048,524",$15.56,$15.63,$15.435
11/21/2023,$15.41,"850,512",$15.59,$15.66,$15.40
11/20/2023,$15.69,"1,060,907",$15.72,$15.78,$15.65
11/17/2023,$15.65,"715,494",$15.61,$15.74,$15.605
11/16/2023,$15.59,"692,234",$15.90,$15.91,$15.59
11/15/2023,$15.87,"1,475,249",$15.74,$15.9288,$15.50
11/14/2023,$15.77,"1,561,182",$15.61,$15.91,$15.42
11/13/2023,$16.04,"2,710,895",$16.05,$16.0999,$15.85
11/10/2023,$16.03,"1,081,314",$15.94,$16.05,$15.84
11/09/2023,$15.81,"1,398,023",$15.99,$16.0887,$15.80
11/08/2023,$15.91,"624,887",$15.78,$15.96,$15.72
11/07/2023,$15.78,"1,221,780",$16.10,$16.105,$15.66
11/06/2023,$15.99,"989,144",$15.96,$16.02,$15.73
11/03/2023,$15.87,"1,466,785",$16.25,$16.34,$15.71
11/02/2023,$16.10,"1,115,605",$16.00,$16.25,$15.98
11/01/2023,$15.84,"969,299",$15.52,$15.85,$15.47
10/31/2023,$15.40,"947,566",$15.43,$15.59,$15.35
10/30/2023,$15.24,"747,941",$15.27,$15.4286,$15.11
10/27/2023,$15.09,"785,986",$15.29,$15.33,$15.02
10/26/2023,$15.30,"694,633",$15.20,$15.42,$15.13
10/25/2023,$15.19,"786,031",$15.44,$15.58,$15.13
10/24/2023,$15.51,"937,119",$15.39,$15.765,$15.3033
10/23/2023,$15.23,"1,465,896",$15.60,$15.65,$15.19
10/20/2023,$15.66,"1,163,226",$15.80,$15.86,$15.52
10/19/2023,$15.85,"805,415",$15.93,$16.085,$15.78
10/18/2023,$15.93,"967,354",$16.21,$16.28,$15.91
10/17/2023,$16.27,"515,159",$16.35,$16.43,$16.2001
10/16/2023,$16.41,"507,080",$16.26,$16.57,$16.23
10/13/2023,$16.15,"585,909",$16.31,$16.39,$16.01
10/12/2023,$16.25,"822,107",$16.29,$16.41,$16.045
10/11/2023,$16.26,"537,461",$16.30,$16.4116,$16.14
10/10/2023,$16.26,"506,896",$16.12,$16.3999,$16.10
10/09/2023,$16.12,"513,954",$15.77,$16.135,$15.77
10/06/2023,$15.88,"798,047",$15.58,$15.995,$15.5568
10/05/2023,$15.70,"960,591",$15.68,$15.80,$15.55
10/04/2023,$15.76,"1,475,532",$15.79,$15.90,$15.45
10/03/2023,$15.76,"1,265,416",$16.00,$16.11,$15.72
10/02/2023,$16.09,"998,029",$16.50,$16.50,$16.02
09/29/2023,$16.42,"823,059",$16.61,$16.76,$16.4125
09/28/2023,$16.55,"512,776",$16.29,$16.63,$16.29
09/27/2023,$16.34,"708,406",$16.22,$16.5002,$16.20
09/26/2023,$16.15,"834,287",$16.50,$16.55,$16.11
09/25/2023,$16.53,"705,153",$16.39,$16.6794,$16.37
09/22/2023,$16.43,"647,709",$16.29,$16.5493,$16.26
09/21/2023,$16.24,"708,082",$16.53,$16.58,$16.23
09/20/2023,$16.60,"532,200",$16.60,$16.7575,$16.58
09/19/2023,$16.54,"428,219",$16.48,$16.61,$16.415
09/18/2023,$16.47,"538,078",$16.50,$16.56,$16.43
09/15/2023,$16.50,"630,297",$16.28,$16.525,$16.22
09/14/2023,$16.28,"608,955",$16.35,$16.41,$16.27
09/13/2023,$16.27,"620,756",$16.15,$16.35,$16.105
09/12/2023,$16.09,"833,282",$16.18,$16.19,$16.035
09/11/2023,$16.22,"788,380",$16.07,$16.23,$15.97
09/08/2023,$15.97,"577,855",$15.85,$16.02,$15.85
09/07/2023,$15.86,"724,853",$15.80,$15.935,$15.725
09/06/2023,$15.83,"940,508",$16.02,$16.12,$15.77
09/05/2023,$16.06,"897,905",$16.37,$16.4243,$16.05
09/01/2023,$16.37,"692,021",$16.51,$16.59,$16.355
08/31/2023,$16.45,"1,049,769",$16.56,$16.6599,$16.43
08/30/2023,$16.54,"1,465,997",$16.63,$16.815,$16.495
08/29/2023,$16.33,"932,242",$16.35,$16.36,$16.18
08/28/2023,$16.34,"1,176,883",$16.47,$16.71,$16.29
08/25/2023,$16.43,"1,228,034",$16.45,$16.61,$16.285
08/24/2023,$16.32,"784,195",$16.35,$16.55,$16.31
08/23/2023,$16.37,"1,047,682",$16.18,$16.545,$16.18
08/22/2023,$16.15,"945,759",$16.60,$16.60,$16.11
08/21/2023,$16.56,"969,727",$16.41,$16.62,$16.26
08/18/2023,$16.41,"897,025",$16.13,$16.47,$16.12
08/17/2023,$16.33,"1,492,283",$16.54,$16.58,$16.13
08/16/2023,$17.00,"955,547",$16.98,$17.10,$16.94
08/15/2023,$16.98,"1,274,137",$17.05,$17.21,$16.92
08/14/2023,$17.13,"1,210,642",$17.18,$17.25,$16.9919
08/11/2023,$17.15,"636,675",$17.21,$17.22,$17.05
08/10/2023,$17.13,"1,090,570",$17.20,$17.22,$17.045
08/09/2023,$17.07,"1,640,893",$17.10,$17.29,$16.99
08/08/2023,$17.08,"5,282,853",$16.63,$17.28,$16.45
08/07/2023,$18.02,"1,606,340",$17.68,$18.05,$17.62
08/04/2023,$17.75,"1,758,510",$17.56,$17.96,$17.35
08/03/2023,$17.08,"1,195,699",$16.95,$17.105,$16.83
08/02/2023,$16.99,"1,032,652",$16.82,$17.0697,$16.76
08/01/2023,$16.97,"1,026,626",$16.77,$17.01,$16.77
07/31/2023,$16.77,"961,966",$16.67,$16.92,$16.67
07/28/2023,$16.59,"469,561",$16.47,$16.62,$16.3892
07/27/2023,$16.35,"537,209",$16.61,$16.615,$16.33
07/26/2023,$16.54,"1,062,832",$16.49,$16.73,$16.29
07/25/2023,$16.47,"624,045",$16.56,$16.68,$16.45
07/24/2023,$16.53,"638,736",$16.35,$16.56,$16.35
07/21/2023,$16.35,"726,758",$16.37,$16.455,$16.25
07/20/2023,$16.28,"893,859",$16.48,$16.50,$16.1001
07/19/2023,$16.48,"1,106,437",$16.23,$16.61,$16.23
07/18/2023,$16.20,"1,355,127",$16.28,$16.445,$16.015
07/17/2023,$16.19,"947,950",$16.05,$16.24,$16.00
07/14/2023,$16.02,"893,963",$15.99,$16.11,$15.93
07/13/2023,$15.95,"971,953",$15.75,$15.97,$15.75
07/12/2023,$15.73,"900,852",$15.72,$15.845,$15.68
07/11/2023,$15.55,"998,432",$15.38,$15.65,$15.32
07/10/2023,$15.30,"874,282",$15.20,$15.37,$15.14
07/07/2023,$15.06,"891,164",$14.86,$15.19,$14.86
07/06/2023,$14.90,"537,990",$14.80,$14.91,$14.62
07/05/2023,$14.92,"810,467",$14.85,$15.025,$14.74
07/03/2023,$14.86,"454,756",$14.80,$14.93,$14.6701
06/30/2023,$14.80,"900,277",$14.95,$15.05,$14.775
06/29/2023,$14.80,"617,323",$14.58,$14.80,$14.52
06/28/2023,$14.54,"572,005",$14.36,$14.555,$14.30
06/27/2023,$14.32,"537,026",$14.16,$14.36,$14.11
06/26/2023,$14.12,"610,237",$14.15,$14.22,$14.11
06/23/2023,$14.11,"984,427",$14.08,$14.205,$14.05
06/22/2023,$14.17,"1,412,510",$14.40,$14.40,$14.08
06/21/2023,$14.45,"807,934",$14.56,$14.56,$14.44
06/20/2023,$14.56,"846,785",$14.75,$14.86,$14.52
06/16/2023,$14.77,"757,900",$14.93,$14.98,$14.75
06/15/2023,$14.90,"736,850",$14.80,$14.995,$14.68
06/14/2023,$14.82,"1,043,958",$15.00,$15.07,$14.69
06/13/2023,$15.02,"815,253",$14.98,$15.09,$14.85
06/12/2023,$14.93,"791,271",$14.83,$15.09,$14.80
06/09/2023,$14.83,"793,580",$15.03,$15.13,$14.80
06/08/2023,$15.08,"749,038",$15.00,$15.15,$14.9594
