Date,Close,Volume,Open,High,Low
03/01/2024,$74.96,"473,518",$74.49,$75.19,$74.14
02/29/2024,$74.46,"818,012",$75.28,$75.45,$74.23
02/28/2024,$74.69,"908,236",$75.36,$75.86,$74.58
02/27/2024,$75.57,"907,210",$74.54,$75.72,$74.42
02/26/2024,$74.27,"825,062",$73.57,$74.70,$73.49
02/23/2024,$73.73,"640,328",$72.54,$73.75,$72.30
02/22/2024,$72.52,"940,542",$72.22,$72.953,$71.66
02/21/2024,$72.92,"660,264",$72.59,$73.71,$72.24
02/20/2024,$72.40,"913,155",$73.20,$74.22,$72.12
02/16/2024,$73.98,"1,141,024",$74.85,$75.85,$73.98
02/15/2024,$74.40,"970,213",$73.89,$76.07,$73.77
02/14/2024,$73.61,"739,276",$72.10,$73.935,$72.10
02/13/2024,$71.24,"717,254",$71.78,$72.42,$70.61
02/12/2024,$72.46,"709,082",$72.99,$73.26,$72.40
02/09/2024,$72.89,"994,972",$71.63,$72.98,$71.27
02/08/2024,$71.50,"963,952",$70.24,$72.14,$70.03
02/07/2024,$70.43,"679,314",$69.92,$70.78,$69.21
02/06/2024,$69.10,"642,191",$68.84,$69.195,$68.63
02/05/2024,$68.74,"674,955",$68.10,$69.12,$67.98
02/02/2024,$68.92,"670,561",$67.13,$69.21,$67.08
02/01/2024,$67.48,"1,054,037",$66.60,$67.82,$66.30
01/31/2024,$66.39,"1,433,205",$66.30,$67.58,$65.7633
01/30/2024,$66.01,"2,051,559",$65.85,$66.345,$64.83
01/29/2024,$66.77,"1,096,177",$66.86,$67.145,$66.095
01/26/2024,$66.96,"1,673,770",$65.97,$67.85,$65.97
01/25/2024,$65.61,"3,568,558",$65.60,$70.64,$64.74
01/24/2024,$71.65,"676,571",$72.45,$72.50,$71.34
01/23/2024,$72.01,"534,337",$71.91,$72.46,$71.41
01/22/2024,$71.51,"627,365",$71.33,$72.045,$71.27
01/19/2024,$71.24,"409,860",$71.44,$71.55,$70.72
01/18/2024,$71.23,"649,238",$71.57,$71.93,$70.66
01/17/2024,$71.16,"457,995",$69.60,$71.2769,$69.60
01/16/2024,$70.74,"569,085",$70.89,$71.185,$69.16
01/12/2024,$71.73,"314,627",$72.16,$72.58,$71.55
01/11/2024,$71.87,"410,779",$71.15,$72.00,$70.42
01/10/2024,$71.10,"481,981",$72.10,$72.17,$70.65
01/09/2024,$70.55,"306,985",$69.93,$70.71,$69.48
01/08/2024,$70.58,"507,412",$70.81,$71.14,$70.11
01/05/2024,$71.47,"563,130",$71.34,$71.83,$70.78
01/04/2024,$71.28,"383,791",$71.26,$71.55,$70.5726
01/03/2024,$70.92,"328,999",$72.18,$72.18,$70.86
01/02/2024,$72.71,"263,535",$73.30,$73.91,$72.225
12/29/2023,$73.75,"213,235",$74.05,$74.24,$73.60
12/28/2023,$73.94,"198,181",$73.92,$74.225,$73.5439
12/27/2023,$74.02,"218,623",$74.30,$74.61,$73.90
12/26/2023,$74.37,"197,058",$73.69,$74.845,$73.275
12/22/2023,$73.63,"208,655",$73.83,$74.21,$73.38
12/21/2023,$73.30,"474,425",$72.84,$73.38,$72.17
12/20/2023,$72.00,"444,509",$73.59,$73.85,$71.965
12/19/2023,$73.89,"333,193",$73.29,$74.38,$73.29
12/18/2023,$72.96,"433,497",$72.65,$73.32,$72.32
12/15/2023,$72.55,"1,326,845",$72.11,$73.83,$72.04
12/14/2023,$72.40,"623,647",$74.03,$74.48,$71.54
12/13/2023,$73.71,"540,611",$72.63,$73.99,$72.3529
12/12/2023,$72.89,"603,082",$71.40,$73.06,$70.65
12/11/2023,$71.29,"413,080",$70.89,$71.69,$70.89
12/08/2023,$71.36,"334,203",$70.18,$71.40,$70.18
12/07/2023,$70.28,"272,330",$70.84,$71.19,$70.27
12/06/2023,$70.85,"403,144",$70.56,$71.38,$70.412
12/05/2023,$70.06,"456,087",$71.66,$71.66,$70.03
12/04/2023,$71.90,"519,105",$71.17,$72.22,$71.01
12/01/2023,$71.46,"640,132",$69.55,$71.65,$69.51
11/30/2023,$69.31,"498,556",$68.07,$69.45,$67.86
11/29/2023,$67.72,"468,192",$68.42,$68.91,$67.55
11/28/2023,$67.90,"484,377",$68.16,$68.70,$67.55
11/27/2023,$67.64,"405,782",$67.51,$67.95,$67.01
11/24/2023,$67.74,"105,274",$67.50,$67.75,$67.00
11/22/2023,$67.23,"272,725",$66.81,$67.41,$66.21
11/21/2023,$66.65,"355,706",$66.58,$67.16,$66.16
11/20/2023,$66.95,"288,920",$66.21,$66.98,$65.60
11/17/2023,$66.02,"381,510",$66.22,$66.61,$65.54
11/16/2023,$65.82,"382,057",$66.59,$66.93,$65.67
11/15/2023,$66.59,"420,665",$67.10,$67.53,$66.54
11/14/2023,$66.82,"577,000",$66.47,$67.24,$66.195
11/13/2023,$65.59,"493,117",$64.73,$66.24,$64.46
11/10/2023,$64.89,"382,445",$64.26,$64.90,$63.53
11/09/2023,$63.82,"371,443",$64.78,$64.905,$63.75
11/08/2023,$63.97,"340,707",$63.65,$64.09,$62.86
11/07/2023,$63.59,"350,111",$63.48,$64.03,$62.89
11/06/2023,$63.71,"386,639",$63.74,$64.12,$63.14
11/03/2023,$63.58,"600,167",$65.12,$65.39,$63.55
11/02/2023,$64.40,"701,300",$63.03,$64.575,$63.03
11/01/2023,$62.53,"598,580",$62.04,$62.56,$61.51
10/31/2023,$61.92,"802,888",$60.57,$62.34,$60.05
10/30/2023,$60.76,"606,260",$59.74,$61.55,$59.21
10/27/2023,$59.61,"542,193",$60.02,$60.45,$59.42
10/26/2023,$59.89,"674,660",$59.62,$60.37,$59.45
10/25/2023,$59.83,"1,135,896",$60.49,$60.73,$58.81
10/24/2023,$59.93,"2,141,838",$60.85,$62.05,$59.34
10/23/2023,$64.90,"659,227",$64.73,$65.63,$64.29
10/20/2023,$64.84,"523,036",$64.66,$65.22,$64.14
10/19/2023,$64.92,"514,026",$65.94,$66.43,$64.74
10/18/2023,$66.17,"346,824",$66.91,$67.40,$66.08
10/17/2023,$67.08,"433,934",$66.46,$67.911,$66.46
10/16/2023,$66.68,"390,274",$67.00,$67.28,$66.52
10/13/2023,$66.20,"503,782",$67.58,$67.58,$66.09
10/12/2023,$67.59,"490,257",$69.53,$69.53,$66.78
10/11/2023,$69.34,"631,771",$69.30,$69.535,$68.17
10/10/2023,$68.32,"489,654",$67.60,$68.62,$67.30
10/09/2023,$67.19,"497,037",$67.89,$68.23,$66.65
10/06/2023,$67.46,"540,967",$66.40,$67.60,$66.09
10/05/2023,$66.49,"570,823",$66.17,$66.895,$66.17
10/04/2023,$66.13,"652,183",$65.10,$66.80,$64.95
10/03/2023,$65.59,"614,057",$63.95,$65.83,$63.62
10/02/2023,$64.38,"565,096",$65.02,$65.33,$64.01
09/29/2023,$65.14,"451,400",$66.21,$66.63,$64.95
09/28/2023,$65.83,"431,611",$65.45,$66.82,$65.45
09/27/2023,$65.94,"475,662",$65.60,$66.33,$65.03
09/26/2023,$65.12,"569,458",$65.83,$66.30,$64.98
09/25/2023,$66.10,"420,279",$64.98,$66.22,$64.855
09/22/2023,$65.36,"276,698",$66.03,$66.2508,$65.15
09/21/2023,$65.96,"528,282",$67.57,$67.57,$65.87
09/20/2023,$67.82,"561,288",$69.02,$69.345,$67.71
09/19/2023,$68.70,"445,939",$68.80,$69.02,$68.16
09/18/2023,$68.81,"705,326",$68.53,$69.13,$67.75
09/15/2023,$68.30,"1,409,565",$68.05,$68.69,$67.53
09/14/2023,$68.47,"660,643",$68.44,$69.05,$67.8302
09/13/2023,$68.14,"513,769",$69.66,$69.84,$67.8769
09/12/2023,$69.89,"434,803",$69.72,$70.39,$69.65
09/11/2023,$70.24,"455,160",$70.08,$71.035,$69.90
09/08/2023,$69.90,"376,080",$71.25,$71.27,$69.84
09/07/2023,$71.25,"480,637",$71.75,$72.335,$71.195
09/06/2023,$71.98,"351,182",$72.36,$73.14,$71.73
09/05/2023,$72.38,"446,413",$73.61,$73.61,$71.33
09/01/2023,$73.99,"345,970",$73.85,$74.27,$73.6357
08/31/2023,$73.30,"338,350",$73.41,$73.86,$73.015
08/30/2023,$73.19,"256,673",$72.91,$73.58,$72.54
08/29/2023,$72.67,"231,275",$71.68,$72.71,$71.68
08/28/2023,$72.02,"302,380",$70.98,$72.38,$70.78
08/25/2023,$71.00,"315,027",$70.86,$71.64,$70.30
08/24/2023,$70.65,"296,016",$71.87,$72.05,$70.63
08/23/2023,$72.11,"564,508",$72.46,$72.825,$71.85
08/22/2023,$72.29,"599,358",$71.63,$72.74,$71.28
08/21/2023,$71.25,"472,508",$70.91,$71.555,$70.52
08/18/2023,$70.86,"459,966",$69.77,$71.00,$69.6808
08/17/2023,$70.19,"675,408",$70.44,$71.52,$69.92
08/16/2023,$69.18,"434,635",$68.87,$69.685,$68.77
08/15/2023,$69.00,"754,285",$69.70,$70.50,$68.99
08/14/2023,$69.11,"570,472",$67.90,$69.39,$67.795
08/11/2023,$68.21,"343,928",$67.69,$68.36,$67.23
08/10/2023,$67.58,"295,926",$68.08,$68.65,$67.44
08/09/2023,$68.13,"562,305",$67.52,$68.305,$67.22
08/08/2023,$67.64,"607,913",$68.18,$68.2717,$67.27
08/07/2023,$68.87,"816,499",$67.73,$69.275,$67.54
08/04/2023,$67.99,"731,705",$68.51,$69.46,$67.92
08/03/2023,$68.00,"927,652",$68.45,$68.60,$66.85
08/02/2023,$68.30,"540,239",$69.95,$70.065,$67.85
08/01/2023,$70.50,"423,965",$70.06,$71.23,$69.87
07/31/2023,$70.68,"589,971",$70.39,$70.705,$69.86
07/28/2023,$70.12,"513,090",$70.19,$70.72,$69.145
07/27/2023,$69.90,"1,014,691",$71.01,$71.01,$69.88
07/26/2023,$70.46,"1,234,216",$70.43,$71.98,$70.15
07/25/2023,$70.64,"2,728,525",$71.82,$71.89,$68.03
07/24/2023,$74.70,"608,523",$75.17,$75.75,$74.69
07/21/2023,$75.36,"435,982",$76.14,$76.3599,$75.34
07/20/2023,$75.67,"487,002",$75.75,$75.88,$75.05
07/19/2023,$75.31,"626,493",$77.02,$77.02,$75.06
07/18/2023,$77.08,"396,486",$76.87,$77.465,$76.47
07/17/2023,$77.18,"410,883",$76.15,$77.53,$75.81
07/14/2023,$76.17,"531,469",$76.94,$76.94,$75.3034
07/13/2023,$77.01,"530,185",$78.13,$78.28,$76.96
07/12/2023,$78.04,"578,238",$78.51,$79.08,$77.71
07/11/2023,$77.93,"546,793",$77.99,$78.515,$77.48
