Date,Close,Volume,Open,High,Low
03/01/2024,$188.20,"4,018,354",$185.49,$188.38,$185.18
02/29/2024,$185.03,"6,458,487",$186.15,$186.8495,$184.69
02/28/2024,$185.30,"3,216,345",$184.63,$185.37,$183.55
02/27/2024,$184.87,"3,641,378",$184.16,$185.13,$182.62
02/26/2024,$184.13,"4,620,815",$185.60,$186.125,$184.06
02/23/2024,$185.72,"3,433,800",$184.90,$186.455,$184.57
02/22/2024,$184.21,"5,078,398",$182.45,$184.55,$181.93
02/21/2024,$179.70,"4,728,473",$182.56,$183.03,$178.75
02/20/2024,$183.44,"4,247,181",$187.64,$188.77,$183.06
02/16/2024,$187.64,"4,842,840",$186.63,$188.95,$185.9452
02/15/2024,$186.87,"4,714,301",$183.62,$186.98,$183.62
02/14/2024,$183.57,"3,173,391",$185.00,$185.00,$182.26
02/13/2024,$183.70,"4,290,453",$184.28,$184.77,$182.36
02/12/2024,$186.16,"4,724,021",$185.90,$186.48,$184.03
02/09/2024,$186.34,"5,064,641",$184.44,$187.18,$183.85
02/08/2024,$184.36,"5,161,185",$182.63,$184.55,$181.49
02/07/2024,$183.74,"4,841,188",$183.34,$184.02,$182.625
02/06/2024,$183.41,"3,338,196",$183.55,$184.68,$183.04
02/05/2024,$183.42,"4,379,602",$185.51,$185.78,$183.255
02/02/2024,$185.79,"4,055,411",$187.10,$187.39,$185.615
02/01/2024,$186.90,"4,669,444",$183.63,$187.51,$182.71
01/31/2024,$183.66,"8,876,055",$187.05,$187.65,$183.14
01/30/2024,$187.87,"4,575,058",$187.71,$188.65,$186.77
01/29/2024,$187.14,"6,107,908",$187.46,$189.46,$186.05
01/26/2024,$187.42,"9,895,941",$191.31,$192.3896,$186.16
01/25/2024,$190.43,"29,596,240",$184.96,$196.90,$184.83
01/24/2024,$173.93,"9,097,827",$174.76,$174.86,$172.90
01/23/2024,$173.94,"3,983,461",$172.90,$174.02,$172.48
01/22/2024,$172.83,"4,925,964",$172.82,$174.45,$172.40
01/19/2024,$171.48,"6,929,079",$170.59,$171.5791,$169.18
01/18/2024,$166.84,"3,776,990",$166.49,$166.99,$165.04
01/17/2024,$166.08,"4,288,604",$166.79,$167.82,$165.495
01/16/2024,$166.96,"4,869,635",$165.80,$167.25,$165.34
01/12/2024,$165.80,"4,958,261",$162.97,$165.98,$162.355
01/11/2024,$162.16,"3,778,395",$161.02,$162.23,$160.29
01/10/2024,$161.23,"2,967,852",$160.28,$161.34,$159.74
01/09/2024,$160.08,"2,617,186",$160.00,$160.4837,$159.51
01/08/2024,$161.14,"3,321,698",$158.69,$161.216,$157.885
01/05/2024,$159.16,"4,199,504",$159.91,$160.55,$158.67
01/04/2024,$160.86,"3,212,004",$160.22,$161.81,$160.17
01/03/2024,$160.10,"4,086,065",$161.00,$161.73,$160.08
01/02/2024,$161.50,"3,825,044",$162.83,$163.29,$160.46
12/29/2023,$163.55,"2,526,169",$163.75,$164.18,$162.83
12/28/2023,$163.75,"2,071,313",$163.96,$163.96,$163.40
12/27/2023,$163.46,"3,234,550",$163.14,$163.64,$162.68
12/26/2023,$163.21,"1,772,443",$162.23,$163.31,$162.05
12/22/2023,$162.14,"2,442,715",$161.10,$162.41,$161.00
12/21/2023,$160.78,"2,982,924",$160.59,$161.08,$159.53
12/20/2023,$160.05,"4,865,797",$161.29,$161.80,$160.01
12/19/2023,$161.56,"3,766,591",$161.80,$162.28,$161.32
12/18/2023,$162.74,"3,677,533",$162.23,$163.33,$161.5766
12/15/2023,$162.23,"11,016,110",$162.30,$164.09,$162.04
12/14/2023,$162.91,"6,129,804",$162.93,$163.499,$160.149
12/13/2023,$163.62,"4,989,141",$164.37,$164.9653,$162.735
12/12/2023,$164.71,"5,292,290",$163.27,$166.34,$162.92
12/11/2023,$163.51,"6,077,207",$162.68,$163.65,$161.95
12/08/2023,$161.96,"4,561,342",$160.00,$162.04,$160.00
12/07/2023,$160.22,"3,665,498",$161.00,$161.465,$159.97
12/06/2023,$160.28,"3,555,863",$161.59,$162.355,$160.01
12/05/2023,$161.39,"4,556,668",$160.76,$162.47,$160.72
12/04/2023,$161.10,"5,779,017",$160.29,$162.79,$160.29
12/01/2023,$160.55,"4,871,860",$158.41,$160.59,$158.00
11/30/2023,$158.56,"6,740,622",$156.95,$158.60,$156.89
11/29/2023,$156.41,"3,568,887",$156.15,$157.51,$156.02
11/28/2023,$155.65,"2,666,182",$155.44,$155.745,$154.86
11/27/2023,$155.57,"4,053,093",$154.99,$156.135,$154.75
11/24/2023,$155.18,"1,799,161",$155.13,$155.40,$153.92
11/22/2023,$155.13,"3,045,091",$154.50,$155.705,$154.16
11/21/2023,$153.91,"2,859,508",$154.60,$154.66,$153.51
11/20/2023,$154.35,"3,658,936",$152.51,$154.68,$152.35
11/17/2023,$152.89,"4,426,676",$153.29,$153.50,$152.4601
11/16/2023,$153.06,"3,519,172",$153.00,$153.35,$152.13
11/15/2023,$152.58,"4,632,519",$150.40,$153.22,$150.40
11/14/2023,$150.41,"4,321,940",$149.45,$150.8063,$149.05
11/13/2023,$148.10,"2,647,288",$148.46,$148.49,$147.35
11/10/2023,$149.02,"3,179,541",$147.44,$149.17,$146.85
11/09/2023,$146.62,"3,412,713",$146.55,$146.99,$145.28
11/08/2023,$148.03,"3,618,588",$149.25,$149.68,$147.585
11/07/2023,$148.83,"3,549,853",$149.03,$149.28,$148.03
11/06/2023,$148.97,"4,597,249",$147.89,$149.225,$147.85
11/03/2023,$147.90,"3,510,495",$147.45,$148.445,$147.28
11/02/2023,$147.01,"3,902,657",$145.77,$147.10,$144.84
11/01/2023,$145.40,"4,750,081",$145.00,$146.51,$144.45
10/31/2023,$144.64,"6,592,041",$143.00,$144.76,$142.59
10/30/2023,$142.63,"4,204,190",$143.19,$144.50,$142.58
10/27/2023,$142.52,"5,469,227",$143.62,$144.70,$141.71
