Date,Close,Volume,Open,High,Low
03/01/2024,$242.10,"230,866",$237.77,$242.52,$237.16
02/29/2024,$238.93,"234,842",$237.30,$239.85,$234.96
02/28/2024,$234.94,"294,026",$233.27,$236.56,$231.00
02/27/2024,$238.04,"297,961",$238.62,$239.54,$233.35
02/26/2024,$236.08,"322,943",$233.38,$236.86,$232.85
02/23/2024,$234.09,"427,674",$225.48,$236.72,$224.24
02/22/2024,$223.05,"570,233",$213.74,$229.7099,$212.59
02/21/2024,$202.55,"308,526",$206.99,$207.75,$200.67
02/20/2024,$205.96,"254,751",$203.02,$206.19,$201.66
02/16/2024,$206.48,"194,090",$208.93,$212.05,$205.97
02/15/2024,$212.85,"210,954",$214.37,$214.37,$209.67
02/14/2024,$212.22,"277,208",$209.07,$212.75,$204.065
02/13/2024,$204.73,"283,368",$200.30,$207.145,$198.71
02/12/2024,$212.05,"174,917",$207.60,$213.715,$207.59
02/09/2024,$206.75,"163,508",$204.92,$209.015,$203.81
02/08/2024,$205.44,"193,298",$200.98,$205.95,$200.98
02/07/2024,$199.43,"189,918",$198.07,$201.40,$197.34
02/06/2024,$196.61,"190,965",$194.76,$197.30,$193.05
02/05/2024,$194.37,"209,119",$198.90,$199.07,$191.56
02/02/2024,$201.84,"176,648",$197.23,$203.01,$195.23
02/01/2024,$200.74,"246,307",$199.82,$202.005,$196.70
01/31/2024,$194.85,"337,043",$195.96,$198.61,$193.50
01/30/2024,$197.23,"330,643",$196.19,$199.82,$196.19
01/29/2024,$196.33,"319,791",$190.00,$197.06,$189.16
01/26/2024,$189.66,"289,818",$186.62,$189.76,$186.08
01/25/2024,$186.65,"229,619",$186.72,$187.43,$184.48
01/24/2024,$182.91,"262,424",$190.95,$191.70,$181.61
01/23/2024,$189.28,"240,592",$195.84,$198.43,$188.07
01/22/2024,$198.28,"412,684",$194.46,$199.15,$194.21
01/19/2024,$191.66,"201,829",$188.96,$193.05,$187.76
01/18/2024,$188.17,"278,827",$186.73,$188.97,$185.42
01/17/2024,$183.43,"127,934",$182.86,$183.66,$179.89
01/16/2024,$185.11,"236,207",$184.79,$185.55,$181.53
01/12/2024,$186.66,"237,379",$186.71,$186.91,$183.25
01/11/2024,$185.04,"153,714",$184.67,$185.84,$182.0736
01/10/2024,$185.58,"163,305",$183.42,$186.74,$183.38
01/09/2024,$182.13,"300,024",$177.50,$182.55,$177.50
01/08/2024,$180.18,"237,645",$178.95,$180.19,$177.00
01/05/2024,$174.26,"272,197",$169.73,$175.53,$168.08
01/04/2024,$171.58,"190,536",$172.67,$173.97,$170.48
01/03/2024,$174.58,"181,024",$176.77,$177.26,$173.03
01/02/2024,$180.65,"142,944",$180.51,$181.645,$176.2848
12/29/2023,$182.82,"163,667",$184.44,$185.58,$182.55
12/28/2023,$185.59,"92,981",$187.21,$187.79,$184.8503
12/27/2023,$187.41,"116,431",$188.19,$189.065,$186.68
12/26/2023,$186.95,"122,776",$187.31,$188.53,$186.00
12/22/2023,$185.82,"110,372",$186.50,$187.1965,$184.05
12/21/2023,$185.56,"127,273",$185.19,$185.935,$182.3698
12/20/2023,$181.91,"185,564",$183.54,$188.2975,$181.80
12/19/2023,$183.62,"191,058",$181.85,$185.635,$181.69
12/18/2023,$179.19,"181,736",$182.61,$183.813,$178.10
12/15/2023,$180.84,"764,928",$182.72,$183.78,$177.99
12/14/2023,$183.70,"425,405",$173.94,$185.665,$173.48
12/13/2023,$167.27,"332,580",$163.23,$168.095,$158.50
12/12/2023,$162.44,"221,042",$163.40,$163.40,$160.62
12/11/2023,$163.36,"196,048",$163.71,$165.645,$162.365
12/08/2023,$163.71,"190,903",$161.96,$164.965,$160.975
12/07/2023,$161.36,"271,545",$159.99,$161.46,$158.9388
12/06/2023,$160.42,"416,399",$155.79,$162.046,$155.58
12/05/2023,$153.67,"235,720",$154.36,$154.905,$152.06
12/04/2023,$155.10,"204,914",$152.72,$156.79,$152.35
12/01/2023,$153.44,"176,576",$150.08,$154.69,$150.08
11/30/2023,$150.51,"209,890",$151.13,$151.51,$148.5924
11/29/2023,$150.72,"396,970",$147.75,$151.00,$147.75
11/28/2023,$145.86,"195,938",$146.68,$147.52,$145.75
11/27/2023,$146.68,"215,669",$145.50,$147.38,$145.13
11/24/2023,$145.81,"37,398",$144.15,$146.5378,$144.15
11/22/2023,$144.85,"200,381",$147.35,$147.6799,$144.82
11/21/2023,$145.10,"338,348",$146.55,$146.70,$143.97
11/20/2023,$147.03,"310,762",$142.50,$147.04,$141.14
11/17/2023,$142.81,"312,021",$139.64,$143.35,$138.77
11/16/2023,$138.61,"141,571",$139.84,$142.57,$138.37
11/15/2023,$137.42,"217,852",$138.55,$141.23,$137.015
11/14/2023,$139.28,"409,504",$133.35,$139.35,$132.33
11/13/2023,$125.81,"124,600",$126.81,$126.965,$124.01
11/10/2023,$127.35,"218,295",$123.49,$127.62,$121.835
11/09/2023,$122.96,"321,659",$124.86,$124.86,$122.08
11/08/2023,$121.43,"149,146",$115.96,$127.7194,$115.25
11/07/2023,$123.34,"249,423",$122.39,$124.14,$122.38
11/06/2023,$122.50,"262,337",$124.09,$126.00,$122.345
11/03/2023,$125.10,"324,847",$122.72,$125.92,$122.72
11/02/2023,$118.66,"329,554",$118.54,$120.31,$117.61
11/01/2023,$115.18,"279,440",$111.11,$115.52,$110.8725
10/31/2023,$111.67,"317,893",$110.59,$113.605,$109.93
10/30/2023,$109.62,"156,536",$110.34,$111.14,$108.57
10/27/2023,$108.92,"162,406",$109.28,$110.68,$107.12
10/26/2023,$108.80,"295,422",$108.27,$110.615,$106.9192
10/25/2023,$106.34,"235,106",$109.81,$109.81,$106.015
10/24/2023,$110.72,"173,716",$111.12,$112.19,$109.84
10/23/2023,$110.90,"148,247",$110.00,$112.83,$110.00
10/20/2023,$110.82,"399,215",$111.27,$113.14,$110.125
10/19/2023,$110.58,"248,045",$113.11,$113.56,$110.035
10/18/2023,$112.73,"182,521",$116.36,$116.93,$112.68
10/17/2023,$117.70,"170,282",$116.64,$119.855,$116.22
10/16/2023,$118.09,"132,483",$118.61,$119.52,$116.315
10/13/2023,$117.52,"133,537",$117.79,$118.65,$116.49
10/12/2023,$117.43,"194,405",$121.90,$121.90,$115.58
10/11/2023,$123.37,"182,998",$122.26,$124.45,$121.28
10/10/2023,$122.02,"142,424",$121.15,$123.95,$121.065
10/09/2023,$120.79,"157,300",$119.36,$120.89,$114.45
10/06/2023,$120.65,"183,254",$118.37,$122.13,$117.26
10/05/2023,$120.01,"179,201",$119.70,$121.07,$119.22
10/04/2023,$120.31,"153,566",$119.78,$121.665,$118.73
10/03/2023,$119.14,"177,037",$121.77,$121.95,$118.02
10/02/2023,$122.94,"167,088",$123.81,$126.20,$121.88
09/29/2023,$124.89,"237,056",$125.59,$125.98,$123.955
09/28/2023,$124.35,"234,655",$122.25,$125.895,$121.8895
09/27/2023,$122.20,"167,058",$123.13,$124.83,$121.87
09/26/2023,$121.62,"227,107",$123.17,$124.43,$121.45
09/25/2023,$123.81,"158,633",$123.34,$126.205,$123.12
09/22/2023,$123.33,"232,438",$125.04,$125.425,$122.68
09/21/2023,$123.47,"347,785",$124.58,$125.45,$122.21
09/20/2023,$126.87,"189,894",$129.76,$130.93,$126.77
09/19/2023,$128.07,"294,743",$128.24,$128.86,$126.815
09/18/2023,$128.37,"219,042",$127.55,$130.33,$127.48
09/15/2023,$127.55,"568,278",$131.40,$131.62,$125.67
09/14/2023,$133.49,"265,513",$133.14,$134.92,$132.69
09/13/2023,$132.00,"383,688",$136.19,$136.49,$130.09
09/12/2023,$136.03,"145,608",$136.73,$138.71,$134.49
09/11/2023,$137.30,"127,350",$139.00,$140.115,$136.67
09/08/2023,$137.54,"133,692",$139.01,$140.405,$137.19
09/07/2023,$138.86,"215,549",$138.23,$139.86,$136.15
09/06/2023,$138.84,"152,213",$137.00,$139.03,$136.13
09/05/2023,$136.63,"381,451",$144.51,$144.51,$133.85
09/01/2023,$146.30,"158,142",$145.65,$148.11,$144.82
08/31/2023,$144.73,"173,635",$144.06,$146.95,$144.06
08/30/2023,$144.19,"252,853",$142.26,$145.02,$141.79
08/29/2023,$142.60,"315,514",$136.79,$143.129,$135.4906
08/28/2023,$138.11,"155,168",$138.19,$140.71,$136.89
08/25/2023,$137.02,"529,946",$142.17,$142.17,$134.17
08/24/2023,$141.26,"248,929",$144.29,$145.22,$141.26
