Date,Close,Volume,Open,High,Low
03/01/2024,$3.03,"398,487",$3.12,$3.155,$3.01
02/29/2024,$3.13,"345,003",$3.23,$3.33,$3.11
02/28/2024,$3.19,"489,340",$3.07,$3.241,$3.06
02/27/2024,$3.09,"515,318",$3.11,$3.15,$3.04
02/26/2024,$3.06,"478,252",$2.88,$3.13,$2.87
02/23/2024,$2.87,"400,002",$2.84,$2.95,$2.82
02/22/2024,$2.87,"434,810",$2.99,$3.03,$2.86
02/21/2024,$3.01,"307,562",$3.06,$3.10,$2.949
02/20/2024,$3.05,"552,149",$3.22,$3.22,$3.015
02/16/2024,$3.22,"422,167",$3.21,$3.31,$3.15
02/15/2024,$3.25,"214,560",$3.22,$3.30,$3.19
02/14/2024,$3.19,"345,136",$3.23,$3.32,$3.165
02/13/2024,$3.14,"534,432",$3.18,$3.19,$3.0835
02/12/2024,$3.26,"382,871",$3.10,$3.3067,$3.06
02/09/2024,$3.09,"237,816",$3.01,$3.09,$2.95
02/08/2024,$2.99,"316,985",$3.03,$3.06,$2.96
02/07/2024,$3.03,"517,449",$3.16,$3.16,$2.965
02/06/2024,$3.15,"605,362",$3.02,$3.32,$2.98
02/05/2024,$3.03,"416,945",$3.02,$3.1215,$3.01
02/02/2024,$3.045,"1,004,618",$3.34,$3.34,$2.97
02/01/2024,$3.32,"1,106,726",$3.41,$3.57,$3.14
01/31/2024,$3.40,"455,721",$3.39,$3.49,$3.33
01/30/2024,$3.46,"695,014",$3.40,$3.49,$3.31
01/29/2024,$3.37,"532,672",$3.34,$3.46,$3.295
01/26/2024,$3.37,"697,068",$3.53,$3.56,$3.30
01/25/2024,$3.41,"970,063",$3.55,$3.61,$3.38
01/24/2024,$3.57,"1,181,445",$3.24,$3.595,$3.24
01/23/2024,$3.20,"310,876",$3.20,$3.26,$3.1397
01/22/2024,$3.22,"700,895",$3.175,$3.29,$3.07
01/19/2024,$3.18,"565,498",$3.28,$3.32,$3.0997
01/18/2024,$3.33,"1,381,315",$3.03,$3.35,$3.03
01/17/2024,$3.05,"579,925",$3.02,$3.12,$3.005
01/16/2024,$3.02,"744,720",$3.04,$3.09,$2.80
01/12/2024,$2.96,"720,146",$3.05,$3.2393,$2.95
01/11/2024,$2.97,"438,550",$3.00,$3.06,$2.94
01/10/2024,$3.00,"644,319",$3.13,$3.13,$2.92
01/09/2024,$3.13,"1,153,093",$3.01,$3.255,$3.01
01/08/2024,$2.90,"692,059",$2.82,$2.935,$2.73
01/05/2024,$2.86,"644,607",$2.94,$3.019,$2.83
01/04/2024,$2.89,"727,403",$2.85,$3.01,$2.765
01/03/2024,$2.82,"1,087,647",$2.70,$3.02,$2.62
01/02/2024,$2.74,"1,113,063",$2.64,$2.95,$2.615
12/29/2023,$2.64,"1,153,566",$2.70,$2.70,$2.505
12/28/2023,$2.69,"485,184",$2.79,$2.88,$2.69
12/27/2023,$2.79,"621,339",$2.90,$2.90,$2.705
12/26/2023,$2.86,"989,841",$2.85,$2.93,$2.72
12/22/2023,$2.81,"1,706,336",$2.62,$2.9102,$2.56
12/21/2023,$2.49,"957,266",$2.47,$2.56,$2.41
12/20/2023,$2.40,"1,301,299",$2.23,$2.56,$2.215
12/19/2023,$2.24,"769,490",$2.37,$2.38,$2.165
12/18/2023,$2.33,"1,699,398",$2.26,$2.47,$2.18
12/15/2023,$2.14,"481,167",$2.17,$2.20,$2.07
12/14/2023,$2.14,"924,427",$2.14,$2.23,$2.1008
12/13/2023,$2.17,"1,074,558",$2.05,$2.22,$1.97
12/12/2023,$2.04,"1,410,809",$1.92,$2.10,$1.88
12/11/2023,$1.84,"580,810",$1.81,$1.86,$1.78
12/08/2023,$1.84,"473,420",$1.79,$1.88,$1.78
12/07/2023,$1.78,"384,857",$1.76,$1.82,$1.73
12/06/2023,$1.74,"504,863",$1.77,$1.80,$1.71
12/05/2023,$1.75,"224,897",$1.72,$1.80,$1.715
12/04/2023,$1.72,"496,631",$1.73,$1.79,$1.71
12/01/2023,$1.72,"496,688",$1.67,$1.75,$1.6401
11/30/2023,$1.66,"537,509",$1.68,$1.73,$1.64
