Date,Close,Volume,Open,High,Low
03/01/2024,$19.27,"273,351",$19.80,$19.80,$19.175
02/29/2024,$19.70,"344,475",$19.58,$19.88,$19.43
02/28/2024,$19.50,"325,517",$19.80,$20.255,$19.24
02/27/2024,$19.91,"759,594",$19.90,$20.09,$18.006
02/26/2024,$21.50,"306,000",$22.04,$22.07,$21.47
02/23/2024,$21.96,"217,137",$21.31,$22.14,$21.25
02/22/2024,$21.18,"287,564",$20.99,$21.23,$20.83
02/21/2024,$20.99,"320,822",$20.73,$21.11,$20.53
02/20/2024,$20.89,"110,373",$20.60,$20.98,$20.58
02/16/2024,$20.83,"136,118",$21.27,$21.41,$20.81
02/15/2024,$21.27,"146,702",$20.91,$21.36,$20.75
02/14/2024,$20.82,"191,584",$20.75,$20.87,$20.235
02/13/2024,$20.51,"312,884",$20.96,$21.20,$20.44
02/12/2024,$21.41,"238,900",$21.04,$21.625,$21.04
02/09/2024,$21.03,"280,937",$20.38,$21.15,$20.38
02/08/2024,$20.24,"367,376",$20.80,$20.97,$20.185
02/07/2024,$20.85,"212,659",$21.00,$21.107,$20.83
02/06/2024,$20.95,"127,025",$20.74,$20.99,$20.645
02/05/2024,$20.77,"113,255",$20.69,$20.95,$20.6796
02/02/2024,$20.89,"135,795",$20.76,$21.07,$20.62
02/01/2024,$20.84,"144,793",$20.58,$21.18,$20.58
01/31/2024,$20.60,"122,766",$20.83,$21.08,$20.55
01/30/2024,$20.89,"205,809",$21.05,$21.295,$20.86
01/29/2024,$21.15,"162,701",$20.76,$21.16,$20.70
01/26/2024,$20.79,"112,003",$20.94,$21.09,$20.77
01/25/2024,$20.81,"162,796",$20.74,$20.96,$20.63
01/24/2024,$20.57,"218,362",$21.06,$21.07,$20.51
01/23/2024,$20.85,"145,496",$21.18,$21.31,$20.80
01/22/2024,$21.00,"191,178",$21.03,$21.22,$20.75
01/19/2024,$20.91,"128,397",$21.12,$21.12,$20.82
01/18/2024,$21.00,"166,360",$21.41,$21.67,$20.95
01/17/2024,$21.25,"287,920",$21.23,$21.47,$20.98
01/16/2024,$21.42,"573,952",$20.58,$21.42,$20.50
01/12/2024,$20.58,"197,194",$21.08,$21.265,$20.54
01/11/2024,$20.85,"272,202",$20.87,$21.005,$20.42
01/10/2024,$20.81,"436,285",$20.46,$20.83,$20.34
01/09/2024,$20.61,"225,949",$21.41,$21.41,$20.52
01/08/2024,$21.60,"382,953",$21.42,$21.60,$21.25
01/05/2024,$21.42,"160,697",$21.65,$21.84,$21.40
01/04/2024,$21.78,"309,326",$21.53,$22.57,$21.38
01/03/2024,$21.42,"180,649",$21.94,$21.94,$21.42
01/02/2024,$21.97,"137,575",$21.93,$22.06,$21.6848
12/29/2023,$22.09,"136,627",$22.22,$22.28,$22.04
12/28/2023,$22.19,"102,806",$22.16,$22.45,$21.97
12/27/2023,$22.14,"107,277",$22.01,$22.36,$21.97
12/26/2023,$22.05,"124,974",$22.07,$22.33,$21.98
12/22/2023,$22.05,"288,101",$22.37,$22.41,$22.00
12/21/2023,$22.39,"200,399",$22.10,$22.43,$22.04
12/20/2023,$22.02,"209,663",$21.82,$22.545,$21.74
12/19/2023,$21.74,"219,337",$21.41,$21.85,$20.78
12/18/2023,$21.27,"158,982",$21.23,$21.32,$20.95
12/15/2023,$21.07,"487,619",$21.05,$21.31,$20.71
12/14/2023,$20.89,"285,055",$21.45,$21.45,$20.69
12/13/2023,$21.24,"330,476",$20.75,$21.30,$20.4929
