Date,Close,Volume,Open,High,Low
03/01/2024,$1.09,"147,648",$1.13,$1.1599,$1.06
02/29/2024,$1.11,"127,937",$1.15,$1.16,$1.095
02/28/2024,$1.15,"166,403",$1.11,$1.16,$1.0323
02/27/2024,$1.11,"254,278",$0.97,$1.14,$0.97
02/26/2024,$0.9846,"256,581",$0.98,$1.01,$0.95
02/23/2024,$0.953,"213,780",$1.02,$1.0207,$0.9354
02/22/2024,$1.01,"88,921",$1.01,$1.03,$1.00
02/21/2024,$1.03,"118,605",$1.07,$1.07,$1.01
02/20/2024,$1.045,"80,390",$1.13,$1.13,$1.03
02/16/2024,$1.11,"43,344",$1.15,$1.15,$1.0801
02/15/2024,$1.10,"210,454",$1.16,$1.16,$1.08
02/14/2024,$1.12,"455,015",$1.21,$1.28,$1.11
02/13/2024,$1.20,"28,759",$1.20,$1.21,$1.16
02/12/2024,$1.20,"66,296",$1.21,$1.239,$1.18
02/09/2024,$1.21,"151,440",$1.24,$1.253,$1.15
02/08/2024,$1.22,"78,148",$1.21,$1.23,$1.19
02/07/2024,$1.22,"44,408",$1.23,$1.2599,$1.21
02/06/2024,$1.23,"110,147",$1.25,$1.26,$1.21
02/05/2024,$1.25,"43,270",$1.27,$1.30,$1.21
02/02/2024,$1.31,"179,591",$1.28,$1.36,$1.20
02/01/2024,$1.20,"619,372",$1.30,$1.3038,$1.19
01/31/2024,$1.30,"219,154",$1.39,$1.40,$1.2694
01/30/2024,$1.35,"105,677",$1.36,$1.39,$1.3338
01/29/2024,$1.36,"82,889",$1.32,$1.36,$1.32
01/26/2024,$1.30,"39,200",$1.30,$1.30,$1.28
01/25/2024,$1.30,"74,369",$1.34,$1.35,$1.2901
01/24/2024,$1.31,"221,833",$1.35,$1.4099,$1.2899
01/23/2024,$1.34,"96,906",$1.35,$1.39,$1.31
01/22/2024,$1.33,"96,797",$1.34,$1.37,$1.32
01/19/2024,$1.34,"228,440",$1.42,$1.42,$1.28
01/18/2024,$1.44,"136,884",$1.52,$1.52,$1.4199
01/17/2024,$1.52,"112,481",$1.45,$1.53,$1.42
01/16/2024,$1.46,"159,562",$1.55,$1.61,$1.41
01/12/2024,$1.52,"62,622",$1.60,$1.60,$1.4801
01/11/2024,$1.54,"272,478",$1.73,$1.73,$1.45
01/10/2024,$1.66,"409,884",$1.67,$1.93,$1.64
01/09/2024,$1.69,"389,354",$1.54,$1.75,$1.518
01/08/2024,$1.50,"201,060",$1.34,$1.5627,$1.34
01/05/2024,$1.39,"130,116",$1.39,$1.4585,$1.3517
01/04/2024,$1.39,"137,818",$1.24,$1.3999,$1.24
01/03/2024,$1.24,"127,443",$1.30,$1.31,$1.22
01/02/2024,$1.32,"143,024",$1.37,$1.40,$1.30
12/29/2023,$1.38,"127,350",$1.42,$1.42,$1.31
12/28/2023,$1.42,"153,826",$1.37,$1.4602,$1.35
12/27/2023,$1.42,"307,129",$1.50,$1.50,$1.3631
12/26/2023,$1.43,"213,760",$1.25,$1.43,$1.2201
12/22/2023,$1.24,"349,583",$1.28,$1.34,$1.18
12/21/2023,$1.29,"360,373",$1.35,$1.42,$1.28
12/20/2023,$1.40,"653,121",$1.50,$1.50,$1.35
12/19/2023,$1.45,"525,287",$1.48,$1.57,$1.40
12/18/2023,$1.35,"1,351,612",$1.78,$1.9899,$1.22
12/15/2023,$1.91,"1,826,822",$2.20,$2.48,$1.81
12/14/2023,$2.34,"2,819,756",$1.43,$2.45,$1.30
12/13/2023,$1.43,"1,478,719",$1.40,$1.6299,$1.37
12/12/2023,$1.635,"18,817,560",$1.575,$1.73,$1.32
