Date,Close,Volume,Open,High,Low
03/01/2024,$23.00,"197,738",$22.25,$23.22,$22.05
02/29/2024,$21.43,"111,908",$22.13,$22.13,$21.34
02/28/2024,$21.90,"215,661",$21.83,$22.10,$21.64
02/27/2024,$22.25,"291,766",$21.29,$22.25,$21.27
02/26/2024,$21.40,"183,378",$21.73,$21.99,$21.18
02/23/2024,$21.28,"183,197",$21.29,$21.74,$20.87
02/22/2024,$21.30,"435,793",$20.06,$21.48,$19.65
02/21/2024,$17.50,"166,577",$16.45,$18.16,$16.44
02/20/2024,$16.66,"96,227",$16.90,$16.92,$16.55
02/16/2024,$17.56,"146,019",$17.92,$17.95,$17.54
02/15/2024,$18.09,"174,741",$17.98,$18.25,$17.97
02/14/2024,$17.85,"38,254",$17.86,$17.98,$17.796
02/13/2024,$17.51,"117,650",$17.64,$17.76,$17.44
02/12/2024,$17.85,"187,645",$17.63,$18.08,$17.59
02/09/2024,$17.73,"133,822",$17.82,$17.87,$17.62
02/08/2024,$17.79,"39,591",$17.43,$17.79,$17.32
02/07/2024,$17.39,"121,762",$17.52,$17.68,$17.34
02/06/2024,$18.28,"184,601",$17.42,$18.28,$17.35
02/05/2024,$17.40,"81,532",$17.41,$17.427,$17.0425
02/02/2024,$17.51,"54,898",$17.53,$17.53,$17.21
02/01/2024,$17.36,"61,875",$17.57,$17.82,$17.25
01/31/2024,$17.64,"69,548",$17.73,$17.90,$17.38
01/30/2024,$17.61,"132,413",$17.45,$17.64,$17.1566
01/29/2024,$17.61,"71,879",$17.53,$17.69,$17.28
01/26/2024,$17.79,"45,177",$17.90,$17.95,$17.5301
01/25/2024,$17.85,"21,204",$17.94,$17.94,$17.69
01/24/2024,$17.77,"119,562",$17.73,$18.33,$17.6699
01/23/2024,$17.41,"155,628",$17.05,$18.16,$17.00
01/22/2024,$16.93,"234,168",$16.12,$16.96,$16.08
01/19/2024,$15.93,"61,128",$15.49,$16.04,$15.44
01/18/2024,$15.35,"73,662",$15.42,$15.52,$15.10
01/17/2024,$15.50,"115,656",$15.51,$15.93,$15.425
01/16/2024,$16.81,"133,403",$15.59,$16.98,$15.45
01/12/2024,$15.87,"24,549",$15.72,$15.91,$15.72
01/11/2024,$15.61,"44,567",$15.74,$15.99,$15.4075
01/10/2024,$15.90,"55,368",$15.37,$16.00,$15.30
01/09/2024,$15.40,"28,708",$15.34,$15.46,$15.305
01/08/2024,$15.58,"52,488",$15.24,$15.65,$15.18
01/05/2024,$15.24,"47,091",$15.05,$15.36,$15.00
01/04/2024,$15.425,"47,476",$15.22,$15.52,$15.0772
01/03/2024,$15.27,"14,562",$15.17,$15.75,$15.1405
01/02/2024,$15.47,"19,134",$15.31,$15.52,$15.19
12/29/2023,$15.27,"7,609",$15.02,$15.41,$15.02
12/28/2023,$15.10,"55,731",$15.02,$15.2261,$15.00
12/27/2023,$15.765,"38,206",$15.15,$15.80,$15.09
12/26/2023,$15.00,"12,748",$15.18,$15.48,$15.00
12/22/2023,$15.05,"28,759",$15.99,$15.99,$15.02
12/21/2023,$15.70,"51,193",$14.74,$15.70,$14.6703
12/20/2023,$15.00,"37,155",$15.14,$15.16,$14.61
12/19/2023,$15.14,"58,131",$14.46,$15.5105,$14.44
12/18/2023,$14.56,"43,110",$14.65,$15.18,$14.50
12/15/2023,$14.83,"176,807",$14.86,$15.564,$14.56
12/14/2023,$16.39,"19,325",$15.60,$16.4496,$15.50
12/13/2023,$14.88,"18,217",$14.63,$15.235,$14.485
12/12/2023,$14.82,"17,861",$14.51,$14.82,$14.3809
12/11/2023,$15.09,"6,492",$14.99,$15.10,$14.86
12/08/2023,$15.15,"60,273",$14.93,$15.15,$14.87
12/07/2023,$15.69,"67,618",$15.03,$15.71,$14.7559
12/06/2023,$15.05,"63,039",$15.49,$15.49,$14.60
12/05/2023,$15.99,"26,777",$16.25,$16.25,$15.80
12/04/2023,$17.00,"23,019",$16.63,$17.00,$16.59
12/01/2023,$16.8191,"18,226",$16.34,$16.9999,$16.315
11/30/2023,$16.92,"15,833",$16.40,$17.21,$16.1814
11/29/2023,$17.21,"22,808",$16.38,$17.21,$16.29
11/28/2023,$15.98,"30,506",$15.55,$15.98,$15.55
11/27/2023,$16.09,"12,534",$16.29,$16.29,$16.05
11/24/2023,$16.74,"17,349",$16.74,$16.82,$16.54
11/22/2023,$17.315,"6,107",$16.71,$17.315,$16.60
11/21/2023,$16.99,"7,672",$17.03,$17.0343,$16.8209
11/20/2023,$17.19,"21,851",$16.92,$17.275,$16.89
11/17/2023,$16.80,"79,984",$16.71,$16.84,$16.37
11/16/2023,$16.29,"7,275",$16.11,$16.50,$16.11
11/15/2023,$17.80,"6,687",$16.18,$17.915,$16.18
11/14/2023,$17.48,"13,783",$16.35,$17.99,$16.35
11/13/2023,$15.73,"25,857",$15.49,$15.96,$15.25
11/10/2023,$15.965,"43,688",$15.86,$16.32,$15.77
11/09/2023,$18.24,"32,259",$18.00,$18.24,$17.0001
11/08/2023,$19.295,"4,578",$19.07,$20.275,$18.9999
11/07/2023,$19.45,"2,057",$19.23,$19.45,$19.2293
