Date,Close,Volume,Open,High,Low
03/01/2024,$5.92,"623,587",$5.66,$5.98,$5.66
02/29/2024,$5.65,"398,418",$5.71,$5.73,$5.64
02/28/2024,$5.70,"1,254,028",$5.50,$5.84,$5.435
02/27/2024,$5.62,"885,764",$5.37,$5.635,$5.37
02/26/2024,$5.24,"773,317",$5.40,$5.4099,$5.24
02/23/2024,$5.25,"2,154,440",$5.42,$5.44,$5.225
02/22/2024,$5.41,"1,900,158",$5.35,$5.495,$5.27
02/21/2024,$5.30,"717,564",$5.40,$5.45,$5.17
02/20/2024,$5.33,"1,108,028",$5.30,$5.44,$5.28
02/16/2024,$5.40,"1,875,912",$5.37,$5.48,$5.29
02/15/2024,$5.43,"778,445",$5.51,$5.535,$5.43
02/14/2024,$5.47,"803,497",$5.35,$5.525,$5.27
02/13/2024,$5.38,"1,117,670",$5.11,$5.61,$5.10
02/12/2024,$5.54,"788,832",$5.61,$5.65,$5.42
02/09/2024,$5.56,"1,908,008",$5.51,$5.61,$5.40
02/08/2024,$5.49,"2,068,547",$5.35,$5.51,$5.23
02/07/2024,$5.29,"1,751,210",$5.26,$5.32,$5.175
02/06/2024,$5.30,"683,255",$5.25,$5.31,$5.145
02/05/2024,$5.16,"361,530",$5.17,$5.24,$5.03
02/02/2024,$5.18,"510,607",$5.11,$5.20,$5.02
02/01/2024,$5.11,"937,981",$5.03,$5.115,$5.01
01/31/2024,$5.03,"2,706,126",$5.15,$5.225,$4.95
01/30/2024,$4.98,"1,890,446",$5.10,$5.15,$4.91
01/29/2024,$5.09,"2,388,484",$5.13,$5.13,$5.00
01/26/2024,$5.06,"2,246,220",$4.90,$5.06,$4.90
01/25/2024,$4.87,"1,715,645",$4.75,$4.905,$4.72
01/24/2024,$4.76,"1,059,311",$4.73,$4.825,$4.73
01/23/2024,$4.74,"2,626,720",$4.78,$4.79,$4.63
01/22/2024,$4.67,"3,741,070",$4.71,$4.75,$4.62
01/19/2024,$4.63,"5,690,617",$4.53,$4.77,$4.4537
01/18/2024,$4.46,"13,650,260",$4.44,$4.49,$4.32
01/17/2024,$4.54,"3,307,444",$4.80,$4.88,$4.51
01/16/2024,$5.00,"369,991",$5.23,$5.26,$5.00
01/12/2024,$5.25,"284,565",$5.48,$5.49,$5.24
01/11/2024,$5.38,"420,055",$5.29,$5.39,$5.21
01/10/2024,$5.32,"303,264",$5.43,$5.48,$5.30
01/09/2024,$5.58,"328,680",$5.65,$5.70,$5.57
01/08/2024,$5.66,"331,826",$5.44,$5.66,$5.44
01/05/2024,$5.48,"453,594",$5.25,$5.48,$5.25
01/04/2024,$5.20,"364,145",$5.26,$5.26,$5.14
01/03/2024,$5.34,"162,417",$5.36,$5.41,$5.3201
01/02/2024,$5.38,"254,763",$5.50,$5.55,$5.3201
12/29/2023,$5.56,"320,098",$5.64,$5.71,$5.54
12/28/2023,$5.61,"286,645",$5.75,$5.77,$5.61
12/27/2023,$5.75,"603,797",$5.40,$5.75,$5.40
12/26/2023,$5.37,"272,486",$5.32,$5.42,$5.30
12/22/2023,$5.27,"265,605",$5.35,$5.35,$5.21
12/21/2023,$5.30,"295,168",$5.35,$5.42,$5.28
12/20/2023,$5.32,"1,147,018",$5.40,$5.47,$5.30
12/19/2023,$5.33,"213,602",$5.20,$5.37,$5.17
12/18/2023,$5.26,"128,896",$5.16,$5.28,$5.0948
12/15/2023,$5.19,"577,120",$5.36,$5.38,$5.16
12/14/2023,$5.31,"261,782",$5.24,$5.36,$5.2293
12/13/2023,$5.17,"228,204",$4.97,$5.21,$4.92
12/12/2023,$4.95,"109,676",$5.04,$5.04,$4.85
12/11/2023,$5.05,"141,541",$4.95,$5.05,$4.88
12/08/2023,$5.00,"161,765",$5.04,$5.07,$4.955
12/07/2023,$4.99,"259,967",$4.96,$5.0499,$4.90
12/06/2023,$4.81,"215,550",$4.86,$4.91,$4.79
12/05/2023,$4.81,"434,995",$4.83,$4.8598,$4.71
12/04/2023,$4.82,"300,394",$4.91,$5.08,$4.72
12/01/2023,$4.98,"432,631",$5.02,$5.13,$4.93
11/30/2023,$5.26,"91,212",$5.40,$5.40,$5.2407
11/29/2023,$5.38,"163,180",$5.34,$5.41,$5.2612
11/28/2023,$5.45,"176,123",$5.35,$5.57,$5.23
11/27/2023,$5.35,"226,393",$5.29,$5.37,$5.13
11/24/2023,$5.48,"124,251",$5.53,$5.5694,$5.40
11/22/2023,$5.39,"364,364",$5.59,$5.60,$5.32
11/21/2023,$5.79,"204,829",$5.75,$5.95,$5.66
11/20/2023,$5.69,"292,356",$5.47,$5.761,$5.47
11/17/2023,$5.52,"128,695",$5.64,$5.64,$5.43
11/16/2023,$5.60,"351,966",$5.62,$5.80,$5.54
11/15/2023,$5.58,"245,684",$5.46,$5.88,$5.45
11/14/2023,$5.46,"357,745",$5.39,$5.46,$5.24
11/13/2023,$5.15,"219,057",$5.05,$5.20,$4.9829
11/10/2023,$5.10,"851,411",$5.05,$5.26,$4.97
11/09/2023,$4.81,"320,155",$4.91,$4.95,$4.75
11/08/2023,$4.79,"220,687",$4.93,$4.9687,$4.76
11/07/2023,$4.81,"452,085",$4.71,$4.87,$4.65
11/06/2023,$4.58,"558,864",$4.86,$4.90,$4.505
11/03/2023,$4.88,"747,194",$4.85,$5.06,$4.78
11/02/2023,$4.50,"320,412",$4.60,$4.62,$4.46
11/01/2023,$4.58,"712,816",$4.57,$4.665,$4.46
10/31/2023,$4.45,"193,850",$4.35,$4.51,$4.31
10/30/2023,$4.42,"207,765",$4.75,$4.7524,$4.38
10/27/2023,$4.67,"200,619",$4.82,$4.91,$4.59
10/26/2023,$4.82,"312,217",$4.83,$4.90,$4.65
10/25/2023,$4.79,"413,564",$4.68,$4.90,$4.51
