Date,Close,Volume,Open,High,Low
03/01/2024,$12.16,"144,190",$12.49,$12.73,$12.02
02/29/2024,$11.68,"71,473",$11.63,$11.80,$11.60
02/28/2024,$11.53,"55,404",$11.55,$11.82,$11.52
02/27/2024,$11.66,"72,031",$11.61,$11.69,$11.45
02/26/2024,$11.56,"64,727",$11.25,$11.73,$11.25
02/23/2024,$11.28,"43,523",$11.44,$11.51,$11.16
02/22/2024,$11.47,"90,603",$11.75,$11.80,$11.30
02/21/2024,$11.66,"30,767",$11.76,$11.83,$11.54
02/20/2024,$11.76,"91,285",$11.96,$12.00,$11.52
02/16/2024,$12.09,"74,605",$12.33,$12.47,$12.04
02/15/2024,$12.43,"116,328",$11.90,$12.54,$11.90
02/14/2024,$11.92,"76,111",$11.49,$12.02,$11.48
02/13/2024,$11.34,"118,269",$11.45,$11.63,$11.145
02/12/2024,$11.76,"88,824",$11.71,$12.10,$11.6286
02/09/2024,$11.81,"77,142",$11.71,$12.05,$11.71
02/08/2024,$11.62,"66,643",$11.18,$11.87,$11.18
02/07/2024,$11.21,"71,141",$11.71,$11.74,$11.17
02/06/2024,$11.71,"77,250",$11.52,$11.74,$11.46
02/05/2024,$11.47,"69,921",$11.59,$11.71,$11.17
02/02/2024,$11.75,"59,029",$11.78,$11.85,$11.57
02/01/2024,$11.84,"101,842",$12.00,$12.28,$11.73
01/31/2024,$11.93,"98,735",$12.45,$12.61,$11.91
01/30/2024,$12.58,"64,158",$12.47,$12.705,$12.40
01/29/2024,$12.56,"85,101",$12.50,$12.64,$12.045
01/26/2024,$12.43,"74,472",$12.61,$12.735,$12.30
01/25/2024,$12.67,"106,168",$12.36,$12.81,$12.32
01/24/2024,$12.20,"79,321",$12.62,$12.7353,$12.10
01/23/2024,$12.50,"67,626",$12.48,$12.88,$12.39
01/22/2024,$12.36,"111,456",$12.78,$13.07,$12.34
01/19/2024,$12.66,"90,951",$12.69,$12.90,$12.50
01/18/2024,$12.58,"95,483",$12.57,$12.9236,$12.39
01/17/2024,$12.48,"141,155",$11.99,$12.60,$11.90
01/16/2024,$12.15,"84,474",$12.00,$12.205,$11.85
01/12/2024,$12.00,"115,567",$12.18,$12.32,$11.955
01/11/2024,$12.08,"100,117",$12.22,$12.31,$11.78
01/10/2024,$12.27,"103,720",$12.33,$12.33,$12.08
01/09/2024,$12.31,"81,984",$12.39,$12.4099,$12.03
01/08/2024,$12.52,"76,951",$12.38,$12.80,$12.35
01/05/2024,$12.44,"104,460",$12.74,$12.83,$12.40
01/04/2024,$12.71,"100,097",$12.72,$12.905,$12.65
01/03/2024,$12.66,"97,432",$13.13,$13.24,$12.56
01/02/2024,$13.25,"131,709",$13.50,$13.5899,$13.145
12/29/2023,$13.60,"137,072",$13.40,$13.6391,$13.06
12/28/2023,$13.26,"113,423",$13.25,$13.58,$13.17
12/27/2023,$13.52,"63,076",$13.44,$13.71,$13.35
12/26/2023,$13.48,"91,930",$13.22,$13.58,$13.22
