Date,Close,Volume,Open,High,Low
03/01/2024,$11.10,N/A,$11.10,$11.10,$11.10
02/29/2024,$11.10,705,$11.105,$11.105,$11.10
02/28/2024,$11.10,"8,423",$11.10,$11.10,$11.10
02/27/2024,$11.1004,"1,012",$11.101,$11.101,$11.1004
02/26/2024,$11.10,N/A,$11.10,$11.10,$11.10
02/23/2024,$11.10,"2,107",$11.101,$11.101,$11.10
02/22/2024,$11.115,100,$11.115,$11.115,$11.115
02/21/2024,$11.10,"2,407",$11.12,$11.12,$11.10
02/20/2024,$11.13,N/A,$11.13,$11.13,$11.13
02/16/2024,$11.13,"77,898",$11.13,$11.13,$11.13
02/15/2024,$11.13,"1,021",$11.15,$11.15,$11.13
02/14/2024,$11.15,"3,887",$11.13,$11.1888,$11.13
02/13/2024,$11.135,327,$11.135,$11.135,$11.13
02/12/2024,$11.15,"2,184",$11.13,$11.21,$11.13
02/09/2024,$11.14,"2,805",$11.14,$11.14,$11.12
02/08/2024,$11.145,"38,806",$11.14,$11.145,$11.13
02/07/2024,$11.14,"14,996",$11.10,$12.12,$11.10
02/06/2024,$11.13,"128,271",$11.10,$12.115,$11.10
02/05/2024,$11.15,"487,998",$11.08,$11.50,$11.08
02/02/2024,$11.08,"70,885",$11.379,$12.06,$11.07
02/01/2024,$11.08,"64,431",$11.08,$11.08,$11.08
01/31/2024,$11.075,"159,428",$11.079,$11.08,$11.075
01/30/2024,$11.075,"4,201",$11.05,$11.075,$11.04
01/29/2024,$11.09,"10,020",$11.15,$11.555,$11.09
01/26/2024,$11.12,"1,219",$11.02,$11.12,$11.02
01/25/2024,$11.12,904,$11.011,$11.12,$11.01
01/24/2024,$11.13,"5,879",$11.00,$11.275,$11.00
01/23/2024,$11.0846,"4,159",$11.045,$11.09,$11.00
01/22/2024,$11.08,"5,046",$11.21,$11.25,$11.08
01/19/2024,$11.25,"9,829",$11.00,$11.3023,$11.00
01/18/2024,$11.00,"52,935",$10.96,$11.48,$10.96
01/17/2024,$10.96,"2,727",$11.485,$11.485,$10.96
01/16/2024,$10.96,"1,029",$11.05,$11.05,$10.96
01/12/2024,$11.02,"7,306",$10.97,$11.535,$10.97
01/11/2024,$11.00,"6,821",$10.99,$11.80,$10.95
01/10/2024,$11.00,"77,441",$10.97,$11.00,$10.97
01/09/2024,$10.97,"81,631",$10.92,$10.97,$10.92
01/08/2024,$10.94,N/A,$10.94,$10.94,$10.94
01/05/2024,$10.94,104,$10.94,$10.94,$10.94
01/04/2024,$10.94,101,$10.94,$10.94,$10.94
01/03/2024,$10.93,105,$10.93,$10.93,$10.93
01/02/2024,$10.93,140,$10.93,$10.93,$10.93
12/29/2023,$10.99,N/A,$10.99,$10.99,$10.99
12/28/2023,$10.99,N/A,$10.99,$10.99,$10.99
12/27/2023,$10.99,142,$10.99,$10.99,$10.99
12/26/2023,$10.92,N/A,$10.92,$10.92,$10.92
12/22/2023,$10.92,"8,249",$10.93,$10.93,$10.91
12/21/2023,$10.92,352,$10.92,$10.92,$10.92
12/20/2023,$10.92,N/A,$10.92,$10.92,$10.92
12/19/2023,$10.92,"2,633",$10.92,$10.93,$10.92
12/18/2023,$10.92,"2,125",$10.92,$10.92,$10.92
12/15/2023,$10.91,"2,930",$10.91,$10.96,$10.91
12/14/2023,$10.91,363,$10.91,$10.91,$10.91
12/13/2023,$10.91,123,$10.91,$10.91,$10.91
12/12/2023,$10.91,634,$10.94,$10.94,$10.91
12/11/2023,$10.91,417,$10.91,$10.91,$10.91
12/08/2023,$10.91,"6,318",$10.95,$10.95,$10.91
12/07/2023,$10.92,"165,439",$10.92,$10.92,$10.92
12/06/2023,$10.94,"1,029",$10.92,$10.96,$10.92
12/05/2023,$10.95,N/A,$10.95,$10.95,$10.95
12/04/2023,$10.95,"103,772",$10.96,$11.77,$10.84
12/01/2023,$10.955,"56,121",$10.96,$10.96,$10.95
11/30/2023,$10.96,"2,331",$10.955,$10.96,$10.95
11/29/2023,$10.95,401,$10.9504,$10.9504,$10.95
11/28/2023,$10.95,N/A,$10.95,$10.95,$10.95
11/27/2023,$10.95,N/A,$10.95,$10.95,$10.95
11/24/2023,$10.95,N/A,$10.95,$10.95,$10.95
11/22/2023,$10.95,"3,302",$10.96,$10.98,$10.95
11/21/2023,$10.985,"8,849",$10.96,$10.985,$10.95
11/20/2023,$11.01,"53,127",$10.97,$11.375,$10.95
11/17/2023,$11.01,N/A,$11.01,$11.01,$11.01
11/16/2023,$11.01,"13,132",$11.09,$11.405,$10.96
11/15/2023,$11.06,"7,491",$11.535,$11.5702,$10.96
11/14/2023,$11.00,N/A,$11.00,$11.00,$11.00
11/13/2023,$11.00,"4,529",$10.91,$11.6834,$10.90
11/10/2023,$10.9899,"6,173",$10.91,$11.62,$10.91
11/09/2023,$11.00,"9,596",$10.91,$12.03,$10.90
11/08/2023,$10.97,"15,832",$10.92,$11.4495,$10.90
11/07/2023,$10.96,"124,979",$10.95,$10.96,$10.935
11/06/2023,$10.93,"6,307",$10.93,$10.93,$10.93
11/03/2023,$10.9201,"10,732",$10.921,$10.95,$10.92
11/02/2023,$10.92,"4,268",$10.949,$10.95,$10.92
11/01/2023,$10.94,N/A,$10.94,$10.94,$10.94
10/31/2023,$10.94,"14,821",$10.92,$10.95,$10.92
10/30/2023,$10.92,"243,456",$10.93,$10.93,$10.92
