Date,Close,Volume,Open,High,Low
03/01/2024,$2.04,"45,541",$1.84,$2.1487,$1.76
02/29/2024,$1.89,"61,416",$1.806,$1.90,$1.685
02/28/2024,$1.85,"32,888",$1.90,$1.90,$1.7214
02/27/2024,$1.85,"12,394",$1.91,$1.9462,$1.8436
02/26/2024,$1.97,"41,129",$2.05,$2.2079,$1.82
02/23/2024,$2.10,"48,435",$2.09,$2.40,$2.07
02/22/2024,$2.21,"11,025",$2.25,$2.25,$2.15
02/21/2024,$2.1849,"9,171",$2.12,$2.2999,$2.12
02/20/2024,$2.29,"71,859",$2.38,$2.38,$2.12
02/16/2024,$2.415,"24,933",$2.51,$2.51,$2.34
02/15/2024,$2.61,"21,253",$2.68,$2.7486,$2.5077
02/14/2024,$2.67,"20,647",$2.72,$2.9542,$2.60
02/13/2024,$2.79,"34,239",$2.67,$2.932,$2.67
02/12/2024,$2.72,"83,079",$2.67,$2.9285,$2.60
02/09/2024,$2.74,"104,635",$2.75,$2.9799,$2.56
02/08/2024,$2.70,"29,092",$2.69,$2.88,$2.615
02/07/2024,$2.73,"83,018",$2.53,$2.8501,$2.53
02/06/2024,$2.5301,"36,873",$2.65,$2.91,$2.50
02/05/2024,$2.68,"72,337",$2.61,$2.8999,$2.55
02/02/2024,$2.775,"12,598",$2.86,$2.95,$2.775
02/01/2024,$3.02,"53,939",$2.98,$3.24,$2.82
01/31/2024,$3.1042,"124,455",$3.0589,$3.64,$3.0501
01/30/2024,$3.27,"126,933",$2.56,$3.395,$2.55
01/29/2024,$2.809,"72,040",$2.55,$2.90,$2.3001
01/26/2024,$2.63,"76,647",$2.80,$2.9999,$2.60
01/25/2024,$2.67,"103,704",$3.05,$3.05,$2.50
01/24/2024,$3.1709,"37,961",$2.8769,$3.2129,$2.7089
01/23/2024,$2.837,"32,449",$2.9399,$2.9714,$2.5199
01/22/2024,$3.0239,"34,154",$3.7799,$3.8849,$2.9546
01/19/2024,$3.9353,863,$3.8891,$3.9479,$3.782
01/18/2024,$3.8429,"4,906",$3.7799,$4.5128,$3.7799
01/17/2024,$4.1369,"4,637",$3.8849,$4.1474,$3.7799
01/16/2024,$3.9374,"5,602",$4.0949,$4.5149,$3.8849
01/12/2024,$4.0634,"2,724",$3.9899,$4.3175,$3.9899
01/11/2024,$4.0424,"4,084",$4.3427,$4.3448,$4.0004
01/10/2024,$4.1999,"2,232",$4.1999,$4.4078,$4.097
01/09/2024,$4.1999,"3,678",$4.1999,$4.1999,$4.0991
01/08/2024,$4.213,"5,971",$4.412,$4.7249,$4.1306
01/05/2024,$4.5338,"6,853",$4.5758,$4.8299,$4.5275
01/04/2024,$4.5065,"5,545",$4.4624,$4.5422,$4.4624
01/03/2024,$4.5464,"6,576",$3.9899,$4.6157,$3.9899
01/02/2024,$4.5611,"9,931",$5.042,$5.042,$4.2986
12/29/2023,$4.2209,"18,542",$4.2839,$4.6199,$4.1999
12/28/2023,$4.0529,"15,040",$3.7799,$4.2629,$3.7274
12/27/2023,$3.7148,"6,176",$3.8975,$3.971,$3.6035
12/26/2023,$3.971,"13,425",$3.7799,$4.1747,$3.7799
12/22/2023,$3.782,"11,627",$3.9899,$3.9899,$3.5657
12/21/2023,$3.8072,"16,957",$3.7799,$4.0067,$3.6812
12/20/2023,$3.5279,"20,296",$3.3389,$3.7169,$3.3389
12/19/2023,$3.3389,"21,281",$3.2024,$3.362,$3.1499
12/18/2023,$3.3599,"30,169",$3.5699,$3.9374,$3.173
12/15/2023,$3.7169,"21,422",$3.7274,$4.0697,$3.7169
12/14/2023,$3.8849,"43,802",$4.2419,$4.3994,$3.7274
12/13/2023,$4.1474,"37,264",$3.9269,$4.3049,$3.5825
12/12/2023,$3.8828,"278,476",$4.9412,$5.0021,$3.7799
12/11/2023,$5.1449,"64,096",$5.0399,$5.4725,$4.4099
12/08/2023,$5.0189,"79,167",$6.7199,$6.7199,$4.832
12/07/2023,$6.7409,"404,531",$6.7199,$7.3709,$5.6699
12/06/2023,$5.7644,"49,910",$6.2999,$6.5687,$5.3549
12/05/2023,$5.8337,"3,560",$5.2226,$5.8463,$5.2226
12/04/2023,$5.3948,"12,487",$5.4599,$5.5649,$4.6829
12/01/2023,$5.2772,"7,596",$4.8509,$5.3969,$4.8509
11/30/2023,$4.8299,"15,298",$5.8799,$6.1949,$4.7249
11/29/2023,$5.7959,"54,638",$4.6199,$6.5939,$4.6199
11/28/2023,$4.7249,"4,023",$4.8299,$4.9979,$4.6199
11/27/2023,$4.7249,"4,075",$5.0399,$5.042,$4.6619
11/24/2023,$4.7795,"2,265",$4.9347,$4.9349,$4.412
11/22/2023,$4.6325,"1,893",$4.6031,$4.9874,$4.433
11/21/2023,$4.7459,"16,303",$4.8299,$5.0945,$4.4309
11/20/2023,$4.6199,"12,545",$4.1369,$5.0378,$4.1369
11/17/2023,$4.1999,"16,075",$3.782,$4.5947,$3.782
11/16/2023,$3.7799,"10,527",$4.0319,$4.3028,$3.6329
11/15/2023,$4.0046,"9,835",$4.3049,$5.0189,$3.887
11/14/2023,$4.1999,"11,977",$4.8299,$5.2499,$3.8429
11/13/2023,$4.6199,"11,725",$5.1911,$6.0899,$4.5359
11/10/2023,$4.6493,"5,767",$5.5124,$5.8799,$4.4099
11/09/2023,$5.2499,"8,385",$6.2999,$6.4059,$5.2499
11/08/2023,$6.2999,"1,788",$6.2999,$6.7199,$6.2999
11/07/2023,$6.1319,"4,624",$6.113,$6.8207,$6.113
11/06/2023,$6.0899,"1,200",$6.2999,$6.5099,$6.0899
11/03/2023,$6.3083,"1,900",$6.0899,$6.5099,$6.0899
11/02/2023,$5.8799,"3,370",$5.8505,$6.5099,$5.819
11/01/2023,$5.9471,"3,768",$6.9299,$7.0769,$5.9135
10/31/2023,$6.5498,"2,749",$6.3419,$7.1399,$6.3419
10/30/2023,$6.3419,"3,120",$7.2764,$7.3919,$6.3419
10/27/2023,$6.9299,"2,776",$7.3919,$7.7698,$6.9299
10/26/2023,$6.9929,"2,885",$7.2029,$7.4549,$6.7409
10/25/2023,$7.5598,845,$7.0139,$7.7698,$7.0139
10/24/2023,$7.3583,"2,514",$7.4318,$7.9378,$7.3499
10/23/2023,$7.6459,"2,077",$7.3667,$7.9378,$7.3667
10/20/2023,$7.921,"1,177",$7.9798,$7.9798,$7.5955
10/19/2023,$7.7908,769,$7.6396,$7.9567,$7.6396
10/18/2023,$7.9546,"2,551",$7.9756,$7.9987,$7.4612
10/17/2023,$7.9756,"7,454",$8.1898,$8.5867,$7.9756
10/16/2023,$8.5867,"13,356",$7.373,$8.7988,$6.6884
10/13/2023,$7.3898,"7,058",$7.8748,$8.5027,$7.3436
10/12/2023,$9.4498,"97,091",$6.7409,$9.4498,$6.6905
10/11/2023,$6.8396,"13,226",$7.6459,$7.6459,$6.2999
10/10/2023,$7.4024,"102,678",$8.7274,$8.7274,$6.0899
10/09/2023,$7.9798,"3,684",$7.9798,$8.3788,$7.5598
10/06/2023,$7.7278,"3,821",$7.9798,$8.3788,$7.7278
10/05/2023,$7.8748,"1,865",$8.6098,$8.6119,$7.8748
10/04/2023,$8.7127,"1,182",$8.572,$8.7778,$8.0827
10/03/2023,$8.2318,"3,274",$8.1898,$8.782,$8.0827
10/02/2023,$8.3977,"2,895",$8.6791,$8.6791,$8.1919
09/29/2023,$8.8618,"8,552",$9.0802,$9.5485,$8.4019
09/28/2023,$9.4498,"4,591",$9.8383,$9.8383,$9.0571
09/27/2023,$9.6598,"2,732",$9.2818,$9.7648,$9.2398
09/26/2023,$9.6598,"4,678",$9.1348,$9.6598,$8.7841
09/25/2023,$9.0508,"7,718",$10.0798,$10.0798,$8.8198
09/22/2023,$10.3318,"13,017",$10.9177,$11.365,$9.2608
09/21/2023,$11.2558,"35,463",$13.0218,$13.0218,$10.5838
09/20/2023,$10.4473,"14,006",$10.9534,$11.7577,$10.0798
09/19/2023,$11.2348,"7,251",$11.5078,$12.3898,$11.1298
09/18/2023,$11.2558,"6,524",$12.2428,$12.2428,$11.155
09/15/2023,$11.7997,"10,267",$11.9698,$12.1798,$11.3398
09/14/2023,$12.4843,"20,828",$12.3898,$13.2297,$11.3398
09/13/2023,$11.4448,"9,715",$13.2297,$13.2297,$10.7098
09/12/2023,$12.3898,"6,765",$11.6548,$13.2297,$11.5025
09/11/2023,$11.2138,"4,202",$12.0748,$12.0748,$11.1298
09/08/2023,$11.5477,"3,993",$11.6086,$12.1798,$11.1298
09/07/2023,$11.9677,"7,867",$12.8097,$12.8097,$10.7119
09/06/2023,$12.2995,"6,860",$13.4397,$13.4397,$11.7598
09/05/2023,$12.9672,"9,639",$13.0197,$13.4187,$12.6039
09/01/2023,$13.0197,"3,685",$13.2297,$13.7339,$13.0197
08/31/2023,$13.1877,"5,743",$13.4397,$13.4397,$12.5997
08/30/2023,$13.4397,"7,767",$14.1537,$14.1537,$12.4948
08/29/2023,$13.6707,"17,767",$14.2797,$14.6997,$11.8333
08/28/2023,$13.0176,"31,433",$12.5997,$14.643,$9.8677
08/25/2023,$11.3398,"14,130",$12.5997,$13.2276,$10.4998
08/24/2023,$13.3368,"29,475",$13.2318,$13.6497,$11.5918
08/23/2023,$12.5178,"44,575",$10.0231,$14.2755,$9.7648
08/22/2023,$9.2398,"3,655",$9.6388,$10.0567,$9.0382
08/21/2023,$9.5338,"5,302",$10.4368,$10.4368,$9.4498
08/18/2023,$10.0714,"8,796",$10.4998,$10.7077,$9.8719
08/17/2023,$9.9244,"8,683",$9.6388,$10.0777,$9.4498
08/16/2023,$9.4855,"3,649",$10.4998,$10.8148,$9.2965
08/15/2023,$10.7098,708,$10.2898,$10.8148,$10.2898
08/14/2023,$10.1008,"8,142",$11.6401,$12.5997,$9.9979
08/11/2023,$11.5498,"9,504",$11.1298,$11.8543,$9.6598
08/10/2023,$10.0798,"15,543",$10.714,$10.9702,$9.1348
08/09/2023,$9.9265,"12,237",$10.9618,$11.3125,$9.9265
08/08/2023,$10.7728,"8,313",$10.9408,$11.7787,$10.4998
08/07/2023,$11.1508,"2,403",$11.6548,$11.7493,$10.8631
08/04/2023,$11.8438,"3,503",$11.8018,$12.5388,$11.0668
08/03/2023,$11.5498,"3,201",$12.5997,$13.1667,$11.2831
08/02/2023,$12.5367,"4,187",$12.5577,$12.5997,$11.7598
08/01/2023,$12.4108,"3,629",$13.0197,$13.4397,$12.1798
07/31/2023,$12.8097,"1,223",$12.9987,$13.2738,$12.5997
07/28/2023,$13.0197,"1,080",$13.2298,$13.4376,$12.6375
07/27/2023,$13.0197,645,$14.0697,$14.4876,$13.0197
07/26/2023,$13.4124,"1,449",$13.6497,$13.8597,$13.4124
07/25/2023,$13.8597,575,$14.6997,$14.6997,$13.6497
07/24/2023,$14.4939,808,$13.6497,$14.4939,$13.6497
07/21/2023,$14.2797,"1,892",$14.4897,$14.6997,$13.6497
07/20/2023,$14.6136,"1,771",$14.8173,$15.1197,$14.0697
07/19/2023,$15.1197,525,$15.4767,$15.5607,$15.1197
07/18/2023,$16.0437,"1,288",$15.5397,$16.0752,$15.3297
07/17/2023,$15.6657,881,$15.7497,$15.7497,$15.2667
07/14/2023,$16.0563,"1,168",$16.1697,$16.3482,$15.7497
07/13/2023,$16.1571,"3,112",$16.3797,$16.7577,$15.9597
07/12/2023,$16.1697,465,$15.7707,$16.9173,$15.7707
07/11/2023,$16.1886,"2,278",$16.1739,$16.3797,$14.118
07/10/2023,$16.4091,354,$16.1697,$17.0097,$16.1697
07/07/2023,$16.5582,762,$17.0097,$17.0097,$15.819
07/06/2023,$17.0097,950,$17.6396,$17.8475,$16.5897
07/05/2023,$16.7787,386,$16.7997,$16.9677,$16.4847
07/03/2023,$17.1126,444,$16.3797,$17.5094,$16.3797
06/30/2023,$16.4889,"5,269",$17.4297,$18.0596,$15.4557
06/29/2023,$17.2176,"4,792",$17.4297,$17.8559,$16.5897
06/28/2023,$16.3419,"1,845",$18.4796,$18.4796,$16.1067
06/27/2023,$17.6606,"3,508",$18.8996,$19.2955,$16.7997
06/26/2023,$18.2696,"2,352",$19.9664,$20.2688,$17.0097
06/23/2023,$19.1096,"4,730",$18.0596,$19.5254,$17.8517
06/22/2023,$17.5291,"3,947",$16.5897,$17.8118,$15.7707
06/21/2023,$16.3797,"1,054",$16.3167,$16.4847,$15.9597
06/20/2023,$15.5397,"1,303",$15.7497,$16.5876,$15.4347
06/16/2023,$16.1697,"1,742",$16.1697,$16.3776,$15.4641
06/15/2023,$15.8337,"5,164",$15.3087,$15.8337,$14.0697
06/14/2023,$15.2142,"20,654",$13.9227,$16.7976,$13.8597
06/13/2023,$13.5405,"2,895",$14.0697,$14.0697,$13.1247
06/12/2023,$13.8597,"1,686",$14.2797,$14.2797,$13.3347
06/09/2023,$13.8597,"5,179",$13.0197,$14.328,$12.8937
06/08/2023,$12.7677,955,$13.6497,$13.6497,$12.3898
06/07/2023,$13.7988,"2,134",$12.394,$13.8555,$12.394
06/06/2023,$14.0697,914,$14.0697,$14.6997,$14.0697
06/05/2023,$14.6997,"7,767",$13.6497,$15.252,$13.0197
06/02/2023,$13.8597,"2,576",$13.4397,$13.8597,$13.0197
06/01/2023,$13.2444,"2,897",$12.4528,$13.6497,$11.6548
05/31/2023,$11.7619,"9,600",$14.0697,$14.2797,$11.7619
05/30/2023,$11.7577,824,$12.4171,$12.5997,$11.5498
05/26/2023,$12.5955,784,$12.5787,$12.7047,$11.9698
05/25/2023,$12.3898,527,$11.6737,$12.5472,$11.5498
05/24/2023,$11.7535,"1,139",$11.5729,$11.7598,$11.2795
05/23/2023,$11.0227,"1,623",$11.7892,$12.5997,$11.0038
05/22/2023,$12.3898,629,$12.3898,$12.5136,$11.9698
05/19/2023,$12.2575,485,$11.8963,$12.564,$11.6002
05/18/2023,$11.911,372,$11.5603,$12.1756,$11.5603
05/17/2023,$11.9929,476,$11.9467,$12.2932,$11.8438
05/16/2023,$12.5955,"1,600",$11.5498,$13.0428,$11.5498
05/15/2023,$11.7598,"1,286",$11.5498,$11.9697,$11.5498
05/12/2023,$11.7241,514,$11.5498,$11.954,$11.5498
05/11/2023,$11.7199,724,$11.7598,$11.9698,$11.5498
05/10/2023,$11.7598,714,$11.9992,$12.3435,$11.7598
05/09/2023,$12.0412,"1,199",$12.1798,$12.3478,$11.6443
05/08/2023,$12.079,649,$11.9698,$12.415,$11.9698
05/05/2023,$11.9719,313,$12.1798,$12.4339,$11.9698
05/04/2023,$12.1798,506,$12.3898,$12.5577,$11.9719
05/03/2023,$12.2764,530,$12.4948,$12.5577,$12.1063
05/02/2023,$12.1504,"1,023",$12.5556,$12.5997,$11.9698
05/01/2023,$11.9719,"1,196",$12.2848,$12.7656,$11.7598
04/28/2023,$12.6102,610,$12.0328,$12.8097,$12.0328
04/27/2023,$12.1525,561,$12.1273,$12.7677,$11.5519
04/26/2023,$11.7598,"1,596",$12.3898,$12.4906,$11.7598
04/25/2023,$12.5367,888,$12.4927,$12.7047,$12.2848
04/24/2023,$12.5934,"4,939",$12.5997,$13.2297,$12.2638
04/21/2023,$12.7047,"1,163",$12.8097,$13.6497,$12.5997
04/20/2023,$13.4397,"2,769",$12.8097,$13.7421,$12.8097
04/19/2023,$13.2318,783,$13.9647,$14.9097,$13.2297
04/18/2023,$13.4397,"1,002",$13.2822,$14.6577,$13.2822
04/17/2023,$14.2902,"1,626",$13.0197,$14.3385,$12.8097
04/14/2023,$13.0239,"1,685",$13.6665,$13.8597,$12.8937
04/13/2023,$13.0176,507,$13.3746,$13.5447,$12.8097
04/12/2023,$12.9935,380,$12.8097,$13.2339,$12.753
04/11/2023,$12.8123,"1,165",$12.5997,$13.0197,$12.5703
04/10/2023,$12.5976,"7,669",$13.4397,$13.6497,$12.2323
04/06/2023,$13.6497,978,$14.3007,$14.6976,$13.6497
