Date,Close,Volume,Open,High,Low
03/01/2024,$3.76,"90,348",$3.87,$3.99,$3.7198
02/29/2024,$3.77,"30,734",$3.94,$4.00,$3.75
02/28/2024,$3.80,"47,214",$3.59,$3.95,$3.59
02/27/2024,$3.55,"40,486",$3.10,$3.75,$3.10
02/26/2024,$3.05,"27,001",$2.97,$3.265,$2.97
02/23/2024,$3.02,"38,222",$3.10,$3.12,$3.00
02/22/2024,$3.15,"19,863",$3.25,$3.25,$3.01
02/21/2024,$3.235,"19,863",$3.05,$3.29,$3.05
02/20/2024,$3.15,"75,919",$3.38,$3.46,$3.15
02/16/2024,$3.39,"12,734",$3.38,$3.52,$3.3016
02/15/2024,$3.29,"15,404",$3.25,$3.5999,$3.22
02/14/2024,$3.32,"5,908",$3.29,$3.33,$3.18
02/13/2024,$3.275,"20,811",$3.16,$3.275,$3.15
02/12/2024,$3.25,"18,483",$3.27,$3.32,$3.20
02/09/2024,$3.25,"64,396",$3.42,$3.5274,$3.25
02/08/2024,$3.37,"18,326",$3.27,$3.50,$3.27
02/07/2024,$3.27,"38,524",$3.26,$3.5599,$3.26
02/06/2024,$3.2401,"49,395",$3.17,$3.285,$3.15
02/05/2024,$3.17,"16,177",$3.1729,$3.1729,$3.0601
02/02/2024,$3.18,"14,482",$3.16,$3.20,$3.09
02/01/2024,$3.24,"19,790",$3.23,$3.2499,$3.17
01/31/2024,$3.21,"20,322",$3.35,$3.35,$3.07
01/30/2024,$3.2106,"5,416",$3.24,$3.2999,$3.21
01/29/2024,$3.20,"5,775",$3.195,$3.20,$3.10
01/26/2024,$3.10,"3,679",$3.10,$3.11,$3.05
01/25/2024,$3.06,"9,675",$3.02,$3.11,$2.98
01/24/2024,$2.90,"17,785",$2.74,$3.0399,$2.72
01/23/2024,$2.69,"22,537",$2.657,$2.75,$2.60
01/22/2024,$2.57,"7,486",$2.50,$2.70,$2.50
01/19/2024,$2.47,"5,393",$2.47,$2.5199,$2.40
01/18/2024,$2.51,"5,591",$2.52,$2.52,$2.4192
01/17/2024,$2.40,"3,166",$2.51,$2.51,$2.40
01/16/2024,$2.40,"4,934",$2.50,$2.50,$2.40
01/12/2024,$2.435,"3,615",$2.34,$2.45,$2.34
01/11/2024,$2.26,"7,032",$2.21,$2.40,$2.21
01/10/2024,$2.26,"4,681",$2.4106,$2.4106,$2.26
01/09/2024,$2.45,"13,896",$2.53,$2.53,$2.40
01/08/2024,$2.4219,"7,368",$2.36,$2.4399,$2.3148
01/05/2024,$2.36,"37,540",$2.5077,$2.5299,$2.24
01/04/2024,$2.25,"38,648",$2.21,$2.40,$2.165
01/03/2024,$2.11,"14,648",$2.05,$2.11,$2.05
01/02/2024,$2.01,"20,934",$1.97,$2.0547,$1.97
12/29/2023,$2.13,"80,575",$2.20,$2.245,$1.95
12/28/2023,$2.26,"44,070",$2.29,$2.32,$2.1707
12/27/2023,$2.20,"59,776",$2.41,$2.41,$2.18
12/26/2023,$2.34,"30,028",$2.43,$2.6104,$2.25
12/22/2023,$2.35,"18,800",$2.25,$2.50,$2.24
12/21/2023,$2.24,"35,117",$2.25,$2.25,$2.14
12/20/2023,$2.25,"50,623",$2.43,$2.48,$2.17
12/19/2023,$2.40,"26,054",$2.25,$2.40,$2.1754
12/18/2023,$2.33,"13,554",$2.29,$2.48,$2.2001
12/15/2023,$2.35,"24,998",$2.35,$2.73,$2.23
12/14/2023,$2.40,"19,681",$2.51,$2.53,$2.3665
12/13/2023,$2.55,"37,300",$2.45,$2.69,$2.01
12/12/2023,$2.46,"29,481",$2.75,$2.76,$2.40
12/11/2023,$2.75,"33,312",$2.58,$3.0099,$2.58
12/08/2023,$2.68,"21,682",$2.70,$2.70,$2.625
12/07/2023,$2.69,"8,555",$2.7301,$2.7301,$2.6501
12/06/2023,$2.73,"20,853",$2.61,$2.79,$2.39
12/05/2023,$2.68,"17,295",$2.705,$2.78,$2.62
12/04/2023,$2.75,"29,482",$2.45,$2.7981,$2.4383
12/01/2023,$2.45,"25,780",$2.59,$2.59,$2.43
11/30/2023,$2.56,"11,237",$2.78,$2.82,$2.56
11/29/2023,$2.68,"27,593",$2.88,$2.9125,$2.6501
11/28/2023,$2.93,"14,405",$2.82,$2.93,$2.75
11/27/2023,$2.75,"34,666",$2.97,$3.06,$2.75
11/24/2023,$3.05,"18,119",$2.89,$3.20,$2.89
11/22/2023,$3.00,"26,079",$2.95,$3.1423,$2.84
11/21/2023,$2.84,"28,761",$2.54,$2.904,$2.54
11/20/2023,$2.62,"74,767",$3.07,$3.12,$2.51
11/17/2023,$3.11,"77,070",$2.79,$3.39,$2.7316
11/16/2023,$2.59,"9,339",$2.255,$2.5927,$2.255
11/15/2023,$2.39,"13,844",$2.38,$2.455,$2.24
11/14/2023,$2.31,"8,963",$2.10,$2.31,$2.10
11/13/2023,$2.13,"5,294",$2.03,$2.13,$1.9611
11/10/2023,$2.09,"26,910",$2.05,$2.21,$1.67
11/09/2023,$2.11,"55,184",$2.54,$2.54,$2.10
11/08/2023,$2.39,"44,689",$2.13,$2.46,$2.09
11/07/2023,$2.11,"9,784",$1.93,$2.14,$1.93
11/06/2023,$2.03,"15,402",$2.08,$2.08,$1.9901
11/03/2023,$2.05,"32,538",$1.9994,$2.08,$1.9894
11/02/2023,$2.05,"9,972",$2.02,$2.06,$2.00
11/01/2023,$2.05,"8,867",$1.99,$2.09,$1.9893
10/31/2023,$1.96,"2,945",$1.86,$1.98,$1.84
10/30/2023,$1.95,"7,631",$1.90,$1.95,$1.75
10/27/2023,$1.94,"23,434",$1.77,$2.02,$1.77
10/26/2023,$1.74,"8,872",$1.75,$1.76,$1.6802
10/25/2023,$1.7957,"10,814",$1.77,$1.7957,$1.66
10/24/2023,$1.72,"10,777",$1.71,$1.76,$1.71
10/23/2023,$1.72,"4,447",$1.76,$1.76,$1.60
10/20/2023,$1.71,"3,757",$1.6893,$1.79,$1.6301
10/19/2023,$1.78,"10,808",$1.672,$1.82,$1.672
10/18/2023,$1.62,"3,557",$1.77,$1.78,$1.62
10/17/2023,$1.80,"12,716",$1.71,$1.87,$1.70
10/16/2023,$1.71,"4,604",$1.69,$1.74,$1.69
10/13/2023,$1.72,"5,791",$1.65,$1.76,$1.65
10/12/2023,$1.75,"2,203",$1.62,$1.75,$1.62
10/11/2023,$1.72,"5,161",$1.74,$1.75,$1.72
10/10/2023,$1.69,"1,500",$1.65,$1.72,$1.64
10/09/2023,$1.65,"5,736",$1.695,$1.695,$1.6101
10/06/2023,$1.67,866,$1.6503,$1.67,$1.6503
10/05/2023,$1.65,"4,259",$1.705,$1.72,$1.65
10/04/2023,$1.675,"5,208",$1.68,$1.6865,$1.65
10/03/2023,$1.65,"13,304",$1.69,$1.73,$1.65
10/02/2023,$1.75,"10,683",$1.8104,$1.8104,$1.72
09/29/2023,$1.79,"13,310",$1.61,$1.79,$1.5577
09/28/2023,$1.61,"15,312",$1.52,$1.63,$1.51
09/27/2023,$1.60,"12,576",$1.80,$1.80,$1.58
09/26/2023,$1.82,"7,153",$1.79,$1.825,$1.78
09/25/2023,$1.87,"9,587",$1.76,$1.87,$1.75
09/22/2023,$1.74,"9,241",$1.73,$1.77,$1.73
09/21/2023,$1.72,"2,290",$1.68,$1.72,$1.66
09/20/2023,$1.72,"11,898",$1.9489,$1.9489,$1.70
09/19/2023,$1.76,"7,473",$1.83,$1.83,$1.70
09/18/2023,$1.71,"22,008",$1.73,$1.73,$1.68
09/15/2023,$1.75,"32,891",$1.73,$1.81,$1.68
09/14/2023,$1.74,"42,753",$1.79,$1.79,$1.67
09/13/2023,$1.72,"20,059",$1.85,$1.86,$1.72
09/12/2023,$1.85,"17,766",$1.84,$1.8945,$1.79
09/11/2023,$1.81,"41,983",$1.63,$1.87,$1.63
09/08/2023,$1.62,"21,129",$1.63,$1.72,$1.58
09/07/2023,$1.59,"25,329",$1.59,$1.735,$1.58
09/06/2023,$1.58,"45,925",$1.63,$1.765,$1.58
09/05/2023,$1.69,"96,603",$1.88,$1.915,$1.58
09/01/2023,$1.94,"20,994",$2.0016,$2.0016,$1.89
08/31/2023,$2.04,"30,192",$2.09,$2.1668,$2.0243
08/30/2023,$2.02,"28,801",$1.95,$2.02,$1.95
08/29/2023,$1.94,"52,439",$1.94,$2.12,$1.9101
08/28/2023,$1.98,"29,615",$1.93,$2.00,$1.93
08/25/2023,$1.95,"73,128",$1.85,$2.13,$1.85
08/24/2023,$1.86,"129,931",$1.78,$2.00,$1.7499
08/23/2023,$1.715,"76,507",$1.64,$1.7695,$1.58
08/22/2023,$1.66,"46,452",$1.78,$1.78,$1.62
08/21/2023,$1.68,"150,634",$1.45,$1.75,$1.44
08/18/2023,$1.36,"14,113",$1.335,$1.445,$1.335
08/17/2023,$1.29,"30,784",$1.35,$1.35,$1.29
08/16/2023,$1.34,"8,920",$1.32,$1.37,$1.3193
08/15/2023,$1.325,"22,061",$1.42,$1.4388,$1.32
08/14/2023,$1.40,"49,818",$1.34,$1.4899,$1.3201
08/11/2023,$1.34,"42,006",$1.22,$1.34,$1.19
08/10/2023,$1.17,"9,867",$1.16,$1.17,$1.145
08/09/2023,$1.12,"29,525",$1.09,$1.19,$1.09
08/08/2023,$1.07,"5,993",$1.045,$1.085,$1.045
08/07/2023,$1.07,"4,432",$1.12,$1.15,$1.07
08/04/2023,$1.0966,"19,568",$1.14,$1.14,$1.07
08/03/2023,$1.12,"7,436",$1.13,$1.15,$1.12
08/02/2023,$1.13,"8,271",$1.10,$1.15,$1.07
08/01/2023,$1.1412,"6,019",$1.12,$1.1412,$1.08
