Date,Close,Volume,Open,High,Low
03/01/2024,$13.48,"153,877",$13.40,$13.515,$13.40
02/29/2024,$13.39,"187,170",$13.33,$13.42,$13.274
02/28/2024,$13.26,"118,036",$13.14,$13.26,$13.12
02/27/2024,$13.15,"101,413",$12.99,$13.15,$12.99
02/26/2024,$12.98,"99,860",$12.97,$13.0299,$12.93
02/23/2024,$12.95,"102,605",$12.90,$12.96,$12.88
02/22/2024,$12.84,"184,139",$12.93,$12.9476,$12.82
02/21/2024,$12.85,"142,250",$12.81,$12.85,$12.81
02/20/2024,$12.84,"97,374",$12.82,$12.87,$12.82
02/16/2024,$12.87,"125,960",$12.86,$12.885,$12.79
02/15/2024,$12.87,"166,942",$12.76,$12.88,$12.76
02/14/2024,$12.90,"140,112",$12.85,$12.93,$12.82
02/13/2024,$12.82,"100,624",$12.80,$12.84,$12.79
02/12/2024,$12.85,"164,806",$12.92,$12.92,$12.83
02/09/2024,$12.87,"124,254",$12.93,$12.93,$12.85
02/08/2024,$12.89,"99,407",$12.91,$12.9171,$12.8701
02/07/2024,$12.89,"148,857",$12.90,$12.9063,$12.87
02/06/2024,$12.88,"145,499",$12.90,$12.90,$12.82
02/05/2024,$12.85,"115,686",$12.93,$12.93,$12.83
02/02/2024,$12.93,"137,341",$12.93,$12.9984,$12.91
02/01/2024,$12.97,"166,982",$12.91,$12.99,$12.91
01/31/2024,$12.93,"224,837",$12.95,$12.96,$12.89
01/30/2024,$12.98,"135,598",$12.92,$13.01,$12.87
01/29/2024,$12.93,"173,290",$12.80,$12.93,$12.80
01/26/2024,$12.78,"118,283",$12.62,$12.78,$12.62
01/25/2024,$12.65,"76,164",$12.58,$12.66,$12.5603
01/24/2024,$12.56,"219,657",$12.58,$12.60,$12.52
01/23/2024,$12.57,"130,493",$12.50,$12.59,$12.50
01/22/2024,$12.51,"150,689",$12.47,$12.5101,$12.4651
01/19/2024,$12.40,"173,941",$12.50,$12.53,$12.38
01/18/2024,$12.51,"156,948",$12.54,$12.545,$12.47
01/17/2024,$12.48,"136,824",$12.56,$12.58,$12.46
01/16/2024,$12.56,"197,737",$12.64,$12.70,$12.47
01/12/2024,$12.66,"110,525",$12.66,$12.7757,$12.63
01/11/2024,$12.73,"140,413",$12.66,$12.73,$12.65
01/10/2024,$12.84,"169,064",$12.85,$12.92,$12.81
01/09/2024,$12.86,"179,989",$12.73,$12.89,$12.72
01/08/2024,$12.73,"138,314",$12.71,$12.76,$12.69
01/05/2024,$12.70,"101,272",$12.68,$12.7362,$12.6747
01/04/2024,$12.66,"141,997",$12.63,$12.6797,$12.63
01/03/2024,$12.63,"103,386",$12.68,$12.75,$12.62
01/02/2024,$12.68,"149,832",$12.64,$12.69,$12.63
12/29/2023,$12.57,"120,368",$12.58,$12.5999,$12.53
12/28/2023,$12.51,"114,141",$12.52,$12.53,$12.4962
12/27/2023,$12.57,"189,034",$12.53,$12.59,$12.52
12/26/2023,$12.51,"138,291",$12.50,$12.57,$12.47
12/22/2023,$12.50,"103,525",$12.56,$12.61,$12.47
12/21/2023,$12.50,"161,671",$12.39,$12.505,$12.31
12/20/2023,$12.32,"152,953",$12.41,$12.45,$12.30
12/19/2023,$12.42,"164,446",$12.39,$12.4897,$12.37
12/18/2023,$12.41,"103,142",$12.46,$12.46,$12.39
12/15/2023,$12.40,"147,116",$12.47,$12.47,$12.32
12/14/2023,$12.41,"137,284",$12.28,$12.43,$12.28
12/13/2023,$12.38,"161,065",$12.31,$12.38,$12.2812
12/12/2023,$12.28,"100,737",$12.26,$12.28,$12.22
12/11/2023,$12.26,"102,470",$12.32,$12.33,$12.22
12/08/2023,$12.29,"150,065",$12.28,$12.32,$12.17
12/07/2023,$12.28,"103,681",$12.23,$12.28,$12.15
12/06/2023,$12.20,"173,358",$12.20,$12.25,$12.17
12/05/2023,$12.13,"122,715",$12.14,$12.19,$12.10
12/04/2023,$12.14,"175,470",$12.09,$12.19,$12.08
12/01/2023,$12.09,"225,277",$12.11,$12.19,$12.03
11/30/2023,$12.08,"156,972",$12.08,$12.10,$11.96
11/29/2023,$12.00,"183,560",$12.09,$12.13,$11.99
11/28/2023,$12.06,"113,203",$12.00,$12.10,$11.93
11/27/2023,$11.96,"159,988",$12.00,$12.00,$11.915
11/24/2023,$12.00,"68,336",$11.94,$12.00,$11.92
11/22/2023,$11.88,"168,854",$11.96,$11.96,$11.84
11/21/2023,$11.91,"87,883",$11.92,$11.9399,$11.87
11/20/2023,$11.91,"131,632",$11.89,$11.91,$11.845
11/17/2023,$11.89,"128,069",$11.90,$11.9201,$11.86
11/16/2023,$11.88,"101,064",$11.89,$11.90,$11.83
11/15/2023,$11.83,"165,237",$11.88,$11.91,$11.80
11/14/2023,$11.79,"390,410",$11.75,$11.87,$11.71
11/13/2023,$11.63,"56,824",$11.63,$11.66,$11.58
11/10/2023,$11.64,"65,273",$11.68,$11.70,$11.6105
11/09/2023,$11.65,"105,600",$11.74,$11.79,$11.63
11/08/2023,$11.84,"150,490",$11.86,$11.87,$11.81
11/07/2023,$11.83,"186,267",$11.73,$11.83,$11.69
11/06/2023,$11.69,"215,000",$11.72,$11.73,$11.60
11/03/2023,$11.69,"168,666",$11.69,$11.7711,$11.65
11/02/2023,$11.57,"164,241",$11.54,$11.64,$11.54
11/01/2023,$11.48,"129,155",$11.37,$11.48,$11.34
10/31/2023,$11.35,"173,658",$11.36,$11.40,$11.29
10/30/2023,$11.32,"122,689",$11.23,$11.32,$11.22
10/27/2023,$11.22,"65,298",$11.20,$11.26,$11.1902
10/26/2023,$11.19,"78,934",$11.19,$11.2921,$11.19
10/25/2023,$11.19,"175,095",$11.20,$11.28,$11.14
