Date,Close,Volume,Open,High,Low
03/01/2024,$48.87,"571,087",$47.89,$49.39,$46.82
02/29/2024,$47.62,"1,434,846",$47.95,$48.49,$45.21
02/28/2024,$48.10,"714,091",$48.17,$49.055,$48.055
02/27/2024,$48.85,"293,368",$49.39,$49.75,$48.83
02/26/2024,$48.89,"413,367",$49.24,$49.5799,$48.89
02/23/2024,$48.97,"256,229",$49.38,$49.74,$48.59
02/22/2024,$49.37,"636,463",$49.43,$49.82,$48.78
02/21/2024,$48.45,"343,471",$48.05,$48.49,$47.61
02/20/2024,$48.59,"508,879",$49.44,$49.775,$48.295
02/16/2024,$50.36,"433,445",$50.57,$51.285,$50.0201
02/15/2024,$50.53,"368,985",$49.87,$50.80,$49.46
02/14/2024,$49.48,"391,942",$48.77,$49.595,$48.62
02/13/2024,$47.91,"473,505",$48.70,$49.29,$47.56
02/12/2024,$50.17,"405,442",$50.21,$51.04,$49.792
02/09/2024,$50.13,"680,561",$48.10,$50.68,$47.82
02/08/2024,$47.55,"481,280",$46.91,$48.36,$46.72
02/07/2024,$47.15,"639,136",$47.94,$47.94,$46.82
02/06/2024,$47.61,"975,203",$46.66,$48.05,$46.66
02/05/2024,$46.89,"742,699",$45.97,$47.31,$44.8201
02/02/2024,$46.06,"1,056,032",$45.00,$46.40,$44.7801
02/01/2024,$45.48,"2,272,989",$49.50,$51.07,$45.37
01/31/2024,$50.32,"922,633",$51.95,$52.00,$50.16
01/30/2024,$52.67,"399,211",$53.09,$53.645,$52.64
01/29/2024,$53.63,"349,229",$53.03,$53.66,$52.51
01/26/2024,$53.20,"270,173",$55.13,$55.13,$53.06
01/25/2024,$55.19,"312,067",$56.50,$56.71,$54.91
01/24/2024,$55.42,"574,736",$55.63,$56.18,$55.33
01/23/2024,$54.97,"441,740",$55.80,$56.18,$54.97
01/22/2024,$55.48,"480,093",$54.00,$55.59,$53.965
01/19/2024,$53.56,"276,897",$53.24,$53.81,$52.26
01/18/2024,$52.58,"369,364",$51.76,$52.86,$51.76
01/17/2024,$50.72,"418,376",$49.87,$50.735,$49.17
01/16/2024,$50.51,"281,073",$50.33,$51.07,$50.08
01/12/2024,$50.54,"297,375",$51.09,$51.35,$50.18
01/11/2024,$50.80,"253,829",$50.90,$51.29,$50.00
01/10/2024,$51.10,"381,322",$50.94,$51.53,$49.83
01/09/2024,$51.05,"328,643",$50.79,$51.435,$50.69
01/08/2024,$51.66,"271,931",$50.86,$51.92,$50.86
01/05/2024,$50.81,"255,737",$50.82,$51.45,$50.7428
01/04/2024,$51.08,"387,711",$50.81,$51.63,$50.76
01/03/2024,$51.10,"364,611",$51.88,$52.04,$50.975
01/02/2024,$52.75,"499,117",$53.84,$54.02,$52.455
12/29/2023,$54.72,"263,817",$55.21,$55.59,$54.40
12/28/2023,$55.35,"173,777",$55.65,$56.15,$55.2813
12/27/2023,$55.68,"205,355",$56.07,$56.14,$55.50
12/26/2023,$55.85,"237,056",$55.55,$56.27,$55.4977
12/22/2023,$55.42,"233,726",$54.99,$55.73,$54.56
12/21/2023,$54.53,"510,136",$54.40,$54.92,$54.27
12/20/2023,$53.55,"307,441",$54.56,$55.33,$53.54
12/19/2023,$54.99,"316,129",$54.62,$55.43,$54.51
12/18/2023,$54.28,"389,281",$54.58,$55.12,$54.20
12/15/2023,$54.80,"1,388,211",$55.88,$55.98,$54.74
12/14/2023,$55.46,"732,995",$54.14,$55.78,$54.14
12/13/2023,$53.56,"731,057",$53.87,$54.10,$52.10
12/12/2023,$53.87,"420,837",$53.00,$53.88,$52.63
12/11/2023,$53.07,"482,613",$52.21,$53.16,$52.21
12/08/2023,$51.89,"447,458",$51.46,$52.60,$51.445
12/07/2023,$51.67,"505,661",$51.00,$51.69,$50.81
12/06/2023,$50.80,"370,639",$51.56,$51.97,$50.72
12/05/2023,$50.81,"452,152",$51.99,$51.99,$50.23
12/04/2023,$52.30,"498,614",$51.91,$52.35,$51.20
12/01/2023,$52.46,"519,501",$51.47,$52.53,$50.995
11/30/2023,$51.52,"597,550",$51.65,$51.99,$51.045
11/29/2023,$51.65,"655,499",$50.12,$51.66,$50.06
11/28/2023,$49.25,"664,428",$50.04,$50.04,$49.12
11/27/2023,$50.37,"424,206",$50.02,$50.43,$49.37
11/24/2023,$50.25,"164,277",$50.01,$50.32,$49.76
11/22/2023,$50.16,"319,489",$50.18,$50.78,$49.845
11/21/2023,$49.64,"382,786",$50.44,$51.13,$49.40
11/20/2023,$51.04,"523,272",$50.48,$51.2052,$50.40
11/17/2023,$50.65,"993,582",$49.79,$51.03,$49.3375
11/16/2023,$48.98,"1,067,927",$46.60,$50.4475,$46.60
11/15/2023,$46.77,"647,051",$46.87,$47.96,$46.37
11/14/2023,$46.79,"527,845",$46.00,$46.83,$45.87
11/13/2023,$44.89,"350,749",$44.66,$45.19,$44.08
11/10/2023,$44.91,"281,836",$43.64,$45.18,$43.24
11/09/2023,$43.02,"341,349",$44.25,$44.52,$42.95
11/08/2023,$44.07,"326,982",$44.13,$44.49,$43.42
11/07/2023,$44.07,"247,230",$44.59,$44.84,$44.04
11/06/2023,$44.59,"355,805",$45.33,$45.58,$44.29
11/03/2023,$45.18,"578,496",$44.38,$45.59,$44.03
11/02/2023,$43.81,"472,677",$42.39,$44.08,$42.335
11/01/2023,$41.60,"827,600",$41.51,$41.73,$40.20
10/31/2023,$41.61,"665,034",$42.48,$42.87,$41.55
10/30/2023,$42.73,"560,668",$42.32,$43.00,$41.28
10/27/2023,$42.39,"462,211",$42.32,$43.015,$42.185
10/26/2023,$42.19,"584,122",$41.33,$42.81,$41.33
10/25/2023,$40.98,"1,742,095",$41.73,$41.89,$40.35
