Date,Close,Volume,Open,High,Low
03/01/2024,$21.80,"10,956",$21.62,$21.8793,$21.60
02/29/2024,$21.93,"36,992",$21.6906,$21.98,$21.52
02/28/2024,$21.86,"10,389",$21.80,$21.9397,$21.77
02/27/2024,$21.83,"12,941",$21.95,$21.975,$21.70
02/26/2024,$21.97,"9,766",$22.00,$22.00,$21.89
02/23/2024,$21.94,"5,004",$21.81,$21.9925,$21.81
02/22/2024,$21.67,"9,134",$21.55,$21.776,$21.51
02/21/2024,$21.53,"5,545",$21.70,$21.9481,$21.50
02/20/2024,$21.56,"15,318",$21.53,$21.891,$21.46
02/16/2024,$21.64,"16,171",$21.90,$21.9554,$21.4201
02/15/2024,$21.95,"6,974",$21.91,$22.00,$21.9001
02/14/2024,$21.98,"12,232",$21.912,$22.01,$21.91
02/13/2024,$21.86,"5,770",$21.88,$22.00,$21.66
02/12/2024,$22.02,"30,196",$22.00,$22.33,$21.91
02/09/2024,$22.165,"9,430",$22.00,$22.22,$22.00
02/08/2024,$22.09,"24,130",$21.75,$22.14,$21.72
02/07/2024,$21.76,"16,794",$21.4677,$21.8262,$21.4677
02/06/2024,$21.56,"9,198",$21.215,$21.5986,$21.215
02/05/2024,$21.32,"5,885",$21.18,$21.32,$21.11
02/02/2024,$21.25,"19,098",$21.11,$21.44,$21.11
02/01/2024,$21.09,"29,191",$21.10,$21.50,$21.04
01/31/2024,$20.94,"51,348",$21.62,$21.8994,$20.93
01/30/2024,$21.62,"11,792",$21.58,$21.7345,$21.40
01/29/2024,$21.68,"18,604",$21.47,$21.7019,$21.41
01/26/2024,$21.47,"14,591",$21.44,$21.90,$21.21
01/25/2024,$21.56,"18,970",$21.12,$21.60,$21.12
01/24/2024,$21.10,"8,080",$21.005,$21.10,$20.985
01/23/2024,$21.01,"12,666",$21.12,$21.12,$20.9722
01/22/2024,$21.10,"17,586",$20.80,$21.14,$20.80
01/19/2024,$20.80,"12,959",$20.75,$20.80,$20.65
01/18/2024,$20.69,"14,861",$20.71,$20.7499,$20.6021
01/17/2024,$20.63,"38,239",$20.85,$20.99,$20.34
01/16/2024,$20.90,"32,971",$20.67,$20.90,$20.60
01/12/2024,$20.66,"12,351",$20.59,$20.70,$20.55
01/11/2024,$20.65,"28,495",$20.43,$20.70,$20.422
01/10/2024,$20.58,"27,373",$20.52,$20.70,$20.4231
01/09/2024,$20.61,"50,510",$20.70,$21.128,$20.4808
01/08/2024,$20.70,"22,314",$20.50,$20.73,$20.40
01/05/2024,$20.48,"25,230",$20.31,$20.48,$20.285
01/04/2024,$20.37,"15,639",$20.39,$20.4664,$20.27
01/03/2024,$20.31,"22,302",$20.49,$20.5239,$20.29
01/02/2024,$20.48,"30,991",$20.15,$20.56,$20.15
12/29/2023,$20.09,"230,519",$20.22,$20.59,$20.09
12/28/2023,$20.20,"105,930",$19.99,$20.5293,$19.99
12/27/2023,$19.88,"106,037",$19.50,$19.92,$19.41
12/26/2023,$19.47,"40,900",$19.45,$19.69,$19.40
12/22/2023,$19.35,"95,568",$19.06,$19.50,$19.00
12/21/2023,$19.0999,"49,598",$19.24,$19.40,$19.04
12/20/2023,$19.23,"18,676",$19.34,$19.47,$19.17
12/19/2023,$19.32,"38,232",$19.41,$19.698,$19.27
12/18/2023,$19.43,"36,401",$19.66,$19.71,$19.20
12/15/2023,$19.72,"43,499",$19.55,$19.8111,$19.51
12/14/2023,$19.74,"24,606",$19.31,$19.7642,$19.31
12/13/2023,$19.21,"23,236",$19.01,$19.29,$19.01
12/12/2023,$19.04,"6,914",$18.92,$19.11,$18.90
12/11/2023,$19.06,"28,744",$19.20,$19.26,$18.8301
12/08/2023,$19.24,"20,327",$19.00,$19.24,$18.83
12/07/2023,$19.17,"17,345",$19.10,$19.24,$19.0001
12/06/2023,$19.18,"31,515",$19.01,$19.18,$18.98
12/05/2023,$18.91,"32,905",$18.83,$19.0199,$18.8065
12/04/2023,$18.90,"42,359",$19.13,$19.20,$18.85
12/01/2023,$19.20,"10,839",$18.971,$19.39,$18.84
11/30/2023,$19.19,"79,472",$18.80,$19.19,$18.57
11/29/2023,$19.06,"20,460",$19.17,$19.27,$19.00
11/28/2023,$19.11,"15,817",$18.99,$19.19,$18.99
11/27/2023,$18.99,"12,134",$18.72,$19.02,$18.68
11/24/2023,$18.80,"4,355",$18.73,$18.88,$18.51
11/22/2023,$18.64,"13,743",$18.70,$18.8388,$18.46
11/21/2023,$18.56,"12,516",$18.81,$18.9442,$18.53
11/20/2023,$18.77,"9,961",$18.69,$18.9799,$18.69
11/17/2023,$18.67,"22,686",$19.00,$19.2421,$18.59
11/16/2023,$19.20,"21,682",$19.15,$19.25,$18.6158
11/15/2023,$19.13,"20,742",$18.71,$19.19,$18.65
11/14/2023,$18.93,"30,408",$18.66,$18.95,$18.50
11/13/2023,$18.30,"9,842",$18.35,$18.3899,$18.06
11/10/2023,$18.34,"14,916",$18.70,$18.73,$17.96
11/09/2023,$18.49,"10,421",$18.70,$18.93,$18.32
11/08/2023,$18.88,"3,530",$18.79,$18.95,$18.6024
11/07/2023,$18.9513,"8,305",$18.50,$18.9513,$18.50
11/06/2023,$18.50,"10,968",$18.60,$18.75,$18.50
11/03/2023,$18.5923,"10,767",$18.50,$18.75,$18.3032
11/02/2023,$18.40,"26,365",$18.40,$18.99,$18.3371
11/01/2023,$18.28,"7,115",$17.98,$18.38,$17.98
10/31/2023,$17.85,"31,021",$17.51,$17.97,$17.49
10/30/2023,$17.62,"21,166",$17.91,$17.91,$17.45
10/27/2023,$17.6878,"15,686",$18.22,$18.22,$17.65
10/26/2023,$18.37,"3,754",$18.39,$18.39,$18.30
10/25/2023,$18.21,"3,485",$18.175,$18.34,$18.175
10/24/2023,$18.29,"15,243",$17.92,$18.35,$17.85
10/23/2023,$17.92,"16,159",$18.11,$18.46,$17.5801
10/20/2023,$18.2149,"6,899",$18.15,$18.2624,$18.10
10/19/2023,$18.32,"6,769",$18.81,$18.81,$18.1465
10/18/2023,$18.91,"10,539",$18.89,$18.9128,$18.80
10/17/2023,$19.00,"12,238",$19.02,$19.09,$18.885
10/16/2023,$19.09,"17,065",$18.90,$19.25,$18.65
10/13/2023,$18.77,"11,062",$19.115,$19.22,$18.74
10/12/2023,$19.20,"10,092",$19.29,$19.31,$19.0525
10/11/2023,$19.24,"22,843",$19.31,$19.32,$18.7993
10/10/2023,$19.20,"16,035",$18.96,$19.20,$18.81
10/09/2023,$18.87,"6,858",$18.76,$18.98,$18.75
