Date,Close,Volume,Open,High,Low
03/01/2024,$59.53,"10,927,560",$59.90,$59.90,$59.34
02/29/2024,$60.02,"18,152,650",$60.35,$60.64,$59.90
02/28/2024,$60.40,"8,076,536",$60.37,$60.49,$60.06
02/27/2024,$60.34,"9,931,088",$60.54,$60.78,$60.12
02/26/2024,$60.71,"10,336,100",$61.24,$61.27,$60.66
02/23/2024,$61.20,"13,612,910",$61.09,$61.62,$61.00
02/22/2024,$61.15,"12,982,800",$60.99,$61.25,$60.50
02/21/2024,$61.24,"14,378,260",$60.99,$61.28,$60.83
02/20/2024,$60.70,"18,339,320",$59.595,$60.84,$59.51
02/16/2024,$59.39,"13,947,060",$59.35,$59.62,$58.955
02/15/2024,$59.40,"13,695,850",$59.42,$59.59,$59.13
02/14/2024,$59.29,"15,872,450",$59.17,$59.59,$59.035
02/13/2024,$59.35,"24,195,710",$59.50,$60.655,$58.79
02/12/2024,$59.70,"13,516,780",$59.66,$59.76,$58.96
02/09/2024,$59.56,"15,235,250",$59.47,$59.58,$59.03
02/08/2024,$59.83,"12,874,760",$59.89,$59.97,$59.41
02/07/2024,$59.99,"10,259,890",$60.07,$60.21,$59.94
02/06/2024,$59.94,"12,777,150",$59.96,$60.05,$59.68
02/05/2024,$60.04,"12,759,570",$60.38,$60.38,$59.88
02/02/2024,$60.54,"17,544,910",$60.82,$60.87,$60.23
02/01/2024,$60.98,"15,870,880",$59.57,$61.005,$59.36
01/31/2024,$59.49,"22,837,000",$60.10,$60.45,$59.29
01/30/2024,$59.90,"22,061,540",$59.85,$60.02,$59.445
01/29/2024,$59.73,"14,547,070",$59.34,$59.79,$59.17
01/26/2024,$59.37,"13,025,070",$59.25,$59.49,$59.125
01/25/2024,$59.16,"14,899,710",$59.01,$59.17,$58.66
01/24/2024,$58.91,"16,370,480",$59.80,$59.81,$58.89
01/23/2024,$59.85,"14,481,640",$59.53,$60.00,$59.46
01/22/2024,$59.57,"14,314,270",$59.755,$60.065,$59.44
01/19/2024,$59.83,"14,392,600",$60.26,$60.28,$59.64
01/18/2024,$60.16,"10,397,680",$59.69,$60.23,$59.525
01/17/2024,$59.99,"8,982,132",$59.86,$60.21,$59.82
01/16/2024,$59.99,"11,826,910",$60.39,$60.43,$59.85
01/12/2024,$60.39,"13,218,010",$60.08,$60.46,$59.87
01/11/2024,$59.81,"13,754,230",$60.25,$60.26,$59.69
01/10/2024,$60.20,"12,257,980",$60.22,$60.41,$59.98
01/09/2024,$60.00,"10,493,650",$59.99,$60.135,$59.62
01/08/2024,$60.11,"11,554,630",$59.68,$60.18,$59.42
01/05/2024,$59.67,"10,412,800",$59.80,$59.95,$59.0921
01/04/2024,$59.76,"12,912,930",$60.05,$60.26,$59.66
01/03/2024,$59.96,"14,830,630",$59.93,$60.20,$59.76
01/02/2024,$59.82,"16,322,590",$58.80,$59.88,$58.67
12/29/2023,$58.93,"9,244,339",$58.74,$58.98,$58.63
12/28/2023,$58.75,"8,400,138",$58.65,$58.87,$58.525
12/27/2023,$58.71,"8,560,060",$58.64,$58.77,$58.40
12/26/2023,$58.56,"6,422,531",$58.06,$58.705,$58.06
12/22/2023,$58.32,"9,029,440",$58.12,$58.46,$58.02
12/21/2023,$57.99,"11,725,120",$57.85,$58.07,$57.47
12/20/2023,$57.61,"17,701,000",$58.50,$58.67,$57.57
12/19/2023,$58.83,"14,612,200",$59.00,$59.20,$58.635
12/18/2023,$59.02,"16,717,660",$58.80,$59.49,$58.62
12/15/2023,$58.60,"65,177,380",$58.83,$59.17,$57.80
12/14/2023,$59.04,"22,478,310",$59.97,$60.04,$58.77
12/13/2023,$59.93,"16,196,750",$59.45,$60.02,$59.26
12/12/2023,$59.42,"12,899,010",$59.20,$59.42,$58.895
12/11/2023,$59.04,"14,524,770",$58.83,$59.09,$58.50
12/08/2023,$58.61,"11,178,670",$58.74,$58.75,$58.365
12/07/2023,$58.74,"11,587,870",$58.67,$58.8901,$58.39
12/06/2023,$58.60,"14,868,550",$58.56,$58.73,$58.205
12/05/2023,$58.66,"11,891,510",$58.55,$58.83,$58.415
12/04/2023,$58.57,"14,942,250",$58.59,$58.955,$58.44
12/01/2023,$58.64,"15,371,150",$58.27,$58.685,$58.24
11/30/2023,$58.44,"22,727,490",$57.96,$58.455,$57.60
11/29/2023,$58.23,"11,263,630",$58.58,$58.67,$58.10
11/28/2023,$58.58,"13,739,610",$58.40,$58.83,$58.36
11/27/2023,$58.46,"16,246,510",$58.54,$58.69,$58.27
11/24/2023,$58.57,"4,816,024",$58.46,$58.75,$58.335
11/22/2023,$58.42,"11,327,150",$58.26,$58.535,$58.1271
11/21/2023,$58.03,"13,891,650",$57.46,$58.04,$57.33
11/20/2023,$57.40,"13,053,920",$57.05,$57.575,$56.955
11/17/2023,$57.26,"14,476,630",$57.19,$57.34,$56.70
11/16/2023,$57.15,"16,010,450",$57.25,$57.53,$56.81
11/15/2023,$57.21,"10,201,860",$57.30,$57.335,$56.75
11/14/2023,$57.10,"12,697,070",$57.02,$57.24,$56.805
11/13/2023,$56.93,"12,798,180",$56.62,$57.095,$56.60
11/10/2023,$56.72,"11,680,430",$56.87,$56.925,$56.055
11/09/2023,$56.66,"12,021,090",$57.03,$57.14,$56.37
11/08/2023,$57.09,"13,744,010",$57.32,$57.465,$56.92
11/07/2023,$57.18,"10,449,300",$56.92,$57.3995,$56.73
11/06/2023,$56.97,"12,673,190",$56.78,$57.275,$56.74
11/03/2023,$56.74,"13,958,730",$57.40,$57.59,$56.70
11/02/2023,$57.09,"13,087,240",$56.50,$57.15,$56.355
11/01/2023,$56.44,"14,110,800",$56.80,$56.88,$56.26
10/31/2023,$56.49,"16,639,380",$56.57,$56.72,$56.15
10/30/2023,$56.15,"15,014,290",$55.43,$56.275,$55.42
10/27/2023,$55.24,"13,626,520",$55.55,$56.135,$55.10
10/26/2023,$55.78,"16,228,390",$56.37,$56.625,$55.72
10/25/2023,$56.12,"16,701,020",$55.76,$56.2178,$55.56
10/24/2023,$55.64,"25,290,850",$55.65,$56.17,$55.30
10/23/2023,$54.08,"21,212,650",$54.38,$54.89,$54.045
10/20/2023,$54.57,"15,686,350",$54.53,$55.02,$54.44
10/19/2023,$54.35,"16,202,190",$54.16,$54.76,$53.86
10/18/2023,$54.05,"12,809,450",$54.10,$54.53,$53.92
10/17/2023,$54.07,"16,457,190",$53.31,$54.10,$53.21
10/16/2023,$53.43,"12,816,820",$53.02,$53.56,$52.84
10/13/2023,$52.89,"14,526,990",$52.74,$53.42,$52.64
10/12/2023,$52.81,"19,330,360",$53.76,$53.83,$52.4299
