Date,Close,Volume,Open,High,Low
03/01/2024,$1.185,"1,701,364",$1.19,$1.275,$1.13
02/29/2024,$1.16,"3,009,273",$1.33,$1.36,$1.11
02/28/2024,$1.33,"1,558,159",$1.41,$1.44,$1.27
02/27/2024,$1.41,"1,812,096",$1.34,$1.42,$1.30
02/26/2024,$1.31,"1,824,095",$1.24,$1.37,$1.22
02/23/2024,$1.24,"1,543,813",$1.12,$1.31,$1.1006
02/22/2024,$1.13,"1,576,852",$1.22,$1.245,$1.08
02/21/2024,$1.21,"1,349,119",$1.19,$1.23,$1.16
02/20/2024,$1.21,"1,545,630",$1.22,$1.27,$1.19
02/16/2024,$1.27,"1,381,854",$1.32,$1.38,$1.27
02/15/2024,$1.30,"1,488,958",$1.38,$1.40,$1.26
02/14/2024,$1.36,"2,451,037",$1.28,$1.48,$1.28
02/13/2024,$1.285,"2,760,448",$1.26,$1.33,$1.15
02/12/2024,$1.30,"2,802,470",$1.35,$1.43,$1.19
02/09/2024,$1.34,"2,096,242",$1.50,$1.56,$1.25
02/08/2024,$1.51,"2,586,292",$1.48,$1.61,$1.43
02/07/2024,$1.525,"2,868,686",$1.69,$1.69,$1.42
02/06/2024,$1.66,"15,382,940",$1.42,$1.95,$1.12
02/05/2024,$1.35,"8,901,358",$1.09,$1.445,$1.08
02/02/2024,$1.04,"2,890,418",$0.91,$1.0785,$0.8601
02/01/2024,$0.9003,"1,662,402",$0.807,$0.92,$0.7702
01/31/2024,$0.7505,"2,099,554",$0.8676,$0.917,$0.7505
01/30/2024,$0.871,"538,822",$0.90,$0.9025,$0.8515
01/29/2024,$0.905,"766,392",$0.9099,$0.921,$0.87
01/26/2024,$0.9061,"816,094",$0.89,$0.935,$0.85
01/25/2024,$0.8757,"638,669",$0.85,$0.8895,$0.791
01/24/2024,$0.825,"402,801",$0.86,$0.87,$0.8117
01/23/2024,$0.8502,"522,773",$0.84,$0.8611,$0.8221
01/22/2024,$0.8316,"977,624",$0.78,$0.8481,$0.7427
01/19/2024,$0.766,"1,321,492",$0.7352,$0.7856,$0.6904
01/18/2024,$0.7239,"981,117",$0.75,$0.7713,$0.70
01/17/2024,$0.7552,"764,950",$0.695,$0.766,$0.6902
01/16/2024,$0.7248,"1,794,877",$0.75,$0.78,$0.6555
01/12/2024,$0.7441,"980,430",$0.76,$0.7906,$0.7158
01/11/2024,$0.7382,"1,530,682",$0.827,$0.8356,$0.7343
01/10/2024,$0.8221,"1,383,594",$0.8719,$0.8764,$0.8102
01/09/2024,$0.8587,"954,672",$0.9112,$0.9249,$0.85
01/08/2024,$0.9203,"1,095,029",$0.84,$0.9316,$0.8033
01/05/2024,$0.8224,"977,188",$0.82,$0.86,$0.78
01/04/2024,$0.825,"1,855,787",$0.816,$0.8445,$0.784
01/03/2024,$0.8331,"1,006,247",$0.91,$0.92,$0.821
01/02/2024,$0.9012,"899,587",$0.8745,$0.9198,$0.851
12/29/2023,$0.865,"1,013,681",$0.893,$0.9299,$0.8501
12/28/2023,$0.9233,"889,770",$0.9129,$0.9495,$0.8786
12/27/2023,$0.9235,"1,946,599",$0.93,$0.9505,$0.87
12/26/2023,$0.889,"2,178,737",$0.81,$0.9881,$0.81
12/22/2023,$0.824,"1,360,081",$0.7596,$0.85,$0.7596
12/21/2023,$0.7606,"2,059,874",$0.79,$0.7991,$0.712
12/20/2023,$0.7582,"1,300,827",$0.7784,$0.838,$0.75
12/19/2023,$0.7836,"2,639,458",$0.7501,$0.8293,$0.75
12/18/2023,$0.7532,"976,247",$0.79,$0.8312,$0.753
12/15/2023,$0.7749,"2,884,943",$0.8491,$0.8865,$0.7749
12/14/2023,$0.8402,"1,108,193",$0.80,$0.878,$0.7841
12/13/2023,$0.7762,"1,773,120",$0.74,$0.7996,$0.70
12/12/2023,$0.7415,"1,002,154",$0.7564,$0.7701,$0.7203
12/11/2023,$0.7778,"3,225,558",$0.8483,$0.9512,$0.6174
12/08/2023,$0.86,"736,447",$0.86,$0.88,$0.8385
