Date,Close,Volume,Open,High,Low
03/01/2024,$49.16,"5,464,748",$49.59,$49.6975,$49.04
02/29/2024,$49.61,"10,687,630",$48.45,$49.785,$48.21
02/28/2024,$48.53,"4,138,454",$48.63,$48.90,$48.40
02/27/2024,$48.37,"5,086,621",$47.65,$48.645,$47.35
02/26/2024,$47.26,"6,323,744",$48.19,$48.19,$47.15
02/23/2024,$48.21,"3,416,745",$47.96,$48.44,$47.755
02/22/2024,$47.84,"4,769,413",$47.70,$47.935,$46.955
02/21/2024,$47.81,"3,851,021",$48.05,$48.15,$47.66
02/20/2024,$48.00,"6,179,396",$48.26,$48.97,$47.96
02/16/2024,$47.64,"5,545,539",$47.00,$47.74,$46.83
02/15/2024,$46.87,"5,182,727",$45.90,$46.88,$45.88
02/14/2024,$45.69,"4,942,269",$45.27,$45.765,$45.17
02/13/2024,$45.57,"5,365,631",$45.89,$46.18,$45.34
02/12/2024,$45.84,"3,343,202",$45.38,$45.96,$45.36
02/09/2024,$45.41,"3,195,549",$45.30,$45.545,$45.105
02/08/2024,$45.44,"6,478,284",$44.51,$45.495,$44.49
02/07/2024,$44.62,"4,861,627",$45.05,$45.19,$44.48
02/06/2024,$44.99,"6,762,029",$45.69,$45.75,$44.90
02/05/2024,$45.99,"4,332,022",$46.04,$46.505,$45.93
02/02/2024,$46.14,"5,814,765",$46.75,$46.81,$45.91
02/01/2024,$46.71,"4,087,542",$46.05,$46.75,$45.42
01/31/2024,$46.14,"5,680,164",$46.76,$46.82,$46.015
01/30/2024,$46.65,"2,718,121",$46.52,$46.695,$46.15
01/29/2024,$46.53,"3,667,217",$46.40,$46.63,$46.225
01/26/2024,$46.30,"3,368,292",$46.50,$46.65,$46.21
01/25/2024,$46.43,"3,522,552",$46.31,$46.44,$45.99
01/24/2024,$46.10,"3,975,590",$46.23,$46.35,$45.885
01/23/2024,$46.25,"3,086,375",$45.94,$46.36,$45.90
01/22/2024,$45.93,"4,195,230",$45.93,$46.19,$45.80
01/19/2024,$45.94,"4,887,925",$46.28,$46.31,$45.501
