Date,Close,Volume,Open,High,Low
03/01/2024,$18.03,"1,448,594",$18.30,$18.30,$17.9679
02/29/2024,$18.24,"2,099,978",$18.42,$18.62,$17.98
02/28/2024,$18.34,"1,576,498",$18.59,$18.68,$18.26
02/27/2024,$18.68,"4,947,329",$18.72,$18.8699,$18.49
02/26/2024,$18.56,"4,791,671",$18.22,$18.625,$18.02
02/23/2024,$18.05,"9,548,433",$17.89,$18.32,$17.77
02/22/2024,$18.78,"3,279,751",$19.02,$19.42,$18.51
02/21/2024,$20.18,"666,746",$20.46,$20.68,$20.05
02/20/2024,$20.50,"1,093,164",$20.55,$20.90,$20.215
02/16/2024,$20.77,"1,459,233",$20.60,$20.99,$20.28
02/15/2024,$20.70,"1,516,842",$21.09,$21.09,$20.4539
02/14/2024,$20.82,"4,243,311",$19.66,$21.5999,$19.46
02/13/2024,$17.80,"1,311,085",$17.96,$18.32,$17.65
02/12/2024,$18.38,"911,542",$18.50,$18.618,$18.2031
02/09/2024,$18.26,"807,052",$18.00,$18.37,$17.82
02/08/2024,$17.74,"672,807",$17.60,$17.82,$17.44
02/07/2024,$17.67,"726,337",$17.74,$17.86,$17.6408
02/06/2024,$17.73,"966,523",$17.44,$17.73,$17.30
02/05/2024,$17.44,"979,615",$16.87,$17.57,$16.76
02/02/2024,$17.04,"779,483",$17.13,$17.23,$16.83
02/01/2024,$17.24,"855,907",$17.08,$17.24,$16.71
01/31/2024,$16.93,"1,062,453",$17.39,$17.48,$16.93
01/30/2024,$17.28,"603,759",$17.53,$17.60,$17.131
01/29/2024,$17.63,"795,991",$17.26,$17.69,$17.20
01/26/2024,$17.20,"749,086",$17.50,$17.68,$17.065
01/25/2024,$17.46,"810,182",$17.47,$17.605,$17.14
01/24/2024,$17.39,"1,339,841",$18.22,$18.27,$17.34
01/23/2024,$18.06,"894,687",$18.68,$18.8175,$18.04
01/22/2024,$18.59,"880,963",$18.53,$18.77,$18.495
01/19/2024,$18.35,"669,378",$18.45,$18.45,$18.09
01/18/2024,$18.51,"611,960",$18.42,$18.64,$18.36
01/17/2024,$18.36,"540,464",$18.34,$18.58,$18.26
01/16/2024,$18.66,"691,752",$19.29,$19.35,$18.48
01/12/2024,$18.96,"597,631",$18.65,$18.97,$18.49
01/11/2024,$18.41,"713,064",$18.55,$18.55,$18.11
01/10/2024,$18.58,"916,547",$18.31,$18.68,$18.2109
01/09/2024,$18.13,"835,481",$18.29,$18.40,$18.03
01/08/2024,$18.51,"720,359",$18.17,$18.52,$17.87
01/05/2024,$18.30,"772,401",$18.53,$18.64,$18.27
01/04/2024,$18.53,"706,959",$18.70,$18.86,$18.34
01/03/2024,$18.50,"1,800,442",$19.62,$19.7396,$18.45
01/02/2024,$19.76,"946,090",$20.29,$20.43,$19.54
12/29/2023,$20.29,"750,734",$20.57,$20.57,$20.22
12/28/2023,$20.59,"575,969",$20.50,$20.82,$20.44
12/27/2023,$20.61,"634,920",$20.53,$20.83,$20.45
12/26/2023,$20.55,"471,190",$20.42,$20.605,$20.2099
12/22/2023,$20.29,"736,635",$20.29,$20.56,$20.26
12/21/2023,$20.24,"760,178",$20.28,$20.52,$20.04
12/20/2023,$20.01,"878,654",$20.48,$20.67,$20.00
12/19/2023,$20.57,"927,758",$20.28,$20.63,$20.28
12/18/2023,$20.28,"844,879",$20.34,$20.52,$20.06
12/15/2023,$20.36,"3,532,158",$20.55,$20.70,$20.13
12/14/2023,$20.35,"1,876,116",$21.30,$21.42,$20.11
12/13/2023,$21.16,"1,269,280",$20.83,$21.24,$20.49
12/12/2023,$20.83,"1,043,279",$20.31,$20.93,$20.25
12/11/2023,$20.30,"1,164,614",$20.49,$20.55,$19.985
12/08/2023,$20.39,"582,955",$20.14,$20.465,$20.08
12/07/2023,$20.16,"866,230",$20.01,$20.17,$19.64
12/06/2023,$20.04,"797,006",$20.04,$20.38,$19.985
12/05/2023,$20.05,"935,985",$20.17,$20.295,$20.00
12/04/2023,$20.22,"1,383,299",$19.49,$20.24,$19.49
12/01/2023,$19.53,"1,074,046",$19.07,$19.54,$18.76
11/30/2023,$19.05,"1,253,007",$18.65,$19.18,$18.63
11/29/2023,$18.65,"1,561,122",$19.33,$19.50,$18.57
11/28/2023,$19.38,"1,059,375",$19.59,$19.72,$19.38
11/27/2023,$19.52,"1,135,075",$19.50,$19.54,$19.30
11/24/2023,$19.46,"498,763",$19.17,$19.50,$19.13
11/22/2023,$19.05,"728,533",$18.72,$19.09,$18.67
11/21/2023,$18.77,"1,076,127",$19.16,$19.195,$18.63
11/20/2023,$19.18,"1,162,890",$18.65,$19.33,$18.62
