Date,Close,Volume,Open,High,Low
03/01/2024,$13.50,"481,485",$13.40,$13.595,$13.36
02/29/2024,$13.41,"1,023,198",$13.535,$13.60,$13.355
02/28/2024,$13.40,"494,859",$13.13,$13.4282,$13.13
02/27/2024,$13.21,"610,030",$13.14,$13.25,$13.095
02/26/2024,$13.10,"777,887",$13.06,$13.17,$12.97
02/23/2024,$13.14,"587,477",$13.27,$13.43,$12.99
02/22/2024,$13.15,"1,294,972",$13.55,$13.60,$12.59
02/21/2024,$13.11,"1,122,137",$12.94,$13.11,$12.90
02/20/2024,$13.00,"567,672",$12.82,$13.00,$12.80
02/16/2024,$12.94,"716,761",$12.97,$13.11,$12.725
02/15/2024,$13.01,"684,868",$13.04,$13.10,$12.87
02/14/2024,$12.95,"595,293",$12.91,$13.005,$12.86
02/13/2024,$12.77,"705,990",$13.03,$13.03,$12.65
02/12/2024,$13.25,"782,053",$13.06,$13.285,$12.975
02/09/2024,$12.99,"970,716",$12.99,$13.09,$12.94
02/08/2024,$13.02,"674,564",$12.97,$13.02,$12.91
02/07/2024,$12.94,"617,493",$12.77,$12.965,$12.71
02/06/2024,$12.71,"391,141",$12.70,$12.84,$12.61
02/05/2024,$12.66,"359,053",$12.60,$12.715,$12.5201
02/02/2024,$12.73,"466,025",$12.86,$12.94,$12.73
02/01/2024,$12.96,"550,289",$12.66,$13.03,$12.66
01/31/2024,$12.62,"912,442",$12.82,$12.83,$12.62
01/30/2024,$12.82,"535,602",$12.92,$12.92,$12.685
01/29/2024,$12.99,"627,698",$13.06,$13.14,$12.80
01/26/2024,$13.08,"519,826",$13.09,$13.10,$12.945
01/25/2024,$13.00,"578,033",$13.04,$13.07,$12.90
01/24/2024,$12.87,"341,867",$13.09,$13.13,$12.85
01/23/2024,$12.98,"595,344",$13.38,$13.49,$12.935
01/22/2024,$13.29,"1,779,235",$12.78,$13.29,$12.69
01/19/2024,$12.71,"620,693",$12.85,$12.90,$12.665
01/18/2024,$12.80,"399,720",$12.87,$13.12,$12.70
01/17/2024,$12.85,"354,157",$12.802,$12.96,$12.76
01/16/2024,$13.01,"711,814",$12.92,$13.225,$12.912
01/12/2024,$13.05,"765,739",$12.93,$13.06,$12.85
01/11/2024,$12.76,"1,206,687",$12.55,$12.78,$12.45
01/10/2024,$12.62,"1,110,161",$12.51,$12.69,$12.47
01/09/2024,$12.51,"1,232,432",$12.88,$12.90,$12.49
01/08/2024,$12.99,"571,790",$12.93,$13.03,$12.86
01/05/2024,$13.01,"855,339",$12.94,$13.13,$12.912
01/04/2024,$13.06,"699,634",$13.10,$13.10,$12.965
01/03/2024,$13.01,"914,086",$13.24,$13.40,$12.97
01/02/2024,$13.23,"765,217",$13.65,$13.66,$13.11
12/29/2023,$13.71,"1,001,827",$13.65,$13.845,$13.56
12/28/2023,$13.63,"606,544",$13.62,$13.66,$13.402
12/27/2023,$13.62,"463,097",$13.84,$13.84,$13.59
12/26/2023,$13.82,"504,824",$13.91,$13.91,$13.69
12/22/2023,$13.84,"565,848",$13.69,$14.02,$13.53
12/21/2023,$13.69,"471,502",$13.79,$13.835,$13.50
12/20/2023,$13.76,"659,327",$13.99,$14.165,$13.76
12/19/2023,$14.00,"883,506",$13.79,$14.16,$13.785
12/18/2023,$13.62,"908,077",$13.51,$13.65,$13.37
12/15/2023,$13.42,"1,260,597",$13.72,$13.78,$13.42
12/14/2023,$13.75,"755,799",$13.70,$13.83,$13.59
12/13/2023,$13.63,"642,956",$13.46,$13.65,$13.29
12/12/2023,$13.42,"387,718",$13.46,$13.485,$13.33
12/11/2023,$13.50,"520,435",$13.64,$13.69,$13.49
12/08/2023,$13.64,"729,538",$13.23,$13.64,$13.07
12/07/2023,$13.29,"513,985",$13.22,$13.45,$13.11
12/06/2023,$13.16,"911,279",$13.13,$13.25,$13.065
12/05/2023,$13.10,"449,370",$13.08,$13.17,$13.01
12/04/2023,$13.06,"487,662",$13.18,$13.39,$13.04
12/01/2023,$13.18,"611,457",$13.17,$13.38,$13.11
11/30/2023,$13.13,"1,013,465",$13.10,$13.255,$12.92
11/29/2023,$13.12,"421,266",$13.23,$13.30,$13.045
11/28/2023,$13.15,"484,358",$13.15,$13.275,$13.04
11/27/2023,$13.11,"719,907",$13.34,$13.48,$13.11
11/24/2023,$13.32,"202,637",$13.31,$13.38,$13.22
11/22/2023,$13.31,"523,612",$13.28,$13.46,$13.27
11/21/2023,$13.24,"724,059",$13.19,$13.325,$13.15
11/20/2023,$13.20,"520,230",$13.25,$13.27,$12.965
11/17/2023,$13.23,"916,684",$13.09,$13.28,$13.09
11/16/2023,$13.27,"693,604",$13.15,$13.27,$12.995
11/15/2023,$13.11,"1,191,710",$13.48,$13.51,$12.98
11/14/2023,$13.39,"1,091,810",$13.34,$13.43,$13.115
11/13/2023,$13.68,"767,888",$13.55,$13.71,$13.55
11/10/2023,$13.55,"651,341",$13.51,$13.59,$13.39
11/09/2023,$13.44,"574,339",$13.32,$13.48,$13.22
11/08/2023,$13.19,"1,071,653",$13.19,$13.22,$13.06
11/07/2023,$13.14,"1,018,273",$13.49,$13.49,$13.14
11/06/2023,$13.41,"1,191,506",$13.62,$13.625,$12.83
11/03/2023,$13.64,"1,279,857",$13.26,$13.66,$13.20
11/02/2023,$13.09,"1,515,815",$13.92,$13.975,$12.55
11/01/2023,$14.31,"533,985",$14.15,$14.34,$14.06
10/31/2023,$14.14,"635,904",$14.35,$14.415,$14.08
10/30/2023,$14.35,"457,694",$14.23,$14.4684,$14.20
10/27/2023,$14.235,"596,026",$14.16,$14.31,$14.06
10/26/2023,$14.10,"351,809",$14.20,$14.25,$13.9612
10/25/2023,$14.20,"641,005",$14.16,$14.40,$14.16
10/24/2023,$14.23,"772,865",$14.25,$14.48,$14.185
10/23/2023,$14.20,"808,640",$14.33,$14.41,$14.16
10/20/2023,$14.34,"561,571",$14.45,$14.49,$14.30
10/19/2023,$14.42,"787,865",$14.42,$14.60,$14.2709
10/18/2023,$14.45,"374,468",$14.49,$14.55,$14.38
10/17/2023,$14.57,"458,892",$14.59,$14.80,$14.565
10/16/2023,$14.67,"610,414",$14.33,$14.735,$14.29
10/13/2023,$14.18,"1,231,781",$14.62,$14.745,$14.175
10/12/2023,$14.62,"665,708",$14.78,$14.78,$14.415
10/11/2023,$14.78,"556,839",$14.69,$14.81,$14.60
10/10/2023,$14.62,"674,686",$14.28,$14.77,$14.28
10/09/2023,$14.28,"517,021",$14.20,$14.44,$14.105
10/06/2023,$14.10,"1,241,302",$13.70,$14.165,$13.58
10/05/2023,$13.55,"794,795",$13.88,$14.02,$13.53
10/04/2023,$13.88,"471,904",$13.84,$14.04,$13.84
10/03/2023,$13.84,"448,032",$14.11,$14.11,$13.775
10/02/2023,$14.14,"728,874",$14.07,$14.27,$14.02
09/29/2023,$14.10,"843,580",$14.08,$14.18,$13.99
09/28/2023,$14.06,"717,393",$13.88,$14.15,$13.88
09/27/2023,$13.93,"527,007",$13.82,$13.995,$13.815
09/26/2023,$13.80,"559,943",$13.90,$14.045,$13.12
09/25/2023,$13.92,"420,574",$13.91,$14.085,$13.79
09/22/2023,$14.05,"543,930",$14.16,$14.33,$14.05
09/21/2023,$14.14,"530,442",$14.03,$14.215,$13.93
09/20/2023,$14.14,"818,651",$13.96,$14.215,$13.76
09/19/2023,$13.92,"352,553",$13.90,$14.08,$13.68
09/18/2023,$13.88,"385,242",$13.93,$14.02,$13.855
09/15/2023,$13.91,"1,320,858",$14.11,$14.26,$13.77
09/14/2023,$14.10,"581,807",$14.18,$14.30,$13.99
09/13/2023,$14.06,"673,574",$13.85,$14.13,$13.82
09/12/2023,$13.81,"617,154",$13.59,$13.925,$13.59
09/11/2023,$13.61,"652,681",$13.44,$13.68,$13.43
09/08/2023,$13.41,"506,315",$13.39,$13.605,$13.26
09/07/2023,$13.42,"680,394",$13.33,$13.705,$13.28
09/06/2023,$13.30,"401,646",$13.56,$13.59,$13.235
09/05/2023,$13.53,"698,039",$14.13,$14.13,$13.495
09/01/2023,$14.20,"695,223",$13.97,$14.30,$13.97
08/31/2023,$13.93,"905,334",$13.82,$14.02,$13.81
08/30/2023,$13.82,"404,249",$13.88,$13.989,$13.80
08/29/2023,$13.88,"401,609",$13.96,$13.98,$13.82
08/28/2023,$13.97,"444,098",$14.00,$14.09,$13.955
08/25/2023,$13.96,"385,732",$14.25,$14.27,$13.95
08/24/2023,$14.20,"404,829",$14.22,$14.405,$14.18
08/23/2023,$14.27,"581,817",$14.13,$14.31,$14.08
08/22/2023,$14.13,"485,124",$14.25,$14.325,$14.12
08/21/2023,$14.25,"467,458",$14.24,$14.39,$14.20
