Date,Close,Volume,Open,High,Low
03/01/2024,$6.69,"182,125",$6.64,$6.88,$6.5306
02/29/2024,$6.66,"380,605",$6.67,$6.84,$6.575
02/28/2024,$6.55,"284,041",$6.82,$6.88,$6.53
02/27/2024,$6.85,"253,137",$7.13,$7.2069,$6.84
02/26/2024,$7.05,"207,280",$6.98,$7.11,$6.97
02/23/2024,$7.01,"426,400",$6.69,$7.24,$6.50
02/22/2024,$7.32,"231,735",$7.43,$7.52,$7.25
02/21/2024,$7.34,"174,792",$7.35,$7.47,$7.16
02/20/2024,$7.45,"330,287",$7.60,$7.79,$7.43
02/16/2024,$8.00,"88,096",$8.14,$8.23,$7.97
02/15/2024,$8.24,"133,916",$8.05,$8.29,$7.99
02/14/2024,$7.93,"184,722",$7.73,$7.95,$7.49
02/13/2024,$7.54,"543,392",$8.14,$8.25,$7.45
02/12/2024,$8.40,"723,757",$8.00,$8.63,$8.00
02/09/2024,$8.02,"125,346",$8.01,$8.05,$7.85
02/08/2024,$7.93,"231,492",$7.87,$8.00,$7.82
02/07/2024,$7.92,"244,292",$8.45,$8.45,$7.76
02/06/2024,$8.43,"99,880",$8.43,$8.51,$8.18
02/05/2024,$8.39,"229,721",$8.35,$8.48,$8.01
02/02/2024,$8.41,"104,970",$8.18,$8.46,$8.11
02/01/2024,$8.30,"74,770",$8.26,$8.36,$8.10
01/31/2024,$8.18,"144,583",$8.29,$8.55,$8.15
01/30/2024,$8.36,"89,203",$8.64,$8.64,$8.34
01/29/2024,$8.65,"107,709",$8.46,$8.6852,$8.45
01/26/2024,$8.43,"86,177",$8.45,$8.60,$8.43
01/25/2024,$8.40,"118,234",$8.50,$8.61,$8.29
01/24/2024,$8.42,"190,613",$8.75,$8.80,$8.37
01/23/2024,$8.55,"146,233",$8.45,$8.59,$8.28
01/22/2024,$8.32,"144,085",$8.07,$8.32,$8.00
01/19/2024,$7.96,"131,778",$7.96,$8.05,$7.62
01/18/2024,$7.87,"127,363",$7.97,$7.97,$7.70
01/17/2024,$7.82,"125,917",$7.76,$7.85,$7.61
01/16/2024,$7.89,"118,982",$7.77,$7.91,$7.679
01/12/2024,$7.91,"111,050",$8.10,$8.245,$7.90
01/11/2024,$8.08,"91,241",$8.23,$8.29,$7.89
01/10/2024,$8.24,"223,532",$8.07,$8.285,$7.97
01/09/2024,$8.02,"183,982",$7.74,$8.28,$7.74
01/08/2024,$7.87,"220,122",$7.42,$7.87,$7.41
01/05/2024,$7.39,"165,653",$7.24,$7.53,$7.24
01/04/2024,$7.27,"176,837",$7.20,$7.34,$7.13
01/03/2024,$7.17,"167,544",$7.36,$7.46,$7.17
01/02/2024,$7.41,"240,246",$7.54,$7.55,$7.3267
12/29/2023,$7.59,"148,466",$7.77,$7.88,$7.57
