Date,Close,Volume,Open,High,Low
03/01/2024,$60.29,"131,996",$60.00,$60.955,$59.30
02/29/2024,$60.15,"189,250",$59.87,$60.47,$59.87
02/28/2024,$59.41,"129,351",$59.85,$60.21,$59.39
02/27/2024,$60.43,"99,021",$61.00,$61.09,$60.125
02/26/2024,$60.64,"227,923",$61.93,$63.29,$60.17
02/23/2024,$61.93,"130,348",$60.86,$62.65,$60.86
02/22/2024,$61.38,"163,837",$59.65,$61.43,$59.24
02/21/2024,$59.70,"141,640",$60.99,$61.3499,$59.59
02/20/2024,$61.33,"239,987",$59.88,$61.62,$59.88
02/16/2024,$60.46,"161,489",$62.69,$62.69,$60.06
02/15/2024,$60.48,"130,866",$59.87,$60.99,$59.825
02/14/2024,$59.82,"159,806",$60.09,$60.53,$59.47
02/13/2024,$60.21,"230,068",$60.88,$61.12,$59.48
02/12/2024,$62.10,"111,184",$60.78,$62.91,$60.78
02/09/2024,$60.99,"197,993",$59.62,$61.09,$59.62
02/08/2024,$59.84,"182,577",$60.90,$60.90,$59.47
02/07/2024,$60.35,"331,900",$62.39,$62.39,$60.33
02/06/2024,$62.36,"723,886",$65.00,$65.30,$62.09
02/05/2024,$65.07,"589,056",$66.28,$66.39,$63.74
02/02/2024,$66.64,"546,224",$72.78,$72.78,$65.80
02/01/2024,$80.59,"82,823",$78.44,$80.59,$78.115
01/31/2024,$77.82,"62,499",$78.37,$79.16,$77.66
01/30/2024,$78.80,"96,472",$79.94,$80.17,$78.80
01/29/2024,$80.24,"125,609",$79.39,$80.34,$78.44
01/26/2024,$79.62,"59,661",$77.99,$80.12,$77.99
01/25/2024,$77.47,"104,678",$77.34,$77.58,$75.93
01/24/2024,$77.36,"194,771",$79.92,$79.95,$76.60
01/23/2024,$79.05,"89,285",$78.35,$79.96,$78.28
01/22/2024,$78.24,"64,783",$77.70,$78.97,$77.67
01/19/2024,$77.61,"50,277",$75.76,$77.61,$75.65
01/18/2024,$76.18,"68,176",$74.98,$76.34,$74.98
01/17/2024,$74.94,"78,028",$76.07,$76.67,$74.50
01/16/2024,$76.94,"68,729",$75.92,$76.94,$74.87
01/12/2024,$76.10,"51,042",$76.46,$76.79,$76.05
01/11/2024,$76.43,"76,554",$76.03,$76.48,$75.15
01/10/2024,$76.44,"132,717",$76.62,$76.97,$76.03
01/09/2024,$76.51,"78,744",$77.83,$77.83,$75.83
01/08/2024,$78.28,"62,901",$76.54,$78.28,$76.54
01/05/2024,$76.90,"54,471",$77.78,$78.20,$76.82
01/04/2024,$77.32,"101,448",$80.19,$80.19,$77.13
01/03/2024,$79.98,"106,062",$80.74,$80.97,$79.64
01/02/2024,$81.18,"89,666",$80.68,$81.71,$80.135
12/29/2023,$80.64,"112,093",$81.25,$81.32,$80.32
12/28/2023,$81.02,"60,206",$80.37,$81.89,$80.37
12/27/2023,$80.36,"74,437",$79.87,$80.40,$79.40
12/26/2023,$79.70,"69,107",$78.89,$79.8729,$78.09
12/22/2023,$78.42,"90,627",$78.30,$79.045,$77.83
12/21/2023,$78.23,"80,707",$78.00,$78.31,$77.59
12/20/2023,$77.29,"100,279",$78.06,$79.38,$77.26
12/19/2023,$78.49,"63,952",$77.83,$78.81,$77.74
12/18/2023,$77.65,"109,216",$78.19,$78.29,$77.18
12/15/2023,$77.44,"185,930",$78.03,$78.73,$76.69
12/14/2023,$78.23,"184,804",$77.27,$81.24,$77.27
12/13/2023,$77.40,"90,205",$75.13,$77.50,$74.02
12/12/2023,$74.69,"70,785",$75.95,$76.45,$74.66
12/11/2023,$76.40,"94,229",$76.01,$77.75,$76.01
12/08/2023,$75.64,"92,209",$76.02,$76.37,$75.16
12/07/2023,$76.14,"94,415",$75.52,$77.21,$74.85
12/06/2023,$75.40,"112,952",$76.24,$76.88,$75.17
12/05/2023,$75.60,"451,831",$82.91,$82.91,$75.08
12/04/2023,$83.00,"155,633",$82.78,$84.51,$82.53
12/01/2023,$84.11,"72,572",$83.08,$84.15,$82.59
11/30/2023,$82.94,"91,099",$83.11,$83.11,$81.575
11/29/2023,$82.35,"130,455",$83.46,$83.79,$81.89
11/28/2023,$83.09,"86,992",$81.49,$83.5776,$80.81
11/27/2023,$81.88,"100,389",$83.27,$83.27,$81.46
11/24/2023,$83.30,"36,614",$83.63,$83.76,$83.27
11/22/2023,$83.37,"70,528",$82.96,$83.94,$82.60
11/21/2023,$82.37,"74,853",$84.13,$84.45,$81.67
11/20/2023,$84.15,"64,556",$83.36,$84.37,$82.32
11/17/2023,$83.20,"64,181",$83.83,$84.58,$82.935
11/16/2023,$83.51,"56,280",$84.93,$85.23,$82.80
11/15/2023,$84.58,"80,475",$84.22,$84.87,$83.52
11/14/2023,$83.85,"94,853",$83.70,$85.22,$83.64
11/13/2023,$81.99,"111,941",$82.72,$82.72,$81.605
11/10/2023,$82.90,"120,793",$82.90,$82.95,$81.826
11/09/2023,$82.28,"185,764",$84.94,$84.94,$82.11
11/08/2023,$84.21,"145,223",$84.48,$85.07,$83.98
11/07/2023,$84.82,"242,727",$84.80,$85.47,$84.15
11/06/2023,$84.77,"351,049",$86.41,$86.51,$84.40
11/03/2023,$86.12,"113,048",$85.22,$87.49,$85.22
11/02/2023,$85.66,"90,739",$83.79,$85.82,$83.78
11/01/2023,$83.30,"145,767",$83.30,$84.02,$82.46
10/31/2023,$83.32,"263,168",$80.97,$83.50,$80.97
10/30/2023,$80.98,"254,004",$78.50,$81.29,$78.26
10/27/2023,$77.61,"599,031",$78.60,$79.94,$76.325
10/26/2023,$84.81,"78,834",$84.70,$85.73,$82.31
10/25/2023,$87.10,"50,417",$89.50,$89.50,$87.10
10/24/2023,$89.67,"108,896",$89.84,$90.33,$86.12
10/23/2023,$89.35,"108,049",$89.24,$91.07,$88.84
10/20/2023,$89.82,"79,224",$90.48,$91.64,$89.60
10/19/2023,$91.07,"94,409",$94.44,$94.44,$90.96
10/18/2023,$93.88,"79,047",$93.87,$94.88,$93.84
10/17/2023,$94.28,"96,433",$93.56,$94.73,$93.32
10/16/2023,$94.14,"120,179",$92.97,$95.08,$92.97
10/13/2023,$92.66,"114,923",$92.85,$93.23,$91.74
10/12/2023,$92.41,"139,508",$93.32,$93.32,$91.72
10/11/2023,$92.97,"71,583",$92.02,$93.225,$92.02
10/10/2023,$91.91,"92,686",$91.85,$92.24,$91.20
10/09/2023,$91.40,"136,576",$89.20,$91.94,$89.11
10/06/2023,$89.52,"95,668",$88.83,$90.32,$87.78
10/05/2023,$89.20,"113,419",$88.83,$89.59,$88.73
10/04/2023,$89.13,"58,763",$88.42,$89.63,$88.07
10/03/2023,$88.46,"77,507",$89.49,$89.88,$87.68
10/02/2023,$89.90,"57,385",$90.58,$91.76,$89.39
09/29/2023,$90.91,"90,067",$91.73,$91.90,$90.20
09/28/2023,$91.28,"40,019",$88.65,$91.50,$88.65
09/27/2023,$89.24,"73,147",$89.19,$90.09,$88.33
09/26/2023,$88.55,"64,766",$89.02,$90.635,$88.40
09/25/2023,$90.91,"85,694",$92.10,$92.10,$90.28
09/22/2023,$92.33,"87,793",$94.03,$94.55,$92.255
09/21/2023,$92.58,"97,992",$92.42,$93.39,$92.21
09/20/2023,$92.52,"89,377",$92.97,$93.80,$92.44
09/19/2023,$92.27,"85,991",$92.42,$93.01,$90.90
09/18/2023,$92.58,"83,494",$91.70,$92.87,$91.70
09/15/2023,$91.44,"203,264",$92.75,$93.58,$91.41
09/14/2023,$93.18,"125,932",$92.86,$93.49,$91.86
09/13/2023,$91.92,"70,051",$91.37,$91.94,$89.83
09/12/2023,$91.93,"114,571",$91.40,$92.54,$91.40
09/11/2023,$91.58,"107,839",$89.46,$93.35,$89.46
09/08/2023,$89.76,"47,899",$88.93,$90.10,$88.93
09/07/2023,$89.19,"57,439",$90.16,$90.69,$88.93
09/06/2023,$90.52,"81,447",$89.03,$91.03,$89.03
09/05/2023,$88.81,"72,769",$91.39,$91.39,$88.595
09/01/2023,$91.22,"90,298",$92.74,$93.28,$90.74
08/31/2023,$93.64,"65,171",$94.17,$94.70,$93.63
08/30/2023,$94.31,"98,741",$94.95,$95.43,$94.175
08/29/2023,$95.29,"101,004",$92.27,$95.61,$92.27
08/28/2023,$91.99,"82,550",$89.16,$92.055,$89.16
08/25/2023,$89.03,"91,285",$88.18,$89.37,$88.05
08/24/2023,$88.05,"60,261",$88.17,$88.92,$87.87
08/23/2023,$88.23,"73,218",$87.86,$88.40,$87.54
08/22/2023,$87.77,"81,064",$89.42,$89.69,$87.52
08/21/2023,$89.36,"95,680",$89.27,$90.54,$89.04
08/18/2023,$89.65,"105,867",$90.21,$91.08,$89.53
08/17/2023,$90.98,"121,035",$91.70,$92.64,$90.98
08/16/2023,$91.71,"69,273",$92.44,$93.21,$91.69
08/15/2023,$92.60,"86,461",$92.25,$93.11,$90.49
08/14/2023,$92.96,"101,831",$92.96,$93.49,$92.51
08/11/2023,$93.41,"72,666",$93.26,$93.85,$92.71
08/10/2023,$93.56,"165,400",$92.57,$94.065,$92.57
08/09/2023,$91.60,"67,118",$91.43,$92.515,$91.41
08/08/2023,$91.53,"72,338",$90.81,$92.01,$90.81
08/07/2023,$91.58,"85,224",$91.30,$92.38,$90.40
08/04/2023,$91.19,"129,287",$92.56,$93.00,$90.82
08/03/2023,$92.56,"126,796",$90.67,$93.67,$90.05
08/02/2023,$91.55,"175,057",$90.01,$92.27,$90.01
08/01/2023,$89.90,"237,878",$88.66,$90.32,$88.10
07/31/2023,$88.83,"90,441",$87.74,$89.22,$87.38
07/28/2023,$87.14,"162,606",$88.68,$90.36,$86.59
