Date,Close,Volume,Open,High,Low
03/01/2024,$13.87,"11,819",$14.08,$14.215,$13.85
02/29/2024,$14.08,"12,302",$14.02,$14.26,$13.91
02/28/2024,$14.00,"18,162",$14.20,$14.3358,$13.98
02/27/2024,$14.24,"19,970",$14.269,$14.35,$14.06
02/26/2024,$14.02,"11,836",$14.11,$14.32,$14.00
02/23/2024,$14.25,"13,647",$13.8805,$14.45,$13.8805
02/22/2024,$13.99,"23,291",$13.85,$14.10,$13.85
02/21/2024,$13.97,"24,322",$14.19,$14.23,$13.95
02/20/2024,$14.09,"27,066",$14.46,$14.61,$14.05
02/16/2024,$14.51,"12,754",$14.50,$14.5814,$14.40
02/15/2024,$14.63,"38,092",$14.42,$14.72,$14.23
02/14/2024,$14.25,"21,462",$13.85,$14.29,$13.7618
02/13/2024,$13.62,"34,080",$14.14,$14.20,$13.62
02/12/2024,$14.29,"20,472",$14.06,$14.585,$14.06
02/09/2024,$14.14,"15,879",$14.4679,$14.4679,$14.14
02/08/2024,$14.01,"28,285",$13.68,$14.3849,$13.68
02/07/2024,$13.66,"46,960",$14.01,$14.01,$13.30
02/06/2024,$14.14,"22,519",$14.27,$14.4799,$13.77
02/05/2024,$14.39,"38,100",$14.37,$14.69,$14.06
02/02/2024,$14.47,"16,268",$14.39,$15.40,$14.39
02/01/2024,$14.84,"25,004",$14.78,$14.84,$13.94
01/31/2024,$14.77,"16,091",$15.46,$15.75,$14.77
01/30/2024,$15.65,"8,206",$15.721,$15.84,$15.51
01/29/2024,$15.75,"11,715",$15.54,$16.005,$15.54
01/26/2024,$15.77,"20,586",$15.55,$15.825,$15.351
01/25/2024,$15.33,"22,079",$15.45,$15.515,$14.886
01/24/2024,$15.20,"19,900",$15.04,$15.42,$14.7762
01/23/2024,$14.83,"18,515",$15.67,$15.67,$14.81
01/22/2024,$15.49,"20,303",$15.38,$15.49,$14.99
01/19/2024,$15.19,"25,594",$14.89,$15.19,$14.77
01/18/2024,$14.86,"16,004",$15.15,$15.15,$14.66
01/17/2024,$14.90,"20,012",$14.80,$14.99,$14.70
01/16/2024,$14.75,"19,425",$14.84,$15.18,$14.501
01/12/2024,$14.79,"23,356",$15.29,$15.63,$14.77
01/11/2024,$15.12,"26,899",$15.03,$15.22,$14.85
01/10/2024,$15.19,"19,829",$15.50,$15.595,$15.07
01/09/2024,$15.43,"13,332",$15.57,$15.865,$15.43
01/08/2024,$15.75,"25,175",$15.76,$15.80,$15.484
01/05/2024,$15.70,"50,076",$15.55,$15.95,$15.52
01/04/2024,$15.50,"18,758",$15.98,$15.98,$15.31
01/03/2024,$15.86,"28,101",$16.11,$16.2924,$15.71
01/02/2024,$16.05,"26,696",$15.86,$16.47,$15.86
12/29/2023,$15.77,"30,851",$16.24,$16.24,$15.75
12/28/2023,$16.32,"24,176",$16.66,$16.67,$16.1601
12/27/2023,$16.65,"22,008",$16.69,$16.69,$16.50
12/26/2023,$16.58,"18,059",$16.366,$16.65,$16.003
12/22/2023,$16.67,"18,841",$16.55,$16.69,$16.52
12/21/2023,$16.40,"10,965",$16.46,$16.58,$16.40
12/20/2023,$16.27,"31,279",$16.54,$16.69,$16.17
12/19/2023,$16.45,"29,181",$16.05,$16.56,$16.05
12/18/2023,$16.14,"34,756",$17.01,$17.01,$16.14
12/15/2023,$17.09,"125,146",$16.01,$17.09,$15.585
12/14/2023,$15.89,"32,791",$15.74,$15.89,$15.41
12/13/2023,$15.60,"39,724",$14.99,$15.89,$14.99
12/12/2023,$14.915,"14,581",$14.99,$15.00,$14.76
12/11/2023,$14.89,"16,492",$15.08,$15.10,$14.85
12/08/2023,$15.14,"31,618",$14.85,$15.48,$14.5352
12/07/2023,$14.95,"23,827",$14.72,$14.98,$14.71
12/06/2023,$14.63,"22,225",$14.81,$14.98,$14.34
12/05/2023,$14.68,"18,650",$14.67,$14.76,$14.61
12/04/2023,$14.82,"19,873",$14.95,$14.98,$14.78
12/01/2023,$14.91,"31,742",$14.40,$14.97,$14.34
11/30/2023,$14.56,"11,045",$14.50,$14.971,$14.4323
11/29/2023,$14.93,"26,103",$14.93,$14.9599,$14.51
11/28/2023,$14.65,"17,641",$14.88,$14.98,$14.63
11/27/2023,$14.76,"22,163",$14.97,$14.99,$14.5533
11/24/2023,$14.83,"11,765",$14.90,$14.99,$14.80
11/22/2023,$14.89,"6,854",$14.85,$14.95,$14.74
11/21/2023,$14.70,"12,837",$14.76,$14.88,$14.47
11/20/2023,$14.75,"19,052",$14.94,$15.025,$14.52
11/17/2023,$15.115,"35,234",$15.19,$15.24,$14.8394
11/16/2023,$15.11,"11,908",$15.20,$15.39,$14.93
11/15/2023,$15.21,"15,186",$15.05,$15.44,$14.6301
11/14/2023,$15.19,"89,200",$14.34,$15.24,$14.28
11/13/2023,$14.21,"18,067",$14.30,$14.50,$14.19
11/10/2023,$14.48,"18,571",$14.575,$14.575,$14.365
11/09/2023,$14.63,"16,227",$14.99,$15.10,$14.63
11/08/2023,$15.04,"37,296",$15.22,$15.22,$14.81
11/07/2023,$15.16,"54,936",$14.97,$15.45,$14.93
11/06/2023,$15.05,"21,468",$14.805,$15.27,$14.75
11/03/2023,$14.90,"16,892",$14.15,$15.02,$14.15
11/02/2023,$14.24,"22,057",$14.00,$14.45,$13.45
11/01/2023,$14.01,"25,958",$13.88,$14.15,$13.6844
10/31/2023,$13.99,"43,212",$14.03,$14.12,$13.65
10/30/2023,$14.13,"9,594",$14.17,$14.23,$13.90
10/27/2023,$14.12,"15,721",$13.99,$14.40,$13.99
10/26/2023,$14.11,"17,253",$13.3745,$14.18,$13.3745
10/25/2023,$13.51,"13,818",$13.31,$13.81,$13.29
10/24/2023,$13.43,"24,149",$13.00,$13.45,$13.00
10/23/2023,$13.04,"13,659",$12.995,$13.23,$12.99
10/20/2023,$13.29,"27,011",$13.32,$13.4699,$12.84
10/19/2023,$13.18,"20,935",$13.691,$13.70,$12.78
10/18/2023,$13.50,"40,341",$14.1329,$14.1329,$13.31
10/17/2023,$14.04,"25,976",$13.85,$14.18,$13.62
10/16/2023,$13.79,"26,971",$13.56,$13.89,$13.535
10/13/2023,$13.53,"23,137",$13.75,$13.75,$13.50
10/12/2023,$13.75,"21,179",$13.87,$13.87,$13.52
10/11/2023,$13.95,"18,406",$13.9885,$14.0199,$13.70
10/10/2023,$13.79,"30,892",$13.93,$13.9562,$13.62
10/09/2023,$13.88,"43,175",$13.51,$14.12,$13.51
10/06/2023,$13.66,"56,962",$13.69,$13.88,$13.51
10/05/2023,$13.81,"25,840",$13.80,$13.87,$13.57
10/04/2023,$13.69,"21,072",$13.67,$13.87,$13.56
10/03/2023,$13.77,"21,376",$13.84,$13.97,$13.51
10/02/2023,$13.91,"21,293",$14.27,$14.27,$13.76
09/29/2023,$14.27,"19,089",$13.99,$14.28,$13.90
09/28/2023,$14.17,"22,233",$14.26,$14.26,$13.90
09/27/2023,$14.17,"19,004",$14.43,$14.43,$14.00
09/26/2023,$14.34,"21,812",$14.53,$14.804,$14.26
09/25/2023,$14.70,"23,620",$14.54,$14.95,$14.54
09/22/2023,$14.62,"12,390",$14.73,$14.8528,$14.545
09/21/2023,$14.79,"7,229",$14.85,$14.98,$14.58
09/20/2023,$14.85,"24,628",$15.26,$15.27,$14.83
09/19/2023,$15.12,"20,356",$15.21,$15.21,$15.01
09/18/2023,$15.15,"12,902",$15.59,$15.59,$15.145
09/15/2023,$15.71,"105,431",$15.38,$15.885,$15.13
09/14/2023,$15.29,"16,520",$15.14,$15.31,$15.14
09/13/2023,$15.07,"14,642",$15.33,$15.34,$15.03
