Date,Close,Volume,Open,High,Low
03/01/2024,$7.96,"44,167",$7.44,$8.30,$7.4093
02/29/2024,$7.44,"149,797",$9.60,$9.60,$7.1003
02/28/2024,$9.87,"75,422",$11.31,$11.8737,$9.50
02/27/2024,$11.30,"166,349",$13.67,$13.99,$10.51
02/26/2024,$14.25,"133,168",$13.17,$15.80,$12.20
02/23/2024,$13.80,"192,934",$17.99,$17.99,$10.12
02/22/2024,$13.51,"107,534",$14.70,$16.55,$12.10
02/21/2024,$13.19,"123,966",$10.93,$14.00,$10.93
02/20/2024,$10.85,"139,859",$9.52,$12.50,$9.39
02/16/2024,$9.06,"25,143",$8.65,$9.38,$8.65
02/15/2024,$9.16,"18,804",$8.99,$9.60,$8.6006
02/14/2024,$9.168,"7,989",$9.49,$9.89,$9.10
02/13/2024,$9.35,"3,545",$9.49,$9.58,$9.11
02/12/2024,$9.40,"6,440",$9.48,$9.9066,$8.98
02/09/2024,$9.15,"10,039",$9.08,$9.5784,$9.08
02/08/2024,$9.09,"12,473",$9.00,$9.78,$9.00
02/07/2024,$9.27,"21,524",$10.13,$10.47,$9.26
02/06/2024,$10.40,"36,764",$10.69,$10.85,$10.31
02/05/2024,$12.06,"87,060",$12.26,$13.9899,$11.50
02/02/2024,$11.49,"82,453",$10.99,$11.99,$10.51
02/01/2024,$10.99,"41,361",$10.38,$11.30,$10.00
01/31/2024,$10.50,"110,303",$9.68,$10.92,$8.95
01/30/2024,$8.97,"123,044",$10.32,$10.32,$8.585
01/29/2024,$10.83,"253,903",$10.82,$10.84,$10.82
01/26/2024,$10.825,"1,827,021",$10.84,$10.84,$10.80
01/25/2024,$10.83,"88,076",$10.83,$10.84,$10.82
01/24/2024,$10.83,"1,058,845",$10.83,$10.83,$10.82
01/23/2024,$10.83,"25,970",$10.83,$10.835,$10.83
01/22/2024,$10.83,"33,062",$10.83,$10.84,$10.82
01/19/2024,$10.82,"65,315",$10.8301,$10.8366,$10.82
01/18/2024,$10.83,"105,539",$10.84,$10.84,$10.8299
01/17/2024,$10.82,"35,503",$10.84,$10.84,$10.82
01/16/2024,$10.84,"607,124",$10.82,$10.84,$10.82
01/12/2024,$10.81,"3,622",$10.818,$10.82,$10.81
01/11/2024,$10.81,625,$10.81,$10.81,$10.80
01/10/2024,$10.819,"201,820",$10.80,$10.819,$10.80
01/09/2024,$10.82,"422,833",$10.80,$10.82,$10.80
01/08/2024,$10.79,"529,282",$10.79,$10.81,$10.79
01/05/2024,$10.79,"517,699",$10.80,$10.8073,$10.79
01/04/2024,$10.80,"4,427",$10.81,$10.81,$10.80
01/03/2024,$10.80,"53,225",$10.79,$10.805,$10.78
01/02/2024,$10.79,"108,465",$10.7514,$10.795,$10.7514
12/29/2023,$10.78,"4,931",$10.77,$10.78,$10.77
12/28/2023,$10.775,"99,695",$10.78,$10.78,$10.76
12/27/2023,$10.78,"10,453",$10.7601,$10.78,$10.7601
12/26/2023,$10.76,"2,200",$10.764,$10.77,$10.76
12/22/2023,$10.77,"75,372",$10.77,$10.785,$10.76
12/21/2023,$10.76,"316,327",$10.77,$10.78,$10.76
12/20/2023,$10.77,"7,999",$10.77,$10.77,$10.76
12/19/2023,$10.77,"44,650",$10.76,$10.77,$10.75
12/18/2023,$10.76,"5,665",$10.76,$10.76,$10.7413
12/15/2023,$10.74,"10,015",$10.74,$10.76,$10.74
12/14/2023,$10.75,"7,266",$10.75,$10.75,$10.74
12/13/2023,$10.74,"429,691",$10.73,$10.74,$10.73
12/12/2023,$10.73,"11,917",$10.74,$10.74,$10.73
12/11/2023,$10.74,"85,446",$10.733,$10.74,$10.73
12/08/2023,$10.74,"233,101",$10.73,$10.74,$10.73
12/07/2023,$10.74,"90,984",$10.74,$10.74,$10.73
12/06/2023,$10.73,"20,144",$10.73,$10.74,$10.72
12/05/2023,$10.735,"5,354",$10.74,$10.74,$10.735
12/04/2023,$10.74,"131,259",$10.735,$10.74,$10.73
12/01/2023,$10.74,"369,745",$10.73,$10.74,$10.73
11/30/2023,$10.73,"82,522",$10.74,$10.74,$10.73
11/29/2023,$10.73,"380,628",$10.73,$10.74,$10.72
11/28/2023,$10.73,"6,844",$10.73,$10.73,$10.72
11/27/2023,$10.73,"3,494",$10.73,$10.73,$10.72
11/24/2023,$10.72,"10,346",$10.73,$10.73,$10.72
11/22/2023,$10.73,"74,779",$10.73,$10.73,$10.72
11/21/2023,$10.71,"66,456",$10.72,$10.73,$10.71
11/20/2023,$10.72,"51,247",$10.71,$10.73,$10.70
11/17/2023,$10.72,"10,811",$10.725,$10.73,$10.72
11/16/2023,$10.7298,"1,021,158",$10.70,$10.73,$10.70
11/15/2023,$10.73,"1,090,850",$10.71,$10.73,$10.69
11/14/2023,$10.715,"42,401",$10.692,$10.72,$10.69
11/13/2023,$10.695,"71,438",$10.70,$10.70,$10.69
11/10/2023,$10.695,"2,927",$10.695,$10.695,$10.695
11/09/2023,$10.695,"478,660",$10.69,$10.70,$10.69
11/08/2023,$10.685,"2,414",$10.6801,$10.69,$10.6801
11/07/2023,$10.68,"100,410",$10.6886,$10.6886,$10.68
11/06/2023,$10.69,"1,130,278",$10.68,$10.69,$10.68
11/03/2023,$10.685,"1,321,445",$10.68,$10.69,$10.67
11/02/2023,$10.675,"50,990",$10.68,$10.69,$10.67
11/01/2023,$10.67,"224,804",$10.675,$10.69,$10.67
10/31/2023,$10.68,"86,655",$10.67,$10.68,$10.67
10/30/2023,$10.67,"426,727",$10.67,$10.675,$10.67
10/27/2023,$10.665,"61,102",$10.67,$10.67,$10.66
10/26/2023,$10.67,"11,535",$10.67,$10.6717,$10.67
10/25/2023,$10.67,"196,257",$10.67,$10.6701,$10.66
10/24/2023,$10.66,826,$10.66,$10.67,$10.66
10/23/2023,$10.665,"110,327",$10.66,$10.665,$10.66
10/20/2023,$10.66,"687,201",$10.66,$10.67,$10.65
10/19/2023,$10.665,465,$10.665,$10.665,$10.665
10/18/2023,$10.6601,"7,154",$10.6603,$10.68,$10.66
10/17/2023,$10.68,"232,801",$10.68,$10.68,$10.68
10/16/2023,$10.67,"16,181",$10.67,$10.67,$10.66
10/13/2023,$10.67,"216,924",$10.65,$10.67,$10.64
10/12/2023,$10.66,"13,026",$10.66,$10.66,$10.65
10/11/2023,$10.66,516,$10.6611,$10.6611,$10.66
10/10/2023,$10.66,"17,238",$10.666,$10.67,$10.66
10/09/2023,$10.64,152,$10.64,$10.64,$10.64
10/06/2023,$10.635,"8,220",$10.63,$10.6394,$10.63
10/05/2023,$10.63,"6,034",$10.63,$10.63,$10.63
10/04/2023,$10.63,"410,279",$10.65,$10.65,$10.62
10/03/2023,$10.67,"26,896",$10.63,$10.67,$10.63
10/02/2023,$10.63,"5,758",$10.63,$10.67,$10.63
09/29/2023,$10.67,"1,068",$10.67,$10.67,$10.6371
09/28/2023,$10.67,"7,503",$10.62,$10.67,$10.62
09/27/2023,$10.62,"11,873",$10.62,$10.64,$10.62
09/26/2023,$10.65,"11,286",$10.68,$10.68,$10.62
09/25/2023,$10.67,"10,532",$10.75,$10.75,$10.6686
09/22/2023,$10.62,"36,152",$10.628,$10.63,$10.62
09/21/2023,$10.62,"36,441",$10.63,$10.63,$10.61
09/20/2023,$10.63,"48,921",$10.64,$10.65,$10.63
09/19/2023,$10.64,"58,727",$10.65,$10.65,$10.64
09/18/2023,$10.62,"20,686",$10.62,$10.63,$10.62
09/15/2023,$10.625,"30,538",$10.63,$10.6314,$10.62
09/14/2023,$10.64,"1,163",$10.65,$10.65,$10.63
09/13/2023,$10.63,423,$10.63,$10.63,$10.63
09/12/2023,$10.64,"16,267",$10.62,$10.65,$10.61
09/11/2023,$10.65,"3,724",$10.65,$10.65,$10.60
09/08/2023,$10.6499,"3,768",$10.60,$10.6499,$10.60
09/07/2023,$10.63,"16,611",$10.63,$10.63,$10.60
09/06/2023,$10.65,"1,243",$10.64,$10.65,$10.64
09/05/2023,$10.63,"1,434",$10.6307,$10.6307,$10.63
09/01/2023,$10.63,"18,373",$10.63,$10.63,$10.6296
08/31/2023,$10.6088,N/A,$10.6088,$10.6088,$10.6088
08/30/2023,$10.6088,N/A,$10.6088,$10.6088,$10.6088
08/29/2023,$10.6088,"144,938",$10.6129,$10.63,$10.60
08/28/2023,$10.62,"47,369",$10.62,$10.62,$10.605
08/25/2023,$10.62,"10,429",$10.61,$10.62,$10.61
08/24/2023,$10.61,951,$10.6069,$10.61,$10.6069
08/23/2023,$10.60,"69,234",$10.60,$10.61,$10.58
08/22/2023,$10.5986,"3,374",$10.5989,$10.5989,$10.5977
08/21/2023,$10.59,"111,991",$10.60,$10.60,$10.58
08/18/2023,$10.58,"6,906",$10.59,$10.59,$10.5709
08/17/2023,$10.58,"9,243",$10.585,$10.585,$10.58
08/16/2023,$10.58,"2,840",$10.58,$10.581,$10.58
08/15/2023,$10.57,"41,259",$10.58,$10.66,$10.57
08/14/2023,$10.575,"15,722",$10.58,$10.58,$10.57
08/11/2023,$10.5788,"31,763",$10.56,$10.58,$10.56
08/10/2023,$10.57,"139,147",$10.57,$10.5785,$10.56
08/09/2023,$10.56,"155,170",$10.56,$10.57,$10.56
08/08/2023,$10.56,"462,442",$10.55,$10.56,$10.55
08/07/2023,$10.55,"473,492",$10.55,$10.55,$10.5383
08/04/2023,$10.54,"326,678",$10.55,$10.55,$10.54
08/03/2023,$10.5401,"1,030",$10.55,$10.55,$10.54
08/02/2023,$10.54,"50,906",$10.5499,$10.5499,$10.53
08/01/2023,$10.55,"19,554",$10.535,$10.55,$10.53
07/31/2023,$10.55,"118,677",$10.53,$10.55,$10.52
07/28/2023,$10.54,"1,341,887",$10.52,$10.585,$10.50
07/27/2023,$10.51,"225,237",$10.5101,$10.5101,$10.51
07/26/2023,$10.51,"600,110",$10.51,$10.51,$10.51
07/25/2023,$10.51,"771,023",$10.51,$10.5184,$10.505
07/24/2023,$10.5016,"9,408",$10.50,$10.5016,$10.495
07/21/2023,$10.49,"1,170",$10.495,$10.495,$10.49
07/20/2023,$10.4914,N/A,$10.4914,$10.4914,$10.4914
07/19/2023,$10.4914,"1,372",$10.49,$10.50,$10.49
07/18/2023,$10.495,"1,945",$10.50,$10.50,$10.4901
07/17/2023,$10.49,"1,155",$10.49,$10.49,$10.49
07/14/2023,$10.50,"26,516",$10.50,$10.50,$10.48
07/13/2023,$10.50,"12,085",$10.4901,$10.50,$10.49
07/12/2023,$10.4999,N/A,$10.4999,$10.4999,$10.4999
